regions,demand,materials,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
1,reused,Aluminium,19.73761253217985,20.150595077247814,20.60498957041784,21.130889452969406,21.724501495795938,22.35116076259741,23.01486618286566,23.67135334884092,24.365861571534538,25.08291272721337,25.814304155860867,30.04353598542423,27.11679893991525,27.700841380278,28.30130637336879,29.115206122813557,29.408086184895303,29.981656915567626,30.551328806861807,31.297878243212242,32.911575040343756,32.21665171397098,32.65955880691901,33.085018319348265,33.46588639529453,33.76161446407509,34.27649474032123,34.56038718925526,34.89432548755063,35.46276279889457,36.132138731082996,36.84080209869411,37.56855375534159,38.42726882901489,39.38985752108192,40.59326646743672,41.4659442627272,42.59733168903996,44.91808450600122,44.94728561473761,46.00687847728051,46.994856677672104,47.933042164537646,48.85110716047264,52.21448784048103,50.15690308476415,51.11611111271912,52.15204622082806,53.27791339577899,47.84722315398315,51.7258015106062,52.52993627135048,53.53279079845463,54.84482690686468,57.320421317936834,57.808988027693225,59.645815942425,61.575138996358746,63.593931039215704,65.68169254950678,67.82764775524294,70.01592584585842,72.25128180244539,74.56629013660599,76.94396507210114,79.22360280156718,81.46384270390215,83.63329480981983,85.66503450207372,87.5069455495925,89.17028239956562,90.65653419707859,91.99884700398131,93.25098217292569,94.43008081948726,95.54132755643927,96.60176773329037,97.63311495351087,98.67763420471397,99.7812250945725,100.956283747402,102.2179660736818,103.58411436117612,105.05517545983169,106.61852516304535,108.30245938358003,110.08274550261261,112.21084602385156,114.12842224719603,116.02567317148285
1,reused,Concrete,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,reused,Cu,5.196101316900852,5.323999829574119,5.4667485253766825,5.622910340090038,5.804869593534743,5.999770624196042,6.211265587984011,6.420229668682099,6.635175285852871,6.8336072615794805,7.0249211350466805,8.539785107031868,7.42124127018002,7.587760279512736,7.767144235597761,7.981439788470484,8.110356530870769,8.315992906352983,8.52639258534645,8.752063191412338,9.381305994251466,9.294883988919992,9.509641362011056,9.723558928955168,9.942822283320623,10.031607767014732,10.244744724499487,10.479281933894022,10.747215179816115,11.056346408786563,11.362379899215295,11.688721799534228,12.040845988921905,12.449035305140878,12.858479595894206,13.331675772771558,13.62231224916015,14.033951337192859,14.747332739691334,14.967121044175538,15.326396450966483,15.676493790763544,16.000011868109638,16.15683660083552,16.98985826366613,16.712866243270387,17.1464555705415,17.61825268497036,18.169783300493656,19.61803641480394,19.03992089156075,19.400869749154012,19.96755314001627,20.608438086583245,20.902612878810814,21.596867012735192,22.615408150639787,23.73276550404769,24.951480740137235,26.270101856169546,27.674664672769254,29.126129478627504,30.631191399970987,32.17500906595524,33.7310399287254,35.226799888506974,36.673860975649745,38.05434336602023,39.35024160911432,40.52736459024827,41.60642876479368,42.569630849469405,43.41177097026597,44.15603008516467,44.82907898676132,45.44729649244137,46.026255386624825,46.59840555986066,47.20202916881843,47.88025326770045,48.61629349693069,49.41101438925513,50.27047964130328,51.206774354398036,52.198466078741916,53.310969432647155,54.521184028824635,56.006628343238916,57.354278185357785,58.695537304345805
1,reused,Glass,3.1597397118437396,3.2363230474044045,3.324429244374016,3.42111295961746,3.5249841032416587,3.6388037952952526,3.7647791491860003,3.8902590658517804,4.019784711745734,4.148088343470311,4.277672547826331,5.647012294826162,4.518049115429877,4.633537853163135,4.756455657414821,4.886823264833321,5.019819442790797,5.157777441310933,5.2990792403287035,5.4417896729247,5.747503176150178,5.701256672999696,5.817366212691002,5.929235855268942,6.0437540912306345,6.152157178614138,6.259048738299471,6.366232951191305,6.49545877698686,6.634171890751734,6.777189593645838,6.93065989989566,7.096288651101101,7.264233890567237,7.44270524450522,7.641142241556463,7.823673850747904,8.018009856926634,8.220781096239111,8.407098510487995,8.59322231230496,8.775924584280908,8.949322902491673,9.13094945060172,9.559114471201177,9.437014206526595,9.60592713719516,9.785728104051858,9.975227172062288,12.539678817589703,9.958378730379362,10.042379366499041,10.232486208609716,10.43586882130048,10.790651605641836,10.887845547855253,11.11575146268538,11.344462729948877,11.573720835130386,11.80132762210693,12.026187550944336,12.248181815391348,12.468236951430555,12.69051223158707,12.915293116730687,13.138375264533888,13.36023005368726,13.580612978427228,13.796746251443611,14.007288837884929,14.212205028450846,14.41186549707303,14.607714739330035,14.801503173181583,14.993282849246773,15.182915548077336,15.369365170975815,15.552145968831885,15.731775095190223,15.908736203775941,16.083351649266206,16.256211222790274,16.427827526714708,16.598035592103546,16.766784172550977,16.934022442234344,17.09965296017241,17.263521158031615,17.425782029416077,17.586885521553853
1,reused,Steel,95.2184037028613,97.10223499265517,99.20634426004275,101.63768690975905,104.66851163021377,107.92205352692247,111.46523788950654,115.15862288440394,119.08231388992579,122.80492072690949,126.28720041476137,155.77940692242782,131.89835100165274,134.54673256564917,137.45182734389994,143.57261689167217,143.50820567225628,146.4127956514169,149.25733192447245,154.20641393558694,166.45511750607656,158.10209053967444,160.7619495193269,163.1319806922852,165.24128326606575,166.99502566051956,168.66923274318313,170.00122580569763,172.2744542175536,175.6051221918247,179.78379855259845,184.31887755375777,189.05206773114355,193.66851595133886,198.54267944337488,204.22458379169356,209.1408971573996,216.12488104681086,235.8472269417758,225.8823452757266,231.5935221244273,236.77893926627323,241.30643325964863,245.47114449611792,258.5624239737466,249.38055755911168,252.6393481187301,256.986873121652,263.69189847459495,505.3042117885568,258.3923453213682,261.3279293594745,265.15747864540026,268.3387757440522,277.7065593339754,277.7540313667131,283.3117151970451,288.99074807679233,294.49436327056253,299.9815534686528,305.40582954303295,310.7347162617101,316.28281185069216,322.25053429979727,328.57477173935354,334.86305670018305,341.1031493578978,347.2282693140651,352.8197034418897,357.4112941682233,361.40445643340695,365.08452231819274,368.3780662373621,372.0914904680794,376.2668790512326,380.2013659619465,384.08615722715444,388.1899848270349,392.221366190215,396.36461054525876,401.3758236742797,406.92162176045196,413.21436678441717,420.30543183567,428.14660552870225,436.6320556495702,445.5510392465782,456.60038882637116,466.11954560682045,475.35311013225805
1,reused,Wood,36.96779744006101,38.115040559483674,39.371623960159305,40.730148943048945,42.17089151621956,43.71642665597258,45.3853201956183,47.1045571119201,48.8550778011048,50.600917190791705,52.35605566519148,86.97702842286627,55.27357821546979,56.9544013784761,58.72549745987131,60.63311228713668,62.64836364014834,64.73753645651752,66.91709328819019,69.1639715425534,79.05980320926435,73.45358868137569,75.5517952147357,77.65051390171169,79.80800634152958,81.9745301273828,84.13975442689464,86.44862590284184,88.88970438701962,91.38802139572826,93.9269193853268,96.53568449159155,99.21798251812864,101.90446761918035,104.62217000164021,107.43464154551177,110.32054153429435,113.24596535717825,116.17386943532958,118.95083332643722,121.87543523050542,124.83813224061903,127.76535785515247,130.72561935740248,133.74158382626283,136.74070332070033,139.75030865048674,142.8464415171289,146.00243100240107,181.0652121946169,155.76002122383542,154.63362137319933,157.64772441449878,160.6014471542538,163.5512918982907,166.52644737100516,169.51213493742077,172.51212704762725,175.53028070786618,178.56879793385528,181.62676574551443,184.69956426604742,187.78493890614814,190.8845972211195,193.9988163923246,197.12396212656225,200.25617992385375,203.39201822818865,206.5274391499477,209.658833737571,212.78355331351585,215.89927724024585,219.00432101207812,222.0987536026569,225.1839965148789,228.2623020996044,231.33591357352094,234.40566447171557,237.4711835292554,240.5313701636811,243.58530873607907,246.63234487177988,249.6715827471781,252.70206968262357,255.72293314482008,258.7338166614716,261.7345420771234,264.72504421944546,267.7056396711594,270.6767835455197
1,regional recycling,Aluminium,137.3100363411512,140.17178700534743,143.32451168120383,146.97574264190823,151.09894583121013,155.45530875722548,160.07335307345443,164.64270931382248,169.47794954213146,174.4702093585539,179.56342778205752,187.4161407385385,188.62869988488777,192.70086106367813,196.88966726376998,202.56452485196917,204.62983466418063,208.63799630926297,212.62000239070488,217.8303630437085,229.11455470517674,224.23024560463287,227.3243039418738,230.29505351915526,232.9558395297691,235.0442222037656,238.6289671641289,240.60791572616563,242.93378982002199,246.8826173742283,251.53041618054448,256.44759769834656,261.49384829473445,267.4342534355984,274.0957580961269,282.4313547494387,288.4662505881264,296.2936650950046,312.3442680566318,312.5106273712839,319.83198440818705,326.6560731778151,333.1354703384799,339.52689611674066,362.86929280400517,348.54282809054644,355.183784633903,362.3646984591126,370.17120909227236,162.9629023700511,359.263620515414,364.81581735598184,371.7939928293207,380.9280996750323,398.28287998579833,401.69397917552203,414.4759883547207,427.90139151100294,441.9490490330977,456.4747745976737,471.40353458432054,486.6256096950167,502.1747244087964,518.2795398788612,534.8209789213269,550.6867716915547,566.2839879012183,581.3936564322205,595.5498308039159,608.3964781720222,620.0049323955559,630.3849938837625,639.7672673831771,648.5218346486669,656.7626977008023,664.5280919880888,671.9315864674732,679.1202645423698,686.3824032312107,694.030134767517,702.15177255723,710.8538834855331,720.2589367848116,730.3687158704662,741.0989492990021,752.6351754113315,764.8131482750226,779.297256698195,792.3813375318064,805.3262332441827
1,regional recycling,Concrete,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,regional recycling,Cu,29.35636955562798,30.082922280673635,30.89205217436497,31.776167694225833,32.809870023018505,33.915471193174746,35.1133707567909,36.29713325928951,37.5133085665639,38.631126226107355,39.705556348636804,48.17890312797846,41.94689709365109,42.88239859226988,43.89071676051848,45.098325406443095,45.809593460489,46.96871187442795,48.155020175605515,49.429483752610636,53.00777064405918,52.542060798104785,53.75859335321492,54.972449522488205,56.216917719142444,56.68645599624067,57.90318440284754,59.244051805106544,60.775286965499205,62.54737629988706,64.29941339487853,66.16788220610461,68.18504945659353,70.53713774280973,72.88850989689561,75.59043805238329,77.26310367439174,79.61599427971748,83.74080942809208,85.00261020986082,87.05718749466426,89.06106410061764,90.91134958107703,91.72407527414353,96.4281368877182,94.89360334107366,97.3534324030471,100.02781175648857,103.16632620983066,82.76676132461307,108.37835692085952,110.4353685987094,113.63995224029642,117.24915770964805,118.64539346894844,122.56849798855853,128.31340584814825,134.61438403207356,141.4863779636753,148.9243838226509,156.8478060253261,165.03611895188064,173.52726643939994,182.23163695626178,190.99745722628094,199.40945227804826,207.54246018687866,215.29691827837914,222.57578304847382,229.18173453142396,235.24173883096478,240.65163454908594,245.37901568568952,249.5567334157468,253.3385732839187,256.81600849674624,260.0772527511255,263.31051376154073,266.73765963854316,270.6108539332996,274.8261273268161,279.38518858477806,284.3217011703428,289.70751192325423,295.4151063383282,301.8362669635975,308.8350888042422,317.4746359492449,325.29136392485395,333.0717839822206
1,regional recycling,Glass,31.686063325948602,32.43096318654508,33.28633805752663,34.23346552793864,35.259414176002764,36.380266340859734,37.61568675786293,38.84529477578231,40.11869420522923,41.38706017707999,42.66984314464591,55.28818303474888,45.04026874854148,46.169732838743755,47.36720135472735,48.62953698053696,49.901512355631155,51.22555272546654,52.57836820115402,53.94363073506948,56.79618983616142,56.418489138991546,57.51618852761737,58.56875971223685,59.640800071000726,60.64997093332043,61.648131304292995,62.62474968455251,63.82229123909951,65.12042883190063,66.47081873729697,67.92736898062712,69.50681583690564,71.12150684966944,72.85433205234845,74.79773546085694,76.55976136158569,78.4530190505046,80.44313487151634,82.2657491455621,84.07746351324052,85.8416872973694,87.51222941029587,89.27073986557818,93.72607075697455,92.13769836332108,93.75630859375597,95.48168256249747,97.30435599657196,113.79939427871396,96.55805243181096,97.40694650546929,99.24809530233475,101.23969047171835,104.89613245910823,105.7198635163873,107.97905257577447,110.24545106691072,112.51613843232732,114.76704897965215,116.98646683485318,119.17357442087311,121.33878691084134,123.52780997067484,125.74370856073698,127.94026585951445,130.12273728378898,132.28855442970539,134.40735304383105,136.46458412695438,138.46004483374134,140.39799023402773,142.29444878312898,144.1687652239716,146.02157552709758,147.85137865923778,149.64679331515748,151.40258530673276,153.1246304004913,154.81846214116612,156.4878173250792,158.13934448142362,159.77877670136405,161.40432205599106,163.01538794451295,164.6113347979567,166.19097468422578,167.7524654488388,169.29734733237254,170.83040278705454
