type,time,fuel,stage,unit,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
onshore,2015,oil,extraction,kg,240543686.26737183,1872813318.9938307,214979520.11061537,99353160.46124318,257202138.73625875,285851983.8158969,199957233.55929974,98467824.2663458,53010029.19623302,65951928.60437977,1297516069.9428241,227451354.17558986,93321240.68352571,59876320.150102675,66027532.92755435,406782307.34127563,855879255.5834897,423633343.0899732,258059863.58832785,1432404741.1993637,372896018.1299275,190626319.92299274,440127663.96467626,139926715.69370112,97946510.90555647,40034354.03464487
onshore,2016,oil,extraction,kg,238279234.9706601,1854709068.2422223,209998179.11504596,97978219.13278465,256428338.89854595,280191292.10212344,197571589.1510138,101409332.22243096,54651575.35724168,65500457.27061091,1261155666.2467005,227004033.37312776,96124448.73394993,58602382.93005122,67605970.21051398,405950310.01699406,854853081.8636738,436793617.15062505,260096723.41550937,1480766147.57824,377877448.22920465,191803194.46907705,427416778.2901056,140414743.15044093,100138910.79223582,40499520.016177975
onshore,2017,oil,extraction,kg,236089393.2575271,1856390205.2530544,204465932.65400827,97608050.51260123,256595500.7546652,276685023.7915903,197456783.1173815,105077778.19509722,56626186.05898139,65026968.36135507,1234874617.5672734,228082071.63059488,99615755.86022452,57126704.61905509,68724011.9434797,406527106.90394104,853002887.8596369,452135068.55712,262664951.4243017,1536090045.2306545,380935158.98721135,191136013.5935836,413354832.9676154,139905791.6256433,103022903.57597627,41318883.55673596
onshore,2018,oil,extraction,kg,235481993.03378868,1869154226.6033869,204018179.17499223,97525874.33627424,256323653.45459858,275860361.7316463,198659913.3239701,109434846.27421206,59104138.72493721,65543250.65651359,1227595546.2025359,230653894.4403632,103854137.19744292,54929876.78247992,70546465.26903103,408191572.3879362,855165520.0135738,471427523.91353375,264670283.1488201,1594269884.1525338,392492250.6323964,192325758.32263315,400962152.38765717,141749446.04544628,106541884.80853748,42258397.27043188
onshore,2019,oil,extraction,kg,234467701.18974757,1877607229.7985504,204279145.49268696,97609761.4112801,255599118.6406641,274843509.7416531,199812666.2909319,113186511.97165586,61466261.21466492,65828874.24375154,1223288610.3806427,233680714.26057574,107840593.01280119,53453539.32943826,72399660.35722418,410242839.29859394,857977700.9699863,491899237.9112038,265392319.13095954,1650793357.494712,402349573.1181368,195200214.3328901,389980573.29825586,143218079.91494998,110213561.18942247,42834605.3643682
onshore,2020,oil,extraction,kg,233050756.34341997,1881805428.3699195,205812406.55654567,97931485.88470283,254204661.7394178,274362779.4305201,200763903.81112698,116987532.08549963,63740099.575387694,66229331.86655323,1219043109.3919823,236989186.5511445,111863534.77758361,52144277.98968009,74794006.09210175,410103876.3948613,860493201.5483515,511403551.68154263,265165281.58210364,1706741045.0978916,411747360.27076906,200642157.11598873,382233824.1494635,144458740.14979655,113953803.59904644,43347623.07538927
onshore,2021,oil,extraction,kg,230512423.4010616,1881291060.3807683,208416687.59177476,97690927.21357127,255381946.150615,274882829.2662205,202132348.586385,121779386.27558613,65869071.697035134,66577912.032529205,1215022197.169726,240260044.03262454,114708496.72497098,51288434.18253364,77793268.41308226,409500345.8683413,863569871.6614329,529842737.3175313,263420986.83078438,1760891434.7929842,421501422.590341,209068771.35999697,375114030.6294173,145924307.7010618,118013038.17551452,43872487.151751764
onshore,2022,oil,extraction,kg,227445392.6381064,1873210018.3662317,210409980.77287427,97480820.63171656,257891975.72075906,275755233.8750013,204437833.34275058,126518787.67422289,67978923.49795799,66978260.169974685,1206429503.82338,241980854.88703865,116606906.70110607,50504902.976668164,80496006.28435934,406738860.1405212,866877036.5111972,546524244.0177175,259670540.83503243,1806212275.939162,429146113.04988134,214093434.5043172,368119043.9458384,146788699.4301981,121642602.63838494,44706856.40326432
onshore,2023,oil,extraction,kg,223682905.5030935,1860723949.9481983,213110130.54960296,97661812.14282918,259998823.8280021,277568988.7586048,207326836.61670014,131198515.2657394,70202964.85484707,66797615.02086614,1195599714.3125117,242079320.08181238,117792896.05661698,49640060.33941909,84065561.44421558,404655696.90643376,866345904.236111,560733840.4621015,254464209.8153428,1844471942.612037,435398203.0345709,219062385.45669752,360871697.06805354,146960793.4865598,125873850.0813366,45799742.711446606
onshore,2024,oil,extraction,kg,218679320.75986433,1840629022.9559054,217290794.3546333,97782668.37391247,263213162.63228843,279868575.8529148,210156052.53018686,135130045.192014,72570227.6304314,66747322.64095698,1185951842.277002,241611965.1021519,119098052.0418684,48506857.655567616,87755909.78558233,400877077.75661993,863106173.8416744,573524851.3671551,248231367.42385554,1871773710.8406618,440668850.0434612,223077012.6388748,354192899.9312375,146250488.06619394,131622634.15828475,47001968.19675213
onshore,2025,oil,extraction,kg,212557272.98199362,1813346433.3458142,220539422.21962297,97352529.64741525,266200973.63874352,282463091.4603707,213478465.03209025,138620804.71111372,74992435.2401722,66909271.611894906,1175852091.260462,240329505.59256467,119989820.97190994,47473083.64928851,92303057.18624522,395791884.31349415,858397028.2276899,587318794.2719836,240259330.43444413,1894257283.2130442,444837341.53138727,228578076.0281183,347735818.5677515,144869759.53117678,138071409.3375151,48229371.94390241
onshore,2026,oil,extraction,kg,208970281.82644928,1801310851.0737383,227676553.65200284,97960156.54805204,270603493.4165168,289316341.3831519,217530081.32959318,142427750.9072557,77998032.95496446,67846639.08481632,1181941218.3945446,240676553.7909071,121260508.54249234,46803118.281496555,96835415.86319102,389579426.6286222,858495789.2428855,606113061.9419124,232947172.50089422,1909435299.3931484,455032457.95393807,237288022.4735935,344406103.15722036,143869675.77699214,144493722.049102,50320759.19070602
