Year,Region,Material,Offices,Retail+,Hotels+,Govt+
2020,1,steel,63.17955563350284,63.17955563350284,63.17955563350284,63.17955563350284
2020,1,concrete,697.9057884197614,697.9057884197614,697.9057884197614,697.9057884197614
2020,1,wood,22.506706174795553,22.506706174795553,22.506706174795553,22.506706174795553
2020,1,copper,3.9,2.3,3.5,3.4
2020,1,aluminium,4.8,2.4,4.4,5.8
2020,1,glass,1.9340752992127406,1.9340752992127406,1.9340752992127406,1.9340752992127406
2020,1,brick,427.04291880612107,427.04291880612107,427.04291880612107,427.04291880612107
2020,1,plastics,1.199406238,1.199406238,1.199406238,1.199406238
2020,2,steel,73.44300451183538,73.44300451183538,73.44300451183538,73.44300451183538
2020,2,concrete,539.9679635782668,539.9679635782668,539.9679635782668,539.9679635782668
2020,2,wood,16.640230685863244,16.640230685863244,16.640230685863244,16.640230685863244
2020,2,copper,3.9,2.3,3.5,3.4
2020,2,aluminium,4.8,2.4,4.4,5.8
2020,2,glass,1.53928750891553,1.53928750891553,1.53928750891553,1.53928750891553
2020,2,brick,309.55381436023725,309.55381436023725,309.55381436023725,309.55381436023725
2020,2,plastics,1.1994062379999997,1.1994062379999997,1.1994062379999997,1.1994062379999997
2020,3,steel,38.00401280253516,38.00401280253516,38.00401280253516,38.00401280253516
2020,3,concrete,832.7080826207376,832.7080826207376,832.7080826207376,832.7080826207376
2020,3,wood,20.042391962191097,20.042391962191097,20.042391962191097,20.042391962191097
2020,3,copper,3.9,2.3,3.5,3.4
2020,3,aluminium,4.8,2.4,4.4,5.8
2020,3,glass,1.9954392782067438,1.9954392782067438,1.9954392782067438,1.9954392782067438
2020,3,brick,512.1248645559704,512.1248645559704,512.1248645559704,512.1248645559704
2020,3,plastics,1.199406238,1.199406238,1.199406238,1.199406238
2020,4,steel,62.34602559970875,62.34602559970875,62.34602559970875,62.34602559970875
2020,4,concrete,736.5961762791811,736.5961762791811,736.5961762791811,736.5961762791811
2020,4,wood,16.65462460398841,16.65462460398841,16.65462460398841,16.65462460398841
2020,4,copper,3.9,2.3,3.5,3.4
2020,4,aluminium,4.8,2.4,4.4,5.8
2020,4,glass,1.6056915065533879,1.6056915065533879,1.6056915065533879,1.6056915065533879
2020,4,brick,335.2211602297611,335.2211602297611,335.2211602297611,335.2211602297611
2020,4,plastics,1.199406238,1.199406238,1.199406238,1.199406238
2020,5,steel,49.59100529541703,49.59100529541703,49.59100529541703,49.59100529541703
2020,5,concrete,812.6355772548993,812.6355772548993,812.6355772548993,812.6355772548993
2020,5,wood,19.091082508094836,19.091082508094836,19.091082508094836,19.091082508094836
2020,5,copper,3.9,2.3,3.5,3.4
2020,5,aluminium,4.8,2.4,4.4,5.8
2020,5,glass,1.895765819913772,1.895765819913772,1.895765819913772,1.895765819913772
2020,5,brick,447.82758852231063,447.82758852231063,447.82758852231063,447.82758852231063
2020,5,plastics,1.1994062380000001,1.1994062380000001,1.1994062380000001,1.1994062380000001
2020,6,steel,59.4085526077759,59.4085526077759,59.4085526077759,59.4085526077759
2020,6,concrete,857.7107547418294,857.7107547418294,857.7107547418294,857.7107547418294
2020,6,wood,18.40265302190994,18.40265302190994,18.40265302190994,18.40265302190994
2020,6,copper,3.9,2.3,3.5,3.4
2020,6,aluminium,4.8,2.4,4.4,5.8
2020,6,glass,1.8414435614705595,1.8414435614705595,1.8414435614705595,1.8414435614705595
2020,6,brick,345.76852998884175,345.76852998884175,345.76852998884175,345.76852998884175
2020,6,plastics,1.199406238,1.199406238,1.199406238,1.199406238
2020,7,steel,46.64138338080735,46.64138338080735,46.64138338080735,46.64138338080735
2020,7,concrete,725.4326216608919,725.4326216608919,725.4326216608919,725.4326216608919
2020,7,wood,18.892602672446984,18.892602672446984,18.892602672446984,18.892602672446984
2020,7,copper,3.9,2.3,3.5,3.4
2020,7,aluminium,4.8,2.4,4.4,5.8
2020,7,glass,1.8450858434502175,1.8450858434502175,1.8450858434502175,1.8450858434502175
2020,7,brick,515.7586298773937,515.7586298773937,515.7586298773937,515.7586298773937
2020,7,plastics,1.1994062380000001,1.1994062380000001,1.1994062380000001,1.1994062380000001
2020,8,steel,40.20978774225698,40.20978774225698,40.20978774225698,40.20978774225698
2020,8,concrete,655.7317778033564,655.7317778033564,655.7317778033564,655.7317778033564
2020,8,wood,18.31319782771277,18.31319782771277,18.31319782771277,18.31319782771277
2020,8,copper,3.9,2.3,3.5,3.4
2020,8,aluminium,4.8,2.4,4.4,5.8
2020,8,glass,1.7465359613586278,1.7465359613586278,1.7465359613586278,1.7465359613586278
2020,8,brick,552.8667101568761,552.8667101568761,552.8667101568761,552.8667101568761
2020,8,plastics,1.1994062380000001,1.1994062380000001,1.1994062380000001,1.1994062380000001
2020,9,steel,34.361182199440854,34.361182199440854,34.361182199440854,34.361182199440854
2020,9,concrete,603.1994306465784,603.1994306465784,603.1994306465784,603.1994306465784
2020,9,wood,16.798310669269814,16.798310669269814,16.798310669269814,16.798310669269814
2020,9,copper,3.9,2.3,3.5,3.4
2020,9,aluminium,4.8,2.4,4.4,5.8
2020,9,glass,1.5415596756089405,1.5415596756089405,1.5415596756089405,1.5415596756089405
2020,9,brick,512.4810509408654,512.4810509408654,512.4810509408654,512.4810509408654
2020,9,plastics,1.199406238,1.199406238,1.199406238,1.199406238
2020,10,steel,40.278243242785585,40.278243242785585,40.278243242785585,40.278243242785585
2020,10,concrete,693.8777733696558,693.8777733696558,693.8777733696558,693.8777733696558
2020,10,wood,19.42968608981545,19.42968608981545,19.42968608981545,19.42968608981545
2020,10,copper,3.9,2.3,3.5,3.4
2020,10,aluminium,4.8,2.4,4.4,5.8
2020,10,glass,1.8903365528983298,1.8903365528983298,1.8903365528983298,1.8903365528983298
2020,10,brick,590.6850030519182,590.6850030519182,590.6850030519182,590.6850030519182
2020,10,plastics,1.199406238,1.199406238,1.199406238,1.199406238
2020,11,steel,62.21136507181519,62.21136507181519,62.21136507181519,62.21136507181519
2020,11,concrete,782.9461991427399,782.9461991427399,782.9461991427399,782.9461991427399
2020,11,wood,21.745671877363723,21.745671877363723,21.745671877363723,21.745671877363723
2020,11,copper,3.9,2.3,3.5,3.4
2020,11,aluminium,4.8,2.4,4.4,5.8
2020,11,glass,2.05487575377245,2.05487575377245,2.05487575377245,2.05487575377245
2020,11,brick,267.21806974173273,267.21806974173273,267.21806974173273,267.21806974173273
2020,11,plastics,1.220824499776269,1.220824499776269,1.220824499776269,1.220824499776269
2020,12,steel,72.69106330386724,72.69106330386724,72.69106330386724,72.69106330386724
2020,12,concrete,853.4673309972623,853.4673309972623,853.4673309972623,853.4673309972623
2020,12,wood,17.03291617848234,17.03291617848234,17.03291617848234,17.03291617848234
2020,12,copper,3.9,2.3,3.5,3.4
2020,12,aluminium,4.8,2.4,4.4,5.8
2020,12,glass,1.7001052826324314,1.7001052826324314,1.7001052826324314,1.7001052826324314
2020,12,brick,232.11718758067263,232.11718758067263,232.11718758067263,232.11718758067263
2020,12,plastics,1.1994062380000001,1.1994062380000001,1.1994062380000001,1.1994062380000001
2020,13,steel,44.47649644517967,44.47649644517967,44.47649644517967,44.47649644517967
2020,13,concrete,987.3931737769959,987.3931737769959,987.3931737769959,987.3931737769959
2020,13,wood,25.61808080274282,25.61808080274282,25.61808080274282,25.61808080274282
2020,13,copper,3.9,2.3,3.5,3.4
2020,13,aluminium,4.8,2.4,4.4,5.8
2020,13,glass,2.473293183789919,2.473293183789919,2.473293183789919,2.473293183789919
2020,13,brick,237.95022626886413,237.95022626886413,237.95022626886413,237.95022626886413
2020,13,plastics,1.199406238,1.199406238,1.199406238,1.199406238
2020,14,steel,57.403646641654056,57.403646641654056,57.403646641654056,57.403646641654056
2020,14,concrete,995.5558899721342,995.5558899721342,995.5558899721342,995.5558899721342
2020,14,wood,19.443192117201402,19.443192117201402,19.443192117201402,19.443192117201402
2020,14,copper,3.9,2.3,3.5,3.4
2020,14,aluminium,4.8,2.4,4.4,5.8
2020,14,glass,1.7835440961316626,1.7835440961316626,1.7835440961316626,1.7835440961316626
2020,14,brick,382.8889171893984,382.8889171893984,382.8889171893984,382.8889171893984
2020,14,plastics,1.1994062380000001,1.1994062380000001,1.1994062380000001,1.1994062380000001
2020,15,steel,45.27591313374281,45.27591313374281,45.27591313374281,45.27591313374281
2020,15,concrete,768.0638888017595,768.0638888017595,768.0638888017595,768.0638888017595
2020,15,wood,19.650064769318718,19.650064769318718,19.650064769318718,19.650064769318718
2020,15,copper,3.9,2.3,3.5,3.4
2020,15,aluminium,4.8,2.4,4.4,5.8
2020,15,glass,1.776563676045527,1.776563676045527,1.776563676045527,1.776563676045527
2020,15,brick,356.0979726838766,356.0979726838766,356.0979726838766,356.0979726838766
2020,15,plastics,1.199406238,1.199406238,1.199406238,1.199406238
2020,16,steel,50.590559894334916,50.590559894334916,50.590559894334916,50.590559894334916
2020,16,concrete,699.4670819390666,699.4670819390666,699.4670819390666,699.4670819390666
2020,16,wood,17.417461349923677,17.417461349923677,17.417461349923677,17.417461349923677
2020,16,copper,3.9,2.3,3.5,3.4
2020,16,aluminium,4.8,2.4,4.4,5.8
2020,16,glass,1.6683290302194753,1.6683290302194753,1.6683290302194753,1.6683290302194753
2020,16,brick,436.4012170129497,436.4012170129497,436.4012170129497,436.4012170129497
2020,16,plastics,1.199406238,1.199406238,1.199406238,1.199406238
2020,17,steel,63.92903976759793,63.92903976759793,63.92903976759793,63.92903976759793
2020,17,concrete,810.1255047760927,810.1255047760927,810.1255047760927,810.1255047760927
2020,17,wood,17.93883552615315,17.93883552615315,17.93883552615315,17.93883552615315
2020,17,copper,3.9,2.3,3.5,3.4
2020,17,aluminium,4.8,2.4,4.4,5.8
2020,17,glass,1.7823510417932127,1.7823510417932127,1.7823510417932127,1.7823510417932127
2020,17,brick,346.0121115747326,346.0121115747326,346.0121115747326,346.0121115747326
2020,17,plastics,1.1994062379999997,1.1994062379999997,1.1994062379999997,1.1994062379999997
2020,18,steel,40.85992568656408,40.85992568656408,40.85992568656408,40.85992568656408
2020,18,concrete,806.4495203912236,806.4495203912236,806.4495203912236,806.4495203912236
2020,18,wood,9.759403563627163,9.759403563627163,9.759403563627163,9.759403563627163
2020,18,copper,3.9,2.3,3.5,3.4
2020,18,aluminium,4.8,2.4,4.4,5.8
2020,18,glass,1.170150332134675,1.170150332134675,1.170150332134675,1.170150332134675
2020,18,brick,271.1543843275015,271.1543843275015,271.1543843275015,271.1543843275015
2020,18,plastics,1.199406238,1.199406238,1.199406238,1.199406238
2020,19,steel,65.23977620436274,65.23977620436274,65.23977620436274,65.23977620436274
2020,19,concrete,829.6601287857717,829.6601287857717,829.6601287857717,829.6601287857717
2020,19,wood,22.610672780039433,22.610672780039433,22.610672780039433,22.610672780039433
2020,19,copper,3.9,2.3,3.5,3.4
2020,19,aluminium,4.8,2.4,4.4,5.8
2020,19,glass,2.1173884915293675,2.1173884915293675,2.1173884915293675,2.1173884915293675
2020,19,brick,253.102144272185,253.102144272185,253.102144272185,253.102144272185
2020,19,plastics,1.1994062379999997,1.1994062379999997,1.1994062379999997,1.1994062379999997
2020,20,steel,44.69973656108953,44.69973656108953,44.69973656108953,44.69973656108953
