,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material,total_material
Region,class_ 1,class_ 2,class_ 3,class_ 4,class_ 5,class_ 6,class_ 7,class_ 8,class_ 9,class_ 10,class_ 11,class_ 12,class_ 13,class_ 14,class_ 15,class_ 16,class_ 17,class_ 18,class_ 19,class_ 20,class_ 21,class_ 22,class_ 23,class_ 24,class_ 25,class_ 26
time,,,,,,,,,,,,,,,,,,,,,,,,,,
1969,245206.76525451452,2174017.6731042536,80812.78062685214,41964.78567497219,133522.0132616231,149832.15406843353,38670.31975686542,59633.53556388916,35206.690869409176,46137.613819187354,1700108.6320649725,208022.77163343693,42185.19920106705,64759.79733487065,29793.23281079075,174120.17463751955,94836.4743029902,185740.50608352103,27301.249102815513,243836.71863974276,89353.319530864,50840.34425428039,454837.66618665773,121937.02022212054,53513.063705183034,23128.486770292628
1970,221015.92730308828,1815178.4805940292,72281.16429075006,37538.960112585744,119704.89243927889,127769.68548856166,38420.711092816644,62900.245405119414,37754.931371304825,61701.27334320935,1531959.1042239785,194567.96664055955,43570.993368364114,64098.32241287778,34208.9145056311,198793.94178337415,94508.47027630727,213910.46134078573,25356.837993358768,260684.7216531395,80025.08281178217,48798.54762761147,422896.7421015551,112156.1295581988,54502.14543245175,25984.797870079816
1971,240363.7674637667,2007683.4298735016,87480.706783422,44791.19043793336,137167.11159854842,150834.94742789955,48010.873836309525,80774.83304331615,48192.408513803246,68296.47013290439,1721054.1777114517,218067.66908449735,51107.01195232957,72962.95360090294,38861.884988287224,224915.58024586545,116457.38609326704,266477.7657940953,31063.322878729767,333969.67388128,98123.94501046663,61224.04705880456,466588.703814623,124578.7735861226,70284.04142828158,32324.515277067505
1972,330704.89579314995,2638524.4581620237,146882.60517724932,41653.47230914865,342212.01947456866,167296.2335231544,84992.5090988962,77354.35746934544,36666.65362058904,60277.47914413981,2416830.5593561,217760.12134497915,99741.43385272547,94255.8757439632,62489.53658928371,334353.0456519934,309469.7040784486,172843.25921233793,23745.284038808615,409572.8539294796,85481.02180507907,66276.72501953294,856281.7311051874,160628.93583509486,42567.456511697295,50430.62875958324
1973,517923.17495285993,3633706.9663280947,227987.3054089772,88829.90304617674,514973.1727209957,304417.1902525218,66965.43556463969,121144.74014989207,72570.42647765872,148121.23135846053,3173816.695790104,413752.370114131,117829.437376738,136979.84882138146,123345.05402628776,710070.1840102819,209494.30360542142,198996.8004952656,64491.01457838331,501514.76007221086,185470.87752054448,97161.9178812781,1255422.382031641,204044.97744538146,58296.91565279111,45621.27352636954
1974,558034.4045439227,2466882.58306062,190971.61540007233,56436.451336724545,408293.5748421196,309895.6330975708,78602.95389746093,121553.9181047033,75234.05157268133,91237.78613741054,1447379.6654441797,352635.1750760558,90618.97355568374,187555.30814473555,152845.28531227872,862621.2093132592,200093.36109944613,289720.4000175445,48320.257701759656,518511.6594055758,139309.98603930487,121153.3871883202,587473.0938832555,193068.34267259706,86377.13136824554,42095.08941931661
1975,230806.6744894048,1424184.9191937707,120323.10289992389,58301.39968551824,268743.94189449586,218438.18906606935,71632.96107080387,108441.6614896665,41949.03980302866,88094.64808979529,1917843.2544423302,342030.460027863,167989.77216192163,158968.93349179142,93981.81668200108,551770.9379489422,221177.2641595062,233068.08087561556,37778.86019295161,535195.2274089652,110668.14930196041,93957.43093035718,806745.7550105003,144015.47259928158,65234.96508660007,27436.865877113298
1976,295691.73004909826,2909234.751934043,152006.7065764208,60113.517886642774,336574.41112227953,205217.67749491942,97508.26225466312,121642.50172522556,45796.88748319476,47241.86190609027,2209430.462027146,262597.3005023085,119727.44397379825,101397.89292568807,64398.29170098235,372203.9022247936,437179.20543929195,207179.46431666546,27606.40415650698,322514.4426656014,103974.0540806642,81928.32383835992,802347.5862072768,127030.3562868765,67130.67595560807,23947.459398129213
1977,146531.42471246672,2819914.1800357597,127200.7355816719,76776.83295709264,158795.19718013625,316918.1937116164,115456.28396810722,164934.41404331505,52328.49749669826,26271.349961377004,2026851.016854788,278522.40884104,188547.06766599652,70723.60721497326,42258.59686095341,230076.9059755526,629701.4728198429,243708.0502095926,69864.63951622609,554452.8054088794,136569.34421754844,107499.14721349564,769373.1885594998,142683.3219059023,64952.73905260064,19598.759902741283
1978,265056.54249223374,3337873.1084451703,226602.11158640793,72098.3950669463,328394.31781717896,292785.2269890938,123504.82259044836,142481.8306421102,56624.724418885526,46726.282182915944,2054399.6055146449,267884.9438315477,97099.00878029862,84404.35616848836,52256.74814541674,286830.5301512363,505466.6489074223,283314.6358475097,97623.58776945507,404336.19523776654,137912.11556311627,127340.9982735041,871195.4080872668,126456.41572475857,104140.86271640587,36849.56033338908
1979,416163.7637296766,2211443.2160580126,344215.3770621009,38163.384526431866,329388.12463641586,328666.96426003816,88002.60075329659,70601.70914589378,44989.630612882866,7273.482624503034,1935990.1935603318,183018.6994243931,20426.14896072604,127326.20845664201,75127.91907758322,438916.8911330154,392674.8783410299,294299.2868820771,119920.28431894013,439925.54298462626,152156.11967211534,114620.63991757685,796177.9598148438,117355.79981516638,107561.85724987615,24828.406977926254
1980,281571.91262905876,1061064.0560069967,311656.8368916125,42223.42493733826,390367.7958298433,315999.9452644705,105205.08561215427,127215.26553803872,61154.06062942713,16768.547538130744,1193639.4313315577,43730.55132410643,31229.87754956807,174687.0430130843,105258.99705524817,622859.2064270122,279840.32098832406,266445.69304936327,22396.40773145235,331270.63825509674,150150.1411179644,149371.2044365157,530409.7860336571,103876.87089544524,96873.99728262053,41906.78011266325
1981,203713.70540786826,2088264.6451147872,401144.64583588863,60619.17023648291,96615.1995129181,275683.94124571397,136697.66300064465,121470.66286866982,53267.63099819216,109960.9972299279,1504938.381431357,72273.40629688263,29708.92331401287,104887.06358144686,61651.17844662417,353397.90760919644,382497.235640587,309601.8106550016,202584.89450149616,345480.7696252886,133002.78448341382,156650.39162893037,572987.831815677,151233.75789012676,93394.33127525801,39496.378804784166
1982,20846.843984545165,1539661.922445993,98533.60686714915,39553.32301427896,176850.5830936817,172824.8462079277,130559.55952233159,118439.18593869364,60946.55952709538,64097.94173567064,1757507.3832393216,101298.55489988269,49889.52930504784,73044.72291079818,40451.67987746287,237124.64829479434,599561.3010153174,211121.54882315392,80638.14849211588,432640.2731788653,143514.9981846927,144284.0623918373,404956.4447987083,171614.30301410897,119508.09450053622,29827.091102814124
1983,47327.030893186915,3443595.62523611,2455.405048878791,58748.139388747026,93774.29592603947,157324.36233732075,140848.67840118898,104719.94511172232,50661.78165493306,42310.54351016128,1984786.0315722728,162791.95943815092,105483.65616446936,65308.33059024357,35683.997694459766,226465.86154735583,846813.0015312694,214588.0006849409,164985.18653175604,525806.5511592469,198616.9698879822,83416.38286156862,827759.1482610453,110231.20161800913,96742.0302744927,32355.16115325615
1984,252692.2734545108,3150754.2784103714,80920.98637082985,76994.37560172779,197296.95906272344,147265.02690900688,167281.57628758217,91949.85135053324,51758.099221774966,95747.85681396157,2266966.986200482,189565.08676878916,76129.28820358122,78856.43185973153,41275.14028784819,239001.0312186955,437525.00996232807,255435.93025623707,105174.25341813591,534200.591335013,190558.78528206938,119762.71411631492,698175.8394496443,214583.95927645583,121523.6791339743,33395.57072211663
1985,322778.8976308553,3334805.8864847342,120761.27787069208,47817.70180798398,340677.99022212136,184919.87922860138,241377.99648145647,135979.57515270455,67778.22886543944,29125.793543408032,2364386.011017884,201857.660044474,118664.51517153195,107058.3551411551,64728.630651962325,345319.1630876434,378385.1541310096,340502.1666030924,118821.41157063901,575808.0069080238,193032.42243947435,128325.33372247232,843897.4580142947,222930.59034483728,124677.83017377427,42339.87664670387
1986,407654.2334969413,4645078.971779932,955960.0184803066,82065.84814258489,700169.633939051,465107.35619995405,110821.42510493289,121305.89993661502,84803.98395502564,82552.7648939378,3413506.347594218,464143.5221183852,134934.45543691545,215116.2288366887,159421.54991957534,895728.2664827425,489716.6097996493,416180.885425182,143750.78560997907,744335.9827135365,257643.24448226808,206905.6564989506,1188057.5390337287,232345.40386499252,131936.85769814797,63433.96449612658
1987,416965.3162585507,4369285.184265787,252514.33425721197,128359.18743051776,441303.90425632504,477126.0373373243,227218.48645344007,147041.05343582315,92161.10036924666,170748.0746530529,3894198.508351375,434802.30314152973,228264.20448685938,171841.3310003627,152838.2528044516,852323.6129915452,560858.239394466,479062.21332169214,219274.4527762931,869546.6277982302,337923.5832413653,173855.20523041303,1207323.0741196184,252240.1768896845,170545.40770577907,58616.36995275192
1988,427943.08743454627,4332068.694735494,254571.55085658227,73104.06576769121,274349.5795298791,366080.60587047547,209300.54332682604,217497.20565029766,128999.1943392728,147942.9798017747,4100389.1329555293,416689.1859755802,87128.68409316486,140912.99984725448,109369.96322607175,642984.052063573,396220.9093064951,485000.8059464666,244764.03820552694,920878.4085757775,347117.6314355729,185940.0862773093,1171578.0816551861,269608.0792309958,145992.54571856884,68614.42873843189
1989,334825.2761035032,3324805.2898866236,475047.03575914295,92891.56796950965,568151.5713111007,112420.60269265375,190947.33368903122,159163.48850305635,55757.27605497989,96754.56781322668,3351383.866977299,381978.1105403665,71944.99158918476,164992.73463271657,98642.67398907534,605209.3107877274,486171.73666714825,565566.626011734,242995.87268977152,687481.5028200812,356966.0805728877,153029.59131946915,1256354.186558621,325513.814002744,128654.7223755302,46672.073217811165
1990,248410.36006454765,2399099.2535421974,329985.8648216356,70835.03889058752,183979.19336290067,378735.07028039696,239142.38071452262,51373.92946510258,106624.21991255702,80017.39786230777,3775495.3054943494,257833.90137913867,238523.75996776368,652803.371183414,437195.6511593913,1913678.3066142935,344288.8418567608,382730.4246459621,298788.3791636125,835844.0963478436,419303.7512736918,337322.4092895869,2096555.8271572276,340444.0073926664,147819.89973966233,64254.81146447592
1991,180348.71441081137,2290540.5197124346,445456.8744941303,27911.71515856813,299877.84383935743,521744.89426276,176422.33857181692,262569.96251777007,55119.19295158644,71629.55360779143,3188683.6183459447,19519.956205168328,74507.79836026346,381880.38464402576,64672.13510216572,278418.13734317065,780401.7991901055,460759.7685387745,276843.98348089197,973902.8178539041,256105.2603147787,274227.6346634851,1537253.7407252055,191631.14230582106,131126.5856556919,50072.57069103171
1992,265445.4884869793,3477865.2635254483,258642.54034365306,105127.38759507237,226913.551242836,530982.5607618316,167310.46727749464,261057.7598091873,60283.809915760605,77280.83541582846,3420094.6432221592,24754.84643163399,131656.04616311425,16833.167716057942,14451.732286137265,180639.27406198296,750363.9244829157,477377.9178406774,318901.066133963,1111536.8880421917,366002.1242324862,255680.7596846651,1246327.7390491136,229669.1401894549,217084.51250050555,75110.46286420463
1993,384611.58664729504,4019593.3817240447,269078.54702492687,69621.4321975274,372072.0770911314,547407.025652745,222312.05731905467,96618.10711948774,58722.85871618498,51791.536769731014,2762538.948082407,147177.08512327322,333722.7879856873,20445.251437691706,22860.305205488185,8814.784266191442,757262.5377129163,497538.9999854616,347449.8283906819,1230586.9789246935,556462.4584768359,294330.34353356436,1353422.5576889052,257327.83533949257,220705.0673817411,36979.89207765973
