time,Region,Type,Area,Shape,Scale,mean_lifetime,region_code,agg_region,reference_lifetime,diff_lifetimes
2020,1,Detached,Urban,1.96820464,57.52862846,51.00000000232804,CAN,Canada,51,2.328043535726465e-09
2020,1,Semi-detached,Urban,1.96820464,57.52862846,51.00000000232804,CAN,Canada,51,2.328043535726465e-09
2020,1,Appartments,Urban,1.96820464,57.52862846,51.00000000232804,CAN,Canada,51,2.328043535726465e-09
2020,1,High-rise,Urban,1.96820464,57.52862846,51.00000000232804,CAN,Canada,51,2.328043535726465e-09
2020,1,Detached,Rural,1.96820464,57.52862846,51.00000000232804,CAN,Canada,51,2.328043535726465e-09
2020,1,Semi-detached,Rural,1.96820464,57.52862846,51.00000000232804,CAN,Canada,51,2.328043535726465e-09
2020,1,Appartments,Rural,1.96820464,57.52862846,51.00000000232804,CAN,Canada,51,2.328043535726465e-09
2020,1,High-rise,Rural,1.96820464,57.52862846,51.00000000232804,CAN,Canada,51,2.328043535726465e-09
2020,2,Detached,Urban,4.16343417,85.18683893,77.39058494908771,USA,USA,77,0.39058494908771024
2020,2,Semi-detached,Urban,4.16343417,85.18683893,77.39058494908771,USA,USA,77,0.39058494908771024
2020,2,Appartments,Urban,4.16343417,85.18683893,77.39058494908771,USA,USA,77,0.39058494908771024
2020,2,High-rise,Urban,4.16343417,85.18683893,77.39058494908771,USA,USA,77,0.39058494908771024
2020,2,Detached,Rural,4.16343417,85.18683893,77.39058494908771,USA,USA,77,0.39058494908771024
2020,2,Semi-detached,Rural,4.16343417,85.18683893,77.39058494908771,USA,USA,77,0.39058494908771024
2020,2,Appartments,Rural,4.16343417,85.18683893,77.39058494908771,USA,USA,77,0.39058494908771024
2020,2,High-rise,Rural,4.16343417,85.18683893,77.39058494908771,USA,USA,77,0.39058494908771024
2020,3,Detached,Urban,1.96820464,63.16869007,55.999999999253575,MEX,Other OECD,50,5.999999999253575
2020,3,Semi-detached,Urban,1.96820464,63.16869007,55.999999999253575,MEX,Other OECD,50,5.999999999253575
2020,3,Appartments,Urban,1.96820464,63.16869007,55.999999999253575,MEX,Other OECD,50,5.999999999253575
2020,3,High-rise,Urban,1.96820464,63.16869007,55.999999999253575,MEX,Other OECD,50,5.999999999253575
2020,3,Detached,Rural,1.96820464,63.16869007,55.999999999253575,MEX,Other OECD,50,5.999999999253575
2020,3,Semi-detached,Rural,1.96820464,63.16869007,55.999999999253575,MEX,Other OECD,50,5.999999999253575
2020,3,Appartments,Rural,1.96820464,63.16869007,55.999999999253575,MEX,Other OECD,50,5.999999999253575
2020,3,High-rise,Rural,1.96820464,63.16869007,55.999999999253575,MEX,Other OECD,50,5.999999999253575
2020,4,Detached,Urban,1.96820464,67.35799478,59.71388204266625,RCAM,Latin America,50,9.713882042666249
2020,4,Semi-detached,Urban,1.96820464,67.35799478,59.71388204266625,RCAM,Latin America,50,9.713882042666249
2020,4,Appartments,Urban,1.96820464,67.35799478,59.71388204266625,RCAM,Latin America,50,9.713882042666249
2020,4,High-rise,Urban,1.96820464,67.35799478,59.71388204266625,RCAM,Latin America,50,9.713882042666249
2020,4,Detached,Rural,1.96820464,67.35799478,59.71388204266625,RCAM,Latin America,50,9.713882042666249
2020,4,Semi-detached,Rural,1.96820464,67.35799478,59.71388204266625,RCAM,Latin America,50,9.713882042666249
