Time,source,scenario,type_data,unit,Region,Technology,value
2012,IEA,historic,inflow,GWh,World,2_and_3_wheelers,2
2013,IEA,historic,inflow,GWh,World,2_and_3_wheelers,2
2014,IEA,historic,inflow,GWh,World,2_and_3_wheelers,2
2015,IEA,historic,inflow,GWh,World,2_and_3_wheelers,2
2016,IEA,historic,inflow,GWh,World,2_and_3_wheelers,3
2017,IEA,historic,inflow,GWh,World,2_and_3_wheelers,4
2018,IEA,historic,inflow,GWh,World,2_and_3_wheelers,6
2019,IEA,historic,inflow,GWh,World,2_and_3_wheelers,8
2020,IEA,historic,inflow,GWh,World,2_and_3_wheelers,22
2021,IEA,historic,inflow,GWh,World,2_and_3_wheelers,31
2022,IEA,historic,inflow,GWh,World,2_and_3_wheelers,28
2023,IEA,historic,inflow,GWh,World,2_and_3_wheelers,30
2024,IEA,historic,inflow,GWh,World,2_and_3_wheelers,32
2030,IEA,STEPS,inflow,GWh,World,2_and_3_wheelers,110
2014,IEA,historic,inflow,GWh,World,Buses,1
2015,IEA,historic,inflow,GWh,World,Buses,5
2016,IEA,historic,inflow,GWh,World,Buses,8
2017,IEA,historic,inflow,GWh,World,Buses,9
2018,IEA,historic,inflow,GWh,World,Buses,8
2019,IEA,historic,inflow,GWh,World,Buses,9
2020,IEA,historic,inflow,GWh,World,Buses,14
2021,IEA,historic,inflow,GWh,World,Buses,12
2022,IEA,historic,inflow,GWh,World,Buses,13
2023,IEA,historic,inflow,GWh,World,Buses,13
2024,IEA,historic,inflow,GWh,World,Buses,15
2030,IEA,STEPS,inflow,GWh,World,Buses,89
2011,IEA,historic,inflow,GWh,World,Cars,1
2012,IEA,historic,inflow,GWh,World,Cars,1
2013,IEA,historic,inflow,GWh,World,Cars,3
2014,IEA,historic,inflow,GWh,World,Cars,4
2015,IEA,historic,inflow,GWh,World,Cars,7
2016,IEA,historic,inflow,GWh,World,Cars,11
2017,IEA,historic,inflow,GWh,World,Cars,17
2018,IEA,historic,inflow,GWh,World,Cars,37
2019,IEA,historic,inflow,GWh,World,Cars,48
2020,IEA,historic,inflow,GWh,World,Cars,130
2021,IEA,historic,inflow,GWh,World,Cars,290
2022,IEA,historic,inflow,GWh,World,Cars,490
2023,IEA,historic,inflow,GWh,World,Cars,690
2024,IEA,historic,inflow,GWh,World,Cars,840
2030,IEA,STEPS,inflow,GWh,World,Cars,2600
2015,IEA,historic,inflow,GWh,World,Trucks,1
2016,IEA,historic,inflow,GWh,World,Trucks,3
2017,IEA,historic,inflow,GWh,World,Trucks,4
2018,IEA,historic,inflow,GWh,World,Trucks,2
2019,IEA,historic,inflow,GWh,World,Trucks,1
2020,IEA,historic,inflow,GWh,World,Trucks,2
2021,IEA,historic,inflow,GWh,World,Trucks,2
2022,IEA,historic,inflow,GWh,World,Trucks,9
2023,IEA,historic,inflow,GWh,World,Trucks,14
2024,IEA,historic,inflow,GWh,World,Trucks,24
2030,IEA,STEPS,inflow,GWh,World,Trucks,260
2017,IEA,historic,inflow,GWh,World,Vans,1
2018,IEA,historic,inflow,GWh,World,Vans,2
2019,IEA,historic,inflow,GWh,World,Vans,1
2020,IEA,historic,inflow,GWh,World,Vans,4
2021,IEA,historic,inflow,GWh,World,Vans,9
2022,IEA,historic,inflow,GWh,World,Vans,17
2023,IEA,historic,inflow,GWh,World,Vans,26
2024,IEA,historic,inflow,GWh,World,Vans,42
2030,IEA,historic,inflow,GWh,World,Vans,170
2010,IEA,historic,inflow,GWh,World,all_modes,0
2011,IEA,historic,inflow,GWh,World,all_modes,1
2012,IEA,historic,inflow,GWh,World,all_modes,3
2013,IEA,historic,inflow,GWh,World,all_modes,5
2014,IEA,historic,inflow,GWh,World,all_modes,7
2015,IEA,historic,inflow,GWh,World,all_modes,15
2016,IEA,historic,inflow,GWh,World,all_modes,25
2017,IEA,historic,inflow,GWh,World,all_modes,35
2018,IEA,historic,inflow,GWh,World,all_modes,54
2019,IEA,historic,inflow,GWh,World,all_modes,67
2020,IEA,historic,inflow,GWh,World,all_modes,172
2021,IEA,historic,inflow,GWh,World,all_modes,344
2022,IEA,historic,inflow,GWh,World,all_modes,557
2023,IEA,historic,inflow,GWh,World,all_modes,773
2024,IEA,historic,inflow,GWh,World,all_modes,953
2030,IEA,STEPS,inflow,GWh,World,all_modes,3229
2030,IEA,NZE,inflow,GWh,World,all_modes,5700
2050,IEA,STEPS,inflow,GWh,World,all_modes,7700
2050,IEA,NZE,inflow,GWh,World,all_modes,11000
2010,F_ISI,basis,inflow,GWh,World,total,24
2011,F_ISI,basis,inflow,GWh,World,total,29
2012,F_ISI,basis,inflow,GWh,World,total,34
2013,F_ISI,basis,inflow,GWh,World,total,41
2014,F_ISI,basis,inflow,GWh,World,total,48
2015,F_ISI,basis,inflow,GWh,World,total,79
2016,F_ISI,basis,inflow,GWh,World,total,101
2017,F_ISI,basis,inflow,GWh,World,total,132
