Time,source,scenario,unit,Region,Type,value
2012,IEA,historic,GWh,World,2_and_3_wheelers,2
2013,IEA,historic,GWh,World,2_and_3_wheelers,2
2014,IEA,historic,GWh,World,2_and_3_wheelers,2
2015,IEA,historic,GWh,World,2_and_3_wheelers,2
2016,IEA,historic,GWh,World,2_and_3_wheelers,3
2017,IEA,historic,GWh,World,2_and_3_wheelers,4
2018,IEA,historic,GWh,World,2_and_3_wheelers,6
2019,IEA,historic,GWh,World,2_and_3_wheelers,8
2020,IEA,historic,GWh,World,2_and_3_wheelers,22
2021,IEA,historic,GWh,World,2_and_3_wheelers,31
2022,IEA,historic,GWh,World,2_and_3_wheelers,28
2023,IEA,historic,GWh,World,2_and_3_wheelers,30
2024,IEA,historic,GWh,World,2_and_3_wheelers,32
2030,IEA,STEPS,GWh,World,2_and_3_wheelers,110
2014,IEA,historic,GWh,World,Buses,1
2015,IEA,historic,GWh,World,Buses,5
2016,IEA,historic,GWh,World,Buses,8
2017,IEA,historic,GWh,World,Buses,9
2018,IEA,historic,GWh,World,Buses,8
2019,IEA,historic,GWh,World,Buses,9
2020,IEA,historic,GWh,World,Buses,14
2021,IEA,historic,GWh,World,Buses,12
2022,IEA,historic,GWh,World,Buses,13
2023,IEA,historic,GWh,World,Buses,13
2024,IEA,historic,GWh,World,Buses,15
2030,IEA,STEPS,GWh,World,Buses,89
2011,IEA,historic,GWh,World,Cars,1
2012,IEA,historic,GWh,World,Cars,1
2013,IEA,historic,GWh,World,Cars,3
2014,IEA,historic,GWh,World,Cars,4
2015,IEA,historic,GWh,World,Cars,7
2016,IEA,historic,GWh,World,Cars,11
2017,IEA,historic,GWh,World,Cars,17
2018,IEA,historic,GWh,World,Cars,37
2019,IEA,historic,GWh,World,Cars,48
2020,IEA,historic,GWh,World,Cars,130
2021,IEA,historic,GWh,World,Cars,290
2022,IEA,historic,GWh,World,Cars,490
2023,IEA,historic,GWh,World,Cars,690
2024,IEA,historic,GWh,World,Cars,840
2030,IEA,STEPS,GWh,World,Cars,2600
2015,IEA,historic,GWh,World,Trucks,1
2016,IEA,historic,GWh,World,Trucks,3
2017,IEA,historic,GWh,World,Trucks,4
