region,year,mode,variable,value
India,2019,cycling,pkm_per_capita,65.04664842760384
India,2019,heavy truck,tkm_per_capita,446.42559677018204
India,2019,highspeed train,pkm_per_capita,0.0
India,2019,highspeedtrain,load,310.333
India,2019,international shipping,tkm_per_capita,1695.9197808998838
India,2019,medium truck,tkm_per_capita,86.9017115027561
India,2019,national shipping,tkm_per_capita,247.04499707905072
India,2019,plane,pkm_per_capita,126.81135005697297
India,2019,plane,tkm_per_capita,5.054991208231871
India,2019,train,load,40.8882
India,2019,train,pkm_per_capita,281.0413039580309
India,2019,train,tkm_per_capita,51.06501136567393
India,2019,walking,pkm_per_capita,151.7754888975007
India,2060,airplane,load,124.0
India,2060,bus,load,22.78359
India,2060,bus,pkm_per_capita,3399.0069119858263
India,2060,car,load,1.641602
India,2060,car,pkm_per_capita,1657.925717163773
India,2060,cycling,pkm_per_capita,125.90844425413188
India,2060,heavy truck,tkm_per_capita,1282.8859181861849
India,2060,highspeed train,pkm_per_capita,86.31381409475807
India,2060,highspeedtrain,load,310.333
India,2060,international shipping,tkm_per_capita,3893.2988644025063
India,2060,medium truck,tkm_per_capita,246.05510080260504
India,2060,national shipping,tkm_per_capita,401.3674898025664
India,2060,plane,pkm_per_capita,2050.812021837139
India,2060,plane,tkm_per_capita,26.720588785614332
India,2060,train,load,30.58065
India,2060,train,pkm_per_capita,1361.2342314763748
India,2060,train,tkm_per_capita,152.52501891026566
India,2060,walking,pkm_per_capita,457.98362889378166
Japan,2019,airplane,load,124.0
Japan,2019,bus,load,21.36343
Japan,2019,bus,pkm_per_capita,4524.409798102736
Japan,2019,car,load,1.59474
Japan,2019,car,pkm_per_capita,8094.866354457408
Japan,2019,cycling,pkm_per_capita,199.12219963638302
Japan,2019,heavy truck,tkm_per_capita,4242.483407092836
Japan,2019,highspeed train,pkm_per_capita,249.84374962736015
Japan,2019,highspeedtrain,load,310.333
Japan,2019,international shipping,tkm_per_capita,33140.310529232054
Japan,2019,medium truck,tkm_per_capita,915.3465610211166
Japan,2019,national shipping,tkm_per_capita,5516.889429111778
Japan,2019,plane,pkm_per_capita,1387.9842628726697
Japan,2019,plane,tkm_per_capita,133.85247198344564
Japan,2019,train,load,28.67447
Japan,2019,train,pkm_per_capita,996.1945024989726
Japan,2019,train,tkm_per_capita,446.18969296066433
Japan,2019,walking,pkm_per_capita,464.6184128205597
Japan,2060,airplane,load,124.0
Japan,2060,bus,load,19.32318
Japan,2060,bus,pkm_per_capita,7001.502258010276
Japan,2060,car,load,1.52431
Japan,2060,car,pkm_per_capita,11214.119355891426
Japan,2060,cycling,pkm_per_capita,133.66689149781465
Japan,2060,heavy truck,tkm_per_capita,6414.346217253625
Japan,2060,highspeed train,pkm_per_capita,714.7131935480596
Japan,2060,highspeedtrain,load,310.333
Japan,2060,international shipping,tkm_per_capita,42901.974122005224
Japan,2060,medium truck,tkm_per_capita,1378.957673953427
Japan,2060,national shipping,tkm_per_capita,6717.330561789418
Japan,2060,plane,pkm_per_capita,3373.390866789907
Japan,2060,plane,tkm_per_capita,237.99366995290004
Japan,2060,train,load,25.93601
Japan,2060,train,pkm_per_capita,1396.7632556153262
Japan,2060,train,tkm_per_capita,680.9626913966858
Japan,2060,walking,pkm_per_capita,96.70575633067526
Latin America,2019,airplane,load,124.0
Latin America,2019,bus,load,26.47675
Latin America,2019,bus,pkm_per_capita,2358.8659502804912
Latin America,2019,car,load,1.75626075
Latin America,2019,car,pkm_per_capita,5153.027119968428
Latin America,2019,cycling,pkm_per_capita,121.8322570792873
Latin America,2019,heavy truck,tkm_per_capita,2049.9415826769405
Latin America,2019,highspeed train,pkm_per_capita,0.0
Latin America,2019,highspeedtrain,load,310.333
Latin America,2019,international shipping,tkm_per_capita,8314.798987111311
Latin America,2019,medium truck,tkm_per_capita,731.6709538625043
Latin America,2019,national shipping,tkm_per_capita,1078.2168416876314
Latin America,2019,plane,pkm_per_capita,547.9183236598141
Latin America,2019,plane,tkm_per_capita,47.26915875960984
