! Data imported from: X:\user\arpf\Environments\IMAGE_Materials\2_TIMER\outputlib\TIMER_3_4\IMAGE_Materials\SSP2\T2RT\endem\transport\trvl_loadfactor.dat;;;;;;;;
real main.em.dem.trp.trvl.ModeT.loadfactor2[26,7](t) = [;;;;;;;;
unit=person/vehicle;;;;;;;;
;;;;bus;train;car;highspeedtrain;airplane
t;DIM_ 1;class_ 1;class_ 2;class_ 3;class_ 4;class_ 5;class_ 6;class_ 7
1974;21;0;0;36.89297;49.51857;2.039213;310.333;124
1974;22;0;0;37.52043;50.36076;2.054748;310.333;124
1974;23;0;0;25.21033;33.83787;1.718099;310.333;124
1974;24;0;0;24.63985;33.07216;1.700494;310.333;124
1974;25;0;0;39.99631;53.68394;2.114691;310.333;124
1974;26;0;0;37.43211;50.24223;2.05257;310.333;124
1975;1;0;0;23.69489;31.80382;1.670831;310.333;124
1975;2;0;0;23.21835;31.16419;1.655625;310.333;124
1975;3;0;0;27.96998;37.54193;1.800319;310.333;124
1975;4;0;0;31.19292;41.86784;1.890877;310.333;124
1975;5;0;0;29.05634;39.00008;1.831456;310.333;124
1975;6;0;0;28.17596;37.81841;1.806273;310.333;124
1975;7;0;0;31.33358;42.05663;1.894709;310.333;124
1975;8;0;0;35.97322;48.28407;2.016177;310.333;124
1975;9;0;0;41.64977;55.90326;2.153593;310.333;124
1975;10;0;0;27.42194;36.80635;1.784359;310.333;124
1975;11;0;0;24.65417;33.09138;1.700939;310.333;124
1975;12;0;0;28.90034;38.79068;1.827024;310.333;124
1975;13;0;0;30.43209;40.84663;1.869981;310.333;124
1975;14;0;0;31.42301;42.17667;1.89714;310.333;124
1975;15;0;0;32.421;43.5162;1.924021;310.333;124
1975;16;0;0;29.84058;40.0527;1.853537;310.333;124
1975;17;0;0;23.43052;31.44896;1.662416;310.333;124
1975;18;0;0;42.37798;56.88068;2.170456;310.333;124
1975;19;0;0;36.03764;48.37053;2.017801;310.333;124
1975;20;0;0;49.23825;66.08868;2.322064;310.333;124
1975;21;0;0;36.77057;49.35427;2.036166;310.333;124
1975;22;0;0;37.35197;50.13465;2.050591;310.333;124
1975;23;0;0;25.11616;33.71148;1.715209;310.333;124
1975;24;0;0;24.62188;33.04804;1.699936;310.333;124
1975;25;0;0;40.10306;53.82723;2.117229;310.333;124
1975;26;0;0;37.69803;50.59914;2.059119;310.333;124
1976;1;0;0;23.48734;31.52523;1.664229;310.333;124
1976;2;0;0;23.01916;30.89683;1.649219;310.333;124
1976;3;0;0;27.90317;37.45227;1.798383;310.333;124
1976;4;0;0;31.00067;41.6098;1.885623;310.333;124
1976;5;0;0;28.62856;38.4259;1.819273;310.333;124
1976;6;0;0;28.07585;37.68403;1.803382;310.333;124
1976;7;0;0;30.73189;41.24903;1.878249;310.333;124
1976;8;0;0;35.75899;47.99652;2.010765;310.333;124
1976;9;0;0;41.32273;55.46429;2.145967;310.333;124
1976;10;0;0;27.44735;36.84045;1.785102;310.333;124
1976;11;0;0;24.45549;32.82471;1.694757;310.333;124
1976;12;0;0;28.59587;38.38202;1.818337;310.333;124
1976;13;0;0;29.95581;40.20737;1.856755;310.333;124
1976;14;0;0;31.08473;41.72263;1.887923;310.333;124
1976;15;0;0;32.18146;43.19468;1.917611;310.333;124
1976;16;0;0;29.53023;39.63614;1.844837;310.333;124
1976;17;0;0;22.9243;30.76952;1.646157;310.333;124
1976;18;0;0;42.42544;56.94438;2.17155;310.333;124
1976;19;0;0;35.32045;47.4079;1.999631;310.333;124
1976;20;0;0;49.38885;66.29082;2.325257;310.333;124
1976;21;0;0;36.25492;48.66217;2.023267;310.333;124
1976;22;0;0;37.0537;49.7343;2.043206;310.333;124
1976;23;0;0;24.97468;33.52157;1.710854;310.333;124
1976;24;0;0;24.52857;32.92279;1.697034;310.333;124
1976;25;0;0;39.91719;53.57774;2.112808;310.333;124
1976;26;0;0;37.90191;50.87279;2.064122;310.333;124
1977;1;0;0;23.38321;31.38546;1.660905;310.333;124
1977;2;0;0;22.85816;30.68074;1.644018;310.333;124
1977;3;0;0;27.87892;37.41972;1.797679;310.333;124
1977;4;0;0;30.73271;41.25013;1.878271;310.333;124
1977;5;0;0;28.48828;38.23761;1.815256;310.333;124
1977;6;0;0;27.89822;37.44563;1.798239;310.333;124
1977;7;0;0;30.41883;40.82884;1.869615;310.333;124
1977;8;0;0;35.58038;47.75678;2.006239;310.333;124
1977;9;0;0;41.11654;55.18754;2.141142;310.333;124
1977;10;0;0;27.60011;37.04549;1.789567;310.333;124
1977;11;0;0;24.33485;32.66278;1.690989;310.333;124
1977;12;0;0;28.26776;37.94162;1.808919;310.333;124
1977;13;0;0;29.88476;40.112;1.854771;310.333;124
1977;14;0;0;30.80462;41.34665;1.880248;310.333;124
1977;15;0;0;32.00601;42.95919;1.9129;310.333;124
1977;16;0;0;29.27956;39.29968;1.837774;310.333;124
1977;17;0;0;22.96506;30.82421;1.647473;310.333;124
1977;18;0;0;42.0205;56.40086;2.162198;310.333;124
1977;19;0;0;34.64934;46.50713;1.982443;310.333;124
1977;20;0;0;48.77235;65.46334;2.31215;310.333;124
1977;21;0;0;35.87829;48.15665;2.013781;310.333;124
1977;22;0;0;36.62923;49.16457;2.03264;310.333;124
1977;23;0;0;24.81032;33.30097;1.705778;310.333;124
1977;24;0;0;24.57407;32.98387;1.698449;310.333;124
1977;25;0;0;39.8992;53.5536;2.112379;310.333;124
1977;26;0;0;38.13279;51.18269;2.069771;310.333;124
1978;1;0;0;23.26288;31.22396;1.657053;310.333;124
1978;2;0;0;22.66426;30.42048;1.637728;310.333;124
1978;3;0;0;27.60256;37.04878;1.789638;310.333;124
1978;4;0;0;30.53897;40.99009;1.872934;310.333;124
1978;5;0;0;28.34691;38.04786;1.811196;310.333;124
1978;6;0;0;27.93862;37.49984;1.79941;310.333;124
1978;7;0;0;30.20303;40.53919;1.863634;310.333;124
1978;8;0;0;35.84912;48.11749;2.013044;310.333;124
1978;9;0;0;41.38882;55.553;2.147511;310.333;124
1978;10;0;0;27.58506;37.02528;1.789127;310.333;124
1978;11;0;0;24.19953;32.48115;1.686751;310.333;124
1978;12;0;0;27.98378;37.56046;1.800719;310.333;124
1978;13;0;0;29.92505;40.16607;1.855896;310.333;124
1978;14;0;0;30.52666;40.97356;1.872594;310.333;124
1978;15;0;0;31.834;42.7283;1.908266;310.333;124
1978;16;0;0;29.03384;38.96988;1.830817;310.333;124
1978;17;0;0;23.33501;31.32078;1.659364;310.333;124
1978;18;0;0;41.74054;56.02509;2.155704;310.333;124
1978;19;0;0;34.05841;45.71396;1.967157;310.333;124
1978;20;0;0;47.86888;64.25069;2.292778;310.333;124
1978;21;0;0;35.59243;47.77296;2.006545;310.333;124
1978;22;0;0;36.25458;48.66171;2.023258;310.333;124
1978;23;0;0;24.60138;33.02053;1.699299;310.333;124
1978;24;0;0;24.45659;32.82619;1.694791;310.333;124
1978;25;0;0;39.54592;53.07942;2.103942;310.333;124
1978;26;0;0;38.45083;51.60957;2.077522;310.333;124
1979;1;0;0;23.14318;31.06329;1.653211;310.333;124
1979;2;0;0;22.57654;30.30273;1.634872;310.333;124
1979;3;0;0;27.27783;36.61292;1.780133;310.333;124
1979;4;0;0;30.52583;40.97245;1.872571;310.333;124
1979;5;0;0;28.1107;37.73081;1.804389;310.333;124
1979;6;0;0;27.8028;37.31755;1.795469;310.333;124
1979;7;0;0;29.8904;40.11956;1.854929;310.333;124
1979;8;0;0;36.09017;48.44104;2.019124;310.333;124
1979;9;0;0;41.58267;55.8132;2.152031;310.333;124
1979;10;0;0;27.52667;36.94692;1.787422;310.333;124
1979;11;0;0;24.03478;32.26002;1.681574;310.333;124
1979;12;0;0;27.79918;37.31268;1.795363;310.333;124
1979;13;0;0;30.08836;40.38527;1.860447;310.333;124
1979;14;0;0;30.35477;40.74286;1.867842;310.333;124
1979;15;0;0;31.76361;42.63383;1.906366;310.333;124
1979;16;0;0;28.88225;38.76641;1.826509;310.333;124
1979;17;0;0;23.25695;31.216;1.656863;310.333;124
1979;18;0;0;42.38017;56.88362;2.170507;310.333;124
1979;19;0;0;33.60146;45.10064;1.955236;310.333;124
1979;20;0;0;47.27203;63.44957;2.279869;310.333;124
1979;21;0;0;35.27995;47.35354;1.998598;310.333;124
1979;22;0;0;35.99424;48.31227;2.016707;310.333;124
1979;23;0;0;24.38014;32.72357;1.692405;310.333;124
1979;24;0;0;24.36833;32.70771;1.692036;310.333;124
1979;25;0;0;39.41727;52.90675;2.100859;310.333;124
1979;26;0;0;38.59425;51.80207;2.081005;310.333;124
1980;1;0;0;23.10005;31.00541;1.651824;310.333;124
1980;2;0;0;22.64274;30.39159;1.637028;310.333;124
1980;3;0;0;26.9846;36.21934;1.771496;310.333;124
1980;4;0;0;30.54082;40.99258;1.872985;310.333;124
1980;5;0;0;27.74885;37.24513;1.7939;310.333;124
1980;6;0;0;27.81195;37.32983;1.795735;310.333;124
1980;7;0;0;29.85577;40.07309;1.853961;310.333;124
1980;8;0;0;36.1954;48.58228;2.021771;310.333;124
1980;9;0;0;41.59789;55.83362;2.152385;310.333;124
1980;10;0;0;27.31965;36.66905;1.78136;310.333;124
1980;11;0;0;23.9706;32.17388;1.679552;310.333;124
1980;12;0;0;27.81765;37.33748;1.7959;310.333;124
1980;13;0;0;30.36295;40.75383;1.868068;310.333;124
1980;14;0;0;30.09683;40.39664;1.860683;310.333;124
1980;15;0;0;31.59503;42.40756;1.901807;310.333;124
1980;16;0;0;28.64109;38.44272;1.819631;310.333;124
1980;17;0;0;23.5465;31.60464;1.666114;310.333;124
1980;18;0;0;42.02084;56.40132;2.162206;310.333;124
1980;19;0;0;33.76271;45.31707;1.959453;310.333;124
1980;20;0;0;46.68053;62.65566;2.266987;310.333;124
1980;21;0;0;35.14948;47.17841;1.995269;310.333;124
1980;22;0;0;35.50117;47.65047;2.004228;310.333;124
1980;23;0;0;24.28058;32.58995;1.689291;310.333;124
1980;24;0;0;24.28654;32.59793;1.689478;310.333;124
1980;25;0;0;39.26627;52.70407;2.097234;310.333;124
1980;26;0;0;38.54075;51.73026;2.079706;310.333;124
1981;1;0;0;22.99949;30.87043;1.648584;310.333;124
1981;2;0;0;22.58007;30.30748;1.634987;310.333;124
1981;3;0;0;26.65227;35.77328;1.761645;310.333;124
1981;4;0;0;30.3915;40.79215;1.868858;310.333;124
1981;5;0;0;28.12153;37.74535;1.804702;310.333;124
1981;6;0;0;27.93137;37.49011;1.7992;310.333;124
1981;7;0;0;30.28438;40.64837;1.865891;310.333;124
1981;8;0;0;36.3391;48.77515;2.025379;310.333;124
1981;9;0;0;41.55105;55.77075;2.151294;310.333;124
1981;10;0;0;27.17549;36.47556;1.777124;310.333;124
1981;11;0;0;23.96912;32.17189;1.679505;310.333;124
1981;12;0;0;27.94014;37.50188;1.799454;310.333;124
1981;13;0;0;30.19724;40.53142;1.863474;310.333;124
1981;14;0;0;29.8165;40.02037;1.852864;310.333;124
1981;15;0;0;31.40302;42.14984;1.896597;310.333;124
1981;16;0;0;28.38018;38.09252;1.812153;310.333;124
1981;17;0;0;23.84325;32.00295;1.675531;310.333;124
1981;18;0;0;41.72298;56.00152;2.155296;310.333;124
1981;19;0;0;33.41052;44.84435;1.950228;310.333;124
1981;20;0;0;46.31448;62.16433;2.25897;310.333;124
1981;21;0;0;35.00092;46.97902;1.99147;310.333;124
1981;22;0;0;35.13336;47.15679;1.994857;310.333;124
1981;23;0;0;24.11228;32.36405;1.684012;310.333;124
1981;24;0;0;24.18759;32.46512;1.686377;310.333;124
1981;25;0;0;39.04842;52.41167;2.09199;310.333;124
1981;26;0;0;38.8699;52.17205;2.08768;310.333;124
1982;1;0;0;23.20203;31.14229;1.655102;310.333;124
1982;2;0;0;22.70934;30.48098;1.639193;310.333;124
1982;3;0;0;26.79895;35.97015;1.766001;310.333;124
1982;4;0;0;30.4574;40.8806;1.870681;310.333;124
