! Data imported from: X:\user\arpf\Environments\IMAGE_Materials\2_TIMER\outputlib\TIMER_3_4\IMAGE_Materials\SSP2\T2RT\endem\transport\trp_frgt_Tkm.out;;;;;;;;;
real main.em.dem.trp.frgt.ProjF.TkmGlobalTot[28,8](t) = [;;;;;;;;;
unit= million Tkm;;conversionfactor =0.001;;;;;;;
;;national shipping;train;medium truck;heavy truck;plane;international shipping;;total
t;DIM_ 1;class_ 1;class_ 2;class_ 3;class_ 4;class_ 5;class_ 6;class_ 7;class_ 8
2003;18;102969.9;66500.34;33916.32;172502.5;1456.002;587162.4;0;964507.4
2003;19;283064.4;64720.01;48330.83;206758.2;3661.359;1369494;0;1976029
2003;20;3310786;759132.8;117879.6;568147.9;16279.05;6105215;0;1.09E+07
2003;21;248788.4;16884.07;84296.28;276063.8;15997.14;4497467;0;5139496
2003;22;367833.8;0;36884.01;120612.5;2852.506;722072.6;0;1250255
2003;23;972667.9;76034.05;116167.5;592483.2;15583.95;4978837;0;6751773
2003;24;108754.3;31964.07;36021.6;117394.5;4429.609;672341.3;0;970905.3
2003;25;63171.7;13824.02;13166.89;67028.51;1091.229;363025.9;0;521308.2
2003;26;35235.09;3745.695;7110.8;17403.57;821.5617;227016.3;0;291333.1
2003;27;0;0;0;0;0;0;0;0
2003;28;9355929;3969315;2762010;8355518;226263.4;7.44E+07;0;9.91E+07
2004;1;430360.8;256490.2;82945.38;206663.6;6023.615;2567070;0;3549554
2004;2;703628.3;1731583;927054;2309012;90159.57;1.01E+07;0;1.58E+07
2004;3;145242.2;84520.54;74997.09;210384.9;2447.909;1330686;0;1848278
2004;4;28863.78;1008.965;21729.16;61020.07;4088.83;706069.4;0;822780.3
2004;5;246460.6;86184.48;96401.29;267707.5;4637.743;772383.7;0;1473775
2004;6;210175.7;21284.59;80622.7;226290.1;4705.96;1097716;0;1640795
2004;7;119704.1;2131.688;49387.99;64711.94;1932.024;737603.6;0;975471.4
2004;8;35985.51;5854.695;31511.13;76969.25;1322.669;500050.3;0;651693.6
2004;9;4291.894;2251.144;8955.637;21879.86;1350.438;165241.1;0;203970.1
2004;10;0;58272.53;28017.62;66990.27;1205.402;362977.6;0;517463.4
2004;11;1668172;119057.9;569865.3;2144176;36961.17;3.59E+07;0;4.05E+07
2004;12;30241.98;36770.41;68506.72;264263.7;1424.363;2621196;0;3022403
2004;13;85952.6;2650.095;43532.21;47781.71;1837.315;671542.3;0;853296.3
2004;14;0;77200.58;15346.68;59890.25;219.6744;218221.2;0;370878.4
2004;15;678.914;59525.6;8203.5;20258.84;874.7155;138254.2;0;227795.8
2004;16;251285.2;499046;47276.67;116827.7;7211.321;704099.9;0;1625747
2004;17;0;0;171206;226173.2;6765.315;2686807;0;3090951
2004;18;108434.8;65455.1;37036.31;188793.9;1668.853;696648.7;0;1098038
2004;19;268879;58328.68;48775.96;209113.3;3936.898;1490123;0;2079156
2004;20;3227224;862206;139915;675224.2;20498.03;7115205;0;1.20E+07
2004;21;260553.7;16063.4;91340.24;299768.5;18862.41;4911239;0;5597827
2004;22;330578.6;0;37636.63;123339.7;3639.082;754121.1;0;1249315
2004;23;888345.1;77611.66;117287;597774.1;15726.96;5207262;0;6904007
2004;24;114140.4;35085.17;37780.48;123070.2;4641.862;754007.8;0;1068726
2004;25;104914.3;15678.55;13930.42;71081.41;1231.707;402598.6;0;609435
2004;26;28913.21;3378.992;7938.736;19432.56;935.8734;262971.1;0;323570.5
2004;27;0;0;0;0;0;0;0;0
2004;28;9293026;4177640;2857200;8698599;244309.7;8.29E+07;0;1.08E+08
2005;1;429617.8;284158.6;83143.74;208344.5;6502.984;2530385;0;3542152
2005;2;881572.8;1883712;930444.4;2330745;94122.77;9916370;0;1.60E+07
2005;3;162030.5;84756.39;79751.09;224273.4;2533.098;1290375;0;1843720
2005;4;23373.69;1081.17;22284.62;62727.81;4517.957;693261.9;0;807247.2
2005;5;252559.3;85730.3;97722.46;272110.7;4947.48;791986.5;0;1505057
2005;6;231451.8;20782.69;85618.93;240894.7;4792.149;1123272;0;1706812
2005;7;97250.95;2074.276;50490.33;66243.98;1952.967;785002.8;0;1003015
2005;8;36209.84;6113.462;29718.91;72602.85;1411.948;556856.8;0;702913.8
2005;9;4487.08;2192.38;9414.242;23003.49;1456.64;173213.4;0;213767.3
2005;10;0;47060.7;29578.94;70773.5;1257.988;398040.1;0;546711.3
2005;11;1692259;118684.6;566222.5;2135059;38836.04;3.77E+07;0;4.22E+07
2005;12;31045.64;31951.98;72836.48;281665.6;1589.821;2971317;0;3390407
2005;13;91180.31;3204.107;44485.91;49005.59;2019.364;804177.8;0;994073.1
2005;14;29424.89;76819.55;15508.83;60642.44;235.8669;252818.8;0;435450.3
2005;15;678.908;58263.59;8392.737;20765.73;988.9949;160527.6;0;249617.6
2005;16;279383.5;511210.4;46843.12;115982.3;8078.502;791836.5;0;1753334
2005;17;0;0;184919.3;244591.3;6544.305;2931400;0;3367455
2005;18;142412.5;73179.71;39030.36;199391.6;1985.885;795294.9;0;1251295
2005;19;216046.5;58335.39;49406.32;212186.1;4140.619;1607215;0;2147330
2005;20;3210445;854858.3;153740.2;742519.1;21725.58;7960542;0;1.29E+07
2005;21;242540.8;19751.23;91418.91;300618.8;19711.19;5170390;0;5844431
2005;22;304477.6;0;38174.74;125375.1;3546.232;761796.1;0;1233370
2005;23;889030.9;79189.11;116394;592323.9;15856.94;5277170;0;6969965
2005;24;135937.8;36029.13;37773.39;122942.8;5018.866;803299.6;0;1141002
2005;25;94547.45;13776.01;13742.94;70297.25;1451.839;417250.3;0;611065.8
2005;26;23733.93;4295.726;8002.589;19589.03;768.2286;294206.7;0;350596.2
2005;27;0;0;0;0;0;0;0;0
2005;28;9501698;4357211;2905060;8864675;255994.3;8.70E+07;0;1.13E+08
2006;1;396638.5;290766.2;82522.85;207952.3;6550.349;2581857;0;3566287
2006;2;858042.1;2044554;934958.4;2355370;91550.09;1.00E+07;0;1.63E+07
2006;3;168840.4;88162.94;84373.7;237867.8;2686.002;1276117;0;1858047
2006;4;21714.41;1126.702;22839.84;64433.95;4719.201;726471.2;0;841305.3
2006;5;242233.6;83894.29;99522.96;277790.3;4997.256;868626.9;0;1577065
2006;6;225347.7;19678.95;91197.44;257242.8;4542.644;1280524;0;1878533
2006;7;89408.81;2141.829;53275.66;69964.3;2169.784;886131.5;0;1103092
2006;8;35480.46;6808.855;28770.55;70297.22;1461.642;660458.1;0;803276.9
2006;9;4693.382;2638.297;10539.9;25757.41;1534.486;191741.8;0;236905.3
2006;10;0;44157.19;30597.61;73207.25;1309.724;442945.2;0;592217
2006;11;1819493;114707.1;574589.1;2170055;40318.72;3.94E+07;0;4.41E+07
2006;12;33773.56;31612.54;78010.75;302164.3;1699.949;3320973;0;3768234
2006;13;102747.5;3243.024;50849.43;56241.5;1808.649;934864.3;0;1149754
2006;14;31914.54;84665.66;16363.74;64097.43;202.3853;286797.1;0;484040.9
2006;15;678.9026;57815.85;9036.019;22400.87;1162.7;193725.8;0;284820.2
2006;16;271194.3;539201.4;50238.3;124629.8;8694.355;938588.1;0;1932546
2006;17;0;0;196534.6;260206.1;6922.943;3369421;0;3833085
2006;18;148665.5;71738.98;40866.68;209209.6;2436.023;959407.7;0;1432324
2006;19;195565.8;54901.29;50042.86;215245.7;4471.396;1736183;0;2256411
2006;20;3863340;824655.1;166768.5;805915.1;22441.66;8861146;0;1.45E+07
2006;21;229262;20330.54;87369.13;287939.9;21291.16;5494891;0;6141084
2006;22;275510.7;0;36366.44;119700.4;3766.326;821870.3;0;1257214
2006;23;864440.2;78329.23;115166.3;584683.7;15356.94;5406813;0;7064789
2006;24;123533;36435.49;38282.58;124427.3;5620.095;861417.4;0;1189716
2006;25;95734.44;13499.12;13938.55;71480.56;1431.503;445979.6;0;642063.8
2006;26;14942.37;4176.019;8745.133;21403;643.1731;339821.6;0;389731.3
2006;27;0;0;0;0;0;0;0;0
2006;28;1.01E+07;4519241;2971767;9079683;259789.2;9.23E+07;0;1.19E+08
2007;1;422516.5;304539.8;86617.83;219420.8;6726.457;2642780;0;3682601
2007;2;852128.4;1930822;939270.9;2379558;92165.47;1.03E+07;0;1.65E+07
2007;3;175234.5;82339.13;89736.84;253631.8;3026.636;1318462;0;1922431
2007;4;22734.98;1582.345;24686.79;69781.23;5045.818;782486.6;0;906317.8
2007;5;297892.4;86236.19;107867;301595.6;5496.025;967730.3;0;1766817
2007;6;229268.2;20943.96;97905.57;276855.8;4315.421;1495103;0;2124392
2007;7;94394.7;1742.845;57188.87;75142.45;2373.357;1002824;0;1233666
2007;8;38796.12;7365.776;29054.56;70997.88;1544.138;760067.7;0;907826.2
2007;9;5380.837;2364.681;11268.73;27540.29;1711.227;214390.5;0;262656.3
2007;10;0;44238.98;33872.92;80969.74;1383.546;482844.3;0;643309.5
2007;11;1746106;118436.7;581230.8;2197187;41627.98;4.04E+07;0;4.51E+07
2007;12;41186.61;35938.55;82964.19;321675.6;1768.582;3656518;0;4140052
2007;13;112248.5;2626.757;57295.93;63622.82;2261.943;1045300;0;1283356
2007;14;33291.66;83782.69;19336.39;75848.86;175.6415;319827.3;0;532262.5
2007;15;905.1749;62404.57;10105.59;25101.9;1207.095;236292.6;0;336016.9
2007;16;251401.8;510678.9;50102.18;124524.8;8917.198;1107811;0;2053435
2007;17;0;0;205013.4;271573.6;7310.333;3827752;0;4311649
2007;18;209137.8;76354.65;48719.72;249894.3;2821.616;1136428;0;1723356
2007;19;191775.5;51920.95;52201.54;224795;4792.826;1855869;0;2381355
2007;20;4043409;805241.3;179541.2;867461.3;24257.27;9693043;0;1.56E+07
2007;21;248599.9;20034.95;94797.45;313158;22815.85;5839660;0;6539066
2007;22;252259.2;0;37758.5;124567.5;3971.436;890233.4;0;1308790
2007;23;829304.8;79409.88;112855.9;571039.6;14391.28;5481082;0;7088083
2007;24;202159.2;37835.45;39094.54;126824.3;6037.209;908725.9;0;1320677
2007;25;94050.68;14394.4;16265.42;83598.16;1227.844;476624.6;0;686161.1
2007;26;16534.43;3432.404;9506.768;23256.54;680.0966;386425.8;0;439836
2007;27;0;0;0;0;0;0;0;0
2007;28;1.04E+07;4384668;3074260;9419623;268052.3;9.72E+07;0;1.25E+08
2008;1;409873.3;315750.6;86544.27;220386.3;6771.737;2583874;0;3623201
2008;2;788471.3;1559717;904183;2303437;87353.82;1.00E+07;0;1.57E+07
2008;3;186928.8;77239.94;93996.3;266353.7;2947.141;1305316;0;1932782
2008;4;25090.45;2683.37;24223.29;68569.27;5296.863;816182.9;0;942046.1
2008;5;323142.6;90395.2;118109.9;330598.8;6021.435;1031018;0;1899286
2008;6;222049.4;26047.4;104285.3;295647.5;5126.712;1635576;0;2288732
2008;7;87693.82;1643.598;61968.79;81436.64;2489.241;1086983;0;1322215
2008;8;43164.52;8304.263;33524.57;81903.52;2068.61;813905.3;0;982870.8
2008;9;5374.778;2233.435;12569.85;30713.99;1681.974;232834.6;0;285408.6
2008;10;0;39124.72;34276.88;81758.6;1366.735;495047.5;0;651574.4
2008;11;1588659;117550.6;569935.1;2154667;41619.57;3.99E+07;0;4.44E+07
2008;12;48503.16;35738.14;89531.07;347320;1934.579;3911524;0;4434551
2008;13;111357.2;2251.957;54235.41;60472.98;2205.951;1102434;0;1332957
2008;14;26476.8;88215.99;20151.92;79111.64;168.1237;342627.4;0;556751.9
2008;15;1131.469;50637.46;11074.7;27563.38;1365.419;274912.5;0;366684.9
2008;16;239461.7;455679.3;55930.53;139241.1;9616.888;1247288;0;2147218
2008;17;0;0;219584.9;290814.6;7508.022;4112228;0;4630136
2008;18;232831.1;79053.81;56327.59;289390.4;2792.152;1289156;0;1949551
2008;19;195978.2;50477.15;51506.49;222054.2;4683.127;1867725;0;2392424
2008;20;3255744;795453.8;200902.4;970018.6;24382.28;1.01E+07;0;1.53E+07
2008;21;201441.4;25780.29;95253.31;315458;23006.33;5867601;0;6528541
2008;22;264985;0;40436.09;133707.9;4219.127;925171.7;0;1368520
2008;23;769953.7;79033.97;110205;555052;13659.68;5247528;0;6775433
2008;24;198931.7;43911.65;39839.89;128843.7;6358.315;918459.1;0;1336344
2008;25;100373.1;13419.73;16260.03;83769.65;1321.407;479675.8;0;694819.7
2008;26;16311.98;2666.696;10690.24;26124.15;840.332;431244.9;0;487878.3
2008;27;0;0;0;0;0;0;0;0
2008;28;9343928;3963010;3115547;9584415;266805.6;9.80E+07;0;1.24E+08
2009;1;428817.8;255454.9;87492.12;223897.5;5847.709;2285720;0;3287230
2009;2;1025009;1259272;871252.8;2231803;79738.16;8912554;0;1.44E+07
2009;3;151404;73410.15;92950.59;264050.5;2532.147;1176563;0;1760911
2009;4;24200.9;2417.475;25205.67;71398.91;5184.853;758462.8;0;886870.6
2009;5;302391.7;89797.02;120004.1;335943.4;6137.747;1042437;0;1896711
2009;6;193068.3;24761.4;104506.6;297033.3;4946.556;1624419;0;2248735
2009;7;89170.33;5657.455;68099.92;89483.55;2534.434;1099045;0;1353991
2009;8;45291.5;8868.175;34785.76;84914.68;1852.124;810753.3;0;986465.6
2009;9;5828.935;2128.397;13461.72;32869.54;1700.346;228725;0;284713.9
2009;10;0;36218.41;33359.62;79289.23;1350.33;468877.5;0;619095.1
2009;11;1541608;110900;561383.8;2121119;38546.99;3.65E+07;0;4.09E+07
2009;12;38716.94;31297.54;89756.19;348008.2;1698.104;3886970;0;4396447
2009;13;131908;2168.239;53506.1;59907.7;2311.96;1076790;0;1326592
2009;14;21077.74;70227.28;19062.31;74821.59;158.9659;363367.2;0;548715.1
2009;15;2262.937;39297.59;10713.81;26715.42;1401.987;300129.1;0;380520.8
2009;16;238845.3;431526.5;58115.86;144858.3;8874.813;1294958;0;2177179
2009;17;0;0;230431.2;305011.1;7680.563;4118979;0;4662102
2009;18;208721.4;80500.92;62578.92;321917.7;2971.253;1348896;0;2025586
2009;19;183991.2;46583.82;53071.79;228968.3;4574.124;1750246;0;2267435
2009;20;3460633;717040.2;207541.6;999815.6;26129.83;9511560;0;1.49E+07
2009;21;237113.1;29403.74;101709.8;337572.4;23084.54;5463318;0;6192202
2009;22;318072.9;0;46386.59;153757.7;4497.425;882652.3;0;1405367
2009;23;709700.6;77546.19;109413.4;547827.3;12353.04;4727360;0;6184201
2009;24;198003.9;45302.34;39914.72;128503.5;6414.518;872578.5;0;1290718
2009;25;96352.43;12466.09;17065.25;88082.03;1371.62;448368.1;0;663705.5
2009;26;17460.32;2890.99;11711.54;28563.43;825.1199;443852.3;0;505303.7
2009;27;0;0;0;0;0;0;0;0
2009;28;9669650;3455137;3123482;9626133;254719.3;9.14E+07;0;1.18E+08
2010;1;444924.7;252714.1;90925.07;233682.3;6072.065;2362286;0;3390604
2010;2;827105.9;1220841;904461.9;2329480;82229.5;9309721;0;1.47E+07
2010;3;157748;77186.67;95324.42;271387.1;2611.152;1234419;0;1838677
2010;4;23031.85;2647.211;25843.85;73171.59;5278.534;810352.9;0;940325.9
2010;5;306897.6;124684.5;134852.9;376634.7;7037.83;1196593;0;2146701
2010;6;232539.4;24608.03;111212;316904.8;6168.272;1828393;0;2519826
2010;7;115365.7;7922.446;74590.09;98009.52;2361.753;1272837;0;1571087
2010;8;46955.16;9794.304;40194.45;97898.64;1997.409;926909.4;0;1123749
2010;9;7175.565;3510.003;14709.29;35845.69;1869.218;272932;0;336041.8
2010;10;1785.835;37119.16;34952.97;82642.26;1381.129;503038.3;0;660919.7
2010;11;1570405;109701.3;565514.4;2133462;38631.41;3.91E+07;0;4.35E+07
2010;12;33395.68;32250.93;91903.61;355608.7;1749.495;4329737;0;4844645
2010;13;133559.8;2400.748;53364.95;60020.7;1874.4;1190415;0;1441636
2010;14;17955.96;59101.79;20056.38;78595.1;181.7431;401437.1;0;577328
2010;15;4073.324;38063.45;11212.77;27999.22;1553.097;351778.1;0;434679.9
2010;16;191268.6;415548;60398.29;150584.8;9704.053;1429697;0;2257201
2010;17;0;0;240808.1;318551.6;8056.084;4699444;0;5266860
2010;18;180074.2;82290.61;68734.08;353728.8;3319.438;1624959;0;2313106
2010;19;150834.8;42606.65;55193.61;238217.8;5068.485;1929327;0;2421248
2010;20;3664535;688071.8;231949.1;1112237;31375.98;1.07E+07;0;1.65E+07
2010;21;257724;30797.39;105521.1;350768.5;25913.74;5979678;0;6750403
2010;22;341950.2;0;50876.65;169020.1;5831.167;996144.8;0;1563823
2010;23;731820.7;66764.16;112579.2;559803.5;12473.6;4946228;0;6429669
2010;24;199554.3;44125.51;41692.25;133370.9;7228.103;989798.1;0;1415769
2010;25;94791.52;11796.22;18584.32;96008.82;1520.599;504554.7;0;727256.1
2010;26;17854.72;3611.555;12660.07;30767.47;1009.848;540128.8;0;606032.5
2010;27;0;0;0;0;0;0;0;0
2010;28;9753327;3388158;3268116;1.01E+07;272498.1;9.95E+07;0;1.26E+08
2011;1;371578.8;283399.9;91953.86;237223.1;6226.383;2302541;0;3292923
2011;2;1633474;1595353;869294;2250692;82946.37;9231725;0;1.57E+07
2011;3;181684.1;80038.93;96449.9;275133;2654.872;1245934;0;1881894
2011;4;21884.77;2371.115;25454.56;72003.67;5141.028;791600.6;0;918455.8
2011;5;294369.4;131694.4;144889.1;403329.8;7829.36;1305906;0;2288018
2011;6;249790.5;24709.31;120628.7;344422.2;5774.463;1903530;0;2648855
2011;7;93848.69;6444.822;76321.52;100277.8;2198.143;1325092;0;1604183
2011;8;47874.12;11380.11;43068.19;104605.5;1852.971;988251.8;0;1197033
2011;9;7619.345;4182.707;15219.18;37000.02;2083.718;287567.7;0;353672.6
2011;10;13477.76;40900.54;36982.64;86952.53;1437.994;520125.5;0;699876.9
2011;11;1443755;105183.1;568973.1;2142834;40178.15;3.76E+07;0;4.19E+07
2011;12;32742.7;34243.66;93174.84;359493.9;1760.491;4266772;0;4788187
2011;13;157051.1;2450.001;54175.28;61183.78;1646.147;1196595;0;1473101
2011;14;14298.07;63155.37;20616.75;80603.67;173.752;404413.2;0;583260.8
2011;15;3310.127;35532.64;11737.26;29340.56;1262.101;365039.8;0;446222.4
2011;16;273392.1;458112.3;61824.86;154089.6;11095.43;1461731;0;2420245
2011;17;0;0;252830.7;334172.9;8256.18;4870214;0;5465474
2011;18;178723.8;83030.23;74996.74;386060;3687.212;1841534;0;2568032
2011;19;121413.5;39189.55;55735.83;240549;5325.125;2021804;0;2484017
2011;20;3818637;653374.6;260535.7;1243268;32932.47;1.15E+07;0;1.75E+07
2011;21;271016.9;32239.28;108385.2;360751.8;27938.37;6252607;0;7052938
2011;22;485086.1;23200.58;61819.63;205820.3;6046.894;1095100;0;1877074
2011;23;718680.8;64254.06;111883.8;552097.8;13305.34;4981726;0;6441948
2011;24;197040.4;45220.05;42998.2;136609.3;7608.379;1057756;0;1487232
2011;25;108118.3;14430.8;20027.07;103488.6;1771.786;538296.1;0;786132.6
2011;26;14698.44;5552.722;14860.13;35966.74;983.9835;571404.1;0;643466.1
2011;27;0;0;0;0;0;0;0;0
2011;28;1.08E+07;3839643;3334837;1.03E+07;282117.1;1.00E+08;0;1.29E+08
2012;1;370259.3;281106.6;92137.82;238502.8;7151.45;2104644;0;3093802
2012;2;1727053;1381620;856855.5;2229115;81495.6;8535454;0;1.48E+07
2012;3;176680;75462.3;97845.79;279563.5;2852.31;1176672;0;1809076
2012;4;29224.59;2539.684;25693.87;72554.54;5211.266;734032.9;0;869256.9
2012;5;288627.8;133389;157562.5;436742.4;8206.168;1282696;0;2307223
2012;6;270872.4;24817.35;126324.8;361095.5;6651.229;1837854;0;2627615
2012;7;76376.16;5030.79;85832.84;112780.4;2439.236;1165728;0;1448188
2012;8;80097.2;20494.63;47856.76;115827.1;1875.92;962561.3;0;1228713
2012;9;8161.445;4757.696;16950.09;41087.76;2168.051;267991.9;0;341116.9
2012;10;10926.48;45002.65;37842.66;88415.3;1405.192;502579.4;0;686171.7
2012;11;1409107;114662.4;557758.5;2095958;39415.34;3.37E+07;0;3.79E+07
2012;12;31373.45;34448.46;93501.91;359452;1652.288;3848487;0;4368915
2012;13;127510.2;2364.063;64550.02;73194.01;1599.514;1117080;0;1386297
2012;14;11589.32;57452.66;21660.73;84409.46;214.5322;369891;0;545217.8
2012;15;1209.334;38439.45;12825.55;32091.56;1095.088;345443.2;0;431104.2
2012;16;219206.7;421240.7;62224.71;154962;11495.33;1359182;0;2228312
2012;17;0;0;273516.4;361302.9;8618.242;4592734;0;5236172
2012;18;153639;86537.5;80750.63;415617.3;3583.699;1895508;0;2635636
2012;19;51000.24;38844.87;57508.91;248147.6;5759.157;1954056;0;2355317
2012;20;4339418;648305.8;291330;1381927;34696.2;1.14E+07;0;1.81E+07
2012;21;241208.8;41222.85;112856;376048.2;29918.28;5998010;0;6799264
2012;22;638106.3;18803.87;74582.81;248837.6;6591.777;1108959;0;2095881
2012;23;736043.1;67487.34;112434.6;550300.1;13960.48;4567382;0;6047608
2012;24;163743.4;49964.51;43934.34;138512.5;7833.917;1036661;0;1440649
2012;25;109869.5;14521;21033.12;108697.7;1667.527;528380.7;0;784169.6
2012;26;13273.65;5728.411;17634.98;42478.07;851.241;549293.7;0;629260.1
2012;27;0;0;0;0;0;0;0;0
2012;28;1.13E+07;3614244;3443006;1.06E+07;288409.1;9.29E+07;0;1.22E+08
2013;1;338166.7;266312.1;94556.51;245575.5;7530.745;2054555;0;3006696
2013;2;1707271;1468320;885362.1;2314569;83843.58;8357163;0;1.48E+07
2013;3;153883;80841.68;97542.45;279206.2;3038.636;1180244;0;1794756
2013;4;29226.74;2691.053;25863.81;72911.29;5646.993;717508.1;0;853847.9
2013;5;289080.4;129244.1;169365;467566.3;8146.557;1304905;0;2368308
2013;6;219107.3;20342.71;133273.4;381362.2;6834.621;1868813;0;2629733
2013;7;59980.58;4506.046;89342.41;117328.1;2335.733;1140245;0;1413738
2013;8;98094.44;22268.44;57791.53;139255.6;1870.9;983656.9;0;1302938
2013;9;8161.065;5468.789;18815.28;45432;1979.703;247359.4;0;327216.3
2013;10;27022.11;55537.77;42094.82;97667.14;1364.822;508288.3;0;731975
2013;11;1292211;92019.77;564823;2118271;39450.36;3.12E+07;0;3.53E+07
2013;12;34968.68;32257.79;91811.13;351582.4;1645.973;3647474;0;4159740
2013;13;145727.4;2451.371;71513.24;81393.05;2458.207;1127672;0;1431215
2013;14;10500.42;55788.16;21933.4;85166.02;171.0623;388215.2;0;561774.3
2013;15;2715.62;31253.82;12410.32;31081.34;1117.21;361195;0;439773.3
2013;16;197385.9;398577.4;64896.66;161454.9;10881.69;1402069;0;2235265
2013;17;0;0;283612.2;374204.7;8640.978;4688510;0;5354968
2013;18;149900.3;87608.05;83223.91;428252.7;3829.274;2001179;0;2753994
2013;19;47075.59;34069.26;61073.21;263463.3;5914.866;1941502;0;2353098
2013;20;4960627;606598.4;318668.5;1501953;37949.96;1.17E+07;0;1.91E+07
2013;21;236784.7;45745.59;124398.7;414661.5;33005.98;6020187;0;6874783
2013;22;647175.1;21125.04;80061.44;267658.3;7131.2;1151223;0;2174374
2013;23;727506.8;62501.24;112984.8;548458.2;14348.39;4463758;0;5929557
2013;24;150186.4;53322.22;44996.84;140750.3;8350.779;1043250;0;1440856
2013;25;100848.6;13837.12;21525.42;111202.1;1655.92;522707.1;0;771776.2
2013;26;16507.36;6439.427;19775.55;47350.8;940.3181;548630.1;0;639643.6
2013;27;0;0;0;0;0;0;0;0
2013;28;1.17E+07;3599127;3591716;1.11E+07;300084.4;9.05E+07;0;1.21E+08
2014;1;311627.4;266796.1;93586.27;243723.7;7457.914;2098668;0;3021859
2014;2;1702581;1447086;884706.3;2323576;86715.69;8592210;0;1.50E+07
2014;3;167540.5;78882.93;98489.25;282194.3;3312.254;1228717;0;1859136
2014;4;31065.86;2787.41;27087.51;76157.96;5887.585;757605.1;0;900591.4
2014;5;300146.3;124607.3;178667;491255.4;8424.561;1353820;0;2456921
2014;6;212834;16453.61;133866.3;383246.1;7349.468;1974048;0;2727797
2014;7;71153.74;10026.11;95880.02;125972;2374.264;1166952;0;1472358
2014;8;114976.5;24434.63;63363.61;151873.3;1805.739;1035017;0;1391471
2014;9;9414.792;6092.1;20505.71;49303.21;2036.729;251101.3;0;338453.8
2014;10;21961.14;55124.27;41010.76;94470.28;1356.74;519552.5;0;733475.8
2014;11;1221219;91906.31;580259.9;2171108;39958.36;3.15E+07;0;3.56E+07
2014;12;34335.5;29136.61;96983.29;369772.9;1722.262;3743129;0;4275080
2014;13;118920.3;2708.344;75516.06;86159.63;4201.173;1225654;0;1513160
2014;14;10215.88;50068.3;19490.1;75354.74;192.8737;409641.3;0;564963.2
2014;15;2208.882;35486.17;13017.74;32597.51;1176.396;402002.5;0;486489.2
2014;16;162321.1;382765.7;69147.33;171510.8;10346.37;1486515;0;2282607
2014;17;0;0;293808.2;387565;9436.784;5062604;0;5753414
2014;18;150755.4;86944.22;88013.2;452339.9;4085.878;2135528;0;2917666
2014;19;37953.39;28785.33;62388.14;269048.9;6436.102;1988822;0;2393434
2014;20;5132516;552361.2;336681.6;1576812;41726.36;1.25E+07;0;2.01E+07
2014;21;254855.2;50816.89;131437.8;438294.1;33742.6;6272560;0;7181707
2014;22;640929.6;19851.39;82638.88;276936.6;7407.72;1199165;0;2226930
2014;23;727071.6;61900.73;111724.7;537876.4;14153.79;4376898;0;5829625
2014;24;146139.6;55033.67;45700.95;141756;8855.105;1071813;0;1469299
2014;25;112451.9;14385.13;23258.56;119958.7;1767.1;551067.8;0;822889.2
2014;26;19120.2;6379.551;20326.3;48369.11;975.9133;595998.4;0;691169.4
2014;27;0;0;0;0;0;0;0;0
2014;28;1.17E+07;3500820;3687556;1.14E+07;312905.7;9.35E+07;0;1.24E+08
2015;1;304247.9;248960;93469.48;244075.2;7776.18;2181247;0;3079776
2015;2;1823416;1526055;915909;2416730;93922.46;9042108;0;1.58E+07
2015;3;174847.9;82130.98;98660.5;282982.5;3630.441;1312834;0;1955086
2015;4;33126.16;2733.775;30626.25;85879.58;6238.364;772166.9;0;930771.1
2015;5;291076.8;117308.8;177362.1;486475.4;8398.17;1358479;0;2439100
2015;6;186367.3;13308.61;136262.9;390319;8097.049;1998639;0;2732994
2015;7;58016.1;11080.86;97916.9;128697.9;2183.418;1221787;0;1519682
2015;8;101747.7;25168.26;61228.08;146047.1;1952.962;1075159;0;1411303
2015;9;10418.24;7962.356;23248.02;55672.74;2351.952;267990;0;367643.3
2015;10;17937.1;58553.89;43690.16;99941.73;1476.709;518261.7;0;739861.3
2015;11;1331060;90583.36;594147.7;2218727;41972.32;3.21E+07;0;3.64E+07
2015;12;34748.07;28314.38;103297.4;392310.9;1849.368;3894832;0;4455353
2015;13;97004.67;2362.098;91274.48;104337.3;5747.738;1306034;0;1606761
2015;14;11065.29;46291.75;17884.55;68873.97;192.6045;392057.3;0;536365.4
2015;15;2041.763;28869.34;12979.83;32533.75;1416.335;424007.6;0;501848.6
2015;16;134541.2;359699.8;69256.11;171512.2;9531.359;1498839;0;2243379
2015;17;0;0;296165.8;390661.8;11471.87;5264262;0;5962561
2015;18;155777.3;85080.34;97484.89;500757.5;4648.303;2201272;0;3045020
2015;19;48891.56;26957.61;66757.16;287503.5;7003.136;2041927;0;2479040
2015;20;4705509;482228.8;374333.4;1740026;46930.2;1.34E+07;0;2.08E+07
2015;21;533949.5;56439.31;135369.4;451519.3;36788.66;6618487;0;7832553
2015;22;575342.9;16452.38;79438.18;266743.4;7747.13;1200579;0;2146303
2015;23;704476.9;58614.33;113774.8;543363.1;14387.07;4306251;0;5740867
2015;24;161937.1;60788.52;46280.5;142418.3;9063.203;1079402;0;1499889
2015;25;117292.1;14959.81;26286.76;135416.5;1661.343;581836.4;0;877452.8
2015;26;15773.01;6056.43;21582.98;51061.56;1003.156;622928.1;0;718405.3
