! Data imported from: X:\user\arpf\Environments\IMAGE_Materials\2_TIMER\outputlib\TIMER_3_4\IMAGE_Materials\SSP2\T2RT\endem\transport\trp_frgt_Tkm.out;;;;;;;;;
real main.em.dem.trp.frgt.ProjF.TkmGlobalTot[28,8](t) = [;;;;;;;;;
unit= million Tkm;;conversionfactor =0.001;;;;;;;
;;national shipping;train;medium truck;heavy truck;plane;international shipping;;total
t;DIM_ 1;class_ 1;class_ 2;class_ 3;class_ 4;class_ 5;class_ 6;class_ 7;class_ 8
1992;21;202882.2;23454.02;42253.02;137478.9;8143.458;2621224;0;3035436
1992;22;204285.1;405.6466;19678.99;63953;1689.066;537578.3;0;827590.1
1992;23;962016.8;67669.25;102306.5;520224;12023.1;5302649;0;6966889
1992;24;140752.2;28884;28182.43;92139.3;3186.536;647546.1;0;940690.6
1992;25;33916.6;12361.08;7708.211;38923.95;599.9976;275429.8;0;368939.7
1992;26;5108.56;6973.146;4722.028;11536.13;545.428;241124.3;0;270009.6
1992;27;0;0;0;0;0;0;0;0
1992;28;7097919;3743950;2132268;6366127;171680;6.30E+07;0;8.26E+07
1993;1;288688.6;329044.2;63015.58;153329.1;3970.398;1792863;0;2630911
1993;2;946030.6;1663286;743052.6;1808031;75589.71;6671116;0;1.19E+07
1993;3;48521.57;126989.2;56331.93;156562;1634.863;536276.3;0;926315.8
1993;4;35590.72;597.2575;13018.59;36163.5;1921.714;478327.7;0;565619.4
1993;5;276054.3;87056.76;67415.15;182538.9;3152.306;506723.5;0;1122941
1993;6;218290.2;18935.15;70393.24;195693.2;2918.523;810381.1;0;1316611
1993;7;0;454.1227;33163.79;42979.09;1318.863;688756.4;0;766672.3
1993;8;24227.51;4454.627;16849.01;41136.82;956.6905;450988;0;538612.6
1993;9;31720.08;2252.698;5406.648;13202.6;729.905;137845.1;0;191157
1993;10;0;87812.52;20624.07;48666.19;748.6018;374337.3;0;532188.6
1993;11;1529572;112713.2;497413.9;1857219;26523.4;3.19E+07;0;3.60E+07
1993;12;84152.91;47910.4;41592.89;158686.7;1328.668;1251013;0;1584685
1993;13;51430.7;2813.692;38604.69;42775.79;602.0201;370929.1;0;507155.9
1993;14;7678.222;137646.3;23617.37;91308.87;602.5475;170364.8;0;431218.2
1993;15;1488.149;76081.82;8034.426;19702.44;771.2934;90939.8;0;197017.9
1993;16;464028.1;633969.5;47234.72;115776.3;8187.411;528622.3;0;1797818
1993;17;0;666.1816;119679.1;155831.7;6560.583;2145835;0;2428572
1993;18;122898.2;58489.21;21412.78;107807;1046.265;366319;0;677972.5
1993;19;592858.4;55546.77;30398.16;129569.4;2538.166;1063740;0;1874651
1993;20;963098.6;64760.11;55171.77;263415.1;6896.834;3697244;0;5050587
1993;21;249220.6;22445.63;48781.32;158730.4;9155.208;2864327;0;3352660
1993;22;236079.9;454.6071;20823.54;67662.16;1930.626;589981.7;0;916932.5
1993;23;950872.8;68535.48;105079;533389.1;12033.03;5325775;0;6995684
1993;24;123431;28553.81;28877.91;94313.04;3407.671;624864.5;0;903447.9
1993;25;31747.39;12317.95;8621.558;43540.93;613.5621;290647.5;0;387488.9
1993;26;5112.036;5724.723;4652.23;11365.59;562.9875;241969.5;0;269387.1
1993;27;0;0;0;0;0;0;0;0
1993;28;7282793;3649512;2189266;6529396;175701.8;6.40E+07;0;8.38E+07
1994;1;300586.4;339324.2;66014.63;160624.9;4208.922;1863671;0;2734430
1994;2;767042.6;1749744;770614.8;1875114;79623.84;7011273;0;1.23E+07
1994;3;99185.65;135849.5;59098.93;164244.3;1806.24;596549.5;0;1056734
1994;4;36074.79;597.2575;13937.55;38722.62;2008.517;484963.5;0;576304.3
1994;5;250194.8;70761.73;71370.32;193461.5;3422.956;543727.3;0;1132939
1994;6;235681.3;15421.55;71324.77;198288.7;3229.722;883801.9;0;1407748
1994;7;0;459.2444;34259.07;44404.39;1638.867;660214.5;0;740976.1
1994;8;23555.12;4041.297;14887.63;36350.97;1056.304;438085.7;0;517977
1994;9;31504.54;1841.999;6036.051;14740.65;879.946;137345.3;0;192348.4
1994;10;0;87229.33;21575.06;50876.6;731.0815;375227.7;0;535639.8
1994;11;1532653;110221.3;503104.3;1874785;27427.93;3.12E+07;0;3.52E+07
1994;12;39571.88;45080.53;43087.35;164235.8;1349.762;1286477;0;1579802
1994;13;44311.16;2875.908;37132.25;41120;725.3585;400899.1;0;527063.8
1994;14;6114.298;109610.1;16010.47;61901.27;479.8188;135664.4;0;329780.4
1994;15;1200.724;61387.16;6482.635;15897.06;554.1672;74270.47;0;159792.2
