Model;Scenario;Region;Variable;Unit;2005;2010;2015;2020;2025;2030;2035;2040;2045;2050;2060;2070;2080;2090;2100
IMAGE;SSP2;MEX;Energy Service|Transportation|Freight|Aviation;billion tkm/yr;2.53;2.61;3.63;4.04;5.71;6.28;6.83;7.63;8.52;9.58;12;14;15;17;17
IMAGE;SSP2;NAF;Energy Service|Transportation|Freight|Aviation;billion tkm/yr;1.95;2.36;2.18;2.01;3.56;4.08;4.77;5.85;7.12;8.63;12;15;18;21;22
IMAGE;SSP2;OCE;Energy Service|Transportation|Freight|Aviation;billion tkm/yr;5.02;7.23;9.06;9.93;23;26;28;31;33;36;42;47;51;53;54
IMAGE;SSP2;RCAM;Energy Service|Transportation|Freight|Aviation;billion tkm/yr;4.52;5.28;6.24;6.00;9.61;11;13;15;17;19;24;28;31;32;32
IMAGE;SSP2;RSAF;Energy Service|Transportation|Freight|Aviation;billion tkm/yr;0.77;1.01;1.00;0.80;1.47;1.89;2.30;2.87;3.43;4.04;5.47;7.31;9.58;12;14
IMAGE;SSP2;RSAM;Energy Service|Transportation|Freight|Aviation;billion tkm/yr;4.79;6.17;8.10;7.77;9.94;11;12;13;15;17;21;26;29;32;33
IMAGE;SSP2;RSAS;Energy Service|Transportation|Freight|Aviation;billion tkm/yr;1.45;1.52;1.66;1.54;3.39;4.35;5.10;6.27;7.51;8.91;12;17;23;27;30
IMAGE;SSP2;RUS;Energy Service|Transportation|Freight|Aviation;billion tkm/yr;8.08;9.70;9.53;11;17;19;20;22;23;25;27;27;27;27;27
IMAGE;SSP2;SAF;Energy Service|Transportation|Freight|Aviation;billion tkm/yr;1.26;1.38;1.48;1.56;2.02;2.25;2.45;2.73;3.02;3.38;4.28;5.13;5.73;6.09;6.25
IMAGE;SSP2;SEAS;Energy Service|Transportation|Freight|Aviation;billion tkm/yr;20;26;37;41;66;79;90;106;122;137;160;171;171;164;153
IMAGE;SSP2;STAN;Energy Service|Transportation|Freight|Aviation;billion tkm/yr;0.99;1.55;1.42;1.36;3.01;3.63;4.21;5.08;5.94;6.81;8.48;10;11;12;13
IMAGE;SSP2;TUR;Energy Service|Transportation|Freight|Aviation;billion tkm/yr;2.02;1.87;5.75;6.15;14;18;20;24;28;30;33;34;33;31;28
IMAGE;SSP2;UKR;Energy Service|Transportation|Freight|Aviation;billion tkm/yr;0.24;0.18;0.19;0.34;0.42;0.46;0.47;0.51;0.55;0.61;0.75;0.92;1.07;1.19;1.28
IMAGE;SSP2;USA;Energy Service|Transportation|Freight|Aviation;billion tkm/yr;94;82;94;92;130;140;149;163;176;190;215;237;253;264;269
IMAGE;SSP2;WAF;Energy Service|Transportation|Freight|Aviation;billion tkm/yr;1.41;2.00;1.95;2.04;3.91;4.80;5.72;6.89;8.10;9.52;13;18;23;30;37
IMAGE;SSP2;WEU;Energy Service|Transportation|Freight|Aviation;billion tkm/yr;39;39;42;43;59;64;68;74;79;83;91;98;105;111;116
IMAGE;SSP2;World;Energy Service|Transportation|Freight|Aviation;billion tkm/yr;256;272;337;352;601;698;775;889;991;1086;1242;1352;1417;1441;1435
IMAGE;SSP2;BRA;Energy Service|Transportation|Freight|International Shipping;billion tkm/yr;792;1197;1358;1146;1316;1410;1584;1793;2033;2273;2570;2848;3040;3139;3220
IMAGE;SSP2;CAN;Energy Service|Transportation|Freight|International Shipping;billion tkm/yr;2530;2362;2181;2077;2347;2379;2502;2618;2737;2851;3166;3498;3784;3999;4145
IMAGE;SSP2;CEU;Energy Service|Transportation|Freight|International Shipping;billion tkm/yr;2971;4330;3895;4301;4924;5290;5590;5852;6029;6147;6109;6113;5979;5836;5713
IMAGE;SSP2;CHN;Energy Service|Transportation|Freight|International Shipping;billion tkm/yr;7961;10728;13429;13778;16333;17950;19289;20131;20752;21166;21255;20904;19942;18810;17608
IMAGE;SSP2;EAF;Energy Service|Transportation|Freight|International Shipping;billion tkm/yr;173;273;268;296;375;463;578;716;891;1080;1511;2053;2682;3362;4051
IMAGE;SSP2;INDIA;Energy Service|Transportation|Freight|International Shipping;billion tkm/yr;795;1625;2201;2177;2743;3287;3845;4402;4931;5421;6346;7229;7871;8287;8551
IMAGE;SSP2;INDO;Energy Service|Transportation|Freight|International Shipping;billion tkm/yr;762;996;1201;1086;1343;1472;1673;1852;2009;2145;2346;2494;2565;2586;2551
IMAGE;SSP2;JAP;Energy Service|Transportation|Freight|International Shipping;billion tkm/yr;5277;4946;4306;3690;4141;4091;4141;4174;4247;4275;4269;4194;4053;3912;3756
