! Data imported from: X:\user\arpf\Environments\IMAGE_Materials\2_TIMER\outputlib\TIMER_3_4\IMAGE_Materials\SSP2\T2RT\global\pop.scn;;;;;;;;;;;;;;;;;;;;;;;;;;;;
real main.em.dem.POP[28](t) = [;;;;;;;;;;;;;;;;;;;;;;;;;;;;
unit= million;;;;;;;;;;;;;;;;;;;;;;;;;;;;
t;class_ 1;class_ 2;class_ 3;class_ 4;class_ 5;class_ 6;class_ 7;class_ 8;class_ 9;class_ 10;class_ 11;class_ 12;class_ 13;class_ 14;class_ 15;class_ 16;class_ 17;class_ 18;class_ 19;class_ 20;class_ 21;class_ 22;class_ 23;class_ 24;class_ 25;class_ 26;class_ 27;class_ 28
2059;43.31599;386.9757;152.3393;114.7736;224.7183;257.5236;310.2204;1287.335;696.4951;68.79271;434.8463;101.8568;96.67828;44.00172;108.1267;153.1685;406.0282;1630.567;67.09496;1246.301;472.4696;327.9458;100.1191;43.03369;760.255;409.5938;0;9944.576
2060;43.42338;387.9918;152.5445;114.8802;224.1914;257.6778;311.9357;1306.426;704.2542;68.74935;434.8951;101.3702;96.60603;43.78742;108.5867;152.9118;408.0496;1630.067;66.53374;1235.236;472.5651;327.9054;99.49689;43.2155;765.3074;414.7268;0;9973.335
2061;43.52203;388.9779;152.6452;114.904;223.4812;257.6327;313.2672;1324.677;711.1735;68.64473;434.81;100.8627;96.44287;43.57225;108.9258;152.5958;409.524;1627.971;65.94018;1223.747;472.2755;327.6088;98.83972;43.3719;769.5609;419.4079;0;9994.382
2062;43.62067;389.964;152.7459;114.9278;222.7709;257.5876;314.5988;1342.928;718.093;68.5401;434.7249;100.3552;96.27972;43.35708;109.2649;152.2798;410.9985;1625.876;65.34662;1212.258;471.9859;327.3122;98.18256;43.5283;773.8143;424.0889;0;10015.43
2063;43.71932;390.9501;152.8466;114.9516;222.0607;257.5424;315.9304;1361.179;725.0123;68.43548;434.6398;99.84766;96.11655;43.14192;109.604;151.9638;412.473;1623.781;64.75306;1200.769;471.6963;327.0156;97.5254;43.6847;778.0677;428.77;0;10036.48
2064;43.81797;391.9362;152.9473;114.9754;221.3504;257.4973;317.262;1379.431;731.9318;68.33085;434.5547;99.34013;95.9534;42.92675;109.943;151.6478;413.9474;1621.685;64.1595;1189.28;471.4067;326.719;96.86823;43.84109;782.3212;433.451;0;10057.53
2065;43.91661;392.9223;153.048;114.9992;220.6402;257.4522;318.5936;1397.682;738.8511;68.22623;434.4696;98.8326;95.79025;42.71158;110.2821;151.3318;415.4219;1619.59;63.56594;1177.791;471.1171;326.4224;96.21107;43.99749;786.5746;438.1321;0;10078.57
2066;44.00869;393.8694;153.0515;114.9446;219.7728;257.2262;319.599;1414.872;744.9037;68.064;434.3762;98.31142;95.56427;42.50081;110.5448;150.9886;416.3962;1616.08;62.98769;1166.575;470.5033;325.9084;95.51569;44.131;789.9879;442.2968;0;10092.98
2067;44.10076;394.8166;153.055;114.89;218.9053;257.0002;320.6044;1432.061;750.9564;67.90178;434.2827;97.79026;95.33829;42.29004;110.8076;150.6454;417.3704;1612.571;62.40945;1155.358;469.8895;325.3945;94.8203;44.2645;793.4011;446.4615;0;10107.39
2068;44.19283;395.7637;153.0584;114.8354;218.0379;256.7742;321.6098;1449.251;757.009;67.73956;434.1893;97.26909;95.11231;42.07927;111.0703;150.3022;418.3446;1609.061;61.8312;1144.142;469.2758;324.8806;94.12492;44.398;796.8144;450.6262;0;10121.79
2069;44.2849;396.7108;153.0619;114.7808;217.1704;256.5482;322.6152;1466.441;763.0616;67.57734;434.0959;96.74792;94.88633;41.8685;111.333;149.9589;419.3188;1605.552;61.25296;1132.925;468.662;324.3666;93.42953;44.5315;800.2276;454.7909;0;10136.2
2070;44.37697;397.658;153.0654;114.7262;216.303;256.3223;323.6206;1483.63;769.1142;67.41512;434.0024;96.22675;94.66035;41.65772;111.5957;149.6157;420.2931;1602.042;60.67471;1121.709;468.0482;323.8527;92.73415;44.665;803.6409;458.9556;0;10150.61
2071;44.45262;398.4932;152.9773;114.597;215.3016;255.9278;324.4;1499.543;774.1315;67.20634;433.9384;95.71319;94.38615;41.4552;111.7962;149.2692;420.8455;1597.089;60.12324;1110.922;467.1239;323.1553;92.032;44.77533;806.199;462.5891;0;10158.44
2072;44.52827;399.3284;152.8893;114.4677;214.3003;255.5333;325.1794;1515.455;779.1487;66.99757;433.8743;95.19962;94.11193;41.25269;111.9968;148.9226;421.3979;1592.136;59.57177;1100.135;466.1996;322.458;91.32985;44.88567;808.7571;466.2227;0;10166.28
2073;44.60392;400.1636;152.8013;114.3385;213.299;255.1388;325.9588;1531.368;784.166;66.7888;433.8102;94.68605;93.83772;41.05016;112.1973;148.5761;421.9504;1587.183;59.02029;1089.349;465.2753;321.7607;90.62769;44.99599;811.3152;469.8562;0;10174.12
2074;44.67957;400.9988;152.7133;114.2093;212.2977;254.7443;326.7382;1547.28;789.1833;66.58002;433.7462;94.17249;93.56351;40.84764;112.3978;148.2295;422.5028;1582.229;58.46882;1078.562;464.351;321.0634;89.92554;45.10633;813.8734;473.4897;0;10181.95
2075;44.75523;401.834;152.6253;114.08;211.2963;254.3498;327.5176;1563.193;794.2006;66.37125;433.6821;93.65892;93.2893;40.64513;112.5983;147.883;423.0553;1577.276;57.91734;1067.776;463.4267;320.366;89.2234;45.21666;816.4315;477.1232;0;10189.79
2076;44.80446;402.4528;152.4615;113.8781;210.1819;253.7895;328.114;1577.532;798.254;66.11935;433.5977;93.17551;92.97519;40.45237;112.7376;147.5395;423.274;1571.142;57.39056;1057.175;462.2506;319.4771;88.56748;45.30008;818.1417;480.1167;0;10190.9
2077;44.85369;403.0716;152.2978;113.6763;209.0675;253.2292;328.7103;1591.871;802.3074;65.86745;433.5132;92.6921;92.66108;40.25961;112.8769;147.196;423.4927;1565.008;56.86378;1046.575;461.0746;318.5882;87.91156;45.3835;819.8518;483.1102;0;10192.01
2078;44.90293;403.6904;152.134;113.4744;207.9531;252.6688;329.3067;1606.21;806.3607;65.61554;433.4287;92.20869;92.34696;40.06686;113.0162;146.8526;423.7114;1558.873;56.33699;1035.975;459.8985;317.6992;87.25565;45.46691;821.562;486.1037;0;10193.12
2079;44.95216;404.3092;151.9702;113.2725;206.8387;252.1085;329.9031;1620.549;810.4141;65.36364;433.3443;91.72528;92.03285;39.8741;113.1554;146.5091;423.9301;1552.739;55.81021;1025.375;458.7224;316.8103;86.59972;45.55033;823.2721;489.0972;0;10194.23
2080;45.0014;404.928;151.8064;113.0706;205.7243;251.5482;330.4995;1634.888;814.4675;65.11174;433.2598;91.24187;91.71874;39.68134;113.2947;146.1656;424.1488;1546.604;55.28343;1014.774;457.5464;315.9214;85.94381;45.63375;824.9822;492.0907;0;10195.34
2081;45.01755;405.2854;151.5842;112.8076;204.5598;250.8556;330.9155;1647.454;817.6559;64.83875;433.0752;90.80108;91.37256;39.49797;113.3789;145.8302;424.1211;1539.67;54.77887;1004.391;456.1297;314.8637;85.3501;45.6843;825.9816;494.3891;0;10190.29
2082;45.0337;405.6428;151.362;112.5446;203.3954;250.163;331.3315;1660.019;820.8444;64.56575;432.8906;90.36029;91.02637;39.3146;113.4631;145.4948;424.0934;1532.736;54.27432;994.0077;454.713;313.806;84.75639;45.73486;826.9809;496.6876;0;10185.24
2083;45.04985;406.0002;151.1398;112.2816;202.2309;249.4704;331.7476;1672.585;824.0328;64.29276;432.706;89.91951;90.68018;39.13122;113.5473;145.1595;424.0657;1525.801;53.76976;983.6245;453.2964;312.7482;84.16268;45.78541;827.9803;498.9861;0;10180.19
2084;45.066;406.3576;150.9175;112.0186;201.0664;248.7778;332.1636;1685.15;827.2212;64.01976;432.5214;89.47872;90.334;38.94785;113.6315;144.8241;424.038;1518.867;53.26521;973.2412;451.8797;311.6905;83.56898;45.83596;828.9796;501.2845;0;10175.15
2085;45.08215;406.715;150.6953;111.7555;199.902;248.0852;332.5796;1697.716;830.4096;63.74676;432.3368;89.03793;89.98782;38.76448;113.7157;144.4887;424.0103;1511.933;52.76065;962.858;450.463;310.6328;82.97527;45.88652;829.9789;503.583;0;10170.1
2086;45.06465;406.8353;150.426;111.4449;198.7219;247.2918;332.8347;1708.352;832.835;63.45617;432.0089;88.64168;89.6196;38.58986;113.7511;144.1554;423.7994;1504.555;52.26313;953.0565;448.8734;309.4305;82.42447;45.90361;830.4405;505.2302;0;10160.01
2087;45.04715;406.9556;150.1568;111.1342;197.5418;246.4984;333.0897;1718.989;835.2604;63.16559;431.6809;88.24543;89.25138;38.41525;113.7865;143.8222;423.5886;1497.177;51.76562;943.255;447.2837;308.2281;81.87367;45.92071;830.902;506.8774;0;10149.91
2088;45.02964;407.076;149.8875;110.8236;196.3618;245.705;333.3448;1729.625;837.6859;62.875;431.3529;87.84917;88.88316;38.24063;113.8218;143.489;423.3777;1489.799;51.2681;933.4536;445.6941;307.0257;81.32287;45.93781;831.3635;508.5247;0;10139.82
2089;45.01214;407.1963;149.6183;110.513;195.1817;244.9116;333.5998;1740.262;840.1113;62.58442;431.025;87.45293;88.51495;38.06601;113.8572;143.1558;423.1668;1482.422;50.77059;923.652;444.1044;305.8234;80.77207;45.95491;831.825;510.1719;0;10129.72
2090;44.99463;407.3167;149.349;110.2023;194.0016;244.1182;333.8549;1750.898;842.5367;62.29383;430.6971;87.05667;88.14673;37.8914;113.8926;142.8225;422.956;1475.044;50.27307;913.8506;442.5148;304.621;80.22128;45.97201;832.2866;511.8191;0;10119.63
2091;44.94956;407.2697;149.0522;109.8578;192.8379;243.2518;333.8992;1759.446;844.2122;61.98644;430.2232;86.69746;87.76517;37.72;113.8856;142.4726;422.5666;1467.39;49.77873;904.7745;440.8158;303.2971;79.68707;45.96174;832.2941;512.9517;0;10105.04
2092;44.90449;407.2228;148.7553;109.5134;191.6742;242.3854;333.9436;1767.994;845.8877;61.67905;429.7493;86.33826;87.3836;37.54861;113.8786;142.1227;422.1772;1459.735;49.2844;895.6985;439.1168;301.9733;79.15287;45.95148;832.3016;514.0843;0;10090.46
2093;44.85942;407.1759;148.4585;109.1689;190.5105;241.519;333.988;1776.542;847.5632;61.37166;429.2754;85.97905;87.00204;37.37721;113.8716;141.7728;421.7877;1452.081;48.79006;886.6224;437.4178;300.6494;78.61868;45.94121;832.3091;515.2169;0;10075.87
2094;44.81435;407.129;148.1617;108.8244;189.3467;240.6525;334.0323;1785.09;849.2386;61.06427;428.8015;85.61984;86.62047;37.20581;113.8646;141.4228;421.3983;1444.427;48.29572;877.5464;435.7188;299.3255;78.08447;45.93095;832.3167;516.3495;0;10061.28
2095;44.76928;407.082;147.8648;108.48;188.183;239.7861;334.0767;1793.637;850.9141;60.75689;428.3277;85.26064;86.23891;37.03442;113.8575;141.0729;421.0089;1436.773;47.80138;868.4703;434.0198;298.0016;77.55027;45.92068;832.3242;517.4821;0;10046.7
2096;44.70413;406.9001;147.5292;108.1189;187.0568;238.8807;333.8974;1800.1;851.8928;60.43518;427.6989;84.91875;85.84749;36.85585;113.7946;140.6702;420.4164;1429.026;47.33247;859.8127;432.2571;296.5885;77.01277;45.89003;831.9905;518.1722;0;10027.8
2097;44.63897;406.7181;147.1936;107.7577;185.9305;237.9752;333.718;1806.563;852.8715;60.11348;427.0701;84.57687;85.45607;36.67728;113.7317;140.2676;419.824;1421.278;46.86356;851.1552;430.4944;295.1754;76.47527;45.85939;831.6567;518.8623;0;10008.9
2098;44.57382;406.5361;146.858;107.3966;184.8043;237.0697;333.5387;1813.026;853.8502;59.79177;426.4413;84.23499;85.06465;36.49872;113.6688;139.8649;419.2315;1413.531;46.39465;842.4976;428.7317;293.7623;75.93777;45.82874;831.3229;519.5524;0;9990.01
2099;44.50867;406.3542;146.5224;107.0355;183.678;236.1643;333.3593;1819.49;854.8288;59.47007;425.8126;83.89311;84.67323;36.32015;113.6059;139.4623;418.6391;1405.784;45.92574;833.84;426.969;292.3492;75.40027;45.79809;830.9891;520.2425;0;9971.114
2100;44.44352;406.1722;146.1868;106.6744;182.5518;235.2588;333.18;1825.953;855.8075;59.14837;425.1838;83.55123;84.28181;36.14159;113.543;139.0596;418.0466;1398.036;45.45682;825.1824;425.2063;290.9361;74.86277;45.76744;830.6554;520.9326;0;9952.22
