Index,class_ 1,class_ 10,class_ 11,class_ 12,class_ 13,class_ 14,class_ 15,class_ 16,class_ 17,class_ 18,class_ 19,class_ 2,class_ 20,class_ 21,class_ 22,class_ 23,class_ 24,class_ 25,class_ 26,class_ 3,class_ 4,class_ 5,class_ 6,class_ 7,class_ 8,class_ 9
1987,13438871.85,4032550.769,142223888.2,20486137.97,12459195.11,5227494.59,4106371.192,21466190.65,9299342.812,39972839.73,11238842.39,107875521,183536664.8,18100345.02,6991648.033,45462529.42,7182164.934,16912667.58,4761748.067,2399403.506,6110732.211,9324184.101,12513047.38,4491717.738,10838766.96,7761497.361
1988,15119838.52,4133184.568,161507290.6,12824040.43,4519024.211,5729208.065,3141076.097,22872723.6,16313496.67,43375708.52,11669733.95,112713196.7,188516099.6,20402351.08,6531915.764,63282040.87,10643988.28,17055706.31,3801848.547,25136731.08,6880079.949,14606338.37,6351541.18,9136767.25,13595220.62,6807365.607
1989,13310721.28,3897545.047,145624659.3,10609513.27,4154293.72,99644.82296,2703470.064,137216.5217,15673408.35,43177425.31,13571196.82,123634690.5,175090766.6,21766614.59,9599053.089,58525607.59,5686984.517,17298864.76,5040928.285,21887233.1,6167390.822,15652748.69,2684732.863,10765371.02,11715608.64,7332965.918
1990,9560538.578,3035485.697,154093262.1,9973678.848,15504630.24,3267873.569,2344622.727,16683699.19,3074138.922,43070887.35,14007401.89,92719710.19,167978863.2,24626711.76,12400539.09,54749181.4,12883103.24,18726897.89,3959107.004,19370358.53,4096850.187,16814440.94,16414179.31,9059902.469,13023501.48,7001438.498
1991,5430502.82,2184796.189,134663557.6,225625.9515,6708403.462,72294.42638,200687.7781,8677192.658,20680631.13,40406901.98,14420997.51,67724432.56,181464790.7,19586603.14,10654521.13,50469116.75,2199707.043,19716693.77,4994401.152,17483189.18,5335121.42,25400670.53,26078934.07,7990159.369,14079441.16,6763200.414
1992,8986456.924,2297766.529,121734196.9,7388658.201,8752259.518,58742.38034,2769686.116,21944814.38,30237107.6,43432150.16,14664246.08,128132606.7,188047670.1,22663634.37,10002693.6,42884625.35,4789862.395,19997177.43,3035192.406,17439189.69,5636124.801,3166310.709,27902409.4,9377058.916,12944070.96,6982445.303
1993,9280781.364,2803166.268,90173767.61,8204043.72,14076409.66,6747753.74,1529154.476,4126562.862,9982795.873,44999776.35,14222819.66,101473360.8,181119413.2,26086006.55,12474105.19,40654739.17,7535886.207,19808178.35,2733976.626,15778682.75,4818789.351,12435556.74,24014576.32,7741070.832,13823673.29,7142427.846
1994,13300850.81,4001965.927,131123084.1,19978435.68,114633.0278,15538.24202,107885.472,4783335.014,28093765.41,46051395.22,18129698.98,115341415,172856804.7,27947317.7,11548626.97,46963798.39,9491847.15,19209837.3,4500061.357,19135318.66,6478548.041,24469107.5,24748557.81,10507595.88,13186553.49,7207773.121
1995,9617971.011,5248232.602,124799803.1,28288594.47,11429118.01,346529.3549,1926160.158,21223684.4,13552134.53,51891899.13,20540893.49,99811690.4,175458390.8,26601110.78,12548743.47,47416993.21,12306781.65,21133821.75,5700147.534,69629.49563,7764468.778,85546808.13,17093425.18,7206458.078,15737067.53,8574278.787
1996,10113739.8,5835558.606,133489446.3,29292057.16,14638844.85,1238235.868,2119833.009,1559101.994,19555396.01,52343805.32,19862661.58,131863573.1,179831082.6,26496160.13,12244309.44,47250692.84,10647031.64,21300307.99,6035521.843,13699900.74,9323024.958,25034009.38,12381709.1,10490422.64,16137835.58,8206803.819
