Time,type_data,unit,Region,category,technology,sub_technology,material,value,min,max
2020,inflow,kg/MW,World,generation,CSP,solar tower,plastics,0.0,,
2020,inflow,kg/MW,World,generation,CSP,solar tower,glass,155986,,
2020,inflow,kg/MW,World,generation,CSP,solar tower,copper,3146,,
2020,inflow,kg/MW,World,generation,CSP,solar tower,neodymium,0.0,,
2020,inflow,kg/MW,World,generation,CSP,solar tower,tantalum,0.0,,
2020,inflow,kg/MW,World,generation,CSP,solar tower,cobalt,0.0,,
2020,inflow,kg/MW,World,generation,CSP,solar tower,lead,0.0,,
2020,inflow,kg/MW,World,generation,CSP,solar tower,manganese,4685.0,,
2020,inflow,kg/MW,World,generation,CSP,solar tower,nickel,1570.0,,
#
2020,inflow,kg/MW,World,generation,CSP,parabolic trough,steel,576235,,
2020,inflow,kg/MW,World,generation,CSP,parabolic trough,aluminium,740,,
2020,inflow,kg/MW,World,generation,CSP,parabolic trough,concrete,1351812,,
2020,inflow,kg/MW,World,generation,CSP,parabolic trough,plastics,0.0,,
2020,inflow,kg/MW,World,generation,CSP,parabolic trough,glass,155986,,
2020,inflow,kg/MW,World,generation,CSP,parabolic trough,copper,3146,,
2020,inflow,kg/MW,World,generation,CSP,parabolic trough,neodymium,0.0,,
2020,inflow,kg/MW,World,generation,CSP,parabolic trough,tantalum,0.0,,
2020,inflow,kg/MW,World,generation,CSP,parabolic trough,cobalt,0.0,,
2020,inflow,kg/MW,World,generation,CSP,parabolic trough,lead,0.0,,
2020,inflow,kg/MW,World,generation,CSP,parabolic trough,manganese,2775.0,,
2020,inflow,kg/MW,World,generation,CSP,parabolic trough,nickel,1135.0,,
#
2020,inflow,kg/MW,World,generation,Solar PV,SPV_tech1,steel,150000.0,,
2020,inflow,kg/MW,World,generation,Solar PV,SPV_tech1,aluminium,10176.0,,
2020,inflow,kg/MW,World,generation,Solar PV,SPV_tech1,concrete,0.0,,
2020,inflow,kg/MW,World,generation,Solar PV,SPV_tech1,plastics,0.0,,
2020,inflow,kg/MW,World,generation,Solar PV,SPV_tech1,glass,0.0,,
2020,inflow,kg/MW,World,generation,Solar PV,SPV_tech1,copper,6341.8,,
2020,inflow,kg/MW,World,generation,Solar PV,SPV_tech1,neodymium,0.0,,
2020,inflow,kg/MW,World,generation,Solar PV,SPV_tech1,tantalum,0.0,,
2020,inflow,kg/MW,World,generation,Solar PV,SPV_tech1,cobalt,0.0,,
2020,inflow,kg/MW,World,generation,Solar PV,SPV_tech1,lead,121.643,,
2020,inflow,kg/MW,World,generation,Solar PV,SPV_tech1,manganese,0.0,,
2020,inflow,kg/MW,World,generation,Solar PV,SPV_tech1,nickel,1.2,,
#
2020,inflow,kg/MW,World,generation,Solar PV residential,SPVR_tech1,steel,150000.0,,
2020,inflow,kg/MW,World,generation,Solar PV residential,SPVR_tech1,aluminium,10176.0,,
2020,inflow,kg/MW,World,generation,Solar PV residential,SPVR_tech1,concrete,0.0,,
2020,inflow,kg/MW,World,generation,Solar PV residential,SPVR_tech1,plastics,0.0,,
2020,inflow,kg/MW,World,generation,Solar PV residential,SPVR_tech1,glass,0.0,,
2020,inflow,kg/MW,World,generation,Solar PV residential,SPVR_tech1,copper,6341.8,,
2020,inflow,kg/MW,World,generation,Solar PV residential,SPVR_tech1,neodymium,0.0,,
2020,inflow,kg/MW,World,generation,Solar PV residential,SPVR_tech1,tantalum,0.0,,
2020,inflow,kg/MW,World,generation,Solar PV residential,SPVR_tech1,cobalt,0.0,,
2020,inflow,kg/MW,World,generation,Solar PV residential,SPVR_tech1,lead,121.643,,
2020,inflow,kg/MW,World,generation,Solar PV residential,SPVR_tech1,manganese,0.0,,
2020,inflow,kg/MW,World,generation,Solar PV residential,SPVR_tech1,nickel,1.2,,
#
2020,inflow,kg/MW,World,generation,Wave,WAVE_tech1,steel,999819.0409,,
2020,inflow,kg/MW,World,generation,Wave,WAVE_tech1,aluminium,1319.135915,,
2020,inflow,kg/MW,World,generation,Wave,WAVE_tech1,concrete,3146317.537,,
2020,inflow,kg/MW,World,generation,Wave,WAVE_tech1,plastics,76268.83402,,
2020,inflow,kg/MW,World,generation,Wave,WAVE_tech1,glass,0.0,,
2020,inflow,kg/MW,World,generation,Wave,WAVE_tech1,copper,11679.88661,,
