Time,type_data,unit,Region,sector,technology,sub_technology,material,value,min,max
2020,inflow,kg/MW,World,generation,WON,DD-PMSG,lead,0,6720,6720
2020,inflow,kg/MW,World,generation,WON,DD-PMSG,lithium,1.85,0.7,3
2020,inflow,kg/MW,World,generation,WON,DD-PMSG,manganese,2450,56.5,3000
2020,inflow,kg/MW,World,generation,WON,DD-PMSG,molybdenum,0,75.30000000000001,126
2020,inflow,kg/MW,World,generation,WON,DD-PMSG,neodymium,180,0,217.19375
2020,inflow,kg/MW,World,generation,WON,DD-PMSG,nickel,3500,111,4800
2020,inflow,kg/MW,World,generation,WON,DD-PMSG,niobium,0.4,0.3,37.699999999999996
2020,inflow,kg/MW,World,generation,WON,DD-PMSG,plastics,28500,6300,39000
2020,inflow,kg/MW,World,generation,WON,DD-PMSG,praseodymium,35,0,50.625
2020,inflow,kg/MW,World,generation,WON,DD-PMSG,selenium,0,0,0
2020,inflow,kg/MW,World,generation,WON,DD-PMSG,silicon,0,0,0
2020,inflow,kg/MW,World,generation,WON,DD-PMSG,silver,0,0.03,0.03
2020,inflow,kg/MW,World,generation,WON,DD-PMSG,steel,143000,92120,179000
2020,inflow,kg/MW,World,generation,WON,DD-PMSG,tantalum,0,0,0
2020,inflow,kg/MW,World,generation,WON,DD-PMSG,tellurium,0,0,0
2020,inflow,kg/MW,World,generation,WON,DD-PMSG,terbium,7,0,7
2020,inflow,kg/MW,World,generation,WON,DD-PMSG,tin,0.25,0.2,0.3
2020,inflow,kg/MW,World,generation,WON,DD-PMSG,titanium,63,49,77
2020,inflow,kg/MW,World,generation,WON,DD-PMSG,vanadium,0.00035,0.0002,90.39999999999999
2020,inflow,kg/MW,World,generation,WON,DD-PMSG,zinc,70,0,5500
2020,inflow,kg/MW,World,generation,WON,DD-EESG,aluminium,3550,500,4200
2020,inflow,kg/MW,World,generation,WON,DD-EESG,boron,0,0,7.3625
2020,inflow,kg/MW,World,generation,WON,DD-EESG,cadmium,0,0,0
2020,inflow,kg/MW,World,generation,WON,DD-EESG,chromium,2600,239,4000
2020,inflow,kg/MW,World,generation,WON,DD-EESG,cobalt,4.5,3,6
2020,inflow,kg/MW,World,generation,WON,DD-EESG,concrete,404000,317800,414000
2020,inflow,kg/MW,World,generation,WON,DD-EESG,copper,2545,1130,10000
2020,inflow,kg/MW,World,generation,WON,DD-EESG,dysprosium,6,0,42
2020,inflow,kg/MW,World,generation,WON,DD-EESG,gallium,0.07500000000000001,0.05,0.1
2020,inflow,kg/MW,World,generation,WON,DD-EESG,glass,7490,7280,7490
2020,inflow,kg/MW,World,generation,WON,DD-EESG,graphite,10,3,17
2020,inflow,kg/MW,World,generation,WON,DD-EESG,indium,0,0,0
2020,inflow,kg/MW,World,generation,WON,DD-EESG,lead,0,6720,6720
2020,inflow,kg/MW,World,generation,WON,DD-EESG,lithium,1.85,0.7,3
2020,inflow,kg/MW,World,generation,WON,DD-EESG,manganese,2450,56.5,3000
2020,inflow,kg/MW,World,generation,WON,DD-EESG,molybdenum,0,75.30000000000001,126
2020,inflow,kg/MW,World,generation,WON,DD-EESG,neodymium,28,0,217.19375
2020,inflow,kg/MW,World,generation,WON,DD-EESG,nickel,3500,111,4800
2020,inflow,kg/MW,World,generation,WON,DD-EESG,niobium,0.4,0.3,37.699999999999996
2020,inflow,kg/MW,World,generation,WON,DD-EESG,plastics,28500,6300,39000
2020,inflow,kg/MW,World,generation,WON,DD-EESG,praseodymium,9,0,50.625
2020,inflow,kg/MW,World,generation,WON,DD-EESG,selenium,0,0,0
2020,inflow,kg/MW,World,generation,WON,DD-EESG,silicon,0,0,0
2020,inflow,kg/MW,World,generation,WON,DD-EESG,silver,0,0.03,0.03
2020,inflow,kg/MW,World,generation,WON,DD-EESG,steel,143000,92120,179000
2020,inflow,kg/MW,World,generation,WON,DD-EESG,tantalum,0,0,0
2020,inflow,kg/MW,World,generation,WON,DD-EESG,tellurium,0,0,0
2020,inflow,kg/MW,World,generation,WON,DD-EESG,terbium,1,0,7
2020,inflow,kg/MW,World,generation,WON,DD-EESG,tin,0.25,0.2,0.3
2020,inflow,kg/MW,World,generation,WON,DD-EESG,titanium,63,49,77
2020,inflow,kg/MW,World,generation,WON,DD-EESG,vanadium,0.00035,0.0002,90.39999999999999
2020,inflow,kg/MW,World,generation,WON,DD-EESG,zinc,70,0,5500
2020,inflow,kg/MW,World,generation,WOFF,GB-DFIG,aluminium,1600,600,2600
2020,inflow,kg/MW,World,generation,WOFF,GB-DFIG,boron,0,239,845.5
2020,inflow,kg/MW,World,generation,WOFF,GB-DFIG,cadmium,0,0,0
