Time,type_data,unit,Region,sector,technology,sub_technology,value
2050,inflow,share,World,generation,OlCC,tech1,1
2010,inflow,share,World,generation,NGCC,tech1,1
2050,inflow,share,World,generation,NGCC,tech1,1
2010,inflow,share,World,generation,BioCC,tech1,1
2050,inflow,share,World,generation,BioCC,tech1,1
2010,inflow,share,World,generation,ClCS,tech1,1
2050,inflow,share,World,generation,ClCS,tech1,1
2010,inflow,share,World,generation,OlCS,tech1,1
2050,inflow,share,World,generation,OlCS,tech1,1
2010,inflow,share,World,generation,NGCS,tech1,1
2050,inflow,share,World,generation,NGCS,tech1,1
2010,inflow,share,World,generation,BioCS,tech1,1
2050,inflow,share,World,generation,BioCS,tech1,1
2010,inflow,share,World,generation,ClCHP,tech1,1
2050,inflow,share,World,generation,ClCHP,tech1,1
2010,inflow,share,World,generation,OlCHP,tech1,1
2050,inflow,share,World,generation,OlCHP,tech1,1
2010,inflow,share,World,generation,NGCHP,tech1,1
2050,inflow,share,World,generation,NGCHP,tech1,1
2010,inflow,share,World,generation,BioCHP,tech1,1
2050,inflow,share,World,generation,BioCHP,tech1,1
2010,inflow,share,World,generation,ClCHPCS,tech1,1
2050,inflow,share,World,generation,ClCHPCS,tech1,1
2010,inflow,share,World,generation,OlCHPCS,tech1,1
2050,inflow,share,World,generation,OlCHPCS,tech1,1
2010,inflow,share,World,generation,NGCHPCS,tech1,1
2050,inflow,share,World,generation,NGCHPCS,tech1,1
2010,inflow,share,World,generation,BioCHPCS,tech1,1
2050,inflow,share,World,generation,BioCHPCS,tech1,1
2010,inflow,share,World,generation,GeoCHP,tech1,1
2050,inflow,share,World,generation,GeoCHP,tech1,1
2010,inflow,share,World,generation,H2CHP,tech1,1
2050,inflow,share,World,generation,H2CHP,tech1,1
