Time,source,type_data,unit,Region,category,technology,sub_technology,value
2022,IEA_Global_EV_Outlook_2025,inflow,share,World,EV_battery_all_modes,battery,LFP,0.38
2022,IEA_Global_EV_Outlook_2025,inflow,share,World,EV_battery_all_modes,battery,Na-ion,0
2023,IEA_Global_EV_Outlook_2025,inflow,share,World,EV_battery_all_modes,battery,low-nickel,0.07
2023,IEA_Global_EV_Outlook_2025,inflow,share,World,EV_battery_all_modes,battery,high-nickel,0.52
2023,IEA_Global_EV_Outlook_2025,inflow,share,World,EV_battery_all_modes,battery,LFP,0.41
2023,IEA_Global_EV_Outlook_2025,inflow,share,World,EV_battery_all_modes,battery,Na-ion,0
2024,IEA_Global_EV_Outlook_2025,inflow,share,World,EV_battery_all_modes,battery,low-nickel,0.04
2024,IEA_Global_EV_Outlook_2025,inflow,share,World,EV_battery_all_modes,battery,high-nickel,0.46
2024,IEA_Global_EV_Outlook_2025,inflow,share,World,EV_battery_all_modes,battery,LFP,0.5
2024,IEA_Global_EV_Outlook_2025,inflow,share,World,EV_battery_all_modes,battery,Na-ion,0
2030,own assumption,inflow,share,World,EV_battery_all_modes,battery,low-nickel,0
2030,own assumption,inflow,share,World,EV_battery_all_modes,battery,high-nickel,0.37
2030,own assumption,inflow,share,World,EV_battery_all_modes,battery,LFP,0.62
2030,own assumption,inflow,share,World,EV_battery_all_modes,battery,Na-ion,0.01
2035,own assumption,inflow,share,World,EV_battery_all_modes,battery,low-nickel,0
2035,own assumption,inflow,share,World,EV_battery_all_modes,battery,high-nickel,0.28
2035,own assumption,inflow,share,World,EV_battery_all_modes,battery,LFP,0.7
2035,own assumption,inflow,share,World,EV_battery_all_modes,battery,Na-ion,0.02
2040,own assumption,inflow,share,World,EV_battery_all_modes,battery,low-nickel,0
2040,own assumption,inflow,share,World,EV_battery_all_modes,battery,high-nickel,0.16999999999999996
2040,own assumption,inflow,share,World,EV_battery_all_modes,battery,LFP,0.8
2040,own assumption,inflow,share,World,EV_battery_all_modes,battery,Na-ion,0.03
2045,own assumption,inflow,share,World,EV_battery_all_modes,battery,low-nickel,0
2045,own assumption,inflow,share,World,EV_battery_all_modes,battery,high-nickel,0.15999999999999995
2045,own assumption,inflow,share,World,EV_battery_all_modes,battery,LFP,0.8
2045,own assumption,inflow,share,World,EV_battery_all_modes,battery,Na-ion,0.04
2050,own assumption,inflow,share,World,EV_battery_all_modes,battery,low-nickel,0
2050,own assumption,inflow,share,World,EV_battery_all_modes,battery,high-nickel,0.14999999999999997
2050,own assumption,inflow,share,World,EV_battery_all_modes,battery,LFP,0.8
2050,own assumption,inflow,share,World,EV_battery_all_modes,battery,Na-ion,0.05
