Time,type_data,unit,Region,category,technology,sub_technology,value,min,max
2050,inflow,kWh/vehicle,World,EV_battery,Light Commercial Vehicles,Light Commercial Vehicles - BEV,114.99999999999999,114.99999999999999,114.99999999999999
2050,inflow,kWh/vehicle,World,EV_battery,Light Commercial Vehicles,Light Commercial Vehicles - HEV,11.635826771653543,11.635826771653543,11.635826771653543
2050,inflow,kWh/vehicle,World,EV_battery,Light Commercial Vehicles,Light Commercial Vehicles - PHEV,24.99212598425197,24.99212598425197,24.99212598425197
2050,inflow,kWh/vehicle,World,EV_battery,Medium Freight Trucks,Medium Freight Trucks - BEV,402.49999999999994,210,580
2050,inflow,kWh/vehicle,World,EV_battery,Medium Freight Trucks,Medium Freight Trucks - HEV,29.06944444444444,29.06944444444444,29.06944444444444
2050,inflow,kWh/vehicle,World,EV_battery,Medium Freight Trucks,Medium Freight Trucks - PHEV,62.61111111111111,62.61111111111111,62.61111111111111
2050,inflow,kWh/vehicle,World,EV_battery,Midi Buses,Midi Buses - BEV,250,250,250
2050,inflow,kWh/vehicle,World,EV_battery,Midi Buses,Midi Buses - HEV,16.16300366300366,16.16300366300366,16.16300366300366
2050,inflow,kWh/vehicle,World,EV_battery,Midi Buses,Midi Buses - PHEV,34.7985347985348,34.7985347985348,34.7985347985348
2050,inflow,kWh/vehicle,World,EV_battery,Regular Buses,Regular Buses - BEV,500,300,650
2050,inflow,kWh/vehicle,World,EV_battery,Regular Buses,Regular Buses - HEV,35.90764331210191,35.90764331210191,35.90764331210191
2050,inflow,kWh/vehicle,World,EV_battery,Regular Buses,Regular Buses - PHEV,77.26910828025478,77.26910828025478,77.26910828025478
2050,inflow,kWh/vehicle,World,EV_battery,Regular Buses,Regular Buses - Trolley,46.97452229299363,46.97452229299363,46.97452229299363
