,Type,aluminium,cobalt,copper,glass,lead,neodymium,plastics,rubber,steel,wood
0,Cars,0.1065705563957895,0.0087065466754487,0.0014705,0.001182,0.02699869718849545,0.000138,0.0135951419394838,0.0768615909765632,0.12531060032062832,0.0
1,Heavy Freight Trucks,0.010206789772727251,0.0087065466754487,0.0042227272727272495,0.001182,0.00323863636363635,0.000138,0.0027579545454545,0.233,0.0979352556818181,0.0
2,High Speed Trains,0.3501763150289017,0.0,0.060030225433526,4.6242774566474e-06,0.0,0.0,0.0025397109826589,0.0150512716763005,0.5902972167630057,9.826589595375722e-07
3,Light Commercial Vehicles,0.1065705563957895,0.0087065466754487,0.0003,0.001182,0.013,0.000138,0.012,0.233,0.022,0.0
4,Medium Freight Trucks,0.019465,0.0087065466754487,0.0063925,0.001182,0.00375,0.000138,0.003225,0.233,0.1865174999999999,0.0
5,Midi Buses,0.0038289655172413,0.0087065466754487,0.0013582758620689,0.001182,0.013,0.000138,0.0007448275862068,0.233,0.0435368965517241,0.0
6,Regular Buses,0.0032244827586206,0.0087065466754487,0.001288448275862,0.001182,0.013,0.000138,0.0007448275862068,0.233,0.0381663793103448,0.0
7,Trains,0.12161345888820889,0.0,0.0208480215236929,0.011214624739687951,0.0,0.0,0.04757971613812665,0.0158813083038008,0.20500554498298068,0.00809052281611925
