Time,unit,Region,sector,technology,sub_technology,material,value,min,max
2020,kg/count,World,vehicles,cars,PHEV,glass,41.123685799,41.123685799,41.123685799
2020,kg/count,World,vehicles,cars,PHEV,wood,12.734386203000001,12.734386203000001,12.734386203000001
2020,kg/count,World,vehicles,cars,PHEV,rubber,40.255489873,40.255489873,40.255489873
2020,kg/count,World,vehicles,cars,PHEV,lead,2.48767167,2.48767167,2.48767167
2020,kg/count,World,vehicles,cars,PHEV,cobalt,0.030762,0.025902972417028547,0.03607914015228976
2020,kg/count,World,vehicles,cars,PHEV,neodymium,0.24,0.10338461538461535,0.7753846153846152
2020,kg/count,World,vehicles,cars,PHEV,lithium,0.005533333333333334,0.0014000000000000002,0.01
2020,kg/count,World,vehicles,cars,PHEV,manganese,11,6.2264150943396235,11
2020,kg/count,World,vehicles,cars,PHEV,platinum,0.0030181481481481474,0.0001,0.0081
2020,kg/count,World,vehicles,cars,PHEV,magnesium,6.4,3.2,9.600000000000001
2020,kg/count,World,vehicles,cars,PHEV,molybdenum,0.305,0.305,0.63
2020,kg/count,World,vehicles,cars,PHEV,niobium,0.128,0.063,0.128
2020,kg/count,World,vehicles,cars,PHEV,silver,0.015,0.015,0.03749999999999999
2020,kg/count,World,vehicles,cars,PHEV,tantalum,0.01083,0.007917731092436976,0.015016386554621848
2020,kg/count,World,vehicles,cars,PHEV,palladium,0.0054,0.0015428571428571427,0.007714285714285715
2020,kg/count,World,vehicles,cars,PHEV,dysprosium,0.115,0.013635714285714279,0.44357142857142856
2020,kg/count,World,vehicles,cars,PHEV,praseodymium,0.00401,0.0010936363636363635,0.00756094276094276
2020,kg/count,World,vehicles,cars,PHEV,samarium,0.0014,0.0011358490566037737,0.0019283018867924527
2020,kg/count,World,vehicles,cars,PHEV,cerium,0.03,0.0004142857142857108,0.05285714285714285
2020,kg/count,World,vehicles,cars,PHEV,gallium,0.00057,0.00012905660377358485,0.0009033962264150942
2020,kg/count,World,vehicles,cars,PHEV,indium,8e-05,2.068965517241379e-05,0.00015724137931034485
2020,kg/count,World,vehicles,cars,PHEV,yttrium,0.00023,2.9361702127659553e-05,0.0003376595744680851
2020,kg/count,World,vehicles,cars,PHEV,lanthanum,0.028,0,0.030153846153846156
2020,kg/count,World,vehicles,cars,PHEV,erbium,0.00017999999999999998,0,0.00026999999999999995
2020,kg/count,World,vehicles,cars,PHEV,ytterbium,0.00016,0,0.00024
2020,kg/count,World,vehicles,cars,PHEV,rhodium,0.63,0,1.26
2020,kg/count,World,vehicles,cars,PHEV,silicon,14.1,14.1,14.1
2020,kg/count,World,vehicles,cars,BEV,steel,815.42830456,805.743539627449,834.7978344251022
2020,kg/count,World,vehicles,cars,BEV,aluminium,267.17738896,250.18979903668557,275.67118392165713
2020,kg/count,World,vehicles,cars,BEV,copper,88.50798583999999,80.52379190797265,104.4763737040547
2020,kg/count,World,vehicles,cars,BEV,plastics,178.82629599999999,178.82629599999999,178.82629599999999
2020,kg/count,World,vehicles,cars,BEV,glass,42.35089936,42.35089936,42.35089936
2020,kg/count,World,vehicles,cars,BEV,wood,13.114405920000001,13.114405920000001,13.114405920000001
2020,kg/count,World,vehicles,cars,BEV,rubber,41.456794720000005,41.456794720000005,41.456794720000005
2020,kg/count,World,vehicles,cars,BEV,lead,2.5619088000000003,2.5619088000000003,2.5619088000000003
2020,kg/count,World,vehicles,cars,BEV,cobalt,0.03168,0.026675969253347125,0.03715581431716207
2020,kg/count,World,vehicles,cars,BEV,neodymium,0.23,0.09907692307692306,0.743076923076923
2020,kg/count,World,vehicles,cars,BEV,lithium,0.005533333333333334,0.0014000000000000002,0.01
2020,kg/count,World,vehicles,cars,BEV,manganese,9.2,5.2075471698113205,9.2
2020,kg/count,World,vehicles,cars,BEV,magnesium,3.2,1.6,4.800000000000001
2020,kg/count,World,vehicles,cars,BEV,molybdenum,0.305,0.305,0.63
2020,kg/count,World,vehicles,cars,BEV,niobium,0.128,0.063,0.128
2020,kg/count,World,vehicles,cars,BEV,silver,0.01775,0.01775,0.04437499999999999
2020,kg/count,World,vehicles,cars,BEV,tantalum,0.01083,0.007917731092436976,0.015016386554621848
2020,kg/count,World,vehicles,cars,BEV,palladium,0.0006,0.0001714285714285714,0.0008571428571428571
2020,kg/count,World,vehicles,cars,BEV,dysprosium,0.10825,0.012835357142857134,0.4175357142857143
2020,kg/count,World,vehicles,cars,BEV,praseodymium,0.09,0.024545454545454537,0.16969696969696968
2020,kg/count,World,vehicles,cars,BEV,samarium,0.0014,0.0011358490566037737,0.0019283018867924527
2020,kg/count,World,vehicles,cars,BEV,cerium,0,0,0
2020,kg/count,World,vehicles,cars,BEV,gallium,0.00057,0.00012905660377358485,0.0009033962264150942
2020,kg/count,World,vehicles,cars,BEV,indium,8e-05,2.068965517241379e-05,0.00015724137931034485
2020,kg/count,World,vehicles,cars,BEV,yttrium,0.00023,2.9361702127659553e-05,0.0003376595744680851
2020,kg/count,World,vehicles,cars,BEV,lanthanum,0.022,0,0.023692307692307693
2020,kg/count,World,vehicles,cars,BEV,erbium,0.00017999999999999998,0,0.00026999999999999995
2020,kg/count,World,vehicles,cars,BEV,ytterbium,0.00016,0,0.00024
2020,kg/count,World,vehicles,cars,BEV,terbium,0.015,0.015,0.015
2020,kg/count,World,vehicles,cars,BEV,silicon,14.1,14.1,14.1
2020,kg/count,World,vehicles,cars,FCV,steel,523.239183152,517.0247208087269,535.6681078385463
2020,kg/count,World,vehicles,cars,FCV,aluminium,289.80168215599997,271.37560143593623,299.01472251603184
2020,kg/count,World,vehicles,cars,FCV,copper,15.712139870000001,14.294767520842734,18.54688456831454
2020,kg/count,World,vehicles,cars,FCV,plastics,98.263221588,98.263221588,98.263221588
2020,kg/count,World,vehicles,cars,FCV,glass,34.915865474,34.915865474,34.915865474
2020,kg/count,World,vehicles,cars,FCV,rubber,49.879807488000004,49.879807488000004,49.879807488000004
2020,kg/count,World,vehicles,cars,FCV,lead,2.493990142,2.493990142,2.493990142
2020,kg/count,World,vehicles,cars,FCV,cobalt,0.030909199999999998,0.0260269213650744,0.036251783329925055
2020,kg/count,World,vehicles,cars,FCV,neodymium,0.065,0.027999999999999997,0.21
2020,kg/count,World,vehicles,cars,FCV,lithium,0.005533333333333334,0.0014000000000000002,0.01
2020,kg/count,World,vehicles,cars,FCV,manganese,10.6,6,10.6
2020,kg/count,World,vehicles,cars,FCV,magnesium,6,3,9
2020,kg/count,World,vehicles,cars,FCV,molybdenum,0.305,0.305,0.63
2020,kg/count,World,vehicles,cars,FCV,niobium,0.128,0.063,0.128
2020,kg/count,World,vehicles,cars,FCV,silver,0.012,0.012,0.03
2020,kg/count,World,vehicles,cars,FCV,tantalum,0.007933333333333332,0.0058,0.011
2020,kg/count,World,vehicles,cars,FCV,palladium,0.0042,0.0011999999999999997,0.006
2020,kg/count,World,vehicles,cars,FCV,dysprosium,0.007,0.00083,0.027
2020,kg/count,World,vehicles,cars,FCV,praseodymium,0.00297,0.00081,0.0056
2020,kg/count,World,vehicles,cars,FCV,samarium,0.00053,0.00043,0.00073
2020,kg/count,World,vehicles,cars,FCV,cerium,0.020999999999999998,0.0002899999999999986,0.037
2020,kg/count,World,vehicles,cars,FCV,gallium,0.0003533333333333334,7.999999999999999e-05,0.0005600000000000001
2020,kg/count,World,vehicles,cars,FCV,indium,0.00019333333333333333,4.9999999999999996e-05,0.00038
2020,kg/count,World,vehicles,cars,FCV,yttrium,0.0001566666666666667,1.9999999999999998e-05,0.00023
2020,kg/count,World,vehicles,cars,FCV,lanthanum,0.0325,0,0.035
2020,kg/count,World,vehicles,cars,FCV,erbium,0.00011999999999999999,0,0.00017999999999999998
2020,kg/count,World,vehicles,cars,FCV,ytterbium,0.00010666666666666668,0,0.00016
2020,kg/count,World,vehicles,cars,FCV,rhodium,0.4,0,0.8
2020,kg/count,World,vehicles,cars,FCV,silicon,13.3,13.3,13.3
2020,kg/count,World,vehicles,LCV,ICE,steel,1133.568,1120.1047199621728,1160.4945600756548
2020,kg/count,World,vehicles,LCV,ICE,aluminium,105.408,98.70598121911878,108.7590093904406
2020,kg/count,World,vehicles,LCV,ICE,copper,17.28,15.721192963142991,20.397614073714024
2020,kg/count,World,vehicles,LCV,ICE,plastics,186.624,186.624,186.624
2020,kg/count,World,vehicles,LCV,ICE,glass,10.368,10.368,10.368
