kg,Coal Rail,Coal Ocean Ship,Coal Inland Ship,Coal Truck,Gas Rail,Gas Ocean Ship,Gas Inland Ship,Gas Truck,Oil Rail,Oil Ocean Ship,Oil Inland Ship,Oil Truck
2020,1764500,7639300,322000,15947,1764500,7639300,322000,15947,1764500,7639300,322000,15947
2050,1764500,7639300,322000,15947,1764500,7639300,322000,15947,1764500,7639300,322000,15947
