,NiMH,LMO,NMC,NCA,LFP,Lithium Sulfur,Lithium Ceramic ,Lithium-air
1990,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991,0.0016907978712109447,1.0867522891038836e-11,0.9982274751714153,1.3910055645185454e-09,8.172555550073964e-05,1.1563246742330787e-26,6.161570964217142e-72,5.358060120763077e-73
1992,0.0024061011800051526,4.3984143999437615e-11,0.9974563354154199,4.3025674857078096e-09,0.0001375590580234241,3.161921904503951e-25,5.436375864643434e-68,5.412545614774753e-69
1993,0.003356683697535963,1.6469544015296282e-10,0.9964184216318103,1.2497317203080198e-08,0.00022488200864100046,7.195576963029389e-24,2.8983629334330847e-64,3.2791694408481585e-65
1994,0.004595399775700521,5.729579576143307e-10,0.9950469466649953,3.420373439996492e-08,0.0003576187826119957,1.3765971399109304e-22,9.600821229855683e-61,1.2256373358334825e-61
1995,0.006179655051738958,1.8592939110607807e-09,0.993266255320949,8.848865013974268e-08,0.000553999279368025,2.2351659050285247e-21,2.0285596887594208e-57,2.9025378177075114e-58
1996,0.008169892201590714,5.649164805021025e-09,0.990992733315438,2.170530088614541e-07,0.0008371517807974365,3.1079520498117555e-20,2.8026206560255377e-54,4.466279851249546e-55
1997,0.010627617317011059,1.6127329336941086e-08,0.988136338710823,5.062175155685588e-07,0.0012355216273210073,3.732319633898922e-19,2.5918434443064533e-51,4.572871785910567e-52
1998,0.013613021500171185,4.340341553474823e-08,0.9846027846163466,1.125530926163891e-06,0.0017830249491403508,3.902049652183497e-18,1.6403000577512294e-48,3.186053134387596e-49
1999,0.017182292968008984,1.1046525829640548e-07,0.9802963526104036,2.3917406985340496e-06,0.002518852215630552,3.5784022225156635e-17,7.253936520302065e-46,1.5429059201755056e-46
2000,0.021384754323045575,2.6665305542815074e-07,0.9751232560879117,4.868903443425127e-06,0.0034868540325435383,2.899053944891137e-16,2.286232317220455e-43,5.298302595060184e-44
2001,0.026259993313000857,6.12198618039657e-07,0.9689954064767707,9.516427664442418e-06,0.004734471583943731,2.0888608120140893e-15,5.231750978889069e-41,1.3147705967952802e-41
2002,0.03183517838829485,1.3402987043275437e-06,0.9618343708194317,1.789590911898123e-05,0.006311214584436767,1.347106698931608e-14,8.846863549029643e-39,2.4000979597961753e-39
2003,0.038122757755115706,2.805115823057545e-06,0.9535752566054204,3.244385375441466e-05,0.008266736669808226,7.822317815656346e-14,1.1239850451704817e-36,3.2778957434214206e-37
2004,0.0451187285678687,5.625476860314851e-06,0.9441702296645426,5.681023742697947e-05,0.010648606052890275,4.113106662085771e-13,1.0898755548711396e-34,3.403037869068091e-35
2005,0.052801629798299284,1.0834133535552655e-05,0.9335913724929099,9.625243140172085e-05,0.013499911141884716,1.9689439261842594e-12,8.186175190177406e-33,2.7263579586153794e-33
2006,0.06113235974990135,2.008047738514646e-05,0.9218326285915963,0.00015806130206441138,0.016856869870428448,8.624416900717245e-12,4.8301854683566115e-31,1.709721546501287e-31
2007,0.07005485233156288,3.588996840704898e-05,0.9089106521328817,0.00025198312023535374,0.02074662241217969,3.473342055298067e-11,2.268741427415032e-29,8.506288239743023e-30
2008,0.07949757333990304,6.197608990513355e-05,0.8948644834982491,0.0003905897491997086,0.025185377193541775,1.2920120932713644e-10,8.589983678423198e-28,3.400603326639946e-28
2009,0.08937572910668186,0.00010359088453108198,0.8797540859396281,0.0005895429927439485,0.030177050630590133,4.4582498856023136e-10,2.653011739866127e-26,1.1056129704363423e-26
2010,0.09959402461480532,0.0001678892735343243,0.8636578894265808,0.0008676990490347991,0.03571249620312398,1.432920683117359e-09,6.759286441021905e-25,2.956850638244535e-25
2011,0.11004977383906855,0.00026427220343947427,0.8466695776126013,0.0012470067676693742,0.04176936527067086,4.306550408201794e-09,1.4357865375811703e-23,6.575302513808709e-24
2012,0.12063615494792608,0.0004046662422199391,0.8288944097805452,0.0017521685350180307,0.048312588346719455,1.2147571301300887e-08,2.568443192499963e-22,1.2282607551600764e-22
2013,0.13124541596243533,0.0006036944163107138,0.8104453853088184,0.0024100534802193284,0.05529541856049509,3.2271721221078974e-08,3.906332051284722e-21,1.9460009094763822e-21
2014,0.14177186749910162,0.0008786960850542537,0.7914395349291227,0.003248876661843835,0.06266094380923279,8.101564481694497e-08,5.096735744604487e-20,2.6389763781042682e-20
2015,0.15211454094773338,0.0012495628185409788,0.7719945687292169,0.004297181838884658,0.07034395287060628,1.9279501781973422e-07,5.7534947917004685e-19,3.0896932288290977e-19
2016,0.16217943498206672,0.0017383718787226032,0.7522260376298202,0.005582686296771197,0.07827303300114274,4.3621147649130936e-07,5.6647412943830824e-18,3.1486631987858276e-18
