regions,flow,sector,category,materials,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
Brazil,inflow,electricity,storage,Aluminium,0.0004464343627468741,0.000581655371310775,0.000762393820220656,0.0007629828646730978,0.0009313995465184707,0.001207025149731565,0.0011945267883174922,0.0013239277513403696,0.0012876399917244612,0.0013066716913796936,0.0013614349217758329,0.0011073190000961128,0.0012726070534535725,0.001435978108514568,0.0016229728120855903,0.001613664223993748,0.0020113377873713866,0.002127358849488609,0.0022253218735704787,0.0018008243631138085,0.0025101333662757934,0.00254386781187969,0.0024310128133644103,0.0023302504165108704,0.002874063059118923,0.0021431217970640515,0.0017117137880825154,0.002264925442971654,0.0030191875583835547,0.0034260280305431177,0.003126580043918612,0.004001877245746114,0.0040528551395227815,0.003543924785561417,0.0034996882781921303,0.004467034350122749,0.0046591755266920665,0.004696566428080536,0.005566919344281542,0.006111511254066221,0.006882090293967133,0.007006864865026322,0.0072003854021337275,0.006686211486584376,0.0061692914603845815,0.0051753502154239135,0.008124285023207256,0.010219585589480343,0.012375136900204805,0.014495864108066907,0.01639488934174121,0.014232087505618395,0.012580225418685686,0.01048053703007603,0.007813534741830656,0.006007415058956114,0.005457571189240228,0.0050609741950159715,0.00537206490498595,0.0064633930104309074,0.006552147051612287,0.006478960092186348,0.006821888257885614,0.007250491241421987,0.008029287601910705,0.009531798422105577,0.010593522932786105,0.011649601766063972,0.012484197763009656,0.012513234083368378,0.012040289775269558
Brazil,inflow,electricity,storage,Co,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,inflow,electricity,storage,Concrete,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,inflow,electricity,storage,Cu,0.0030077092984617977,0.0039187177663194276,0.005136385488022191,0.005140353987368691,0.0062750077288182965,0.008131947424448772,0.00804774369602306,0.008919541461139303,0.008675064240914666,0.008803284254415351,0.009172234073293126,0.007460209004656909,0.008573784608356025,0.009674445046730649,0.010934262291158502,0.010871548644325588,0.01355074759075959,0.014332402535957528,0.014992397202639443,0.0121324804580623,0.01691122390237596,0.017138498982853634,0.016378174382561256,0.015699319833626078,0.019363084270864788,0.014438600373646613,0.011532126346734938,0.015259213634975162,0.02034081435236466,0.02308177242641577,0.021064337011644944,0.02696137306562554,0.027304820384923892,0.023876064254995433,0.023578034879014092,0.030095220871316133,0.03138971083805867,0.0316416201245482,0.03750534562922079,0.041174360130810966,0.04636589092886435,0.04720651985195443,0.0485103028208996,0.04504621986521291,0.04156363586384702,0.03486727336567634,0.054734782191283,0.06885120225687967,0.08337354251914453,0.09766126648228479,0.11045534402190804,0.09588415565457084,0.08475526107738295,0.07060927945662171,0.05264120116619073,0.04047304517816992,0.036768647269659525,0.034096701364933917,0.03619257591922379,0.04354505136538607,0.044143003443480586,0.04364992961950984,0.045960298889321065,0.0488478749508926,0.054094767328615415,0.06421745532497358,0.07137048598222441,0.07848548068651762,0.08410830533878529,0.08430392829710481,0.08111761668710463
Brazil,inflow,electricity,storage,Glass,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,inflow,electricity,storage,Nd,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,inflow,electricity,storage,Pb,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,inflow,electricity,storage,Plastics,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Brazil,inflow,electricity,storage,Steel,0.1312155671385402,0.1709595985311638,0.2240820730905354,0.22425520448082847,0.2737560768777449,0.354767694399702,0.3510941877924611,0.38912759688500304,0.3784619327795538,0.38405571200502886,0.40015166906925304,0.32546215687092084,0.37404346573137154,0.42206133225927767,0.477022639292193,0.474286667853492,0.5911705067980031,0.6252713080267807,0.6540645077357317,0.5292965995470593,0.7377760332396311,0.7476912296971434,0.7145209948982649,0.6849050061826457,0.8447419055599071,0.6299043387217307,0.5031053033197073,0.665704751528148,0.8873967616053463,1.0069749297393187,0.9189614597374431,1.17622798833953,1.1912113628322016,1.0416270328577586,1.0286250803042538,1.3129465260518884,1.3694204795779625,1.3804103780735024,1.6362236869041897,1.7962896277555538,2.0227774929000204,2.0594511172269243,2.1163304911023193,1.9652049784479408,1.8132723315393668,1.5211340576004306,2.387882196961893,3.003730964600585,3.637288574262689,4.260610716432865,4.818770423301705,4.1830817460480665,3.6975679983206677,3.080429566076289,2.296546767138784,1.7656937721984367,1.6040841802340136,1.487516765480409,1.578952253754833,1.899714381941148,1.9258008860753633,1.904289843938885,2.0050829671947707,2.131057552161661,2.3599606444285506,2.801577208598474,3.1136382761127264,3.4240399714457848,3.6693436402694943,3.677877968182882,3.538870622891862
Brazil,outflow,electricity,storage,Aluminium,0.00010638972306153023,0.00010998339383395959,8.666634917128085e-05,9.027510707693713e-05,9.383203761219871e-05,8.144684933780512e-05,8.49325610821638e-05,8.835128637731358e-05,9.170548097742127e-05,9.500215600644544e-05,9.825384832092133e-05,0.00022049003741667411,0.00022330332506080466,0.00022613147003690444,0.00022901012814655102,0.00023198101629630832,0.00011608018665044179,0.00011979246726051231,0.0001237690719906557,0.0001280743308980482,0.00013277661029484808,0.0001379500318630038,0.00014366980674548375,0.00015001384428152572,0.00015706117880640968,0.00016489125652750943,0.00048258837190553837,0.00049117412441319,0.0005006981122979224,0.0005112176240079999,0.0013804367928593952,0.0010811173464967548,0.0010927576787079013,0.0011053816478233851,0.0011189866620631222,0.00027590383055420384,0.00029437689348968345,0.0003139521773056569,0.0003345947391507701,0.0003562608294276762,0.0003788969714527347,0.0004024436911850399,0.0004268360618606079,0.00045200787390885764,0.0004778925826986633,0.0005044276985258318,0.0005315562573237362,0.0005592351550288195,0.0005874277395254455,0.0006161126866320317,0.0006452849993759338,0.0006749577036353637,0.0007051590263213757,0.0007359424705923493,0.000767381028994015,0.0007995681196348324,0.0008326188805818265,0.0008666683066615593,0.0009018685870456232,0.0009383896833371439,0.0009764173811148387,0.001016149718000747,0.0010577983398568198,0.0011015867510331854,0.0011477480508593552,0.0011965245393814156,0.0012481670064870688,0.0013029323799287602,0.001361084987592245,0.0014228954029901206,0.001488639611084462
