,NiMH,LMO,NMC,NCA,LFP,Lithium Sulfur,Lithium Ceramic ,Lithium-air
1990,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1991,0.9096180444116114,9.83891533003172e-13,0.09037455643568515,1.2593473333455006e-10,7.3990257847501215e-06,1.0468789141624008e-27,5.578380245870302e-73,4.8509214464022284e-74
1992,0.8627373210955627,3.178496192321323e-12,0.13724859272028106,3.3918464721231494e-10,1.4085841793082919e-05,1.711395724286473e-26,2.7715293346491056e-69,2.7593162638867174e-70
1993,0.7892567667683407,1.467500712156638e-11,0.21071278319002545,1.1926905072133984e-09,3.044883426848445e-05,5.3451676308132375e-25,2.085169182975929e-65,2.3590965417150005e-66
1994,0.5072720820193052,1.701256619627378e-10,0.49259833665815983,1.0411945139447029e-08,0.00012957074046436094,3.810247677654409e-23,2.619014218216695e-61,3.3433937913587797e-62
1995,0.1448786147649131,8.497012942270451e-10,0.8547874446611432,4.252734835674504e-08,0.0003338971968942418,8.637525030870326e-22,7.50017917661705e-58,1.0731151417979405e-58
1996,0.019360994252526246,1.4461558258666109e-09,0.980199067026271,6.407298452252739e-08,0.00043987320206226587,4.4215531963959206e-21,3.2073030572904787e-55,5.109999249423819e-56
1997,0.005798793882314565,2.4367102982853427e-09,0.9936702046131667,8.745636721317763e-08,0.0005309116114412276,3.660153781129224e-20,2.2725301891189537e-52,4.0090071558039684e-53
1998,0.005859635841007648,6.4145043792239336e-09,0.9934416833294075,1.782470433737532e-07,0.0006984961680372209,4.569912551354942e-19,1.7841630020213447e-49,3.465128145095635e-50
1999,0.006419396791577179,1.8532878998280267e-08,0.9926002072544426,4.2860221976912536e-07,0.0009799488188815377,4.6963007807522804e-18,8.663059628054749e-47,1.8423270065586006e-47
2000,0.0074593898065094056,4.339426913156954e-08,0.9911571349131217,8.620421761110795e-07,0.0013825698439236056,3.3674072209029266e-17,2.287213840760794e-44,5.2989662993752815e-45
