type,time,fuel,stage,unit,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Inland ships,2060,oil,transport,kg,143578716.98040065,2102198112.1357694,653793922.7731389,131827752.83379595,548770930.1032717,542409404.6928911,842747136.5989436,616491247.8348948,339937987.6110038,164316400.7210919,1264476116.2968628,251453388.3289033,106518943.82777423,60606126.77756197,213675180.67728397,384114449.9480015,2152249881.265899,3030616108.061892,108319894.44907147,2867273587.8417497,1334143235.9734094,1028277829.2233112,316613612.4242527,159733804.37894127,926101138.0683904,441578690.3678664
Inland ships,2061,oil,transport,kg,145199889.55095744,2058339977.4928877,650108968.9950815,132503897.20977063,541635481.5885773,541184369.5186303,847239119.1813191,613955426.6869228,345411985.45852983,163080188.2313491,1253407228.45644,246984227.62871793,102608635.67009762,59606815.15360582,211176407.0106428,368443912.37267137,2132947211.3445108,3026178030.9309807,104157439.742639,2820601906.2541857,1323397257.8307493,1026955243.4190758,303821695.7477488,158127514.43946606,932091097.0232786,446108443.4035926
Inland ships,2062,oil,transport,kg,146886487.33178768,2017001397.7697592,645505781.88588,133443310.44170532,534795831.27729994,539673653.9786693,850849403.824789,611367378.1397386,350709974.01445824,161968427.18163294,1240781228.8087044,242655156.56334513,99207357.8603716,58769134.320459954,208933446.46864733,353808967.76347905,2112435202.1885564,3019945790.2757287,100376375.76741338,2777536340.274084,1312587520.1948755,1024876316.799086,290943505.0462429,156294537.04252604,938543631.7530497,450464837.0586712
Inland ships,2063,oil,transport,kg,148568157.6152893,1978040702.3262768,640145213.9814044,134600495.51330125,528379542.01368856,537800033.5824918,853582028.2393177,610363038.9335214,355818838.50066954,160973312.27861866,1226903422.7526896,238517810.04433876,96344055.96228041,58069681.56492631,206940058.4916036,340200899.5190892,2090528658.7029822,3012619531.765381,97004926.20650588,2737308432.788465,1301396506.238102,1021857349.3585757,278305298.2370425,154204829.85192135,945632618.9406937,454714502.5356403
Inland ships,2064,oil,transport,kg,150160243.25240207,1941390513.7038302,634129120.7484878,135928789.8496875,522303120.53231317,535456152.9797821,855420634.5488397,609654336.9796917,360801883.19702876,160087541.79015967,1212130664.9729884,234525200.81369954,93876545.14898136,57486471.01130848,205200667.4014151,327612238.6793289,2067165000.1317232,3004308957.010345,94051861.92997384,2699022495.418542,1290032476.3372278,1017888183.8828012,265974826.16224506,151884429.59753004,953381495.7416639,459096629.0652768
Inland ships,2065,oil,transport,kg,151593000.98018575,1906859117.3826303,627521241.1267391,137385253.0709543,516518925.28162414,532490724.6193556,856366335.2050103,609352489.5776874,365608688.8887607,159281410.87465218,1196719205.411102,230581502.7362913,91680983.25494781,56990248.53915475,203705993.89559472,316085872.08757925,2042302938.666051,2995003828.6126804,91498292.43473868,2663137310.2565446,1278905131.6486964,1012850146.0455807,254092779.52729172,149378360.23891246,961862771.735047,463935144.3126253
Inland ships,2066,oil,transport,kg,152836054.065408,1874246256.851425,620362469.047544,138915023.49938703,511049281.1486061,528641231.62392074,856363423.7146311,609533425.400794,370202111.5093784,158540838.14314082,1181043085.7886279,226571139.68873882,89642586.49086362,56561352.96888043,202394563.94504017,305620960.9407542,2015969173.5581563,2985280897.994812,89324986.849244,2629442026.140079,1267236455.946901,1006627175.1040462,242741754.87405428,146744058.13811457,971071273.0053965,469313926.53832495
Inland ships,2067,oil,transport,kg,153811786.46422967,1843269119.4003775,612701582.4593946,140461020.71622252,505886692.6262157,523782428.5405663,855460050.0557128,610341588.8493263,374548096.6004843,157852734.88733792,1165462256.940463,222411315.66115597,87733960.20877531,56240205.14389039,201230055.62732956,296631680.49888915,1988026205.443502,2974947351.8482466,87511408.58856486,2598046805.620639,1255415942.847673,999350049.0260327,231981680.85871923,144039892.95428917,980764432.5323218,475223852.07252324
Inland ships,2068,oil,transport,kg,154497065.0285795,1813621855.5458834,604620621.8690275,141976941.9808664,501022030.92082185,518205016.1613661,853673880.5830666,611831199.5677946,378704939.4096125,157231747.74979573,1150282885.093163,218009308.31372637,85960257.56649801,55953491.23398017,200156560.63055748,288922392.960175,1958386867.619412,2964608566.6646767,86072217.3119817,2569156362.71966,1243415545.956697,991115916.7651142,221786165.0402221,141318467.7845074,991002409.6196781,481725060.856879
Inland ships,2069,oil,transport,kg,154895830.10349804,1785029965.4706051,596161580.5694698,143419330.12539223,496434056.72302425,511946468.177452,851021053.1806138,614025754.5576669,382806640.39807147,156638846.4641535,1135155706.5545647,213325788.4421093,84348590.70842728,55683593.628251754,199143397.31919676,282251705.96316385,1927043970.136985,2954004709.908797,84873352.83686875,2541745338.4290547,1231161522.4015965,981929720.5833488,212147235.17429602,138624991.21390292,1001595725.7243663,488801996.8583036
Inland ships,2070,oil,transport,kg,155028291.29260665,1757189409.681236,587351661.036679,144726484.4616611,492113005.12757844,505203644.94436693,847540027.039854,617002555.0633701,386973506.9018727,156059643.70679837,1120135199.2369132,208365260.29496723,82900698.05515829,55420636.591715544,198171765.68672028,276415365.72034186,1894049047.842351,2942634756.6636133,83974557.24131095,2514558696.3935146,1218475961.8056777,971765529.524633,203065616.72968885,135994038.25816044,1012270658.169072,496392750.1438752
Inland ships,2071,oil,transport,kg,154988484.0585317,1729797758.5722558,578185767.5196401,145882040.5406613,488134738.02114195,498015292.3775916,843173783.6593398,620718727.5624602,391266874.8547191,155469394.6115891,1105546377.267814,203099080.606863,81545401.73326609,55166960.63851143,197262290.0566711,271306516.45526224,1859541919.2173915,2930218853.9744678,83306441.02070864,2486859736.3206882,1206024286.1797628,960870954.9495641,194558977.76724786,133453099.06369525,1023089018.2887468,504536004.28003675
Inland ships,2072,oil,transport,kg,154723634.27313867,1702521524.2374072,568641720.3727765,146873226.4968731,484451931.23206,490338348.02230173,837910445.3410035,625139938.346896,395718859.3058869,154838809.1518482,1091592336.2700365,197528154.37041643,80249132.01922359,54889139.85478361,196412316.58625114,266779599.88841137,1823753472.696364,2916852446.9292455,82829382.85669595,2458651910.45157,1193785889.631427,949053489.6864612,186646681.79605138,131014805.1118753,1033630176.7341868,513191338.2104664
Inland ships,2073,oil,transport,kg,154280177.2533624,1675197307.73374,558684685.826557,147679914.74400893,480892245.7398167,482180795.5658919,831766969.4218935,628748235.2428246,400258368.4809767,154161767.61957934,1078316505.8533905,191690278.1187158,78973260.77315457,54592023.043106146,195619931.90352264,262778591.94687274,1786822373.718518,2901881700.233141,82507821.82059303,2429368216.2053623,1181527455.880473,936642441.1585861,179318555.75548428,128665596.02966364,1043281707.4148105,522432450.42638004
Inland ships,2074,oil,transport,kg,153690682.15556386,1647561819.2624311,548335780.9577292,148279027.1031833,477550984.5587169,473443690.2084844,824776063.9407613,632939687.57313,404706302.3898692,153415685.05396053,1065647934.3620433,185653651.50541064,77702561.50577614,54284775.188018106,194861573.69209903,259206307.64528322,1748905193.1339831,2885419817.7351456,82297761.40495956,2398657666.055537,1168544871.0535123,923664624.1143507,172564351.4255368,126363132.49270764,1051636951.6645967,531971967.6600112
Inland ships,2075,oil,transport,kg,153039001.0525834,1619465964.7636397,537601725.7669332,148662442.50802848,474362653.7297798,464262472.6000141,816943551.1104839,637712641.7035105,408971578.2363567,152591965.10286626,1053601022.7723128,179457335.2520017,76457389.54013161,53978657.9149894,194112655.23103276,255947653.66580752,1710155769.888329,2867213877.8573565,82142225.66437852,2365827274.7560983,1154288692.5074883,910189368.1873531,166346734.3398171,124077624.54761426,1058527134.5998709,541414433.937843
Inland ships,2076,oil,transport,kg,152339950.38597786,1590800569.14362,526455740.375213,148856203.0579076,471468622.6526879,454184452.2798734,808314210.5177604,643065400.4062324,412945820.6346355,151680565.11845323,1041648817.7824129,173265653.10048684,75258261.135256,53674234.274212055,193336761.07352182,252893725.36033094,1670744459.0858338,2847176191.344567,82034409.71424305,2330040572.7080836,1140958168.9708443,896806017.8758388,160577266.17386326,121754710.95806357,1064253594.442595,550578289.2406765
