kg,air_pas,air_freight,rail_reg,rail_hst,rail_freight,inland_shipping,bicycle
2020,60558.000,95843.000,252000.000,424000.000,1764500.000,322000.000,17.200
2050,58023.222,91831.297,241452.031,406252.623,1690643.286,308522.039,16.480
