Region,Transmission,Distribution
1,105471,450000
2,301558,1286622
3,15986,118902
4,1627,12101
5,9422,2274
6,46394,345072
7,32199,239492
8,4337,32258
9,0,0
10,1293,9617
11,189408,1439041
12,56024,800808
13,13840,102936
14,45531,338654
15,40033.5,297764
16,185544,1380048
17,40735,302981
18,17389,129337
19,2017,15002
20,181666,706556
21,8899,66190
22,11702,87038
23,4456,33143
24,32554,242132
25,16400,121981
26,1635,12161
