Region,Crude,Product 
1,183504,154481
2,119732,100795
3,10365,8946
4,2084,1258
5,5959,1985
6,22958,10851
7,20917,6071
8,9879,4869
9,1436,867
10,992,1460
11,21719,19069
12,8614,4687
13,3054,1844
14,6356,6508
15,9684,1922
16,57502,19300
17,31194,14706
18,10419,18273
19,3796,889
20,43900,27700
21,8899,1842
22,8131,847
23,174,105
24,3897,682
25,3477,1170
26,3283,85
