Year,Region,Building_type,Steel,Concrete,Wood,Copper,Aluminium,Glass,Brick
2020,1,1,43.30310510661633,574.2509731463223,50.04143721124191,0.182895495,0.489212897625,3.0231655253299374,244.71373828833336
2020,1,2,43.30310510661633,574.2509731463223,50.04143721124191,0.182895495,0.489212897625,3.0231655253299374,244.71373828833336
2020,1,3,37.94170673,533.02243075,46.10891927083334,0.182895495,0.4907647245,2.96598311,246.664852195
2020,1,4,37.94170673,533.02243075,46.10891927083334,0.182895495,0.4907647245,2.96598311,246.664852195
2020,2,1,42.327827570591126,481.43472209348636,48.76872958502777,0.182895495,0.49,4.005890959758437,240.37500000083335
2020,2,2,42.327827570591126,481.43472209348636,48.76872958502777,0.182895495,0.49,4.005890959758437,240.37500000083335
2020,2,3,40.82645804885375,438.1105747625,42.78825992004775,0.182895495,0.49,3.075,254.63873524250002
2020,2,4,40.82645804885375,438.1105747625,42.78825992004775,0.182895495,0.49,3.075,254.63873524250002
2020,3,1,33.13771418446487,577.78623125,51.0338940590336,0.182895495,0.49,3.1965858904549376,260.0
2020,3,2,33.13771418446487,577.78623125,51.0338940590336,0.182895495,0.49,3.1965858904549376,260.0
2020,3,3,39.5,588.9635195045807,44.5015486725,0.182895495,0.49,2.563146604,261.7691592875
2020,3,4,39.5,588.9635195045807,44.5015486725,0.182895495,0.49,2.563146604,261.7691592875
2020,4,1,33.13771418446487,577.78623125,51.0338940590336,0.182895495,0.49,3.1965858904549376,260.0
2020,4,2,33.13771418446487,577.78623125,51.0338940590336,0.182895495,0.49,3.1965858904549376,260.0
2020,4,3,39.5,588.9635195045807,44.5015486725,0.182895495,0.49,2.563146604,261.7691592875
2020,4,4,39.5,588.9635195045807,44.5015486725,0.182895495,0.49,2.563146604,261.7691592875
2020,5,1,33.13771418446487,577.9334221,51.0946732615336,0.182895495,0.49,3.1965858904549376,260.0
2020,5,2,33.13771418446487,577.9334221,51.0946732615336,0.182895495,0.49,3.1965858904549376,260.0
2020,5,3,39.5,586.29183205,44.59199789125,0.182895495,0.49,2.50810185175,261.7691592875
2020,5,4,39.5,586.29183205,44.59199789125,0.182895495,0.49,2.50810185175,261.7691592875
2020,6,1,33.13771418446487,577.78623125,51.0338940590336,0.182895495,0.49,3.1965858904549376,260.0
2020,6,2,33.13771418446487,577.78623125,51.0338940590336,0.182895495,0.49,3.1965858904549376,260.0
2020,6,3,39.5,588.9635195045807,44.5015486725,0.182895495,0.49,2.563146604,261.7691592875
2020,6,4,39.5,588.9635195045807,44.5015486725,0.182895495,0.49,2.563146604,261.7691592875
2020,7,1,29.821678828874994,572.7955414208334,50.20171652808015,0.182895495,0.4907647245,3.206461892579938,271.71220930000004
2020,7,2,29.821678828874994,572.7955414208334,50.20171652808015,0.182895495,0.4907647245,3.206461892579938,271.71220930000004
2020,7,3,39.70028641625,552.828822875,44.451548672499996,0.182895495,0.49000000000000005,2.617143223875,260.85395092500005
2020,7,4,39.70028641625,552.828822875,44.451548672499996,0.182895495,0.49000000000000005,2.617143223875,260.85395092500005
2020,8,1,29.821678828875,572.3529067125,50.20171652808015,0.182895495,0.49076472449999997,3.2064618925799375,271.71220930000004
2020,8,2,29.821678828875,572.3529067125,50.20171652808015,0.182895495,0.49076472449999997,3.2064618925799375,271.71220930000004
2020,8,3,39.70028641625,552.828822875,44.451548672499996,0.182895495,0.49,2.617143223875,260.853950925
2020,8,4,39.70028641625,552.828822875,44.451548672499996,0.182895495,0.49,2.617143223875,260.853950925
2020,9,1,29.821678828875,572.3529067125,50.20171652808015,0.182895495,0.49076472449999997,3.2064618925799375,271.71220930000004
2020,9,2,29.821678828875,572.3529067125,50.20171652808015,0.182895495,0.49076472449999997,3.2064618925799375,271.71220930000004
2020,9,3,39.70028641625,552.828822875,44.451548672499996,0.182895495,0.49,2.617143223875,260.853950925
2020,9,4,39.70028641625,552.828822875,44.451548672499996,0.182895495,0.49,2.617143223875,260.853950925
2020,10,1,29.821678828875,572.3529067125,50.20171652808015,0.185572532,0.49,3.2064618925799375,271.71220930000004
2020,10,2,29.821678828875,572.3529067125,50.20171652808015,0.185572532,0.49,3.2064618925799375,271.71220930000004
2020,10,3,39.70028641625,552.828822875,44.451548672499996,0.182895495,0.49,2.617143223875,260.853950925
2020,10,4,39.70028641625,552.828822875,44.451548672499996,0.182895495,0.49,2.617143223875,260.853950925
2020,11,1,46.19147072633277,549.7146393794799,49.2396869161201,0.183230124625,0.49018558665625,2.9827811040912033,239.11787449770833
2020,11,2,46.19147072633277,549.7146393794799,49.2396869161201,0.183230124625,0.49018558665625,2.9827811040912033,239.11787449770833
2020,11,3,41.09867358009078,503.201828323953,49.54793477046876,0.182895495,0.49038236225,2.964241555,253.06759309875002
2020,11,4,41.09867358009078,503.201828323953,49.54793477046876,0.182895495,0.49038236225,2.964241555,253.06759309875002
2020,12,1,32.246678828875,565.540941526178,50.9814902990336,0.182895495,0.49,3.2064618925799375,271.71220930000004
2020,12,2,32.246678828875,565.540941526178,50.9814902990336,0.182895495,0.49,3.2064618925799375,271.71220930000004
2020,12,3,40.1505728325,552.828822875,44.4015486725,0.182895495,0.49,2.617143223875,260.853950925
2020,12,4,40.1505728325,552.828822875,44.4015486725,0.182895495,0.49,2.617143223875,260.853950925
2020,13,1,42.78977861720731,540.7730832106897,50.45813629749192,0.182895495,0.49,3.2413378947049374,240.37500000083335
2020,13,2,42.78977861720731,540.7730832106897,50.45813629749192,0.182895495,0.49,3.2413378947049374,240.37500000083335
