Year,Tech Type,Lifetimes
2020,Oil Offshore Crude Pipeline,50
2020,Oil Offshore Product Pipeline,50
2020,Oil Onshore Crude Pipeline,50
2020,Oil Onshore Product Pipeline,50
2020,Gas Distribution Pipeline,50
2020,Gas Transmission Pipeline,50
