type,time,fuel,stage,unit,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
onshore,1900,oil,extraction,kg,5126869.469319897,47986360.40999008,1405076.8835672135,1362837.2110309445,1812426.249331437,3500921.7743253605,972763.4714338866,578061.7039287753,335633.25169061264,704550.7011309667,40123468.83318767,4698470.017351063,568665.8609727242,4089778.091989667,1542648.9534258926,11151411.70260866,2541309.8406261024,1305739.771750215,730889.870403514,3392210.446771966,2004702.780741462,709198.6004304573,14028645.743208215,1983100.181400239,486188.02970301814,280369.8525631294
onshore,1901,oil,extraction,kg,6408586.836649872,59982950.51248761,1756346.1044590166,1703546.5137886808,2265532.8116642963,4376152.217906702,1215954.3392923584,722577.129910969,419541.5646132657,880688.3764137083,50154336.04148458,5873087.521688828,710832.3262159053,5112222.614987085,1928311.1917823653,13939264.628260823,3176637.300782628,1632174.7146877686,913612.3380043925,4240263.058464957,2505878.4759268276,886498.2505380715,17535807.17901027,2478875.226750299,607735.0371287726,350462.3157039117
onshore,1902,oil,extraction,kg,7690304.203979848,71979540.61498512,2107615.32535082,2044255.816546417,2718639.3739971556,5251382.661488042,1459145.20715083,867092.5558931628,503449.877535919,1056826.05169645,60185203.24978152,7047705.0260265935,852998.7914590862,6134667.137984502,2313973.4301388385,16727117.553912988,3811964.7609391534,1958609.6576253225,1096334.805605271,5088315.6701579485,3007054.171112192,1063797.9006456858,21042968.614812322,2974650.2721003587,729282.044554527,420554.7788446941
onshore,1903,oil,extraction,kg,8972021.571309822,83976130.71748264,2458884.5462426236,2384965.1193041527,3171745.9363300153,6126613.105069383,1702336.0750093013,1011607.9818753569,587358.190458572,1232963.7269791916,70216070.45807843,8222322.530364359,995165.2567022674,7157111.660981919,2699635.668495312,19514970.47956515,4447292.221095678,2285044.600562876,1279057.2732061495,5936368.28185094,3508229.866297558,1241097.5507533003,24550130.050614376,3470425.317450418,850829.0519802816,490647.24198547646
onshore,1904,oil,extraction,kg,10253738.938639794,95972720.81998016,2810153.767134427,2725674.422061889,3624852.4986628746,7001843.548650722,1945526.9428677731,1156123.4078575505,671266.5033812253,1409101.4022619333,80246937.66637534,9396940.034702124,1137331.7219454483,8179556.183979334,3085297.9068517853,22302823.40521732,5082619.681252205,2611479.54350043,1461779.740807028,6784420.893543932,4009405.561482924,1418397.2008609145,28057291.48641643,3966200.362800478,972376.0594060363,560739.7051262588
onshore,1905,oil,extraction,kg,11535456.305969771,107969310.9224777,3161422.9880262306,3066383.7248196253,4077959.060995734,7877073.992232064,2188717.810726245,1300638.8338397446,755174.8163038784,1585239.077544675,90277804.87467226,10571557.539039893,1279498.1871886295,9202000.70697675,3470960.145208258,25090676.33086948,5717947.14140873,2937914.4864379843,1644502.2084079066,7632473.505236924,4510581.256668288,1595696.850968529,31564452.92221849,4461975.408150538,1093923.0668317908,630832.1682670412
onshore,1906,oil,extraction,kg,14098891.040629718,131962491.12747274,3863961.429809836,3747802.330335098,4984172.185661452,9627534.879394744,2675099.546443188,1589669.6858041321,922991.4421491849,1937514.4281101583,110339539.29126608,12920792.547715422,1563831.1176749917,11246889.752971584,4242284.621921204,30666382.18217381,6988602.061721782,3590784.372313091,2009947.1436096635,9328578.728622906,5512932.6470390195,1950296.1511837575,38578775.793822594,5453525.498850658,1337017.0816833,771017.0945486058
onshore,1907,oil,extraction,kg,16662325.775289666,155955671.33246773,4566499.871593444,4429220.93585057,5890385.31032717,11377995.766557425,3161481.2821601317,1878700.5377685197,1090808.0679944912,2289789.7786756414,130401273.70785993,15270027.556390954,1848164.0481613535,13291778.798966419,5013609.098634151,36242088.03347814,8259256.982034831,4243654.258188199,2375392.0788114206,11024683.952008888,6515284.037409751,2304895.451398986,45593098.665426694,6445075.589550776,1580111.0965348089,911202.0208301705
onshore,1908,oil,extraction,kg,19225760.509949617,179948851.5374628,5269038.313377052,5110639.541366042,6796598.43499289,13128456.653720105,3647863.0178770735,2167731.389732907,1258624.6938397973,2642065.1292411247,150463008.12445378,17619262.565066487,2132496.978647716,15336667.844961254,5784933.575347097,41817793.88478248,9529911.902347885,4896524.144063307,2740837.014013177,12720789.17539487,7517635.427780481,2659494.7516142144,52607421.53703081,7436625.680250895,1823205.1113863178,1051386.9471117354
onshore,1909,oil,extraction,kg,21789195.244609565,203942031.74245784,5971576.755160658,5792058.146881513,7702811.559658608,14878917.540882785,4134244.753594018,2456762.241697295,1426441.3196851038,2994340.4798066085,170524742.54104763,19968497.573742013,2416829.909134078,17381556.89095609,6556258.0520600425,47393499.73608679,10800566.822660934,5549394.029938414,3106281.9492149334,14416894.398780854,8519986.818151211,3014094.051829443,59621744.4086349,8428175.770951014,2066299.1262378264,1191571.8733933
