t,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
1984,24299.49099,27399.11035,10138.40811,6230.194612,6756.0773,6485.091699,4019.197074,1248.601367,796.7989908,7975.078219,20068.35043,9998.942657,6117.527825,7215.340985,3403.175336,10957.45458,8780.680109,959.7208683,5384.711769,1174.035267,2067.952466,1596.257787,20079.03598,18240.44853,1039.595093,1202.170019
1985,25161.78243,28234.17551,10211.45637,6246.893794,7139.268174,6324.581682,4133.836191,1284.187698,761.3654882,7693.74898,20546.55186,10119.89874,6252.194105,7231.610478,3404.664736,11014.04319,8386.904218,987.930568,5651.162459,1264.866567,2004.524119,1619.960635,20981.6591,18793.3534,1068.855052,1209.845014
1986,25435.68543,28889.26708,9644.587848,6258.290344,7553.835578,6619.767142,4022.011434,1285.1687,779.3806464,7524.999828,21072.91833,10397.68906,6565.622083,7289.013753,3410.315423,11055.36418,8004.079687,1012.685031,6122.170306,1367.060706,2017.114568,1683.776482,21501.41381,19283.07208,1091.994691,1206.849906
1987,26146.48985,29519.71156,9637.39845,6322.336995,7673.975094,6768.01065,3838.14025,1240.092894,820.213629,7521.477335,21595.54001,10568.02385,7059.5103,7368.785997,3423.746983,11175.17756,7868.793699,1030.271137,6668.251134,1508.311133,2101.155206,1739.577014,22230.42111,19407.45518,1105.739758,1246.922483
1988,27050.9153,30379.84628,9570.520127,6374.894134,7523.531477,6733.678707,3884.930052,1261.000525,821.2789232,7675.216577,22415.34615,10695.18183,7097.416909,7549.069439,3599.354727,11651.14438,7680.811494,1105.686322,7243.802103,1632.841889,2244.821043,1815.883502,23653.65887,19983.33618,1127.968094,1289.006627
1989,27366.55658,31081.9549,9780.727643,6447.625101,7631.712791,6376.970521,3957.569883,1274.070558,834.4101968,7691.660364,23141.94146,10679.19599,6995.140295,7846.57275,3687.181568,12317.96208,7655.95454,1146.96856,7616.010481,1689.233404,2393.997403,1942.181771,24823.57026,20351.25223,1137.221587,1291.151391
1990,27052.81531,31284.72514,10079.6575,6380.925547,7178.574331,6390.963099,4004.540651,1265.347991,821.6528416,7495.16087,23740.98587,9924.172559,7510.979336,7488.863034,3843.501622,11860.85375,7916.439585,1185.312289,8160.818886,1736.461912,2526.197101,2076.523819,26025.36273,20744.1347,1161.731132,1291.266629
1991,26156.03486,30855.28335,10305.08583,6276.783287,7167.804108,6732.243325,4053.060032,1257.346479,812.7500886,7242.420143,24072.14764,8845.061308,7433.462717,6909.821642,3460.796112,11207.93548,8032.401181,1173.358196,8775.825143,1852.535104,2623.858586,2225.444996,26798.43537,20326.68426,1179.253422,1284.605494
1992,26074.7745,31508.39555,10476.68053,6233.967545,7022.369061,7080.655134,4021.331645,1227.553982,803.2378063,6913.046241,24256.64214,8251.990542,7671.898163,6198.245059,3146.030145,9502.626161,8477.415359,1212.586913,9147.685415,2040.275892,2737.395579,2351.379568,26954.83754,20101.76925,1223.416399,1213.921964
1993,26389.05893,31972.55769,10480.59883,6199.818593,7238.053433,7195.210523,3965.027936,1194.14048,814.6620589,6826.668414,24107.8838,8068.821221,8115.38409,5407.860582,2840.360341,8647.017009,8408.715893,1245.062072,9574.645963,2243.661214,2893.716426,2488.523031,26917.76274,20636.25944,1220.912811,1108.931063
1994,27366.22342,32871.19905,10745.36171,6284.0805,7509.603567,7386.601641,4006.418407,1166.050842,798.5343828,6883.903416,24704.8229,8381.350814,7602.81113,4266.155115,2467.293065,7565.564031,8525.457711,1301.962714,10254.54292,2463.473651,3082.368826,2634.950332,27116.14653,21240.6215,1234.786295,1101.903278
1995,27851.94239,33292.91719,9894.470109,6387.905582,7723.664528,7507.501919,3971.964286,1174.864988,820.5782724,6948.518941,25250.51795,8868.516076,8061.251608,3788.412496,2278.397354,7261.488097,8525.457143,1373.789839,11043.37814,2654.993432,3277.860501,2806.98283,27561.14823,21882.23789,1278.555661,1125.65451
1996,28032.39907,34108.95727,10217.89939,6565.69121,7771.270977,7628.711483,4127.617822,1195.51281,846.8433752,7111.548639,25646.09921,9292.29793,8508.948259,3526.296195,2258.804696,7023.941789,8765.959491,1450.130808,11670.62277,2851.902089,3458.424566,2977.691097,28243.61673,22486.00598,1305.663725,1177.455218
1997,28951.60173,35210.61612,10720.6074,6767.844589,7913.353011,7964.193355,4164.797729,1207.544847,865.4261825,7176.842125,26292.54777,9634.274229,8999.518412,3557.207039,2285.418543,7144.260239,8829.913442,1481.55893,12066.24587,3056.158832,3547.628922,3067.950521,28624.12766,23018.93269,1314.059567,1215.531561
1998,29870.09872,36237.30338,11059.09767,6963.644933,7798.798788,7983.648377,4257.673465,1215.845132,867.0915269,7102.681136,27006.55097,9914.649431,9055.144887,3600.347964,2274.889711,6801.330214,9009.427163,1545.436696,11156.84107,3204.724493,3331.016865,2633.080237,27985.07478,23650.40191,1330.168619,1246.187977
1999,31237.78847,37405.59888,11308.06529,7150.771498,7703.893421,7600.389609,4331.431697,1205.784261,875.5386221,7162.754121,27729.3347,10121.81401,8610.53999,3655.677162,2347.512194,7254.708288,8940.858212,1630.772203,12106.01161,3395.039571,3452.535049,2617.541499,27898.03359,24598.03413,1353.692699,1257.436999
2000,32563.29355,38340.23891,11881.69925,7374.436323,7920.492291,7644.867596,4392.518272,1211.977382,890.7770256,7351.121785,28701.7855,10555.80853,9053.041679,3902.145382,2535.98329,8001.69571,9213.073356,1667.549919,13015.58826,3625.593661,3648.30252,2704.367338,28649.37172,25221.73078,1389.991191,1267.885997
2001,32816.53632,38212.56603,11708.95942,7391.296649,7911.41943,7586.329732,4505.486245,1229.888398,915.4695446,7442.056991,29129.44811,10920.03404,8412.621174,4250.784765,2807.675281,8448.437729,9180.805226,1725.122889,13445.67178,3789.195995,3671.915841,2762.531119,28656.61879,25443.69266,1395.69116,1283.39853
2002,33429.25289,38430.96639,11666.68337,7440.827601,8009.99899,7237.48528,4580.779467,1228.41196,913.5626169,7604.567111,29307.4931,11302.73532,8806.589845,4511.044788,3025.343651,8898.081637,9188.434719,1760.650131,14308.51216,4047.02395,3796.933432,2845.241528,28688.80851,26105.29589,1437.075994,1339.246527
2003,33701.29894,39013.12884,11695.68151,7585.463146,7994.121065,7342.195595,4702.743144,1279.237681,926.0849373,7732.848047,29469.25951,11814.57986,9145.749968,4945.63286,3263.118885,9605.862252,9526.201813,1877.287773,14634.20882,4346.401455,3948.601815,2939.942415,29056.54996,26603.27906,1484.305478,1359.277007
2004,34374.56596,40046.77808,12038.26483,7714.614207,8344.16075,7874.344203,4853.246781,1350.488305,957.9957436,8001.646808,30002.43859,12516.89003,9870.959605,5573.685756,3548.419141,10343.19769,10049.01863,2000.710426,15233.17749,4716.490571,4163.552048,3045.907308,29825.45285,27316.8478,1553.889331,1431.622163
2005,35069.09163,40880.21095,12296.22946,7961.29004,8505.417044,8358.868137,4994.973549,1382.885935,994.8387622,8294.739901,30374.05439,13142.5379,10562.12847,5865.29548,3832.547851,11087.96197,10431.32478,2154.279561,15766.57796,5105.73431,4335.762457,3176.414788,30386.92568,27736.18318,1630.904361,1534.786258
2006,35678.30445,41582.83372,12767.45818,8303.328448,8749.111135,8851.230787,5188.476239,1415.221758,1053.263934,8662.022916,31153.33087,14001.67634,11139.77222,6372.677548,4116.698615,12079.63228,10753.66005,2319.275667,16484.36042,5710.797426,4555.583257,3336.961458,30883.7921,28055.32604,1708.346544,1644.823414
2007,36076.94975,41994.60013,13016.47001,8536.509632,9192.427717,9378.721476,5376.484582,1455.589552,1114.764202,9046.816835,31925.77679,14870.35823,11505.04654,6926.690172,4464.69303,13182.92043,11048.95948,2509.864729,17224.57189,6468.842656,4803.606376,3503.374566,31548.17535,28603.4248,1787.923149,1786.492237
2008,35943.26715,41472.76108,13003.99587,8617.106127,9579.529345,9797.013576,5569.961485,1494.746844,1157.452476,9283.536498,31795.74879,15503.36109,11428.83101,7272.915908,4701.850766,13897.69735,11261.911,2570.535551,17535.91407,7033.17901,4933.040592,3678.2123,31212.36567,28975.49776,1823.596268,1875.362129
2009,34587.09949,39659.04118,12076.24136,8463.482342,9463.923098,9682.451809,5692.457646,1526.642975,1186.470199,9061.422796,30297.49849,14918.34341,10737.62902,6527.621994,4807.920196,12885.33819,11152.30006,2743.422845,17505.7483,7609.502511,4883.043424,3797.808904,29485.61937,28823.2182,1879.525795,1888.282798
2010,35234.41821,40307.37172,12513.06199,8598.577294,10082.65699,10109.3015,5846.38078,1585.358192,1228.634343,9201.971861,30782.03675,15164.90247,11487.01054,6880.714562,5086.406749,13448.1593,11458.52315,2984.325217,18550.58761,8363.534341,5226.279449,3981.006177,30724.65008,28900.84829,1922.71352,1965.391235
2011,35929.18756,40614.76199,12791.74834,8771.604663,10388.88317,10595.72352,5498.456706,1627.478427,1245.084615,9360.386391,31107.57901,15683.06123,12569.62549,7280.100859,5415.784612,14103.20018,11871.34678,3141.692505,19134.22558,9100.878535,5373.294489,4166.8248,30699.54837,29161.32571,1974.979422,2022.382258
2012,36155.52868,41192.86144,13079.19681,8928.643592,10495.51119,10815.24312,5808.22415,1661.976496,6605.478997,9417.457903,30834.63935,15833.34521,12958.59324,7347.330109,5651.083654,14579.89939,11839.44619,3272.565143,19466.10028,9748.144418,5635.145807,4357.203206,31176.82669,29780.02199,2048.089663,2108.916296
2013,36657.26602,41571.8552,13083.049,9077.410103,10717.42,11083.79595,5775.892873,1713.957698,6255.683507,9497.890616,30778.82182,16115.3536,13822.9691,7406.322608,5945.894062,14824.36254,11902.85346,3440.613801,19916.51545,10436.57934,5840.18707,4536.372647,31827.55516,30109.95242,2110.277297,2168.549169
2014,37315.26304,42335.81332,13279.18729,9211.155025,10680.09499,11023.19933,5734.921849,1764.414803,5768.025618,9521.317941,31175.59636,16620.79304,14291.73589,7147.712752,6179.453517,14905.70298,12056.09684,3653.47355,20471.72474,11127.20244,6025.328767,4705.193656,31983.10069,30504.3064,2181.550898,2218.540189
2015,37309.69902,43248.07428,13546.62224,9427.32146,10214.92927,9316.25935,5813.639459,1762.442762,5318.002671,9496.517693,31728.95146,17273.1279,14910.49898,6624.369661,6293.7092,14480.94073,12066.76182,3907.505906,20941.44924,11820.80475,6241.330481,4871.59449,32462.56993,30895.15971,2255.663748,2222.512791
2016,37466.78097,43599.98084,13772.46481,9564.340714,9779.76514,9299.056065,5882.328563,1714.215985,4941.287181,9410.662615,32193.68717,17882.26513,15134.9711,6706.846806,6410.598085,14398.92327,12556.27299,4140.042018,21476.24426,12536.35123,6460.720481,5051.660408,32824.03474,31382.41038,2342.176135,2203.920758
2017,38008.08611,44519.28684,14085.92454,9856.938496,10096.69533,9584.612263,6118.236526,1782.133385,5150.11468,9742.405273,32630.2914,18440.92026,15627.44961,6990.898134,6751.702667,14931.53079,12861.73887,4369.362334,22238.8504,13490.89264,6727.156168,5343.158793,33201.70918,31953.61092,2431.977717,2286.234145
2018,38557.21181,45457.97642,14406.51857,10158.4876,10423.89619,9878.937346,6363.605464,1852.741678,5367.767597,10085.84245,33072.81677,19017.0282,16135.95293,7286.97973,7110.957246,15483.83915,13174.63605,4611.384889,23028.53614,14518.11463,7004.579479,5651.477649,33583.72915,32535.20805,2525.22239,2371.621824
2019,39114.27106,46416.45828,14734.40929,10469.26186,10761.70056,10182.30059,6618.814806,1926.147479,5594.61891,10441.38641,33521.34358,19611.13417,16661.00249,7595.601103,7489.327574,16056.57707,13495.14531,4866.813273,23846.26306,15623.55124,7293.443538,5977.587575,33970.14466,33127.391,2622.042164,2460.198613
2020,36474.92129,44311.41482,13101.45064,9628.859055,9990.01452,9321.823472,6265.109371,1830.73253,5319.197529,9162.837727,30502.14573,18418.94642,16019.78755,7293.584252,7203.408949,14892.51835,12587.69458,4320.086592,23562.43862,15859.14136,6892.205769,5733.114118,32066.24615,31237.28104,2462.225191,2339.978071
2021,37561.73837,45982.84201,13441.9426,9912.810188,10306.92614,9605.210426,6373.441405,1845.016116,5366.185675,9223.911728,32392.35971,19410.2653,16521.18545,7432.706835,7365.906855,15699.92532,12745.8474,4806.099531,24462.52538,17080.81012,7149.484985,6007.89411,32594.31602,31762.1259,2507.672713,2360.878604
2022,37868.6438,46421.26487,13642.97149,10117.95634,10462.57559,9818.451138,6433.462811,1881.94986,5478.965737,9318.53754,32763.29447,19964.10708,16870.17575,7700.579731,7548.201599,15985.0319,12797.35181,5131.034488,25149.06577,18037.0797,7425.987843,6273.724149,32832.58965,32286.74232,2551.861874,2410.721513
2023,38110.27871,46791.50136,13904.77017,10374.90224,10632.89952,10077.47671,6495.171274,1925.239706,5610.250787,9418.156993,33151.74705,20533.99858,17232.37617,7984.423088,7751.468899,16295.04189,12853.58666,5500.996606,25937.38055,19037.80682,7725.462233,6572.109124,33096.12691,32800.30806,2598.265242,2468.707013
2024,38352.71311,47139.79155,14154.84907,10622.61416,10796.54036,10328.82031,6548.380476,1971.041173,5748.878695,9516.920047,33504.30764,21081.83186,17680.37722,8291.412071,8049.627459,16582.85971,12903.80387,5868.494011,26660.3157,20036.98174,8039.878922,6869.409157,33346.82388,33262.08271,2648.762047,2529.925064
2025,38599.37724,47714.21203,14409.92008,10872.77733,11055.41104,10584.93149,6607.473775,2019.090403,5894.097119,9715.780385,33864.62771,21650.93899,18140.79945,8611.155782,8340.389461,16960.42834,12964.11034,6150.744757,27435.84687,20748.52095,8357.178109,7200.440184,33693.089,33767.52027,2702.634045,2594.045284
2026,38996.84034,48281.75837,14730.91848,11200.05643,11296.33624,10858.3838,6850.431539,2105.339575,6135.489226,9994.438044,34266.62692,22200.57415,18577.99748,8931.155478,8683.779443,17482.90516,13253.36904,6422.609604,28130.69886,21639.91926,8637.699038,7533.135273,34139.69589,34178.23611,2806.683788,2665.165607
2027,39398.39618,48856.0555,15059.06751,11537.18688,11542.5118,11138.90051,7102.322894,2195.273038,6386.767521,10281.08786,34673.39816,22764.16246,19025.7321,9263.046702,9041.307456,18021.47722,13549.08176,6706.490964,28843.14896,22569.61383,8927.636064,7881.202481,34592.22262,34593.94751,2914.739382,2738.235819
2028,39804.08689,49437.18373,15394.52646,11884.46522,11794.05215,11426.66411,7363.476331,2289.048175,6648.336891,10575.95907,35084.9981,23342.05813,19484.25724,9607.271356,9413.55559,18576.64034,13851.3925,7002.919968,29573.64289,23539.24996,9227.30525,8245.352074,35050.74766,35014.71522,3026.95505,2813.30938
2029,40213.95505,50025.22431,15737.45816,12242.19691,12051.07419,11721.86184,7634.232417,2386.829091,6920.618806,10879.28746,35501.48404,23934.62438,19953.83296,9964.287764,9801.129899,19148.9056,14160.44848,7312.451227,30322.63762,24550.54361,9537.033273,8626.327136,35515.35051,35440.60075,3143.490952,2890.441215
2030,40628.04368,50620.25945,16088.02908,12610.69661,12313.69739,12024.68573,7914.944243,2488.786898,7204.051998,11191.31559,35922.91399,24542.23365,20434.72558,10334.57128,10204.66139,19738.79987,14476.4002,7635.663865,31090.6017,25605.28448,9857.157769,9024.905085,35986.11175,35871.66634,3264.513414,2969.687755
2031,41091.2007,51103.89859,16435.55625,12977.06567,12547.60965,12315.44176,8178.067062,2590.672797,7497.227614,11481.10124,36365.2808,25116.71098,20880.72264,10680.69132,10555.341,20246.19116,14759.96559,7935.424733,31759.71185,26423.88336,10155.03564,9387.134087,36390.28172,36274.26192,3384.77779,3048.350245
2032,41559.63768,51592.15854,16790.59056,13354.07857,12785.96532,12613.22824,8449.937083,2696.729699,7802.334285,11778.39055,36813.09506,25704.63551,21336.45379,11038.40343,10918.07158,20766.62508,15049.08548,8246.953612,32443.22213,27268.65277,10461.91522,9763.901729,36798.99103,36681.37591,3509.472696,3129.096384
2033,42033.41481,52085.08346,17153.29418,13742.04455,13028.84883,12918.21518,8730.845096,2807.128356,8119.857557,12083.37781,37266.42386,26306.322,21802.13147,11408.09584,11293.26728,21300.4369,15343.8687,8570.71249,33141.44243,28140.4294,10778.06852,10155.79154,37212.29067,37093.05904,3638.76135,3211.981365
2034,42512.59297,52582.7179,17523.83278,14141.2818,13276.34618,13230.57668,9021.091559,2922.04651,8450.302735,12396.26234,37725.3351,26922.09259,22277.97278,11790.1698,11681.35644,21847.97049,15644.42616,8907.181494,33854.68933,29040.07665,11103.77581,10563.41048,37630.23219,37509.36258,3772.812986,3297.061842
2035,42997.23373,53085.10688,17902.37561,14552.1178,13528.54501,13550.49106,9320.986917,3041.669181,8794.195687,12717.24865,38189.89753,27552.27695,22764.19954,12185.03997,12082.78215,22409.57859,15950.87097,9256.859597,34583.28624,29968.48555,11439.32579,10987.38986,38052.86774,37930.33838,3911.803072,3384.395972
2036,43493.19476,53524.18851,18276.37777,14977.27656,13777.46825,13864.68399,9608.662036,3167.504069,9169.210034,13021.5605,38692.33126,28132.85887,23247.11428,12546.13805,12419.6909,22873.78263,16237.37687,9593.477131,35242.60062,30773.2033,11771.82178,11394.58827,38437.99675,38357.22135,4056.42876,3488.504486
2037,43994.87657,53966.90189,18658.19329,15414.85687,14030.97164,14186.16205,9905.215718,3298.544789,9560.216264,13333.15425,39201.3751,28725.67483,23740.27346,12917.9371,12765.99381,23347.60244,16529.02893,9942.335466,35914.48452,31599.52943,12113.98211,11816.87766,38827.02361,38788.90864,4206.401493,3595.815517
2038,44502.34513,54413.27709,19047.9854,15865.22165,14289.13945,14515.09417,10210.92198,3435.006709,9967.896328,13652.20414,39717.11603,29330.9826,24243.89442,13300.75424,13121.95281,23831.2372,16825.91957,10303.87973,36599.17757,32448.04418,12466.08768,12254.81732,39219.98778,39225.45431,4361.91896,3706.427577
2039,45015.66719,54863.34438,19445.92073,16328.74442,14552.05752,14851.65318,10526.06331,3577.114105,10392.96125,13978.8886,40239.64214,29949.04543,24758.19908,13694.916,13487.83715,24324.89024,17128.14289,10678.57122,37296.92398,33319.34337,12828.42758,12708.98726,39616.92909,39666.91303,4523.18616,3820.442212
2040,45534.91029,55317.13429,19852.16942,16805.8096,14819.81324,15196.01593,10850.9309,3725.100532,10836.15239,14313.39032,40769.04271,30580.13209,25283.41408,14100.75856,13863.92358,24828.76907,17435.79469,11066.88805,38007.97261,34214.03879,13201.29926,13179.98896,40017.8878,40113.3401,4690.415669,3937.964087
2041,46016.57165,55719.12852,20268.65774,17294.91235,15081.17857,15536.19969,11164.58081,3880.562896,11311.06791,14627.50162,41309.39417,31138.56543,25791.33665,14464.7047,14173.90544,25221.617,17717.56814,11436.14616,38678.97984,35017.26489,13568.62044,13621.94413,40449.92146,40574.28742,4861.149305,4076.68493
2042,46503.32795,56124.04408,20693.88377,17798.24956,15347.1534,15883.99894,11487.29689,4042.513285,11806.79754,14948.50618,41856.90743,31707.19651,26309.46295,14838.04444,14490.81815,25620.68069,18003.89524,11817.72495,39361.83328,35839.34794,13946.16219,14078.71906,40886.61936,41040.53154,5038.097737,4220.292429
2043,46995.23309,56531.90219,21128.03083,18316.23549,15617.81902,16239.58415,11819.34118,4211.22247,12324.25348,15276.55527,42411.67741,32286.21153,26837.99798,15221.02023,14814.81667,26026.05848,18294.84956,12212.03551,40056.74208,36680.73062,14334.2089,14550.8107,41328.03185,41512.13333,5221.487187,4368.958722
2044,47492.34153,56942.72424,21571.28608,18849.29646,15893.25815,16603.12962,12160.98333,4386.972519,12864.38794,15611.80349,42973.8003,32875.80013,27377.15083,15613.88078,15146.05944,26437.85027,18590.50588,12619.50265,40763.91907,37541.86603,14733.05286,15038.73265,41774.20984,41989.15435,5411.552111,4522.862014
2045,47994.7083,57356.53176,22023.84058,19397.87121,16173.55499,16974.81356,12512.50076,4570.057274,13428.19485,15954.40883,43543.37354,33476.15539,27927.13481,16016.88121,15484.70843,26856.15755,18890.9402,13040.56535,41483.58082,38423.21789,15142.99451,15543.01573,42225.20477,42471.65688,5608.535499,4682.186786
2046,48437.29347,57703.28483,22495.99331,19956.46966,16447.29834,17346.276,12853.77816,4760.845605,14022.13863,16276.04721,44109.6951,34029.85628,28460.95999,16383.84842,15757.39829,27191.2313,19170.09693,13443.94712,42162.88993,39180.37257,15544.90039,16019.01167,42678.7056,42921.6299,5808.710969,4861.229675
2047,48883.95996,58052.13422,22978.26817,20531.15401,16725.6749,17725.86721,13204.36388,4959.598867,14642.3532,16604.16977,44683.3822,34592.71547,29004.98921,16759.22331,16034.89029,27530.48563,19453.37882,13859.80665,42853.32299,39952.44747,15957.47315,16509.58471,43137.07705,43376.37024,6016.030945,5047.119014
2048,49334.7454,58403.0926,23470.88216,21122.38748,17008.76308,18113.76507,13564.51179,5166.649575,15290.00054,16938.90723,45264.53062,35164.88445,29559.41751,17143.19853,16317.26901,27873.9727,19740.84686,14288.52989,43555.06213,40739.73662,16380.99588,17015.18126,43600.37143,43835.9284,6230.750425,5240.116605
2049,49789.68777,58756.17273,23974.05693,21730.64665,17296.64263,18510.15136,13934.4827,5382.344126,15966.29403,17280.39294,45853.23741,35746.51719,30124.44367,17535.97111,16604.62049,28221.74533,20032.56289,14730.51475,44268.29252,41542.53982,16815.7592,17536.26142,44068.64161,44300.35542,6453.133504,5440.494262
2050,50248.82542,59111.38743,24488.01889,22356.42178,17589.39465,18915.21183,14314.54454,5607.043379,16672.50072,17628.76296,46449.60087,36337.77022,30700.27026,17937.74261,16897.0323,28573.85698,20328.58969,15186.17147,44993.20233,42361.16278,17262.06146,18073.29936,44541.94104,44769.70289,6683.453706,5648.534192
2051,50680.81979,59446.7572,25015.84815,22995.18689,17890.63317,19321.0879,14692.81094,5843.596339,17408.94292,17969.72942,47060.22854,36908.28347,31277.83119,18336.10803,17164.16713,28930.69851,20630.57334,15629.88653,45712.23218,43063.64965,17704.40525,18588.46144,45047.10008,45233.19982,6919.486484,5874.507911
2052,51116.52807,59784.02969,25555.05455,23652.20272,18197.03074,19735.67311,15081.07314,6090.129122,18177.91456,18317.29068,47678.88354,37487.75393,31866.25771,18743.32044,17435.52525,29291.99642,20937.04299,16086.56622,46442.75275,43777.78605,18158.08418,19118.30772,45557.98823,45701.4953,7163.854992,6109.521873
2053,51555.98217,60123.21571,26105.88333,24327.99073,18508.67572,20159.15435,15479.59529,6347.062763,18980.8525,18671.57429,48305.6714,38076.32225,32465.75424,19159.57632,17711.17343,29657.80636,21248.06529,16556.58934,47184.94766,44503.76517,18623.38873,19663.25677,46074.67046,46174.63901,7416.853615,6353.93774
2054,51999.21431,60464.32611,26668.58499,25023.08728,18825.65798,20591.7225,15888.64852,6614.836058,19819.25707,19032.71028,48940.69903,38674.13125,33076.52904,19585.0765,17991.17948,30028.18467,21563.70786,17040.34577,47939.00348,45241.78341,19100.6168,20223.73906,46597.21248,46652.68112,7678.787136,6608.131641
2055,52446.25696,60807.3718,27243.41546,25738.04404,19148.06892,21033.57255,16308.51112,6893.906318,20694.69487,19400.83117,49584.07474,39281.32603,33698.79427,20020.02628,18275.61231,30403.18841,21884.03933,17538.23676,48705.10975,45992.0404,19590.07394,20800.19736,47125.68076,47135.67237,7949.971097,6872.494754
2056,52928.76025,61154.5734,27822.77778,26465.28694,19475.82541,21474.47043,16729.86471,7182.622114,21599.58887,19768.97164,50265.96675,39919.15151,34316.7912,20474.44962,18574.73912,30861.00112,22225.48301,18029.93476,49387.50645,46713.45152,20075.41024,21356.55481,47687.52108,47668.00506,8228.41702,7151.25048
