time,sector,unit,technology,material,min,max
2020,vehicles,fraction,HFT - Trolley,glass,0.0,0.0
2020,vehicles,fraction,HFT - Trolley,lead,0.0,0.0
2020,vehicles,fraction,HFT - Trolley,lithium,0.0,0.0
2020,vehicles,fraction,HFT - Trolley,manganese,0.0,0.0
2020,vehicles,fraction,HFT - Trolley,neodymium,0.0,0.0
2020,vehicles,fraction,HFT - Trolley,nickel,0.0,0.0
2020,vehicles,fraction,HFT - Trolley,plastics,0.0,0.0
2020,vehicles,fraction,HFT - Trolley,rubber,0.0,0.0
2020,vehicles,fraction,HFT - Trolley,steel,0.0,0.0
2020,vehicles,fraction,HFT - Trolley,titanium,0.0,0.0
2020,vehicles,fraction,HFT - Trolley,wood,0.0,0.0
2020,vehicles,fraction,LCV - BEV,aluminium,0.0549,0.0671
2020,vehicles,fraction,LCV - BEV,cobalt,0.0,0.0
2020,vehicles,fraction,LCV - BEV,copper,0.009,0.011
2020,vehicles,fraction,LCV - BEV,glass,0.0054,0.0066
2020,vehicles,fraction,LCV - BEV,lead,0.0,0.0
2020,vehicles,fraction,LCV - BEV,lithium,0.0,0.0
2020,vehicles,fraction,LCV - BEV,manganese,0.0,0.0
2020,vehicles,fraction,LCV - BEV,neodymium,0.0,0.0
2020,vehicles,fraction,LCV - BEV,nickel,0.0,0.0
2020,vehicles,fraction,LCV - BEV,plastics,0.0972,0.1188
2020,vehicles,fraction,LCV - BEV,rubber,0.027,0.033
2020,vehicles,fraction,LCV - BEV,steel,0.5904,0.7216
2020,vehicles,fraction,LCV - BEV,titanium,0.0,0.0
2020,vehicles,fraction,LCV - BEV,wood,0.0,0.0
2020,vehicles,fraction,LCV - FCV,aluminium,0.0549,0.0671
2020,vehicles,fraction,LCV - FCV,cobalt,0.0,0.0
2020,vehicles,fraction,LCV - FCV,copper,0.009,0.011
2020,vehicles,fraction,LCV - FCV,glass,0.0054,0.0066
2020,vehicles,fraction,LCV - FCV,lead,0.0,0.0
2020,vehicles,fraction,LCV - FCV,lithium,0.0,0.0
2020,vehicles,fraction,LCV - FCV,manganese,0.0,0.0
2020,vehicles,fraction,LCV - FCV,neodymium,0.0,0.0
2020,vehicles,fraction,LCV - FCV,nickel,0.0,0.0
2020,vehicles,fraction,LCV - FCV,plastics,0.0972,0.1188
2020,vehicles,fraction,LCV - FCV,rubber,0.027,0.033
2020,vehicles,fraction,LCV - FCV,steel,0.5904,0.7216
2020,vehicles,fraction,LCV - FCV,titanium,0.0,0.0
2020,vehicles,fraction,LCV - FCV,wood,0.0,0.0
2020,vehicles,fraction,LCV - HEV,aluminium,0.0549,0.0671
2020,vehicles,fraction,LCV - HEV,cobalt,0.0,0.0
2020,vehicles,fraction,LCV - HEV,copper,0.009,0.011
2020,vehicles,fraction,LCV - HEV,glass,0.0054,0.0066
