time,Region,Type,Area,Shape,Scale
2020,16,Semi-detached,Urban,1.96820464,67.35799478
2020,16,Appartments,Urban,1.96820464,67.35799478
2020,16,High-rise,Urban,1.96820464,67.35799478
2020,16,Detached,Rural,1.96820464,67.35799478
2020,16,Semi-detached,Rural,1.96820464,67.35799478
2020,16,Appartments,Rural,1.96820464,67.35799478
2020,16,High-rise,Rural,1.96820464,67.35799478
2020,17,Detached,Urban,1.96820464,67.35799478
2020,17,Semi-detached,Urban,1.96820464,67.35799478
2020,17,Appartments,Urban,1.96820464,67.35799478
2020,17,High-rise,Urban,1.96820464,67.35799478
2020,17,Detached,Rural,1.96820464,67.35799478
2020,17,Semi-detached,Rural,1.96820464,67.35799478
2020,17,Appartments,Rural,1.96820464,67.35799478
2020,17,High-rise,Rural,1.96820464,67.35799478
2020,18,Detached,Urban,1.96820464,67.35799478
2020,18,Semi-detached,Urban,1.96820464,67.35799478
2020,18,Appartments,Urban,1.96820464,67.35799478
2020,18,High-rise,Urban,1.96820464,67.35799478
2020,18,Detached,Rural,1.96820464,67.35799478
2020,18,Semi-detached,Rural,1.96820464,67.35799478
2020,18,Appartments,Rural,1.96820464,67.35799478
2020,18,High-rise,Rural,1.96820464,67.35799478
2020,19,Detached,Urban,1.96820464,67.35799478
2020,19,Semi-detached,Urban,1.96820464,67.35799478
2020,19,Appartments,Urban,1.96820464,67.35799478
2020,19,High-rise,Urban,1.96820464,67.35799478
2020,19,Detached,Rural,1.96820464,67.35799478
2020,19,Semi-detached,Rural,1.96820464,67.35799478
2020,19,Appartments,Rural,1.96820464,67.35799478
2020,19,High-rise,Rural,1.96820464,67.35799478
2020,20,Detached,Urban,2.00000000,33.85137501
2020,20,Semi-detached,Urban,2.00000000,39.49327085
2020,20,Appartments,Urban,2.00000000,53.59801044
2020,20,High-rise,Urban,2.00000000,56.41895835
2020,20,Detached,Rural,2.00000000,31.03042710
2020,20,Semi-detached,Rural,2.00000000,31.03042710
2020,20,Appartments,Rural,2.00000000,53.59801044
2020,20,High-rise,Rural,2.00000000,56.41895835
2020,21,Detached,Urban,1.96820464,56.40061613
2020,21,Semi-detached,Urban,1.96820464,56.40061613
2020,21,Appartments,Urban,1.96820464,56.40061613
2020,21,High-rise,Urban,1.96820464,56.40061613
2020,21,Detached,Rural,1.96820464,56.40061613
2020,21,Semi-detached,Rural,1.96820464,56.40061613
2020,21,Appartments,Rural,1.96820464,56.40061613
2020,21,High-rise,Rural,1.96820464,56.40061613
2020,22,Detached,Urban,1.96820464,67.35799478
2020,22,Semi-detached,Urban,1.96820464,67.35799478
2020,22,Appartments,Urban,1.96820464,67.35799478
2020,22,High-rise,Urban,1.96820464,67.35799478
2020,22,Detached,Rural,1.96820464,67.35799478
2020,22,Semi-detached,Rural,1.96820464,67.35799478
2020,22,Appartments,Rural,1.96820464,67.35799478
2020,22,High-rise,Rural,1.96820464,67.35799478
2020,23,Detached,Urban,1.87660579,41.23323065
2020,23,Semi-detached,Urban,1.88764468,42.57506724
2020,23,Appartments,Urban,1.90454391,43.94751816
2020,23,High-rise,Urban,2.55509870,34.04835016
2020,23,Detached,Rural,1.87660579,41.23323065
2020,23,Semi-detached,Rural,1.88764468,42.57506724
2020,23,Appartments,Rural,1.90454391,43.94751816
2020,23,High-rise,Rural,2.55509870,34.04835016
2020,24,Detached,Urban,1.96820464,94.00102689
2020,24,Semi-detached,Urban,1.96820464,94.00102689
2020,24,Appartments,Urban,1.96820464,94.00102689
2020,24,High-rise,Urban,1.96820464,94.00102689
2020,24,Detached,Rural,1.96820464,94.00102689
2020,24,Semi-detached,Rural,1.96820464,94.00102689
2020,24,Appartments,Rural,1.96820464,94.00102689
2020,24,High-rise,Rural,1.96820464,94.00102689
2020,25,Detached,Urban,1.96820464,67.35799478
2020,25,Semi-detached,Urban,1.96820464,67.35799478
2020,25,Appartments,Urban,1.96820464,67.35799478
2020,25,High-rise,Urban,1.96820464,67.35799478
2020,25,Detached,Rural,1.96820464,67.35799478
2020,25,Semi-detached,Rural,1.96820464,67.35799478
2020,25,Appartments,Rural,1.96820464,67.35799478
2020,25,High-rise,Rural,1.96820464,67.35799478
2020,26,Detached,Urban,1.96820464,67.35799478
2020,26,Semi-detached,Urban,1.96820464,67.35799478
2020,26,Appartments,Urban,1.96820464,67.35799478
2020,26,High-rise,Urban,1.96820464,67.35799478
2020,26,Detached,Rural,1.96820464,67.35799478
2020,26,Semi-detached,Rural,1.96820464,67.35799478
2020,26,Appartments,Rural,1.96820464,67.35799478
2020,26,High-rise,Rural,1.96820464,67.35799478
2050,1,Detached,Urban,1.96820464,109.30000000
2050,1,Semi-detached,Urban,1.96820464,109.30000000
2050,1,Appartments,Urban,1.96820464,109.30000000
2050,1,High-rise,Urban,1.96820464,109.30000000
2050,1,Detached,Rural,1.96820464,109.30000000
2050,1,Semi-detached,Rural,1.96820464,109.30000000
2050,1,Appartments,Rural,1.96820464,109.30000000
