,a,b,c
1,0.3839784676889865,3689859.952189765,271240.8242394825
2,0.2305969001623408,3379975.9048469304,258826.36363590957
3,0.30567183132044756,3.357727994959472,0.20037504792530597
4,0.30567183132044756,3.357727994959472,0.20037504792530597
5,0.30567183132044756,3.357727994959472,0.20037504792530597
6,0.30567183132044756,3.357727994959472,0.20037504792530597
7,0.30567183132044756,3.357727994959472,0.20037504792530597
8,0.30567183132044756,3.357727994959472,0.20037504792530597
9,0.30567183132044756,3.357727994959472,0.20037504792530597
10,0.30567183132044756,3.357727994959472,0.20037504792530597
11,0.2305969001623408,3379975.9048469304,258826.36363590957
12,0.30567183132044756,3.357727994959472,0.20037504792530597
13,0.30567183132044756,3.357727994959472,0.20037504792530597
14,0.30567183132044756,3.357727994959472,0.20037504792530597
15,0.30567183132044756,3.357727994959472,0.20037504792530597
16,0.6512309335133878,3.6517827188551446,0.18270198271210167
17,0.30567183132044756,3.357727994959472,0.20037504792530597
18,0.30567183132044756,3.357727994959472,0.20037504792530597
19,0.6512309335133878,3.6517827188551446,0.18270198271210167
20,0.6512309335133878,3.6517827188551446,0.18270198271210167
21,0.30567183132044756,3.357727994959472,0.20037504792530597
22,0.30567183132044756,3.357727994959472,0.20037504792530597
23,0.3839784676889865,3689859.952189765,271240.8242394825
24,0.2305969001623408,3379975.9048469304,258826.36363590957
25,0.30567183132044756,3.357727994959472,0.20037504792530597
26,0.30567183132044756,3.357727994959472,0.20037504792530597
