,Africa,China,Europe,India,Japan,Korea,Oceania,Other North America countries,Rest of Asia,South America,USA
2012,-26084.331474387436,6802980.966978714,2261162.647725356,328120.9837852129,801373.5474595248,668455.5106685344,29252.870808951702,19141.54702855012,1042737.0017917529,463674.44269800885,806973.6044535434
2013,-173828.2060662887,7576939.002556207,2086888.2639827456,337519.4429544346,785555.3288180237,661436.402750711,16795.480838448115,215615.9340100942,822495.1851219268,525737.1624745537,780882.114682922
2014,-4421.999531207723,8473371.37192583,2107213.065440404,359654.8629441847,768317.5220897519,595977.656717498,-100808.2237131724,-52525.49753057002,708529.5020807276,309475.0691213467,689669.2035265139
2015,-86595.72758764413,8322111.6478715725,1672889.9175664387,347208.61497886956,645969.7766744192,561227.7742146633,-149488.1778057092,44802.21819081262,637400.432388179,189908.70495284186,492594.87126205117
2016,-100372.33192641666,8687887.970540186,1639632.40022805,391147.1321192106,759685.6830074908,618228.9116453252,-81617.44167100552,275700.43009219685,875667.056569133,527818.051238017,772932.1597199417
2017,-169901.90869753383,8888018.594753169,1605834.5377728376,435313.65752553404,736306.5213091986,627348.602250051,-66903.31841393386,250230.3280251788,774047.2177194038,477061.05611742265,794647.3990723623
2018,-277826.0128164607,8859358.197421366,1553247.631516758,426411.45588945807,725923.6172131996,588855.246676267,-97395.8973618756,91782.74915029993,706603.5012048578,369686.0698095111,651533.129807835
2019,-310637.47272640665,9436086.889738832,1426911.8289836654,488779.75590180606,708047.5685510192,565807.1577592264,-118207.13662380638,221398.7770874633,526584.445209011,317289.70185597846,632066.91363367
2020,-184393.84091165726,11210898.720770784,2130145.770049815,587824.6917424311,732587.1049895696,608040.2707183297,-101369.147437311,153127.25423621654,992218.4130927211,512105.1509600238,1017086.1155784907
