Region,class_ 1,class_ 2,class_ 3,class_ 4,class_ 5,class_ 6,class_ 7,class_ 8,class_ 9,class_ 10,class_ 11,class_ 12,class_ 13,class_ 14,class_ 15,class_ 16,class_ 17,class_ 18,class_ 19,class_ 20,class_ 21,class_ 22,class_ 23,class_ 24,class_ 25,class_ 26
1980,3830826.055,15679412.88,5979249.96,1059897.664,24558353.55,6575359.127,2371696.176,3525157.567,2232892.014,625177.1147,25119627.84,2526288.705,2096202.948,2848054.966,1635872.469,9769469.147,3743000.319,8609240.562,1303422.606,16619669.43,4592465.031,3086741.024,12032904.15,2234403.725,3646132.653,1753575.756
1981,4868958.522,24073340.73,9340253.652,1839138.16,3099758.374,6146651.092,3210659.872,4462573.335,2607360.56,2959346.844,23727305.35,2096583.82,1753320.926,2397104.467,1477937.64,8425349.587,3869574.999,10247317.47,3122051.115,17237005.36,4604053.088,3485260.5,12195124.99,2710476.553,3405469.17,1705138.808
1982,1100688.616,16883619.84,3106334.551,1259085.648,2059604.007,4168701.922,3473521.936,4368715.392,2833200.68,1442158.985,23841052.18,1918027.712,1707836.676,1994172.465,1280550.988,6805542.16,14214751.08,10054455.26,2191372.097,18637735.07,5105516.64,4088564.109,13489709.59,2527746.115,4070745.849,1576166.034
1983,1593707.293,62703710.23,52121.52852,1311834.464,635033.2023,2997504.175,3647811.831,5119174.793,2575670.657,1051718.056,30011310.08,2238442.033,3146782.71,1743449.186,1147813.882,6452323.346,12198118.47,11215667.43,3026756.747,20410332.84,5196485.945,3799256.287,16016279.6,1884187.795,4115771.918,1596192.459
1984,5303910.785,61398080.48,1738523.459,1834922.057,2129900.186,3587822.46,4143857.625,5405683.332,2271919.868,1691940.5,35517397.58,3964895.96,3781506.256,2114307.201,1357210.528,7034427.142,7324739.983,10789731.02,2649311.31,20602538.1,5227236.869,3938802.526,14125927.52,2928233.092,4288670.477,1789732.712
1985,6706457.644,66537519.21,3927254.069,1508238.327,5107436.702,4162878.016,4116287.47,7706562.802,2191056.8,1084650.49,41641955.46,3906365.858,2874349.073,1975800.805,1397116.839,6226409.055,5690761.976,11565967.63,2938241.871,23936074.36,5533049.558,3480967.367,18116957.83,4140592.129,4715768.903,1496116.097
1986,7175155.642,70956198.73,10563247.44,1407803.067,8075818.516,11140941.91,2892354.736,5191228.474,2901798.067,629359.442,51854567.63,7096142.336,2283851.099,2510206.74,1852946.49,8209248.012,15816146.64,13261651.46,3328925.813,24757691.69,6217642.667,5238605.294,20258055.45,3474876.337,4391697.887,2076334.205
1987,7382708.255,60592327.33,4347970.344,2717924.106,8524788.9,8725070.098,4563853.751,5026280.315,3339614.893,2008335.494,73177277.3,7376772.491,5600823.231,2192234.156,1685601.398,7842701.027,8187154.432,13058285.15,5429930.904,26195545.42,6570382.744,3328624.873,23160761.83,4386342.508,4229045.176,2011173.422
1988,6340619.037,58762695.57,5581669.016,1682008.346,2388477.157,6051938.688,4727951.107,7011248.489,3678607.517,2402622.396,63961541.16,4122655.426,2246611.076,2646751.848,1640684.942,9863204.347,3585696.331,14297934.08,4431266.364,28115262.06,7589213.826,4447113.355,22473134.35,3720033.108,4440686.573,2202011.016
1989,5396312.788,49279267.49,9663508.903,2372289.338,7768285.746,3092778.655,4050723.605,5627109.86,2904366.019,2017350.156,56303866.59,4746791.681,1580893.168,3564219.844,1954547.006,12671698.27,7192263.917,14093196.75,5289006.911,24903496.76,8119321.645,4865182.487,22075790.32,4477887.79,4484132.549,2456799.639
1990,3982177.499,38272714.17,9334688.894,1698814.71,1408141.77,3497877.413,3801693.785,2038539.003,3243287.949,1807324.689,57214822.78,3614110.453,6873794.658,7566969.914,4087827.565,22019993.55,5456377.272,13224589.95,5800046.219,29633319.48,10727272.02,7465308.355,27586651.28,4556796.46,4831774.071,2692841.233
1991,2958736.31,31241249.18,9172340.024,1239063.475,3296370.441,13654905.46,2911979.07,6608218.914,2892297.568,1467238.865,49581425.6,983340.5782,3182860.261,3226803.985,1186662.291,4615269.946,15921580.46,13152697.67,6398567.249,26990867.49,7046449.695,6412807.981,21879447.64,3023278.976,4476927.992,2007631.715
1992,3590433.747,52342089.11,7704273.548,2083127.929,4165028.951,13979438.82,3638809.653,7276817.469,3099090.822,923694.5169,52120516.07,299582.6068,3782316.964,610442.9054,393083.5616,3300792.147,10746385.2,13141784.46,6332155.641,31681933.42,9010659.141,5627679.156,19447401.98,3381913.292,6175037.593,2770783.989
1993,5770964.164,59553847.92,4873248.448,1854515.993,5815946.532,9857499.793,4261195.945,5754783.735,3323489.803,977645.7051,39335650.11,1620367.984,6718688.804,855340.3745,918217.0212,6515.275327,9874230.228,14938374.28,6776014.724,33678014.73,10840488.78,5761927.51,18600794.36,3986037.641,6027508.706,1956297.551
1994,6526805.598,63630821.42,5467910.135,2392190.798,7754213.945,9915113.153,3868564.808,5626817.586,3157505.56,1574725.442,50408888.54,4436479.793,2180101.599,273594.3362,601768.5873,38806.64363,7100530.445,16236926.43,7170146.013,32180640.13,10302094.58,7819112.092,22131784.14,4429072.586,5565824.531,999061.9395
1995,4707594.483,54820147.84,3770089.41,2865610.143,22901944.64,9423778.268,3489166.814,6341192.549,4346893.815,2584691.313,42961131.59,6909807.994,3984420.366,170098.277,405339.308,241704.6313,6188525.175,18414198.72,8221009.766,39173425.18,12362773.77,8913001.89,21454325.69,4858294.171,6225898.35,2831700.763
1996,4815467.559,51923782.05,835730.7085,2272394.127,11703716.73,9140755.914,4260074.63,7277329.543,4916120.975,2213300.751,50504671.78,12338801.61,4532150.172,240626.6227,423051.1692,694396.3994,9446994.147,20076593.3,8664947.739,56996746.42,11904434.42,9047832.452,20800814.95,4494372.468,6776711.813,2158414.055
1997,8742131.327,54498735.11,9352528.998,3223237.926,9893407.458,14614022.07,5385379.713,7333668.651,4800413.817,2214692.709,57903207.17,6094028.567,6634763.341,187543.2556,1096826.713,205847.8472,11888589.39,16028753.56,5884396.644,30449464.28,8708567.128,7381768.339,15282055.63,4461319.588,5514116.415,3268602.545
1998,7059450.711,62331733.8,9891331.704,2945063.354,6477540.137,12584997.61,6265012.091,9335435.721,4266256.746,1304400.691,61292270.34,7274208.283,2570956.717,573081.345,1122271.217,1007758.412,26340790.98,18752337.49,1141814.334,32385104.46,4371976.055,3235588.292,11070845.58,4833975.689,5798535.816,2522643.414
1999,8261392.239,76499193.34,8780263.473,3513924.993,3014698.635,5158472.238,4226648.399,7327769.96,4379621.853,2341771.767,65986030.61,6182252.848,2459399.471,604538.1694,936635.4187,1009148.284,7759087.183,23388793.34,4948976.32,38644623.17,6991704.496,4625782.303,15736230.24,5715417.684,6526562.251,2821741.669
2000,5014225.91,63381699.32,11579341.54,3157308.27,8760242.355,2135694.564,3094939.915,5274095.013,4670729.065,2334933.883,65070239.87,7605402.799,6336495.083,381363.2309,1542118.486,5616214.168,4568587.805,17347038.78,11249478.37,62217225.25,9985997.988,4659477.165,21513996.56,4725166.036,6721376.425,2560093.959
2001,7748055.421,59610090.8,6298984.32,2881952.243,6347359.608,7186494.394,4237556.8,11656346.2,3533175.919,2058329.147,62630508.58,8449968.53,2445840.604,853859.5339,1373198.009,7111973.038,6633527.861,19809760.36,8451641.009,38477384.31,10938981.98,3097715.058,24276613.39,4324282.659,6869598.822,2308874.242
2002,11393808.81,56638863.49,6418456.979,3098341.358,7716838.832,5827429.362,4609503.992,12885412.71,4960960.875,1983606.166,49102098.74,10022504.5,2178374.699,1011929.646,1930243.526,7209954.318,11177570.51,18007019.7,10864995.09,45270177.41,11233428.39,8042462.694,16588864.88,6035233.556,7083222.094,3321120.392
2003,9361227.674,64306590.13,9369509.277,2777565.525,4254288.441,2148226.385,4558123.844,10433713.62,5030871.082,2586920.64,56867158.22,10278925.02,5956029.759,1330327.152,2240534.248,10218989.6,15061366.46,21043516.96,4929381.635,49941011.24,12586996.51,8268605.885,18882281.58,4913544.479,7888387.309,3177479.451
2004,8277366.957,58054696.82,7975051.19,3704346.142,12576329.06,10926406.98,4305122.184,10463863.27,5187998.598,4218455.878,65435898.35,13083115.67,8698885.153,1907283.665,2627617.422,12881157.25,20613829.15,20758131.27,4206033.434,52379496.41,14564906.53,6622470.121,21986483.93,6790146.705,8539517.944,3212861.952
2005,8669129.258,60269375.79,9283609.016,3700952.846,12886447.78,14454000.4,4614545.263,10661542.64,6393388.569,3822967.929,58595503.13,12727346.81,8873652.639,1564478.324,1876716.462,10535862.64,13461153.96,24603020.1,8479662.61,58341017.93,12579549.13,6069829.348,19938415.34,4244257.95,8963342.357,3088596.721
