type,time,fuel,stage,unit,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
onshore,1937,gas,extraction,kg,5964881.001357109,112195716.31732325,2120863.786335756,224627.26761184662,49379.61371703544,2401655.9351253756,308647.5812168045,26109.83195285306,27.43348564384534,5340.226343884741,20049824.429069158,10783120.081316205,5192.0841535541995,14239321.298312277,5906172.218327073,42951671.23363342,2813705.151179728,193219.1466908638,11313.033405047387,576794.192276865,59528.87125876765,32325.563161044844,1461563.0171583653,548022.7209668142,783426.3024240991,12640.455761236379
onshore,1938,gas,extraction,kg,6326388.940833297,118995456.70019133,2249400.98550762,238241.04140650397,52372.31757867396,2547210.8402844896,327353.4952299442,27692.24601060172,29.09612113741173,5663.8764253323,21264965.303558197,11436642.510486884,5506.755920436271,15102310.467906961,6264122.049740834,45554802.823550604,2984232.736099711,204929.3980054616,11998.671793232073,611751.4160512205,63136.6816380869,34284.68820110817,1550142.593955842,581236.2192072271,830906.6843891961,13406.543989190097
onshore,1939,gas,extraction,kg,6687896.880309485,125795197.08305939,2377938.184679484,251854.81520116137,55365.02144031246,2692765.7454436035,346059.40924308385,29274.660068350397,30.75875663097811,5987.526506779861,22480106.178047236,12090164.939657563,5821.427687318344,15965299.637501648,6622071.881154598,48157934.413467765,3154760.3210196947,216639.64932005943,12684.310181416768,646708.6398255759,66744.49201740616,36243.81324117149,1638722.1707533188,614449.7174476399,878387.066354293,14172.63221714382
onshore,1940,gas,extraction,kg,7049404.819785673,132594937.46592747,2506475.383851348,265468.58899581875,58357.72530195098,2838320.6506027174,364765.3232562235,30857.07412609906,32.42139212454448,6311.17658822742,23695247.052536283,12743687.36882824,6136.099454200416,16828288.807096332,6980021.7125683585,50761066.00338495,3325287.9059396777,228349.9006346572,13369.948569601456,681665.8635999312,70352.30239672541,38202.93828123482,1727301.7475507956,647663.215688053,925867.4483193898,14938.72044509754
onshore,1941,gas,extraction,kg,7410912.759261861,139394677.84879556,2635012.583023212,279082.3627904761,61350.42916358948,2983875.555761831,383471.2372693632,32439.488183847738,34.08402761811087,6634.82666967498,24910387.927025322,13397209.79799892,6450.771221082489,17691277.976691015,7337971.54398212,53364197.59330212,3495815.4908596617,240060.15194925503,14055.586957786149,716623.087374287,73960.11277604465,40162.063321298134,1815881.3243482718,680876.7139284661,973347.8302844869,15704.808673051259
onshore,1942,gas,extraction,kg,7772420.698738052,146194418.23166364,2763549.7821950754,292696.1365851335,64343.133025227995,3129430.460920944,402177.1512825029,34021.9022415964,35.746663111677265,6958.47675112254,26125528.80151436,14050732.2271696,6765.442987964562,18554267.146285694,7695921.375395882,55967329.183219306,3666343.0757796452,251770.40326385284,14741.225345970835,751580.3111486422,77567.92315536393,42121.18836136146,1904460.9011457486,714090.2121688789,1020828.2122495838,16470.896901004977
onshore,1943,gas,extraction,kg,8133928.638214237,152994158.61453167,2892086.9813669403,306309.91037979093,67335.83688686651,3274985.3660800583,420883.0652956426,35604.316299345075,37.40929860524365,7282.126832570099,27340669.6760034,14704254.656340279,7080.114754846634,19417256.31588038,8053871.206809645,58570460.77313648,3836870.6606996283,263480.6545784506,15426.863734155524,786537.5349229977,81175.73353468317,44080.313401424784,1993040.4779432258,747303.710409292,1068308.5942146806,17236.9851289587
onshore,1944,gas,extraction,kg,8495436.577690426,159793898.99739978,3020624.1805388043,319923.6841744482,70328.54074850501,3420540.2712391727,439588.97930878215,37186.73035709375,39.07193409881003,7605.77691401766,28555810.55049244,15357777.085510958,7394.786521728706,20280245.485475063,8411821.038223406,61173592.36305366,4007398.2456196113,275190.90589304845,16112.502122340216,821494.7586973533,84783.54391400242,46039.43844148812,2081620.0547407025,780517.2086497049,1115788.9761797776,18003.073356912417
onshore,1945,gas,extraction,kg,8856944.517166615,166593639.38026786,3149161.3797106678,333537.4579691056,73321.24461014353,3566095.176398286,458294.8933219218,38769.14441484242,40.73456959237641,7929.42699546522,29770951.42498148,16011299.51468164,7709.458288610781,21143234.65506975,8769770.869637169,63776723.95297084,4177925.830539596,286901.15720764623,16798.140510524907,856451.9824717086,88391.35429332167,47998.563481551435,2170199.631538179,813730.7068901178,1163269.3581448745,18769.161584866135
onshore,1946,gas,extraction,kg,9218452.456642803,173393379.76313594,3277698.578882532,347151.23176376295,76313.94847178205,3711650.0815574,477000.80733506155,40351.55847259108,42.397205085942794,8253.07707691278,30986092.299470518,16664821.943852318,8024.130055492853,22006223.82466443,9127720.70105093,66379855.542888016,4348453.415459579,298611.408522244,17483.778898709596,891409.206246064,91999.16467264092,49957.688521614764,2258779.2083356553,846944.2051305309,1210749.7401099715,19535.249812819857
