type,time,fuel,stage,unit,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
refinery,2010,oil,refinery,kg,693023201.7197881,5663774224.739466,647361980.6659713,282989745.0903042,690183633.8307314,771701897.6865162,546233763.6886567,224431773.03921372,120894358.26825117,178521649.55404416,4161541641.8873205,666451268.3685995,226837533.26235637,196231387.54331565,169942724.00724185,1134535679.701359,2259474563.5496764,979001776.4485236,685794342.3098488,3406113826.245624,927187653.2289748,498114043.6733109,1445731907.1898217,381077089.3218296,243359095.5131358,91641691.24858218
refinery,2011,oil,refinery,kg,696253113.9283593,5592526772.724527,644004380.9203123,285748764.3860311,710448232.9972787,793744223.2917622,561295821.6895893,236733571.142729,127601778.46848775,183586534.5226786,4077845639.6254196,664348453.4078795,236141271.83726162,192224145.44760367,175436666.44051576,1153689519.1728199,2333859334.1157494,1029090671.3268093,699346734.6455759,3573594336.4439163,952614152.1148608,510830817.3356537,1410572679.2043867,386587655.79226893,252563176.14822093,98424661.88822119
refinery,2012,oil,refinery,kg,697830819.383894,5530284030.997476,642712611.4523717,288008721.4998023,725295314.5468191,813487673.6310216,573015719.4553285,249871521.1796986,134502616.32130063,187623417.91666287,3996290445.6682186,661897685.8250797,244885694.28913793,187475820.6198852,182514144.84487206,1171719200.4160573,2395528708.8218346,1078571034.524487,715014170.2627528,3722915323.1871734,983313383.2441566,520054561.64377874,1378518589.710307,392259693.08102405,263540876.5404642,104154237.95921564
refinery,2013,oil,refinery,kg,697124693.331366,5475591045.034846,638922111.5241191,287842957.8978706,738151491.2024796,825495716.4142745,582654496.572243,262536532.05614427,141526735.35764462,190295317.9099821,3923265040.0847607,661272273.879716,254539331.05215868,182346343.98671746,185949552.60644165,1182346865.0645306,2448593218.769669,1131289479.4105582,728322611.9245276,3870677526.6107435,1014801998.5682298,530273381.7581742,1342675525.6512668,397932597.02926034,273997200.74083996,109032983.8627331
refinery,2014,oil,refinery,kg,699059690.443883,5466196046.04868,632077163.9998089,289208866.4310755,745159036.4894915,831988339.6719733,587276733.9843767,275017574.0732012,148464315.0047365,191831741.28570712,3853539051.218409,661216912.055056,264059719.4490638,178349402.56216738,190283824.2466503,1188145098.5646942,2485866036.6672945,1187919644.7714853,742123894.6095419,4034093494.59946,1054478428.0898634,546101447.0083756,1315330529.7950299,403647443.2801786,281609329.77464986,113371280.84031416
refinery,2015,oil,refinery,kg,705450749.4927901,5492464092.679395,630477839.3520665,291376433.9420474,754305566.519681,838327953.462807,586421462.4370574,288779978.0053522,155464337.5072854,193419491.4296764,3805270045.6360455,667054416.4604193,273686415.1595907,175601345.3614797,193641218.83094814,1192984476.3222716,2510066556.706805,1242404088.9635909,756821045.7207364,4200862695.4062924,1093604989.4081829,559056370.7968277,1290777551.6139476,410367896.1270477,287251104.36582273,117410128.2700381
refinery,2016,oil,refinery,kg,698809715.2206222,5439369133.256801,615868889.1304524,287344096.17537844,752036217.0973681,821726648.0030978,579425000.9544725,297406639.6503091,160278556.44431204,192095445.90711904,3698634638.000447,665742543.3439084,281907479.910207,171865225.82062787,198270356.1887815,1190544449.1276352,2507057061.7124147,1280999677.7469854,762794614.6553197,4342693856.747113,1108214200.947308,562507831.2923292,1253499899.6207206,411799151.04989564,293680830.9874008,118774336.55753529
refinery,2017,oil,refinery,kg,692387491.0426693,5444316096.029741,599644279.4852012,286258489.91981936,752526458.4273975,811443694.2246348,579088305.3474128,308165217.44151616,166069565.22577056,190706828.6829705,3621559301.8066278,668904143.2533184,292146556.5085521,167537453.23737514,201549275.66791594,1192236041.2143614,2501630934.063385,1325992080.4201088,770326545.3485956,4504944155.931342,1117181654.5497706,560551166.9709014,1212259948.4874742,410306531.3923383,302138815.90644825,121177312.21972424
refinery,2018,oil,refinery,kg,690617381.0742443,5482477144.149573,598334482.7661976,286022050.0606976,751741495.5393597,809032342.930819,582620241.1629921,320945083.9119248,173339359.88182813,192220947.54312882,3600271254.9831095,676461775.6350832,304587764.80294377,161095090.9094213,206896481.3948569,1197123794.823279,2507991000.3302593,1382593874.596952,776220087.6189164,4675698401.387814,1151155326.139702,564071709.3351213,1175929338.2179997,415748515.6859352,312463466.7876634,123934006.80107853
refinery,2019,oil,refinery,kg,687653697.7134988,5508392746.83999,599111609.2433251,286275933.0178758,749643505.181846,806056046.6977142,586012231.2829114,331951130.0859902,180265567.43982178,193058558.5840358,3587708868.79624,685372784.7858956,316298804.737104,156769594.64319262,212335739.39195845,1203151003.420338,2516256885.987492,1442687502.311896,778360809.9010259,4841706581.2239275,1180163410.628369,572570717.5594155,1143744830.7476704,420091312.5730952,323237356.9771256,125626635.23363516
