type,time,fuel,stage,unit,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
Trucks,2007,oil,transport,kg,426626997.2731445,3693816403.7312965,402405577.39554816,173650270.15990144,389470291.38248974,431839704.47353595,310935312.23778856,119616139.06824328,64736204.40468099,101373194.26830797,2754900712.8042197,412599508.00480765,133146640.43365972,124605470.5391013,94376465.77282217,677166992.6221583,1259178911.157014,539335727.546449,411876150.4868999,1816287630.6845222,538033287.7682753,277683288.54588854,957411415.9950593,225711611.18840232,138680701.60576394,46756685.88897617
Trucks,2008,oil,transport,kg,431908491.1089061,3650691251.287096,404573769.0500204,174937359.62076822,401646458.5454605,449780119.2781924,322063689.81719893,124947594.3651494,68404539.66007648,105084584.11893472,2714955191.645563,417412476.74015784,135382054.07724974,125611719.6496589,98377433.30680938,689294427.7822973,1313332402.556949,564283758.5754843,417455889.1130243,1927164898.9589834,551324698.6788354,290492373.5733416,944317565.591274,230366671.81903502,142402877.55629042,49856102.425669484
Trucks,2009,oil,transport,kg,434670441.3644321,3607235966.421883,406667351.5741802,176354498.29318386,417128761.3518598,468515784.7151069,332833234.1044987,132478849.2206647,72117760.91527085,108913484.46579142,2665977296.414176,419061866.89409846,138855401.3089772,124747977.7934337,102767643.03045443,699923558.7066731,1366561622.161941,589028972.4011648,423456987.64346945,2037483705.963232,567917773.5651139,302585452.2393868,928957131.6680683,235160882.13117036,147460126.35221627,53678680.16225284
Trucks,2010,oil,transport,kg,435117094.13890916,3556020889.9382977,406448533.30217636,177676122.8906024,433334261.2908452,484515794.60770464,342954820.8298918,140910290.84586206,75903954.92810479,112085455.72800039,2612838793.654451,418433810.81343,142420756.00040683,123204578.02106464,106699146.66144192,712322281.4525174,1418619180.3287263,614669764.4003979,430578428.92166114,2138540739.6238983,582138081.9477789,312742682.6332244,907707945.1297922,239260612.5410383,152793877.90939152,57537563.387640946
Trucks,2011,oil,transport,kg,437145006.06311274,3511287922.544696,404340452.3014432,179408383.016455,446057462.3054096,498355147.5205907,352411587.7791857,148634018.75309795,80115232.67386141,115265461.85799882,2560289959.495841,417113550.9246561,148262141.51721913,120688616.74895947,110148538.05411156,724348088.0225476,1465321924.3877711,646118256.0728041,439087346.887349,2243693976.545175,598102200.1503124,320726954.4282373,885633098.1762908,242720441.39485833,158572692.83249956,61796275.74680177
Trucks,2012,oil,transport,kg,438135574.0722584,3472208594.6891418,403529410.2240744,180827305.16766495,455379255.5213479,510751143.38130057,359769967.47957474,156882727.64024973,84447948.3840835,117800033.52516541,2509085239.482815,415574827.73848945,153752358.40713197,117707364.03485502,114592158.16595241,735668087.8311259,1504041261.7099361,677184678.954583,448924202.33668613,2337445691.7611265,617376822.1371806,326518115.2587436,865507823.5226842,246281650.27907196,165465081.25924635,65393610.561094105
Trucks,2013,oil,transport,kg,437692230.3064086,3437869407.973916,401149531.29646826,180723229.8977353,463451051.9839565,518290435.9607968,365821708.14245117,164834499.98513132,88858066.62600574,119477595.48562758,2463235977.586621,415182160.6133036,159813428.75192618,114486803.79742181,116749091.20756912,742340705.0650814,1537358003.9389255,710284142.9976705,457279954.99982727,2430218719.2985544,637147061.8120832,332934037.99072415,843003627.6462665,249843403.2985383,172030121.78047475,68456748.61377788
Trucks,2014,oil,transport,kg,438907125.15938926,3431970724.2817187,396851906.5287546,181580820.45221135,467850764.3381242,522366852.6784738,368723796.4220308,172670766.8241213,93213850.803085,120442244.39341824,2419458266.2687306,415147401.49382174,165790838.63381073,111977309.83852136,119470379.14802513,745981146.6916665,1560759875.8729928,745839594.7218041,465945139.6608758,2532820018.86644,662058049.8950491,342871745.3292634,825834974.2639846,253431489.94264987,176809424.20091665,71180563.87669013
Trucks,2015,oil,transport,kg,442919774.42557514,3448463211.243625,395847764.832512,182941735.4610935,473593445.90825665,526347201.85550743,368186811.1242143,181311541.32122785,97608839.9501404,121439118.99609838,2389152398.5952487,418812499.498595,171834993.94250646,110251932.30321887,121578331.33746435,749019567.3132159,1575954258.8750496,780047847.7410561,475172798.51523125,2637526657.643994,686623801.2612761,351005540.532128,810419299.1580185,257650950.28217486,180351632.5422911,73716368.67071556
Trucks,2016,oil,transport,kg,438750177.3220268,3415127351.2030783,386675483.221919,180410017.78228337,472168626.7625596,515924012.8877853,363794057.77627087,186727821.6676266,100631464.51628661,120607812.28248025,2322200976.784871,417988835.2736186,176996618.82914668,107906196.2962037,124484751.7726127,747487587.5181448,1574064736.6865642,804280226.1034781,478923325.1209846,2726575859.2115874,695796246.9410025,353172552.3401181,787014392.1197506,258549568.80094323,184388559.38218045,74572891.71984719
