regions,waste,materials,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
1,losses,Aluminium,27.89714643308588,28.50473733900921,29.16785727702881,29.930645436611023,30.787585904126505,31.68797667366629,32.62296730198314,33.576046571568895,34.55722922414494,35.5724009338589,36.59561860347472,43.44796735485467,38.463281150284125,39.29554018555433,40.14701077096095,40.998736106162454,41.801675701337246,42.625031350376695,43.444659893579846,44.271366190941734,46.263257345401655,45.89257109648331,46.54411358221919,47.150861421252664,47.7441501512003,48.18064513754997,48.69881504096344,49.25868717677234,49.94695369377922,50.794914528282575,51.742252564100525,52.78671220647276,53.920531466258424,55.187198685459094,56.57715131707336,58.08095214333509,59.61920189775023,61.20308122309024,63.090457652352256,64.75432823620321,66.34235270450264,67.83866691864785,69.2476132052687,70.31802008087166,71.58849391450792,72.90383615075507,74.29840447198433,75.774509179418,77.37008683289845,86.9681422028288,81.5318032228106,82.01783122072635,82.97487999378197,84.17959067242973,85.18435119510578,87.09028404641114,89.07784243816857,91.24995427131802,93.62070015099769,96.1722649015343,98.91481334587039,101.84811255173858,104.99219633890306,108.36753874591015,111.9247482210193,115.4008807425391,118.84282740987888,122.20693196529254,125.4437996922371,128.49357721681613,131.36403454508613,134.05357289643075,136.58358894004607,139.00179998034008,141.34301129573453,143.61559271379377,145.90277038696343,148.147015388868,150.37553951765497,152.66095900595423,155.04516436779824,157.50432027182237,160.13349416498835,162.96443454979863,165.9353392658404,169.41452990815878,172.56782775069786,175.79369702396664,178.9412221259593,182.07715574698125
1,losses,Concrete,8850.974234392335,9138.04941175044,9460.751643982843,9801.124323240849,10365.400839179514,10961.057766091468,11596.538766035483,12240.71589261249,12851.236940020888,13211.864884741026,13434.405302214256,23303.297079107175,13791.577156251085,14045.474683899494,14358.10752729467,14853.340587833238,15392.951272351589,15946.268085968557,16524.181994108636,17116.83241030039,19048.502805737713,18244.159620676575,18791.006829647875,19339.377187328664,19912.560649776773,20484.36564027703,21052.884097784747,21679.256683435768,22357.635790335797,23053.626695787527,23752.84210792719,24478.27335669659,25305.642265441402,26114.594491185704,26918.967789724084,27741.762426151847,28579.55879817972,29336.65765495376,30069.01663865107,30832.81195604986,31614.583800049055,32420.59451254602,33209.22156645104,33984.66644799549,34746.73698444307,35506.54951806342,36251.855093537335,37027.63774567174,37939.538469825435,51974.662924130615,40086.172295244585,40116.060310133515,40872.88364653462,41533.623573701196,42192.7612427765,42943.14278635856,43697.474051982106,44463.25784791088,45232.30208312878,46030.81015426477,46871.527397024845,47740.71397359778,48632.452046741055,49526.63182052375,50390.79315169134,51204.387204928316,51980.08052880994,52735.88748487227,53481.399391837804,54233.789984846204,54995.85859079946,55774.03921778354,56526.01709583009,57280.33643289095,58028.10884877948,58762.45551408297,59499.687721570444,60280.5573791456,61078.737819447895,61893.89655890878,62755.50104857232,63633.0161113184,64528.21924045666,65448.90101915391,66391.23379404136,67346.5700298074,68297.9241590909,69243.64655948529,70182.249015152,71105.28154234475
1,losses,Cu,12.614756172821117,12.92145387374725,13.265627987910134,13.64320733400525,14.079832985362586,14.548684521765155,15.052716670909358,15.56374921175523,16.079269965660536,16.560688310258755,17.025743463820532,20.62653146507063,17.991170459935823,18.398755122157734,18.83630968820009,19.316856017674805,19.724959402621643,20.226636455326243,20.739235644857736,21.269023455173613,22.663267327570072,22.560724134482104,23.076872410738847,23.588556221136553,24.113178063435562,24.356642084582678,24.85528201843824,25.412321646795764,26.044941286297636,26.770361895524232,27.490396378788752,28.25858277582602,29.087303147472365,30.03414615050129,30.966190029804885,31.893607761541652,32.806833814211956,33.714731802492295,35.10191528862712,35.9244903270655,36.76877514593956,37.60174634292412,38.37810669375681,38.55460853824358,39.352415427612314,40.29062465462694,41.323708137610765,42.44491984214802,43.746490892478604,59.42856224899593,47.925186276833486,48.67789307765117,49.8072944398417,51.14717501430743,51.35648690871582,53.52325291601258,55.90185711408418,58.57877738420768,61.54852530855315,64.80126192839083,68.37695358313303,72.18478869444166,76.25356611012967,80.54918997078161,84.96612072956228,89.28473940994104,93.52033039244824,97.63621783685072,101.61211808549854,105.41065455630628,109.05692976491675,112.50755113047708,115.73486882463405,118.77551078164268,121.65736573237612,124.42431601370917,127.25052539923762,129.99123076224043,132.6442550119194,135.3173494900981,138.04978644356672,140.7507704775235,143.61757170765898,146.75104121978163,150.03341118452533,153.84608763978758,157.32350687954437,160.89007469872303,164.27456122444454,167.62901069651258
1,losses,Glass,42.183700832817095,43.22202401388651,44.42080534729666,45.72775852440739,47.12334945435855,48.65738945910425,50.349992791952516,52.058741095856206,53.79820413888564,55.51541823878201,57.244595098471926,75.65165791891343,60.493811874740004,62.051774203198406,63.71372054131966,65.48467352731998,67.37784814982305,69.26762054520358,71.20512981399631,73.15976387292633,77.42822648533559,76.71102581388567,78.30395456699063,79.83993247858403,81.41980362508698,82.91531336539121,84.31478144804622,85.88573253104849,87.68077536145489,89.59828117114449,91.56068676770266,93.66613046982147,95.93421885588947,98.21923594565789,100.61909408541824,103.18228279785464,105.79502985283756,108.41156068261449,111.08170640707411,113.65010978876316,116.15882238925839,118.6345850516376,120.98324950478909,123.28446235897093,125.62165022422145,127.91868992486546,130.18959913242597,132.5957925964426,135.13227150562136,179.676917410239,140.46565729055706,141.22205668942598,143.1972868779157,145.32329224943598,147.7836938593565,150.27984875156443,152.74964059757443,155.26844397770572,157.8485161505509,160.46724656056688,163.11534814129305,165.8108434787713,168.57567123779478,171.44475367414506,174.409540297501,177.4076138343445,180.41494195246776,183.41633152670738,186.37788063754485,189.27509922424346,192.10315407808844,194.86178764487886,197.56547349296,200.23895364497997,202.8930103346757,205.52394407880067,208.11769072377888,210.6681894172762,213.18194511025487,215.6640218659109,218.1171152355302,220.54729734316513,222.95971684045733,225.3535872200689,227.726260469157,230.07778112491494,232.40722008048363,234.71252827887506,237.01157002899282,239.2926043714366
1,losses,Steel,306.6155048091082,313.18398855927086,320.5560725430204,328.88905345927805,339.3134229734744,350.5250354459356,362.6560857000392,375.47813643704114,388.7050661429642,400.847776505551,412.01210276389406,500.9358810960778,430.9690719666397,439.82907112280793,449.62194019677395,460.7062332362235,471.86530653002376,482.4256570901239,492.9097213019817,503.83348699714827,524.5654950152646,525.6849566630035,535.4379279252269,544.3020972681945,552.6936433062506,560.0081365483748,566.2956581595897,573.4399438266622,583.0914894134768,595.7183542492,610.6536009649162,626.9579753609662,644.109988099181,660.7599826159519,678.0110262653894,696.5074966889252,715.4341414467924,733.9232816666917,752.94276185641,774.3050249808596,794.5560959514207,814.1622909934399,831.9349286346601,845.610539298438,855.7398690487132,866.0603574770173,877.7615133437214,892.6313863974242,916.3299186961468,1157.453810235434,956.7640627332953,963.0594600528805,971.3668848813824,976.2769075514385,984.3818718709872,997.6210382505622,1010.9989495502836,1025.387386437303,1039.7789450754553,1054.775738295412,1071.2815676516627,1088.7285261423037,1107.9871746526787,1129.1723377160433,1151.4655264921269,1172.6973275925793,1192.700229731367,1211.4988375477533,1228.5367458142532,1243.5036165910549,1257.2812832499944,1270.6668620564333,1282.148261885388,1294.4717661665309,1307.6140745560474,1320.0488117117566,1333.1243781453438,1348.4556665131104,1365.0152428801161,1383.5222923627268,1406.7081966270478,1432.8237650061078,1462.9062353014897,1496.943184284712,1534.5067551743086,1580.7726115231994,1621.929785216454,1663.6303900789285,1704.8013109352776,1744.5656923458343
1,losses,Wood,232.156078677102,239.366900263769,247.27881337270188,255.82115066845316,264.8685962591216,274.5867214660451,285.0981959563768,295.9212140948214,306.9369475842418,317.90781963055224,328.9346874070486,652.3991344841476,347.31168727066,357.8782176189885,369.02408616704025,380.9781473007569,393.75996951899657,406.9321450527552,420.67447266678147,434.8207384252666,497.8836283804677,461.82937545740816,475.0270995565796,488.2228135401875,501.79658889994886,515.4126602515408,529.0041776791843,543.5240677207134,558.8952118163897,574.6197017651364,590.5759172495806,606.9753918024252,623.8464150321498,640.7175483045272,657.7661876011981,675.3672849167153,693.5363151530171,711.7454847265709,729.7475197880389,747.6164821146983,765.9303019812714,784.5249046785043,802.8895716355318,821.3615055795296,840.2642650729246,859.1254637465204,877.9499728103414,897.3270262502665,917.0855053070261,1147.8726599929942,978.6430173336959,970.8970340503585,989.7362549538457,1008.1977208109968,1026.6400947917123,1045.2466080286827,1063.9289100103722,1082.7150035847608,1101.6324065396664,1120.6954118631504,1139.9001501814882,1159.2212668518143,1178.644115346446,1198.1769049628974,1217.8165516950742,1237.5325654380536,1257.3003273267013,1277.1019321695064,1296.9126915902698,1316.7097193448658,1336.4767439902503,1356.198707427358,1375.8622743217181,1395.4635310175292,1415.006514255866,1434.4994999171502,1453.949830118409,1473.3576449353,1492.716793651199,1512.0164051634918,1531.2468210868597,1550.400984896777,1569.4717656715413,1588.4527418047908,1607.3392319817522,1626.1312147816138,1644.8306306384252,1663.4406722682286,1681.967761638108,1700.4195801116662
1,reusable,Aluminium,20.84182250462863,21.288428759122638,21.77870033495833,22.344177193035488,22.98059947055321,23.651999412651847,24.352408439924293,25.067477007919802,25.80466184159964,26.567292766016777,27.33687061465455,32.92322380083796,28.735921023585934,29.36627372580039,30.012894236994363,30.662164304511833,31.283891305843504,31.91524224940793,32.54481974076462,33.17928616328467,34.75251798105499,34.401673637809516,34.901768390842165,35.36725022788014,35.82282092047811,36.17690505875909,36.57168286080882,36.99702531149044,37.51679726937786,38.14976770163564,38.85450344127928,39.62842112583682,40.465821584796224,41.38967524612327,42.40418771117245,43.50347719738974,44.62669477101825,45.77975484531564,47.12593028762308,48.336662507348386,49.487655219765905,50.571217311441345,51.59117140044582,52.39948870843874,53.324745336647524,54.28434395874416,55.30513526010091,56.39126864599457,57.56616268822803,65.20071819194982,60.590004158365055,60.90788318122701,61.63009513268955,62.5397751159291,63.400452319979266,64.82614598901954,66.31307624545555,67.93670377458399,69.70842390095012,71.61399406398402,73.65856644339232,75.842945112449,78.18227696243149,80.69364699171848,83.34105419710518,85.93453411653292,88.50785735006178,91.029422712174,93.46020695531793,95.75741147044853,97.92371363106938,99.9575684151574,101.8738288054089,103.70585085683521,105.47754872453888,107.19413525098403,108.90387206308996,110.57284573772458,112.2210356386386,113.8951864653125,115.62272551478524,117.39190486333808,119.26121168240894,121.24927147887601,123.31790460741743,125.68685270502752,127.85527620583314,130.06036755787915,132.2115819008193,134.34976811297383
1,reusable,Concrete,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,reusable,Cu,5.169216519181954,5.296488835470425,5.438576832879539,5.594034890012821,5.775250240346571,5.969174354673375,6.176947428685548,6.387597603532111,6.599577758603371,6.795531548252889,6.983503384843096,8.424714856717936,7.379972414850814,7.5448390500401,7.722040788489152,7.917858776607107,8.077781325276018,8.28223690443167,8.491279717786494,8.708207032937889,9.289265658228711,9.255943348468524,9.468732264099964,9.680532101265307,9.8977935836222,9.98452628616839,10.193949815457778,10.428562605435417,10.694842216457415,11.002434570184294,11.306792809596942,11.631566942959903,11.982371839645598,12.38896118720918,12.786437081313588,13.178853213036707,13.564431382090277,13.9477725425321,14.55559305611672,14.899428437698887,15.255434731021175,15.607211212739086,15.934382909620243,15.97814910474364,16.309496794798513,16.699069398518915,17.12657328768858,17.589685633498505,18.132251923306658,24.50852906864394,19.95435212664697,20.27059153401855,20.735754522849767,21.282024235319135,21.266570974892023,22.155676840841338,23.130290152375615,24.226058536229168,25.439008686721166,26.765662794429286,28.225374746304595,29.780086583128032,31.441773326932623,33.19470360468128,34.99339003003474,36.74430094801043,38.45822905436482,40.12025549882481,41.72483350692568,43.25749645954689,44.731368899814726,46.1270422330891,47.431908103430146,48.66196030496891,49.82848723312945,50.950850357768374,52.11065422065672,53.23844477011172,54.33115246314463,55.43820465552571,56.577440762268424,57.705320916506295,58.91422028893639,60.2517225069969,61.66265045765216,63.326861435373004,64.83676299058023,66.39297479073264,67.86791595278711,69.33300225958905
1,reusable,Glass,4.632294379956176,4.743862927246171,4.8724913393441796,5.013623758354543,5.165224136798878,5.331491615250961,5.5142640858019405,5.698922914380448,5.887137414606843,6.0737185245015635,6.26175519312155,8.168592668323614,6.614252605993162,6.782268511637422,6.960978459844805,7.150596913639046,7.352417583444175,7.5535814749275785,7.759479301956063,7.967073539491299,8.412691091479562,8.343504698342844,8.511331676494752,8.672626795672025,8.837992940238042,8.993944541097568,9.139249378280512,9.301925563740998,9.488567580195067,9.689246553693135,9.895833640464124,10.118290113533046,10.358687905421805,10.602245644554477,10.859644785427937,11.135292441946596,11.416061633191493,11.697458388401149,11.98564584883782,12.263421690393475,12.533171445258251,12.7978991925136,13.048655578962304,13.293545910744863,13.541167352812622,13.784634325401637,14.026000793856118,14.281842986211,14.551984503908017,19.153542764938454,15.118689176793131,15.20027242028551,15.405633473360151,15.629265470745576,15.892379432077497,16.159574189944042,16.42351678958446,16.69305210734611,16.969617082387295,17.250560512528605,17.534826488918725,17.824594357451947,18.122476248728745,18.432587166398278,18.753912545214195,19.079097409607932,19.405317641868024,19.730796060003183,20.051556764510217,20.36473544850679,20.669783874251088,20.966691884393036,21.2571815697258,21.544179812256225,21.828964152379683,22.111100808142837,22.38893356689151,22.661759856781636,22.930367085606395,23.195375765901485,23.457124945711392,23.71634841547049,23.973663134450373,24.228977835469692,24.481976147274708,24.732653313127553,24.980885924030723,25.22641576136357,25.471328882855815,25.71422290098156
