km,2016
Canada,102546
US,528037
Mexico,55872
Rest C.Am.,11936
Brazil,140031
Rest S.Am.,104058
N.Africa,85615
W.Africa,35299
E.Africa,27767
South Africa,39917
W.Europe,347689
C.Europe,107060
Turkey,43391
Ukraine,60518
Stan,43326
Russia,185967
M.East,149839
India,312067
Korea,12060
China,546584
SE.Asia,63134
Indonesia,25250
Japan,37693
Oceania,68611
Rest S.Asia,36845
Rest S.Africa,34701
