Year,IMAGE_region,Population
1800,19,13740000.0
1800,20,332637310.0
1800,21,18516520.0
1800,22,16863439.0
1800,23,28000000.0
1800,24,851860.0
1800,25,41775749.0
1800,26,9853132.0
1801,1,512396.0
1801,2,6113782.0
1801,3,5165663.0
1801,4,2714823.0
1801,5,2574764.0
1801,6,6735891.0
1801,7,9583829.0
1801,8,33588511.0
1801,9,26809680.0
1801,10,1453209.0
1801,11,109485641.0
1801,12,35305967.0
1801,13,9776186.0
1801,14,14283129.0
1801,15,5324628.0
1801,16,33661105.0
1801,17,14262064.0
1801,18,201128850.0
1801,19,13740000.0
1801,20,334159933.0
1801,21,18460847.0
1801,22,16905604.0
1801,23,28142859.0
1801,24,728207.0
1801,25,41801648.0
1801,26,9878322.0
1802,1,525100.0
1802,2,6229723.0
1802,3,5232171.0
1802,4,2746668.0
1802,5,2651763.0
1802,6,6701951.0
1802,7,9637986.0
1802,8,33594905.0
1802,9,26819466.0
1802,10,1458526.0
1802,11,110184607.0
1802,12,35453465.0
1802,13,9791003.0
1802,14,14283129.0
1802,15,5324628.0
1802,16,33661105.0
1802,17,14305412.0
1802,18,201525446.0
1802,19,13740000.0
1802,20,335707045.0
1802,21,18414988.0
1802,22,16947879.0
1802,23,28286447.0
1802,24,727173.0
1802,25,41828258.0
1802,26,9908017.0
1803,1,538119.0
1803,2,6347862.0
1803,3,5299535.0
1803,4,2781136.0
1803,5,2731066.0
1803,6,6669348.0
1803,7,9692517.0
1803,8,33601327.0
1803,9,26829616.0
1803,10,1463862.0
1803,11,110891266.0
1803,12,35602276.0
1803,13,9805842.0
1803,14,14283129.0
1803,15,5324628.0
1803,16,33661105.0
1803,17,14348938.0
1803,18,201922822.0
1803,19,13740000.0
1803,20,337261369.0
1803,21,18378890.0
1803,22,16990265.0
1803,23,28430767.0
1803,24,726501.0
1803,25,41855570.0
1803,26,9938299.0
1804,1,551460.0
1804,2,6468241.0
1804,3,5367767.0
1804,4,2818347.0
1804,5,2812740.0
1804,6,6638050.0
1804,7,9747428.0
1804,8,33607776.0
1804,9,26840133.0
1804,10,1469219.0
1804,11,111605727.0
1804,12,35752412.0
1804,13,9820702.0
1804,14,14283129.0
1804,15,5324628.0
1804,16,33661105.0
1804,17,14392643.0
1804,18,202320984.0
1804,19,13740000.0
1804,20,338822940.0
1804,21,18352500.0
1804,22,17032762.0
1804,23,28575824.0
1804,24,726189.0
1804,25,41883573.0
1804,26,9969175.0
1805,1,565132.0
1805,2,6590903.0
1805,3,5436878.0
1805,4,2858439.0
1805,5,2896856.0
1805,6,6608021.0
1805,7,9802720.0
1805,8,33614256.0
1805,9,26851017.0
1805,10,1474594.0
1805,11,112328093.0
1805,12,35903886.0
1805,13,9835586.0
1805,14,14283129.0
1805,15,5324628.0
1805,16,33661105.0
1805,17,14436527.0
1805,18,202719931.0
1805,19,13740000.0
1805,20,340391789.0
1805,21,18335776.0
1805,22,17075370.0
1805,23,28721621.0
1805,24,726231.0
1805,25,41912258.0
1805,26,10000660.0
1806,1,579143.0
1806,2,6715891.0
1806,3,5506878.0
1806,4,2901566.0
1806,5,2983488.0
1806,6,6579233.0
1806,7,9858394.0
1806,8,33620763.0
1806,9,26862270.0
1806,10,1479989.0
1806,11,113058473.0
1806,12,36056710.0
1806,13,9850492.0
1806,14,14283129.0
1806,15,5324628.0
1806,16,33661105.0
1806,17,14480590.0
1806,18,203119662.0
1806,19,13740000.0
1806,20,341967952.0
1806,21,18328678.0
1806,22,17118090.0
1806,23,28868162.0
1806,24,726627.0
1806,25,41941615.0
1806,26,10032758.0
1807,1,593502.0
1807,2,6843249.0
1807,3,5577779.0
1807,4,2947886.0
1807,5,3072711.0
1807,6,6551656.0
1807,7,9914454.0
1807,8,33627300.0
1807,9,26873888.0
1807,10,1485404.0
1807,11,113796984.0
1807,12,36210896.0
1807,13,9865421.0
1807,14,14283129.0
1807,15,5324628.0
1807,16,33661105.0
1807,17,14524836.0
1807,18,203520184.0
1807,19,13740000.0
1807,20,343551464.0
1807,21,18331172.0
1807,22,17160922.0
1807,23,29015450.0
1807,24,727371.0
1807,25,41971635.0
1807,26,10065482.0
1808,1,608216.0
1808,2,6973023.0
1808,3,5649593.0
1808,4,2997575.0
1808,5,3164601.0
1808,6,6525259.0
1808,7,9970904.0
1808,8,33633866.0
1808,9,26885876.0
1808,10,1490839.0
1808,11,114543728.0
1808,12,36366456.0
1808,13,9880372.0
1808,14,14283129.0
1808,15,5324628.0
1808,16,33661105.0
1808,17,14569264.0
1808,18,203921496.0
1808,19,13740000.0
1808,20,345142356.0
1808,21,18343237.0
1808,22,17203865.0
1808,23,29163490.0
1808,24,728462.0
1808,25,42002307.0
1808,26,10098847.0
1809,1,623296.0
1809,2,7105258.0
1809,3,5722332.0
1809,4,3050828.0
1809,5,3259240.0
