SizeClass,Distribution,KS_statistic,p_value,n,Mean_Lifetime,Median_Lifetime,Param1,Param2,Param3
Large,Gamma,0.048074767043113975,3.8018754964282254e-12,5829,23.89174815577286,24.0,62.29315917183834,-25.59243738590643,0.7943759293627375
Medium,Weibull,0.0519568133202053,5.419421158809734e-74,31350,28.27304625199362,27.0,1.8406511479492318,13.62364601599576,17.046697250077507
Very Large,Normal,0.08706267580858729,4.983116091042094e-17,2514,20.96340493237868,21.0,20.96340493237868,6.95326578187005,
