region,unit,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
CAN,Mt/yr,4.1425286880683325,4.4906493650369175,4.783315080983999,5.365212248962424,5.171559495878178,5.075730095178009,4.962544826550933,4.86557886953484,4.489560308848843,3.895747713325879,3.7835872406092323,4.097805439761831,4.512210818618537,4.937192578788896,5.821828688801759,6.2555743691333285,6.220091094262435,5.801871580568089,5.024165717161441,4.619527269778614,4.248013991802657,4.277185165303872,4.434094480317694,4.949899019606053,5.706525381451107,6.248323002947116,6.6481855252983815,7.198376780436283,7.5871711603773395,7.6201756358456,7.5020126024463005,7.480874927422884,7.456480453478,7.569777202100077,7.149789561951821,7.14692165548791,6.773083588232631,6.509800856516224,6.409289082705824,6.553662143813098,6.623922739737751,7.055522575486846,7.353428138386933,7.606735392764423,8.016753177167635,8.407889846302488,8.615537320426945,7.616140337187271,7.946463330178649,7.077951021163152,6.753789559393758,5.915804588127263,6.257263453287808,5.19207987364473,5.254573020279527,4.635145192600212,4.593432527469856,4.688303732954557,4.784790509824498,4.906188321661323,5.144367308575878,5.328945646335551,5.496825778015805,5.648511857085639,5.76093806973619,5.744327292110478,5.703525482285216,5.577901875631297,5.4333326902224695,5.256064704488746,5.12593028058453,5.066702082946526,5.027247446562507,4.926536643308499,4.805833975037074,4.585277001502857,4.269047007566416,3.9945384151876824,4.02051724186833,4.0912760531662515,4.257851048267809,4.488474148976452,4.715138295087555,4.677636868060137,4.642999580632707,4.577683493735532,4.5153682741109575,4.434727275014365,4.374836024428713,4.320856839869939
USA,Mt/yr,36.00622582665032,35.08805732895533,34.61470529520436,40.121147895064595,39.613664747203714,41.316102762585444,45.48743902660675,46.423974145532256,41.659549059367755,35.894300029320924,37.0216455412556,40.63174205501268,45.83674548052818,50.489215960154354,56.01865599702237,54.42672684419337,51.852013173649176,48.738492360001615,43.75446093994635,43.753970605930995,42.41326434879105,42.92972953302218,44.247438364327074,48.84222731430994,51.01568401693437,54.485454406686294,57.07342439562806,59.70300614967094,59.25628026126999,56.13416298250124,53.68564363149423,52.139844879301506,51.83045252824604,52.28425227349461,53.3376245428034,49.724734807774716,43.64905518881034,41.491129216129494,41.00506143819184,41.9825101815044,46.311642899252966,53.29390828623508,56.865202815519844,58.59579750509987,60.46087336947145,62.443080584402715,63.216644384919555,55.474255903371414,59.23690837572723,53.82380849682459,51.959722305686164,46.81422710820087,48.426150551515434,40.245054811700484,40.54903993862345,36.39316031476255,36.06222537260116,36.800032284888,37.21136226050864,37.51279770091187,39.11943286780193,39.04765283944789,39.01873358642644,39.23984164642398,39.283223817932,38.205635082248115,38.24669930371405,37.93049664931455,37.46638811572607,36.86011274452172,36.6942007477861,36.98833305349152,37.66618750236189,38.255158882043325,39.28217535749293,40.04344435602664,40.419935897382956,40.19085113258438,40.93099047971393,40.91287270825085,40.635226187532226,40.303794373641935,40.40289798047079,39.565691054264676,39.21842205406597,39.32489263277035,39.644532275907856,39.9282070008636,40.12927114437616,40.29914877254136
MEX,Mt/yr,3.618634641205653,3.7633436084453495,4.003540573212746,4.215127847895115,4.046845132671178,4.320699427542902,4.957058686720323,5.692646335658645,6.3275916450507745,6.032189718278391,5.118501586899878,4.5549423368244,3.759821271430654,2.6130137753152805,2.725739060172678,3.8035887683257323,4.424171083181459,5.059363879512966,6.055775947158148,6.862118614470058,6.6816720793484645,6.581593403453286,5.402127963078957,5.144853576971585,5.587146466828518,7.327558644892833,7.517946761687818,9.579892300678885,9.58559750657269,9.040613360006795,7.258721064302534,7.608136346777769,7.21172617615502,8.133678419599141,8.91769420880608,9.776513472162769,8.109075648680937,8.176810633219768,8.049765855076506,7.884246347894111,7.516166300127173,9.275341561406204,9.64856326036341,9.886674561523822,10.335658073277655,11.22760357834477,11.767531151156906,9.887265289882594,9.461432653966673,8.198317954364235,7.271484997416847,6.706851920808269,8.059320721886051,8.389919221005952,9.40932657019279,9.933359805086258,10.117449617313047,10.51720989931105,10.774960959705874,11.035742540751903,11.392113668870731,11.653887951378726,11.831465063625345,11.947443233771205,11.950100500270581,11.760419605617447,11.532740557650122,11.287730596696516,11.116346893320934,11.033055245911761,11.066126783309388,11.176178758691874,11.317066755326978,11.408573051943371,11.458158949085597,11.475621315640279,11.43591543462608,11.372423893292767,11.303471840866214,11.373835784955922,11.55690887641664,11.896344730535613,12.267320479747966,12.688411953110169,12.99033204036119,13.182846109389025,13.200138259154256,13.164741616701141,13.096786658217042,13.025986736953536
RCAM,Mt/yr,2.5376616167636112,2.4222349099963925,2.5297023559290497,2.7682859274574563,3.0102536728516402,3.1777357870059735,3.2357497222833844,3.068416869930357,2.8614291526431135,2.4940587676046055,2.463484886176969,2.6783405695195848,2.863443000864955,2.9827570665339764,3.1350737028715225,3.376213931484468,3.4414266244816814,3.29429065943035,3.263582437424263,3.271501301213768,3.0042156663090505,3.0508755600250335,3.445685595631709,3.8386281933202078,4.216311192233289,4.675472786905346,4.97500962726703,5.262744007958369,5.132508430018133,5.052166233926516,4.871932341521191,5.001365238127718,5.3073585117120095,5.793206338763876,6.2253828425276145,6.7550521996611055,6.047930497031074,5.581377218096051,5.547151863645792,5.5738092307014035,5.594810773657103,6.6394418673415645,7.293701264244001,7.362804512731397,7.7265797598713855,8.172677643926951,8.603247140610256,7.319301133873517,7.500071345690282,6.92610520087181,6.503228096406915,6.18706063631331,7.4599208158918415,7.609865598905667,8.177846711070679,8.514890487128493,8.758855783311855,9.076436004046005,9.345667811599688,9.619831717527845,9.907845375967696,10.113174084431988,10.251459897102754,10.327162073502244,10.333206187400755,10.269392294883396,10.218678811687559,10.187619516246018,10.215293609284613,10.298431782657486,10.433478192400168,10.590299179132295,10.758567079638008,10.893695021846447,11.017220093928216,11.104553314600041,11.16436447739537,11.190711340905896,11.206696328310013,11.19732660428147,11.188538085112247,11.17196599609677,11.117954475175027,11.032737107417262,10.944535362520526,10.841091606425614,10.73002341308168,10.630868281593965,10.567529099310788,10.512520600983208
BRA,Mt/yr,5.520332422399095,6.512666595197906,6.405400207534874,8.080821485842439,8.502542608504001,8.177050693747873,8.664741684889696,10.247384774865441,8.275475232733282,7.606399284801635,7.642738060178383,7.684550341681086,6.641096502164673,7.645663857699128,7.214710552574221,7.189057639465622,5.912727397791914,6.087696465489103,6.678368929999918,6.774496294204806,7.435543749518748,8.816288348824887,12.133676505056,12.03305758565776,13.209073191358344,12.446346565246625,11.295667130272768,8.939255402726673,9.153433892399203,8.66235564035441,9.102643139512297,9.553595349421004,9.954329798177268,10.737032974675643,13.479004030766227,16.070762779399708,15.844397461001954,16.954966405528026,17.381249952801408,15.854134999632164,14.696888767225062,14.778599676253814,11.955433961648454,9.752478176003422,10.53420863959039,11.594690308772071,14.147920004100303,13.628497151766586,15.13788230506351,13.248174344309216,11.446134765632817,10.192941524028512,12.310069014547043,12.443939814854765,13.632652961492829,14.377038645250883,14.487724846659011,14.826839984864948,14.885451952956855,14.773762488730501,14.557412143355604,14.300249721432184,14.074265301299565,13.963589061342748,13.94558874175248,13.98180960430031,14.08785524831907,14.172783452315084,14.287158725420312,14.39452761605574,14.481271346254882,14.545880645238508,14.590311137010614,14.536881051957325,14.461599534092212,14.358769993693576,14.25259491924949,14.177445582318967,13.789066923643192,12.905609752164777,12.066753348639537,11.254386522268163,10.418980426116393,9.905663434074912,9.888794864676324,9.831667282091269,9.726659817856753,9.578916416555455,9.448034388357497,9.336490036513004
RSAM,Mt/yr,4.99164476321248,4.602063987878609,4.714333940280206,4.873585793940495,5.312379937477222,5.486920505293101,6.396864460860407,6.835708779069518,6.83099488467771,5.967632502806238,5.620640631484189,5.265120215807169,4.661001489735339,5.170798392052946,6.036598975970915,6.3329880191763195,5.95960635049628,6.309240615066419,6.673227553638523,7.423454233220317,8.46975457829523,9.460825744622975,9.877016871903148,9.52174575222522,9.652848257829598,9.300984709557326,8.389097487239521,8.455776936298342,8.3515001422474,7.009468154946787,6.9833837037085935,8.996861392803934,10.171587257157746,11.483813375283844,13.892273972301956,15.973384623966925,14.450567064618529,14.698051672744239,15.277585059721293,14.90803118509927,13.797995588877704,14.843775727118045,12.502875625771225,10.682632361742591,10.782819392369264,11.431611523199042,12.476567871042079,12.353482302020122,13.62539417375649,12.298184314979183,11.530022032297763,10.723279230405836,12.46500424156514,12.262190394665128,13.204661042370285,13.35543129826473,13.554694562599659,13.975082796978443,14.157779329689589,14.313863026205567,14.590710631762137,14.753011964365639,14.888131246009843,15.045332689331572,15.121234659122573,15.043967327722983,14.98731961895886,14.899710247658877,14.83962226395557,14.831245460429546,14.886501172182195,14.972231322296652,15.076911454704062,15.133310917642348,15.186266334762262,15.218535754968356,15.241438140199692,15.265156705077784,15.313032687890754,15.400187357721467,15.518554555568938,15.658600060275004,15.779198750927074,15.861511993245351,15.877984793783538,15.840374813363036,15.739799880280211,15.629353008504212,15.539465035367542,15.469665353207088
NAF,Mt/yr,2.6278287778944356,3.4773285980793824,3.613268699228157,3.962167635101995,4.314246755349065,4.507027787619845,4.214985420460141,4.452990565213259,4.036318866069187,3.8978724516399414,4.00829410726026,3.7945291151062004,3.9202196525802915,4.102714984104345,3.7889293669747537,3.865912943577191,4.103295125638612,3.9753156329601835,4.284780401114071,4.633999334987791,4.4622924408690166,4.393459422254868,4.3032796088452,4.366462234754354,4.427325482098352,4.73133087806653,4.745167198357387,4.761485172108141,5.207860993347075,5.496646642094701,5.663919704672802,5.947139582731696,6.553007659346435,6.619620670963235,7.143233180926764,8.386990649559582,9.852996637221079,10.31268892979845,10.465630007815664,10.584827968699477,8.891901614455959,7.7167184493563346,7.821342526345991,7.935912411662852,8.458229618320813,10.340450671863843,11.408526420107743,10.163163281184364,10.3594572428602,9.537887947656337,8.472075283010044,7.464109008136961,8.354816884787681,8.084765639080336,8.467383396258818,9.09250681555296,9.810052426297734,10.641374347891164,11.381562599402171,11.883696701559158,12.18587427142119,12.257905845100286,12.28886626324001,12.35895152720229,12.430481482299799,12.479748490993869,12.534195002941741,12.610888868735435,12.754279431558588,12.949342077167795,13.207626175256646,13.508614487019068,13.824745888061615,14.091207873941167,14.337867742235423,14.552882648123177,14.729328741804084,14.870477243301098,15.007955086113107,15.15588012998115,15.317299491175527,15.504965254420327,15.732262462119797,15.980454225635759,16.221300683368845,16.41666452780925,16.5436730447297,16.545352741421496,16.484001243847782,16.39089474219603
WAF,Mt/yr,2.9922553701464554,3.0494399475126133,2.8762613130894854,2.9067732337079613,3.2236200895136187,3.2689225322732796,3.3023019056553813,3.387365724690083,3.2310148631450306,3.084138430646379,3.064504303472539,3.0407029653204836,3.424836799115267,3.9581260251750745,4.083121156663085,4.365831673971474,4.5157560465555004,4.517163166215629,4.472181552152931,4.6130884407321,4.645518998440863,4.806712632616732,5.018722818542357,5.195212072816974,5.418519255193777,5.6989114500621945,5.913764727301065,5.910966082556857,6.268176018121182,6.6467548133281795,6.75461418670783,7.229775638341331,7.664996639910206,7.855375285897547,8.320213938624356,8.944344839794354,9.748985385667465,9.85732495949067,10.03877462049262,10.859074007651719,10.931937942892635,10.46118981447024,10.479364648834942,10.34136844306553,10.060302164102099,10.795396390654748,11.649044590500802,11.756541912000596,12.51606604092973,12.33280859188563,11.833618957456075,11.475274527258,12.332528702895349,12.581856794552227,13.194238748787658,14.056735958115572,14.881467011393545,15.692068797357813,16.449395705445014,17.05506533150383,17.495101242249756,17.776919617707545,18.001053484703878,18.248263053123665,18.51094565192886,18.809277614360894,19.128467087597823,19.471505276071387,19.887448560456114,20.389235739391594,20.991011404250944,21.71708943658616,22.549458614523772,23.431849834085458,24.36184505174079,25.315172585414043,26.202358400432587,26.97974697628024,27.60453314035293,28.34258554058794,29.206619669147532,30.356150002445524,31.711968067013363,33.35778364421599,35.06468515390054,36.85347655217341,38.51716004278621,40.13364773208533,41.41428476286948,42.332636375345984
EAF,Mt/yr,1.5314637663883077,1.567609260243409,1.5741528659513362,1.5820757466900703,1.7100523096674138,1.8397655119272118,1.798269702504576,1.800195081004516,1.7974690254599779,1.8139358398856873,1.8527538703717905,1.8874383864217377,1.9053220364285517,1.972685882413914,2.096427993927714,2.1738684066767715,2.3213626700169363,2.452487654273335,2.526672644456067,2.4828148368601184,2.5064713643041037,2.489866023839901,2.6115235538059753,2.7388038699223007,2.926804276938179,3.0409569459007684,3.2196991345208343,3.244739498945599,3.4031112127075143,3.4897215170548463,3.6269583205814695,3.8041149138387413,4.099973822743407,4.375115343778294,4.717910378163094,5.149432530406208,5.257088817660678,5.278623428390462,5.101342797342428,10.855310948824847,12.40490123705398,12.16829410475926,12.186112058329693,12.216383955931127,7.056143363166776,6.414279021324085,7.881225874078208,7.816405221309236,8.687781089701348,8.68304384832768,8.405069408395818,8.06278529392333,9.17312704643016,9.516606515817243,10.097373944543161,10.70452729844361,11.40808588487009,12.035948435418797,12.657688869739031,13.220118292414858,13.767145082955826,14.29387524512896,14.8662514254703,15.532231166717681,16.249761819162483,16.99153094774542,17.77502800697484,18.56176957018427,19.404115238852274,20.25909237182374,21.16377056136185,22.096831592355,23.07840804154656,24.04119554169003,25.066233006137374,26.118178273445107,27.261683270673586,28.47735766466687,29.74357791142613,31.093104784904952,32.59771249201008,34.1748199273652,35.85455134715806,37.67498976014605,39.57617736969683,41.34123974534429,42.981735961336675,44.48192793068858,45.576092722187965,46.274318703091716
SAF,Mt/yr,1.1871372627742816,1.258449453897117,1.2971776219068496,1.3121602680702606,1.2225759031348493,1.1589915007603335,1.155802075440326,1.3404118899016755,1.5689481403183398,1.6982105686694065,1.7095152535762688,1.839496162708912,1.5547325770340243,1.323043340430364,1.4203564444470655,1.6210523474425467,1.5924189645559874,1.7789800981808428,1.7673030965145644,1.5954676611456924,1.4254890987752322,1.4294337866552391,1.5665467679938516,1.8079736674879288,2.009699457667908,2.0120683021240593,1.9811671231080863,1.9836048490200868,1.9420739788785655,1.9660711466269025,2.1775855677737685,2.5235590510927994,2.7989136595565163,3.2313756955638047,3.6510421969142053,3.7258749047146877,3.174935196684264,3.078299136091093,2.886075756216322,2.5824740764094707,2.497695170319876,2.861390529766559,2.7190608063316395,2.457805969643059,2.8870742201500916,3.441409647092942,4.009367062241183,3.6869476026768258,3.725957765119034,3.1304938052200244,2.4831480243922672,1.9728041054559091,2.3851266405948124,2.6519453979170904,3.072314795935197,3.5457378917421507,3.8962467660926343,4.23380534100442,4.450876918506586,4.555307004265038,4.561918014771133,4.497800428857929,4.411562917244602,4.375624656715394,4.381502142278505,4.432041013564029,4.544702651878705,4.72598381500104,4.9451906578948055,5.187029325040246,5.414527635753537,5.586116997322678,5.66237587840397,5.638846286458957,5.537073688850543,5.3969200837148215,5.255918309774917,5.154008331079032,5.112090793826886,5.092418816072789,5.088033800149456,5.083654998262089,5.099151369525645,5.092211304477353,5.074184218015097,5.059729084359971,5.0522178942068185,5.006080492281702,4.960554335615775,4.9413270002719
