years,regions,Buses,Trains,HST,Cars,Planes,Bikes,Trucks,Cargo Trains,Ships,Inland ships,Cargo Planes
1971,1,17381620000.0,3638013000.0,0.0,367535700000.0,23509900000.0,5087615000.0,48576824000.00001,109020000000.0,192134900000.0,35943410000.0,376740500.0
1971,2,168577200000.0,35283580000.0,0.0,3564577000000.0,228012800000.0,49342680000.0,1480275800000.0002,1414849000000.0,7261472000000.0,559806800000.0,12707290000.0
1971,3,76786590000.0,4228336000.0,0.0,66336740000.00001,3867628000.0,33343220000.0,44119361999.99999,23242370000.0,212634600000.0,17035369999.999998,111430600.0
1971,4,63201450000.00001,3480256000.0,0.0,20239500000.0,1180023000.0,27444120000.0,194103760000.0,30291810000.0,137346500000.0,56726660000.0,328301050.0
1971,5,139695000000.0,7692456000.0,0.0,109231300000.0,6368508000.0,60660090000.0,170117010000.0,26548440000.0,266579800000.0,49854820000.0,561994000.0
1971,6,142522400000.0,7848147999.999999,0.0,123126600000.0,7178644000.0,61887830000.0,263016620000.0,41046330000.0,437615700000.0,77334900000.0,1374261500.0
1971,7,67088430000.00001,3836756000.0,0.0,31113640000.0,4765057000.0,49863380000.0,30929315000.0,23093650000.0,341454800000.0,163899500.0,108285600.0
1971,8,85253230000.0,5997715000.0,0.0,58958040000.0,3485829000.0,98664830000.0,11045286000.0,8247062000.0,248089800000.0,2864494000.0,305989150.0
1971,9,51070900000.0,3592927000.0,0.0,23392570000.0,1383059000.0,59105100000.0,3618157500.0,2701530000.0,49757230000.0,968036800.0,203423550.0
1971,10,13911680000.0,978710899.9999999,0.0,10566790000.0,624749500.0,16100190000.0,89023210000.0,66469979999.99999,321934100000.0,22477620000.0,347785250.0
1971,11,532675000000.0,200439600000.0,73346040000.0,1752628000000.0,92960170000.0,174204600000.0,566143960000.0,241908100000.0,9321801000000.0,868333100000.0,11770325000.0
1971,12,308529100000.0,137254400000.0,0.0,90503300000.0,6840677000.0,60676310000.0,62271111000.0,292987100000.0,111236600000.0,42442590000.0,55478800.0
1971,13,53774820000.0,20234860000.0,7404459000.0,66796350000.00001,3542908000.0,17586380000.0,25004703000.0,5907627000.0,152172500000.0,147488900000.0,110671900.0
1971,14,146070400000.0,71293500000.0,0.0,10904580000.0,21689400000.0,32339260000.0,19774100000.000004,333269700000.0,94965590000.0,2286776000.0,27615650.0
1971,15,82886830000.0,40455100000.0,0.0,6187741000.0,12307530000.0,18350730000.0,38207355000.0,274098400000.00003,26412480000.0,65760289999.99999,73258000.0
