time,DIM_1,walking,biking,bus,train,car,hst,air,total
1971,1,0.01162883,0.005087615,0.01738162,0.003638013,0.3675357,0.0,0.0235099,0.4287816
1971,2,0.1127833,0.04934268,0.1685772,0.03528358,3.564577,0.0,0.2280128,4.158576
1971,3,0.07621308,0.03334322,0.07678659,0.004228336,0.06633674,0.0,0.003867628,0.2607756
1971,4,0.06272941,0.02744412,0.06320145,0.003480256,0.0202395,0.0,0.001180023,0.1782748
1971,5,0.1386516,0.06066009,0.139695,0.007692456,0.1092313,0.0,0.006368508,0.462299
1971,6,0.1414579,0.06188783,0.1425224,0.007848148,0.1231266,0.0,0.007178644,0.4840215
1971,7,0.1139734,0.04986338,0.06708843,0.003836756,0.03111364,0.0,0.004765057,0.2706407
1971,8,0.2255196,0.09866483,0.08525323,0.005997715,0.05895804,0.0,0.003485829,0.4778793
1971,9,0.1350974,0.0591051,0.0510709,0.003592927,0.02339257,0.0,0.001383059,0.2736419
1971,10,0.03680043,0.01610019,0.01391168,0.0009787109,0.01056679,0.0,0.0006247495,0.07898255
1971,11,0.398182,0.1742046,0.532675,0.2004396,1.752628,0.07334604,0.09296017,3.224436
1971,12,0.1386887,0.06067631,0.3085291,0.1372544,0.0905033,0.0,0.006840677,0.7424924
1971,13,0.04019744,0.01758638,0.05377482,0.02023486,0.06679635,0.007404459,0.003542908,0.2095372
1971,14,0.07391831,0.03233926,0.1460704,0.0712935,0.01090458,0.0,0.0216894,0.3562154
1971,15,0.04194453,0.01835073,0.08288683,0.0404551,0.006187741,0.0,0.01230753,0.2021324
1971,16,0.1763241,0.07714181,0.3484352,0.1700629,0.03712244,0.0,0.07383721,0.8829237
1971,17,0.1052293,0.0460378,0.06194132,0.003542396,0.03509014,0.0,0.005374059,0.257215
1971,18,0.8902208,0.3894716,0.3684434,0.06416485,0.04511708,0.0,0.004859204,1.762277
1971,19,0.07084575,0.03099501,0.06405193,0.004955306,0.01127003,0.0,0.001361087,0.1834791
1971,20,1.414528,0.6188558,0.161797,0.05764984,8.419941e-05,0.0,0.003416558,2.256331
1971,21,0.2528611,0.1106267,0.2286127,0.01768637,0.02549395,0.0,0.003078917,0.6383598
1971,22,0.1790908,0.07835223,0.1619167,0.01252651,0.01334468,0.0,0.001611644,0.4468426
