years,regions,Buses,Trains,HST,Cars,Planes,Bikes,Trucks,Cargo Trains,Ships,Inland ships,Cargo Planes
1971,1,915.8267151516125,1.6330195025635126,0.0,968466.2489572498,2.225877937520935,186511.7861979645,25413.56284297864,19.67598495122173,6.310078183608499,27.265012716970247,0.19016801013716733
1971,2,11368.170283440551,15.837979210151222,0.0,8134864.596066497,21.58786983323511,1808900.9059440584,774424.5017479917,255.35266586177863,238.4806510846493,424.64361397670416,6.414282652212668
1971,3,4045.131017921679,1.8980017804750533,0.0,160803.07547334343,0.3661805382302019,1222361.2674684885,21668.735479261366,4.194794738128115,6.983327602326905,12.922245821648323,0.05624703335688798
1971,4,3329.4634975096433,1.5622060509167168,0.0,45916.098164230694,0.11172260032868152,1006100.4698333662,95331.90339300514,5.467081248443108,4.5107221709589735,43.03022741279263,0.165717137935642
1971,5,7359.331802183384,3.452964755929047,0.0,245493.55251906178,0.6029596660183827,2223796.7567965114,83551.08418331793,4.791475930273465,8.754991311681108,37.81756659432875,0.2836787674514083
1971,6,7508.10500944542,3.522851277058333,0.0,285282.31497554714,0.679661984990027,2268805.6618309305,129177.69819664904,7.408062478287298,14.372137916508475,58.66268759601884,0.6936885597994346
1971,7,3534.230249156698,1.7222306172566093,0.0,67417.933438391,0.45114761216890314,1827989.7495521684,14290.170231354232,4.167953677020563,11.214029747684595,0.12432659983582695,0.05465952579695905
1971,8,4491.1550968976,2.692234900155034,0.0,120332.75289817237,0.33003244867356574,3617049.1828132663,5424.769787130511,1.4884339369271011,8.147744290890392,2.1728730061417325,0.15445471824521978
1971,9,2690.423966816609,1.6127814447851097,0.0,45444.37000841741,0.1309457085904137,2166790.878321043,1777.017948091579,0.4875735060105856,1.634122751773835,0.7343080598778785,0.1026824875970026
1971,10,732.874299522432,0.43932058161185406,0.0,24856.83003863845,0.059150235795440924,590232.3967176378,43722.76419704835,11.996535738286635,10.572932564409891,17.050485614671057,0.1755522141833895
1971,11,42265.855487285255,89.97267901077569,0.0,4383996.564709904,8.80131312643591,6386334.482837619,296185.17158574343,43.65969670866485,306.145802360945,658.6774324992028,5.9413290684642455
1971,12,24442.585784183513,61.61031090671016,0.0,210020.90789736097,0.647663835746086,2224391.381423597,32396.614138413664,52.878460562301356,3.653223036932828,32.19499085064974,0.028004138129024827
1971,13,2949.468743069285,9.082958475311191,0.0,150683.71298700414,0.33543659274885995,644716.069623224,13081.518198012198,1.0662115203580185,4.997636412724416,111.8782757148514,0.05586406293217631
1971,14,7695.014643155011,32.00199556901304,0.0,25279.83539139822,2.053516048050676,1185556.1293298304,9654.263390285134,60.14868466243051,3.1188518986009797,1.7346427821083834,0.01393960354446751
1971,15,4366.492752393401,18.15935437233379,0.0,13476.060739489483,1.1652563172270853,672737.1136252591,18653.88867360387,49.46941839620207,0.8674364408704296,49.882722399506534,0.03697857832282064
1971,16,18355.62740911911,76.3372842160015,0.0,89357.62858577137,6.990783317117481,2828016.029837949,58502.15987879894,307.26824486736325,8.320515756670476,35.34713869624892,0.26936898944936555
1971,17,3263.079592363313,1.5900992530271258,0.0,85568.43437030929,0.5088069010517191,1687744.1218772738,196118.73999563677,4.617270729810539,64.95612017819046,1.0505182188245685,2.081701439580092
1971,18,13142.81838279273,28.802110225846455,0.0,116590.55420452362,0.4600612923710216,14278015.099290956,45080.770344988414,20.82625941910025,0.5930064377358133,31.404494278330077,0.06693908606246379
1971,19,3399.987736924385,2.224321721546896,0.0,24422.09286887289,0.12886543644790308,1136275.9718107148,5451.224264151975,0.4845085860285488,2.408362046443676,16.31697160898314,0.2211422260031146
1971,20,8083.1527689945215,25.877673620095948,0.0,126.99139563393359,0.3234739864678561,22687231.769104045,18985.680021370263,34.33388986590181,3.8785941148545233,276.5325575815075,0.37113402891741787
1971,21,11781.515024923741,7.939000531211468,0.0,41590.72941868879,0.29150670235765125,4055570.9145024456,36285.90520091877,0.6529532096461845,22.144863656522325,87.951817871224,0.4859464119177567
1971,22,8529.800130717516,5.622859272096294,0.0,42017.267529092205,0.15258775336083918,2872389.9842841364,15486.575799535809,0.27462293063165466,6.3892928842113825,36.60551888044506,0.0064006689546319715
1971,23,17620.52362899393,111.17434053829959,0.0,1287336.3452576548,5.140026581351298,1405303.6562055277,63218.310593984046,11.447936358201964,32.34339509807035,672.8542733212414,1.2195243170811347
1971,24,2900.6970629644557,18.304987949622188,0.0,120032.35319563377,0.8463113630826016,231384.86606325017,16797.391534580194,6.6464076636487075,8.048446758853578,246.88887922797844,0.5227778492378049
1971,25,5464.294110971419,8.288711440451536,0.0,15936.226835699365,0.08963484787856905,4108947.8230743855,21896.41460812557,0.347853799040047,12.8446439976071,6.997502419954532,0.10278876731615778
1971,26,1492.672515071862,0.8947864524439791,0.0,26983.55059086359,0.07389624279470411,1202155.7613362693,10437.874386676165,2.280531842646238,4.164801557368574,5.415647558120051,0.008560411155360027
1972,1,929.0316929265604,1.6458401730571905,0.0,983366.8980990932,2.300681178243768,189352.9339421529,25791.213668988075,19.826940680050733,6.4095160791692365,27.790209738345972,0.1969384370933287
1972,2,11532.083863871341,15.962321578641204,0.0,8260026.173243709,22.313355537822783,1836456.0263637844,785932.6108051278,257.31175191918106,242.23876839885514,432.8233850086091,6.642646151108487
1972,3,4103.4563149507885,1.9129027999580939,0.0,163277.16294013686,0.3784864650231854,1240981.5864759162,21991.69939599732,4.226977538559814,7.09337495524092,13.1711628159467,0.058249559599702946
1972,4,3377.4698405871504,1.5744707721834224,0.0,46622.55506909888,0.11547716944754095,1021426.4722194026,96752.78764367779,5.509025132648759,4.58180476408824,43.85910460793348,0.17161705652325351
1972,5,7465.443374687811,3.480073632027928,0.0,249270.67257524334,0.6232228333210632,2257672.0161991525,84796.379992267,4.828236516491339,8.892957575545715,38.546034009224094,0.29377839657755983
1972,6,7616.3616896027515,3.5505088251467063,0.0,289671.6178411868,0.7025028237513796,2303366.5451912507,131103.04060562627,7.464897725589678,14.59862245561269,59.79268775817353,0.7183854986855243
1972,7,3585.1890507722833,1.735751675163947,0.0,68455.2137495172,0.4663089572120134,1855835.6517292417,14503.812623346694,4.199930550686604,11.390746974701184,0.12672146246029617,0.05660553304917679
1972,8,4555.911455559361,2.7133713633095082,0.0,122184.1711929641,0.34112357648804537,3672147.958798719,5505.623831421271,1.4998533210300913,8.276141201717538,2.214728348095899,0.1599536682902852
1972,9,2729.2162275131323,1.6254432283397153,0.0,46143.56898793434,0.13534629282560315,2199797.762988029,1803.5036965295274,0.4913142089100848,1.6598742120245817,0.7484527958376028,0.10633822486559488
1972,10,743.4413518664143,0.44276964294216636,0.0,25239.272796538346,0.061138048897154185,599223.4501875849,44374.434673314376,12.088574119098869,10.739547007768373,17.378923541724074,0.1818022845409843
1972,11,42875.271737232026,90.6790453886542,0.0,4451447.9546991,9.09709158462354,6483617.98528764,300586.5447981128,43.99465739060521,310.97022662887275,671.3653204230804,6.152854311072306
1972,12,24795.014684435646,62.094007209116775,0.0,213252.2521640294,0.6694293391441491,2258275.6987868752,32878.157994006826,53.284148337186686,3.7107926581381965,32.81515242818156,0.029001151094223687
1972,13,2991.9960777230767,9.15426786110661,0.0,153002.10574568537,0.3467093331681238,654537.0768860455,13275.912277460551,1.0743915803418287,5.076392084714337,114.03335034371896,0.057852954530105444
1972,14,7805.966306455133,32.25323999058081,0.0,25668.786434283156,2.122526865167456,1203615.792963521,9798.198113528455,60.61015017756655,3.1680005874663757,1.7680566386054029,0.014435886108120553
1972,15,4429.451649306865,18.301921621788022,0.0,13683.401008816885,1.2044161234914017,682984.9675103724,18931.998167424135,49.84895172717685,0.8811060106765392,50.84359696407371,0.03829510239696311
1972,16,18620.29063412944,76.93660049224877,0.0,90732.46913714557,7.225716795946919,2871095.405825344,59374.36440134058,309.62563139540504,8.451635301111695,36.028019066639175,0.27895915693340495
1972,17,3310.1287696609115,1.6025829609946691,0.0,86884.97505465588,0.52590595417554,1713453.6521026152,199050.7748228279,4.652694799809949,65.97973663845681,1.0707540076413558,2.155814890791195
1972,18,13332.319979299691,29.028232672117603,0.0,118384.39569701269,0.4755221920997889,14495513.152458385,45751.74021474555,20.9860401455638,0.6023513793524788,32.009428778966644,0.06932227444609992
1972,19,3449.010943780444,2.2417846457919017,0.0,24797.84683814174,0.1331961106960164,1153584.9471837725,5532.358796677619,0.4882257746170319,2.446314421466352,16.631280095682555,0.2290154076544194
1972,20,8199.70085707733,26.080836611171897,0.0,128.94526261939814,0.3343447094618937,23032828.037718695,19269.074635890625,34.59730221253104,3.9397152650674063,281.85931378231555,0.3843472703659606
1972,21,11951.388475310681,8.001328819208041,0.0,42230.636970746986,0.30130312724744746,4117349.724249647,36825.974699950515,0.6579627188472605,22.493835345209813,89.64600496917461,0.5032472433463704
1972,22,8652.788267323931,5.667003769970757,0.0,42663.73772051509,0.15771564391296855,2916145.311980245,15717.073762532531,0.2767298597002338,6.489979091266232,37.310639016697856,0.0066285477739804425
1972,23,17874.58765557705,112.04715901055661,0.0,1307143.0728838164,5.312763207742781,1426710.75006334,64163.44356831498,11.53576584073231,32.85308119866351,685.8152450925222,1.2629422416001157
1972,24,2942.5211762105537,18.44869855352155,0.0,121879.14959412845,0.8747526498000766,234909.56873033615,17048.517648303907,6.697399434350315,8.175278881205399,251.64461894933316,0.5413899661759317
1972,25,5543.0818129431955,8.35378527332885,0.0,16181.418782222281,0.09264713215076174,4171539.7271920396,22222.314860490813,0.3505225611828422,13.04705739585416,7.132293020134304,0.10644828839189477
1972,26,1514.194826073172,0.901811330132815,0.0,27398.714692233712,0.07637961276980788,1220468.2883840683,10593.446768663858,2.2980282651774573,4.230432931535789,5.519967405532959,0.008865181859961036
1973,1,942.40134432396,1.6587459973443988,0.0,1000137.5199784775,2.377546097406867,192143.23090584035,26168.360382798375,19.981411977096634,6.512653743963108,28.33451534407627,0.203654566986806
1973,2,11696.019765059998,16.087144192269843,0.0,8398135.615914494,23.057472776277972,1863471.123921031,797419.2666221866,259.3055214550017,246.16631887584745,441.32705632669433,6.870661434724015
1973,3,4164.5397664968195,1.9280197202547542,0.0,166716.87348395272,0.3910665826451433,1259659.7042418052,22315.99859495304,4.260120653217257,7.2089377604452,13.43120118677085,0.06024155855699122
