time,DIM_1,inland shipping,freight train,medium truck,heavy truck,air cargo,international shipping,empty,total
1973,16,52525.12,1850309.0,28493.21,106999.3,1266.065,298945.8,0.0,2338539.0
1973,17,1868.162,29810.8,158358.8,384705.5,11160.0,1666432.0,0.0,2252336.0
1973,18,45738.89,119421.1,13395.37,75654.74,347.4881,19123.35,0.0,273680.9
1973,19,25202.26,3247.543,2260.1,12781.17,1515.616,101377.7,0.0,146384.4
1973,20,428554.3,219670.6,12757.9,38119.0,1889.561,146511.8,0.0,847503.1
1973,21,135801.4,4172.507,13319.31,75276.41,3494.522,881863.9,0.0,1113928.0
1973,22,62532.59,1933.255,7067.507,39923.66,46.99561,305431.8,0.0,416935.8
1973,23,1007770.0,73701.38,50962.82,118476.0,6780.695,1192631.0,0.0,2450322.0
1973,24,352372.6,38493.66,11335.46,26319.18,2942.008,266225.4,0.0,697688.3
1973,25,10249.09,1950.112,6252.298,35276.12,541.59,414676.3,0.0,468945.6
1973,26,8275.564,14385.96,5099.883,20200.0,44.14247,165654.0,0.0,213659.6
1973,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1973,28,4262055.0,5529668.0,736212.4,3948494.0,105370.0,28400560.0,0.0,42982360.0
1974,1,40486.02,131854.2,5336.032,53564.83,977.6036,249215.5,0.0,481434.2
1974,2,634683.3,1526402.0,146787.8,1479145.0,33891.88,8812382.0,0.0,12633290.0
1974,3,21114.23,28309.64,11569.74,46122.25,357.4266,296432.4,0.0,403905.7
1974,4,66117.7,34684.84,47742.13,190480.4,992.2489,174991.2,0.0,515008.5
1974,5,59059.23,33192.48,49017.98,195759.8,1646.705,379328.5,0.0,718004.6
1974,6,92603.39,47047.74,63805.79,254308.3,4345.485,589093.3,0.0,1051204.0
1974,7,255.8997,27449.79,12587.58,30971.18,345.8579,563639.0,0.0,635249.3
1974,8,3397.912,9627.595,2694.885,10672.08,904.7805,327650.6,0.0,354947.8
1974,9,1137.585,3037.907,827.7373,3290.067,607.5969,60317.66,0.0,69218.55
1974,10,26478.66,79704.68,21709.7,86052.16,1009.806,418131.8,0.0,633086.8
1974,11,934305.9,271301.9,58732.01,592409.6,32707.62,11035460.0,0.0,12924920.0
1974,12,50683.03,347057.7,7861.163,70178.38,163.3526,143383.4,0.0,619327.0
1974,13,160698.4,6575.472,2603.02,26299.51,312.8576,174046.3,0.0,370535.6
1974,14,2626.717,378111.8,4910.011,18454.82,71.37943,115155.0,0.0,519329.7
1974,15,79184.43,316408.4,9770.098,36695.32,200.1876,33566.11,0.0,475824.6
1974,16,53618.24,1914547.0,29817.36,112082.1,1379.299,308999.2,0.0,2420443.0
1974,17,2291.225,33089.09,187110.9,470262.6,12904.88,1926825.0,0.0,2632484.0
1974,18,47650.99,125372.3,14458.18,81641.69,335.1736,20513.48,0.0,289971.8
1974,19,25980.62,3367.455,2369.819,13399.01,1843.083,106995.4,0.0,153955.4
1974,20,437029.5,221409.4,12783.63,38191.66,2153.033,146731.5,0.0,858298.7
1974,21,145774.6,4604.556,15784.56,89199.24,4300.769,1033772.0,0.0,1293436.0
1974,22,70160.88,2257.752,9385.056,53006.04,57.34028,386642.2,0.0,521509.2
1974,23,995040.3,71282.34,46901.87,109008.4,7579.023,1141470.0,0.0,2371282.0
1974,24,375693.3,41931.26,13042.26,30275.05,3289.663,294288.4,0.0,758519.9
1974,25,10589.9,2018.932,6541.466,36901.81,523.4161,434435.4,0.0,491011.0
1974,26,8591.391,14921.66,5309.387,21014.14,50.6532,173597.3,0.0,223484.5
1974,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1974,28,4345254.0,5675568.0,789460.2,4149386.0,112951.1,29347060.0,0.0,44419680.0
1975,1,41246.19,131396.2,5260.313,52880.31,981.9163,244486.1,0.0,476251.0
1975,2,644586.4,1500166.0,143934.8,1452509.0,34136.96,8637199.0,0.0,12412530.0
1975,3,22006.69,29746.08,12243.35,48799.71,415.3382,314383.0,0.0,427594.1
1975,4,68070.52,35784.87,49753.98,198489.3,1139.697,182555.7,0.0,535794.1
1975,5,61110.52,34465.5,51710.47,206487.8,1907.74,402112.2,0.0,757794.3
1975,6,95578.98,48064.54,65466.93,260859.7,5030.501,609429.1,0.0,1084430.0
1975,7,255.6651,27749.1,12546.86,30579.41,430.1906,564276.6,0.0,635837.8
1975,8,3461.074,9652.045,2668.534,10589.35,1006.006,317219.0,0.0,344596.0
1975,9,1184.383,3166.463,874.3231,3469.94,686.8119,64450.54,0.0,73832.46
1975,10,27347.82,82859.47,22467.35,89009.09,1140.478,436348.3,0.0,659172.6
1975,11,936437.2,265094.8,55717.04,561926.9,34197.95,10644590.0,0.0,12497970.0
1975,12,53104.61,365789.4,8441.836,75226.8,177.5778,153635.0,0.0,656375.3
1975,13,165892.8,6934.773,2815.926,28443.82,333.0594,186015.8,0.0,390436.2
1975,14,2673.653,385824.0,5026.555,18896.8,79.77758,117834.5,0.0,530335.3
1975,15,81691.86,328493.4,10092.84,37908.93,227.3499,34759.94,0.0,493174.4
1975,16,54194.17,1951773.0,30490.0,114676.4,1529.594,313469.8,0.0,2466133.0
1975,17,2147.717,33346.65,179068.9,438452.6,16093.71,1652750.0,0.0,2321860.0
1975,18,49977.71,133553.5,16169.81,91296.23,408.8998,22779.88,0.0,314186.0
1975,19,27165.69,3580.16,2622.273,14823.32,2240.446,115325.6,0.0,165757.5
1975,20,464230.8,238917.1,14840.1,44330.7,2453.519,163734.8,0.0,928506.9
1975,21,150575.5,4778.891,16369.2,92490.04,5318.899,1079207.0,0.0,1348740.0
1975,22,72702.62,2346.07,9693.104,54734.63,71.16434,402702.1,0.0,542249.7
1975,23,994613.5,70542.28,45172.02,104970.3,8225.962,1119631.0,0.0,2343155.0
1975,24,373007.6,40740.04,12197.49,28306.53,3578.715,283831.4,0.0,741661.8
1975,25,11018.59,2117.035,7045.321,39738.92,640.5607,467819.5,0.0,528379.9
1975,26,8633.827,14246.54,4815.158,19204.27,57.31624,151062.3,0.0,198019.4
1975,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1975,28,4412916.0,5751128.0,787504.4,4119100.0,122510.1,28681610.0,0.0,43874770.0
1976,1,42026.31,136041.6,5460.98,54831.56,1080.083,254388.7,0.0,493829.2
1976,2,655194.1,1567686.0,152199.6,1532481.0,37658.61,9236750.0,0.0,13181970.0
1976,3,22810.06,30966.36,12675.21,50512.81,459.3211,327089.9,0.0,444513.7
1976,4,70249.57,37260.21,52475.84,209324.7,1247.496,192575.2,0.0,563132.9
1976,5,63587.05,36186.48,55960.36,223427.5,2108.051,436331.6,0.0,817601.0
1976,6,99026.48,49403.45,68395.16,272453.1,5554.754,642528.6,0.0,1137362.0
1976,7,291.5379,29446.96,13855.62,34444.11,535.3389,655676.2,0.0,734249.8
1976,8,3571.607,9946.602,2771.537,10991.1,1070.337,327586.0,0.0,355937.2
