,wt%,BEV,FCV,HEV,ICE,PHEV,Trolley
LCV,1971,0.0,0.0,61.221772825607516,0.0,14.015648696961998,0.0
LCV,1972,0.0,0.0,322.37735645709444,0.0,33.08975285401511,0.0
LCV,1973,0.0,0.0,440.6712230588637,0.0,48.312003186411054,0.0
LCV,1974,0.0,0.0,379.79643496212657,0.0,42.4699755044259,0.0
LCV,1975,0.0,0.0,341.7275998667871,0.0,42.82832676737427,0.0
LCV,1976,0.0,0.0,432.6362435132609,0.0,44.12655602663311,0.0
LCV,1977,0.0,0.0,334.2846160929425,0.0,28.32713670418442,0.0
LCV,1978,0.0,0.0,379.82157890800073,0.0,26.538845034435514,0.0
LCV,1979,0.0,0.0,485.16216498520805,0.0,46.463336507311055,0.0
LCV,1980,0.0,0.0,284.4204526344203,0.0,1.2371147666002067,0.0
LCV,1981,0.0,0.0,141.50057326368147,0.0,20.713032948407104,0.0
LCV,1982,0.0,0.0,137.3693386012717,0.0,22.312981355177246,0.0
LCV,1983,0.0,0.0,119.28659660407472,0.0,14.145035354437411,0.0
LCV,1984,0.0,0.0,457.01893123064,0.0,35.29059252630149,0.0
LCV,1985,0.0,0.0,856.9135300152036,0.0,82.80727150371168,0.0
LCV,1986,0.0,0.0,1309.1396133135322,0.0,196.5609798190476,0.0
LCV,1987,0.0,0.0,1608.847050464761,0.0,264.6117696419628,0.0
LCV,1988,0.0,0.0,1758.1980894829,0.0,295.82690850836104,0.0
LCV,1989,0.0,0.0,1760.9905821472444,0.0,286.4835677903587,0.0
LCV,1990,0.0,0.0,1642.8280735176274,0.0,294.69414576198704,0.0
LCV,1991,0.0,0.0,1382.1388232876793,0.0,258.8746338831664,0.0
LCV,1992,0.0,0.0,953.864816394979,0.0,194.12409341235386,0.0
LCV,1993,0.0,0.0,707.3225486104642,0.0,150.34531611535084,0.0
LCV,1994,0.0,0.0,924.270895344372,0.0,157.15084889321233,0.0
LCV,1995,0.0,0.0,1003.5519158490551,0.0,203.91077561885882,0.0
LCV,1996,0.0,0.0,555.6136426769457,0.0,86.11566477250686,0.0
LCV,1997,0.0,0.0,770.6908400515412,0.0,162.13421683135937,0.0
