t,Passenger Planes,Freight Planes,Trains,High Speed Trains,Freight Trains,Small Ships,Medium Ships,Large Ships,Very Large Ships,Light Commercial Vehicles,Medium Freight Trucks,Heavy Freight Trucks,Midi Buses,Regular Buses,Inland Ships,Bikes
2018,2133504,2133504,138489.5,393340.4823,67484,27000,27000,100000,150000,13000,37000,52000,47843.57895,47843.57895,26677,2400
2040,2133504,2133504,138489.5,393340.4823,67484,27000,27000,100000,150000,13000,37000,52000,47843.57895,47843.57895,26677,2400
