kg,Passenger Planes,Freight Planes,Trains,High Speed Trains,Freight Trains,Inland Ships,Bikes
2020,60558,95843,252000,424000,1764500,322000,17.2
2050,60558,95843,252000,424000,1764500,322000,17.2
