time,DIM_1,ICE,HEV,PHEV,BEV,FCV
1971,1,0.9982936300000564,0.0014580781999999999,0.00024832038980480547,1.922017e-33,3.526648e-41
1971,2,0.9999675942999999,3.045331e-05,1.9223767862638e-06,0.0,0.0
1971,3,0.9999998279,1.7522293e-07,3.116290002413925e-09,0.0,0.0
1971,4,0.99999717328,2.7342425e-06,1.0944163251228621e-07,0.0,0.0
1971,5,0.999900197,8.461869e-05,1.521368702211e-05,1.401298e-45,0.0
1971,6,1.000000052177,1.1210191e-08,1.3230352000412615e-10,0.0,0.0
1971,7,1.000000000043868,1.1605615e-19,2.012963e-24,0.0,0.0
1971,8,0.99999996946,8.049367e-09,6.996731000147008e-11,0.0,0.0
1971,9,0.99999999411,1.8375393e-08,1.9304080002361074e-10,0.0,0.0
1971,10,0.9990758500000038,0.0008090597,0.00011510210686054172,2.841055e-36,1.261169e-44
1971,11,0.999149460000008,0.0006396871000000061,0.00021084170154699999,5.466437e-36,3.923636e-44
1971,12,0.9995968500000008,0.0003120368000000002,9.10890510444e-05,2.26788e-39,0.0
1971,13,0.9985592882848101,0.0012256279,0.00021507402924072,4.066884e-34,1.339081e-41
1971,14,0.9999990893599999,9.16098e-07,3.464814922095924e-08,0.0,0.0
1971,15,0.99999992434,4.698149e-09,3.874695002380902e-11,0.0,0.0
1971,16,0.9999997923999999,1.8204871e-07,3.356348003061392e-09,0.0,0.0
1971,17,1.0,0.0,0.0,0.0,0.0
1971,18,0.9999999476,2.6830305999999998e-08,7.764154000699374e-10,0.0,0.0
1971,19,0.9982918631183259,0.0014453819,0.00026280441550415,2.423057e-33,1.004367e-40
1971,20,1.00000001194,9.701559e-09,1.0268331125562403e-10,0.0,0.0
1971,21,0.99999994937659,9.695084999999999e-14,1.0076783e-16,0.0,0.0
1971,22,1.0000000000971385,4.6156528e-19,1.4502975e-23,0.0,0.0
1971,23,0.9967537100092934,0.002701394,0.0005448735790302301,2.416977e-30,3.07166e-37
1971,24,0.9988795200000501,0.0009755542000000001,0.0001448961235582276,2.036092e-35,2.228065e-43
1971,25,1.0000000154,4.042019e-09,3.341358010385803e-11,0.0,0.0
1971,26,0.9999988241000001,1.19391e-06,3.627181029249885e-08,0.0,0.0
1972,1,0.9982309742702561,0.0015159396,0.0002530686600935758,1.922016e-33,3.526648e-41
1972,2,0.9999675844,3.045338e-05,1.9223772862637e-06,0.0,0.0
1972,3,0.9999998333126,1.7522406e-07,3.1162937871804e-09,0.0,0.0
1972,4,0.99999713932,2.7343639e-06,1.094437825122862e-07,0.0,0.0
1972,5,0.9998845000000001,9.296068e-05,2.253707068025e-05,1.401298e-45,0.0
1972,6,0.999999987833,1.1210209e-08,1.3230353000412614e-10,0.0,0.0
1972,7,1.000000000043868,1.1605615e-19,2.012963e-24,0.0,0.0
1972,8,0.9999999931979999,8.04949e-09,6.996761575945413e-11,0.0,0.0
1972,9,0.9999999876343,1.8376071e-08,1.9304342911289585e-10,0.0,0.0
1972,10,0.9990101432034036,0.0008698057,0.00012005861034720447,2.841054e-36,1.261169e-44
1972,11,0.998989018000008,0.000785759500000006,0.000225150455078,5.466437e-36,3.923636e-44
1972,12,0.9995524614000006,0.00035324510000000017,9.43328212291e-05,2.26788e-39,0.0
1972,13,0.99781172265133,0.0018763981,0.00031194831111054,4.066884e-34,1.339081e-41
1972,14,0.99999884711,1.0687709e-06,4.1530280223623235e-08,0.0,0.0
1972,15,1.0000000037434,1.5462262999999998e-08,1.5291404000118576e-10,0.0,0.0
1972,16,0.9999998193999999,2.1287564999999998e-07,4.004468002713701e-09,0.0,0.0
1972,17,1.0,0.0,0.0,0.0,0.0
1972,18,0.99999997302,2.6831224e-08,7.764191000699373e-10,0.0,0.0
1972,19,0.9979771141880319,0.0017286743,0.00029413748657751,2.423056e-33,1.004367e-40
1972,20,0.9999999658957001,9.701967e-09,1.0268486398295403e-10,0.0,0.0
1972,21,0.9999987713144,1.1715794e-06,6.08715601352358e-08,0.0,0.0
1972,22,1.0000000000971385,4.6156528e-19,1.4502975e-23,0.0,0.0
1972,23,0.9961274791955125,0.0032597959999999997,0.00061277107098713,2.416977e-30,3.07166e-37
1972,24,0.9987750215119168,0.0010722692000000001,0.0001527324366061124,2.036092e-35,2.228065e-43
1972,25,0.9999999895418,4.042035e-09,3.3413593190554525e-11,0.0,0.0
1972,26,0.9999987967956999,1.1939534e-06,3.627223663300384e-08,0.0,0.0
1973,1,0.9981685757030561,0.0015738322,0.0002575855677365762,1.922017e-33,3.526648e-41
1973,2,0.9999676796,3.045448e-05,1.9223834862639e-06,0.0,0.0
1973,3,0.9999998344035,1.7522706000000002e-07,3.1162993026094002e-09,0.0,0.0
1973,4,0.9999972052,2.7349086e-06,1.094490225122862e-07,0.0,0.0
1973,5,0.99986562,0.00010768782999999999,2.6702894882780003e-05,1.401298e-45,0.0
1973,6,1.000000010205,1.1210215e-08,1.3230352000412615e-10,0.0,0.0
1973,7,1.000000000043868,1.1605615e-19,2.012963e-24,0.0,0.0
1973,8,0.9999999657884999,8.049716e-09,6.996789018775414e-11,0.0,0.0
1973,9,0.9999999308419001,1.8377513999999998e-08,1.9304603300989585e-10,0.0,0.0
1973,10,0.9989570574830037,0.0009191375,0.0001238027346503065,2.841055e-36,1.261169e-44
1973,11,0.998824369000008,0.000935862600000006,0.00023980145729299998,5.466438e-36,3.923636e-44
1973,12,0.9995090710000006,0.0003934687000000002,9.742188145250001e-05,2.26788e-39,0.0
1973,13,0.99650399262733,0.002993233,0.0005027686241858,4.066884e-34,1.339081e-41
1973,14,0.99999859189,1.3791921e-06,5.047780023311444e-08,0.0,0.0
1973,15,0.9999996939910001,3.0516791e-07,3.7762480010664946e-09,0.0,0.0
1973,16,0.9999996558750001,3.2183663999999996e-07,5.709878003087371e-09,0.0,0.0
1973,17,1.0,0.0,0.0,0.0,0.0
1973,18,1.00000000718,2.6832904000000002e-08,7.764231000699373e-10,0.0,0.0
1973,19,0.9975797601689319,0.0020838758,0.00033641857023587003,2.423057e-33,1.004367e-40
1973,20,1.0000000200293,9.702931999999999e-09,1.0268716113495403e-10,0.0,0.0
1973,21,0.999997438847,2.399789e-06,1.198573203731511e-07,0.0,0.0
1973,22,1.0000000000971385,4.6156528e-19,1.4502975e-23,0.0,0.0
1973,23,0.9951445146810124,0.004120122,0.00073537637673247,2.416977e-30,3.07166e-37
1973,24,0.9986852055570167,0.0011554136,0.00015936748151741098,2.036092e-35,2.228065e-43
1973,25,1.0000000214633,4.042044e-09,3.341360520557452e-11,0.0,0.0
1973,26,0.9999988156980001,1.1942133e-06,3.627379363390394e-08,0.0,0.0
1974,1,0.9981179841940561,0.001620944,0.0002610970028555298,1.922017e-33,3.526648e-41
1974,2,0.9999676092,3.045584e-05,1.9223903862639e-06,0.0,0.0
1974,3,0.9999998423995,1.7522842e-07,3.1163006227954e-09,0.0,0.0
1974,4,0.99999714639,2.7355394e-06,1.0945467251228621e-07,0.0,0.0
1974,5,0.99984699,0.00012340202,2.9601512476539998e-05,1.401298e-45,0.0
1974,6,1.000000019712,1.1210219e-08,1.3230353000412614e-10,0.0,0.0
1974,7,1.000000000043868,1.1605615e-19,2.012963e-24,0.0,0.0
1974,8,0.9999999731921,8.050069e-09,6.996829191085414e-11,0.0,0.0
1974,9,0.9999999414094001,1.8378356000000002e-08,1.9304731304589585e-10,0.0,0.0
1974,10,0.9989102451720037,0.0009627846,0.0001270074126336245,2.841055e-36,1.261169e-44
1974,11,0.9986805630000081,0.0010672234000000062,0.00025227255933900003,5.466437e-36,3.923636e-44
1974,12,0.9994659830000007,0.0004334026000000002,0.0001005630916891,2.26788e-39,0.0
1974,13,0.99509719385023,0.004193709,0.0007091216879956,4.066884e-34,1.339081e-41
1974,14,0.9999981852400001,1.6978552e-06,5.954103024225457e-08,0.0,0.0
1974,15,0.9999975037929999,1.4256357e-06,1.07360057625e-06,1.401298e-45,0.0
1974,16,0.999999544376,4.5700130000000003e-07,8.054642003722849e-09,0.0,0.0
1974,17,1.0,0.0,0.0,0.0,0.0
1974,18,0.99999991033,2.6833495000000002e-08,7.764240000699372e-10,0.0,0.0
1974,19,0.9971973755483318,0.002426824,0.00037584475294727,2.423057e-33,1.004367e-40
1974,20,0.999999936034,9.703499e-09,1.0268830118995403e-10,0.0,0.0
1974,21,0.99999643613,3.408194e-06,1.491647404217628e-07,0.0,0.0
1974,22,1.0000000000971385,4.6156528e-19,1.4502975e-23,0.0,0.0
1974,23,0.9943282769474124,0.004840471,0.0008312612568383901,2.416977e-30,3.07166e-37
1974,24,0.9986071332160168,0.0012278544,0.0001650070316792686,2.036092e-35,2.228065e-43
1974,25,1.0000000415316,4.042048e-09,3.3413605894734525e-11,0.0,0.0
1974,26,0.99999876566,1.1944146e-06,3.627494638140394e-08,0.0,0.0
1975,1,0.998103741606056,0.0016343601,0.00026189856886858407,1.922017e-33,3.526648e-41
1975,2,0.999967678,3.0455930000000003e-05,1.9223902862638e-06,0.0,0.0
1975,3,0.9999998061451001,1.7522843e-07,3.1163006276384004e-09,0.0,0.0
1975,4,0.99999711273,2.7357551e-06,1.094561225122862e-07,0.0,0.0
1975,5,0.9998416499999999,0.0001279049,3.040819752296e-05,1.401298e-45,0.0
1975,6,1.000000020214,1.1210219e-08,1.3230353000412614e-10,0.0,0.0
1975,7,1.000000000043868,1.1605615e-19,2.012963e-24,0.0,0.0
1975,8,1.0000000150227,8.050093e-09,6.996831523865414e-11,0.0,0.0
1975,9,1.0000000121638,1.8378403e-08,1.9304732467889585e-10,0.0,0.0
1975,10,0.9988968372020036,0.0009753959999999999,0.00012775743363905808,2.841055e-36,1.261169e-44
1975,11,0.9986341740000081,0.001109773800000006,0.00025606615982,5.466433e-36,3.923636e-44
1975,12,0.9994505210000008,0.00044764280000000016,0.00010175354175569999,2.26788e-39,0.0
1975,13,0.99429093228823,0.0048875,0.0008215350427311,4.066884e-34,1.339081e-41
1975,14,0.99999808644,1.8688635e-06,6.36808402443328e-08,0.0,0.0
1975,15,0.999995317006,2.54176e-06,2.1468413774399997e-06,1.401298e-45,0.0
1975,16,0.999998389849,1.5221865e-06,5.4904610203970076e-08,0.0,0.0
1975,17,1.0,0.0,0.0,0.0,0.0
1975,18,0.9999999609500001,2.6833542e-08,7.764242000699373e-10,0.0,0.0
1975,19,0.9970418166283319,0.002567803,0.00039037213358497,2.423056e-33,1.004367e-40
1975,20,1.000000021022,9.703538e-09,1.0268842107195403e-10,0.0,0.0
1975,21,0.999995575747,4.221251e-06,1.649805004364035e-07,0.0,0.0
1975,22,1.0000000000971385,4.6156528e-19,1.4502975e-23,0.0,0.0
1975,23,0.9939515552814124,0.005177107,0.00087132369371755,2.416977e-30,3.07166e-37
1975,24,0.9985849404130167,0.0012486687,0.0001663636767006805,2.036092e-35,2.228065e-43
1975,25,0.9999999437739999,4.042048e-09,3.341360590119453e-11,0.0,0.0
1975,26,0.999998754415,1.1944612e-06,3.627512525540394e-08,0.0,0.0
1976,1,0.998255113948051,0.0015053777,0.0002394894449121372,1.747288e-33,3.206031e-41
1976,2,0.9999705827,2.768745e-05,1.7476286238762e-06,0.0,0.0
1976,3,0.9999997840001,1.5929907e-07,2.8330016274560913e-09,0.0,0.0
1976,4,0.99999741951,2.4872546e-06,9.95072222838969e-08,0.0,0.0
