,time,BEV,FCV,HEV,ICE,PHEV,Trolley
Light Commercial Vehicles,1888,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1889,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1890,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1891,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1892,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1893,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1894,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1895,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1896,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1897,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1898,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1899,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1900,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1901,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1902,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1903,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1904,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1905,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1906,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1907,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1908,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1909,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1910,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1911,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1912,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1913,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1914,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1915,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1916,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1917,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1918,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1919,0.0,0.0,0.0,0.0,0.0,0.0
Light Commercial Vehicles,1920,0.0,0.0,0.0,0.0,0.0,0.0
