years,regions,Buses,Trains,Hight Speed Trains,Cars,Planes,Bikes,Trucks,Freight Trains,Ships,Inland Ships,Freight Planes,High Speed Trains,Inland ships
1972,13,56206310000.0,21149800000.0,,71505970000.0,4247216000.0,17693460000.0,28261951000.0,6390853000.0,169118600000.0,,130179300.00000001,7926526000.0,152987800000.0
1972,14,154313100000.0,75316580000.0,,13015470000.0,23351140000.0,31961999999.999996,20698769000.0,344792200000.0,104435900000.0,,31450140.0,0.0,2460177000.0
1972,15,88891540000.0,43385860000.0,,7497517000.0,13451350000.0,18411600000.0,40404076000.0,281328100000.0,29754680000.0,,85398200.0,0.0,72173220000.0
1972,16,367552000000.0,179393400000.0,,44242930000.0,79376520000.0,76128940000.0,125877990000.0,1752893000000.0,286111200000.0,,619130000.0,0.0,50981980000.0
1972,17,68768260000.0,3932825000.0,,41384950000.0,6139443000.0,47087650000.0,471771400000.0,27349840000.0,3009100000000.0,,5075875000.0,0.0,1605581000.0
1972,18,371489600000.0,64695370000.0,,44130990000.0,4966323000.0,398929900000.0,90932990000.0,118557600000.0,19724250000.0,,144877450.0,0.0,45004490000.0
1972,19,68803310000.0,5322892000.0,,12162150000.0,1691199000.0,31481020000.0,12153234999.999998,2883996000.0,84631750000.0,,551038500.0,0.0,23300630000.0
1972,20,177037200000.0,63080080000.0,,99419000.0,3768173000.0,632845800000.0,45312729999.99999,206350000000.0,136392299999.99998,,853575500.0,0.0,406915800000.0
1972,21,246560000000.0,19074840000.0,,27622770000.0,3841066000.0,112813700000.0,80356200000.0,3905702000.0,805054100000.0,,1255959500.0,0.0,129381300000.0
1972,22,174698200000.0,13515330000.0,,14464810000.0,2011395000.0,79933320000.0,39917607000.0,1743634000.0,269819800000.0,,17036485.0,0.0,58262990000.0
1972,23,341919200000.0,253230300000.00003,,331025600000.0,60585980000.0,38343290000.0,151070170000.0,68108270000.00001,1103563000000.0,,2776849500.0,98409710000.0,957325100000.0
1972,24,56460350000.0,41815350000.0,,54661520000.0,10004430000.0,6331542000.0,36751030000.00001,37641980000.0,261688000000.0,,1201788000.0,16250170000.000002,344397800000.0
1972,25,106814900000.0,18601930000.0,,8590671000.0,966759400.0,114704800000.0,38581399000.0,1854876000.0,389301500000.0,,225501450.0,0.0,9874965000.0
1972,26,30515070000.0,2146788000.0000002,,13903380000.0,821833800.0,33673130000.000004,22940436000.0,13443130000.0,147318500000.0,,19032835.0,0.0,7858765000.0
1973,1,18328560000.0,3836209000.0,,394612000000.0,28714500000.0,4788858000.0,55937617999.99999,124976900000.0,236280000000.0,,479498700.0,0.0,39679990000.0
1973,2,175340200000.0,36699110000.0,,3775056000000.0,274697399999.99997,45812620000.0,1641508900000.0,1538997000000.0,8911886000000.0,,16608845000.000002,0.0,625239000000.0
1973,3,85643460000.0,4716049000.0,,81497680000.0,4921468000.0,35044270000.0,52674510000.0,26539880000.0,271472599999.99997,,152682450.0,0.0,20095490000.0
1973,4,69078740000.0,3803895000.0,,24366850000.0,1471461000.0,28266190000.0,228320850000.0,33627360000.0,167775600000.0,,429195000.0,0.0,64191450000.0
1973,5,153378100000.0,8445929000.0,,132102699999.99998,7977395999.999999,62760460000.00001,219788410000.0,31120040000.0,344415900000.0,,713215000.0,0.0,56449630000.0
1973,6,155665600000.0,8571897000.0,,148130300000.0,8945264000.0,63696500000.0,285396350000.00006,44224720000.0,529893300000.00006,,1863552500.0,0.0,88305300000.0
1973,7,78927200000.0,4513810000.0,,42429400000.0,5846370000.0,51460660000.0,38414840000.0,25776870000.0,482989100000.0,,150062150.0,0.0,222583700.0
1973,8,99617730000.0,7008283000.0,,64127830000.0,4267390999.9999995,103101000000.0,12085469000.000002,8987762000.0,289383100000.0,,397937900.0,0.0,3240892000.0
1973,9,60081580000.0,4226845000.0,,25616710000.0,1704666000.0,62182390000.0,4020812900.0000005,2970705000.0,58806040000.0,,265306200.0,0.0,1102375000.0
1973,10,16357020000.0,1150745000.0,,11564990000.0,769593200.0,16928960000.0,101561650000.00002,75464140000.0,389958600000.0,,442912500.0,0.0,25434610000.0
1973,11,562881300000.0,211805900000.0,,1960311000000.0,124240700000.0,169065200000.0,635708730000.0,265783400000.00003,10811850000000.0,,15824440000.0,82037370000.0,923995200000.0
1973,12,344854000000.0,153414100000.0,,114879400000.0,8593526000.0,58679030000.0,70966753000.0,323586300000.0,131138400000.0,,71985100.0,0.0,47606700000.0
1973,13,58940380000.0,22178600000.0,,77493850000.0,4911412000.0,17703140000.0,29027926000.0,6546065000.0,173444300000.0,,148863800.0,8590291000.0,157013800000.0
1973,14,161718900000.0,78931180000.0,,15536390000.0,24073400000.0,31640590000.000004,22302654000.0,364604900000.0,110591600000.0,,32496125.0,0.0,2555915000.0
1973,15,94502670000.0,46124510000.0,,9078900000.0,14067620000.0,18489610000.0,43957225000.00001,299507100000.0,31838780000.0,,89717950.0,0.0,76040680000.0
1973,16,384729700000.0,187777400000.0,,52748840000.0,81733520000.0,75273010000.0,135492410000.0,1850327000000.0,298945800000.0,,633032500.0,0.0,52525110000.0
1973,17,74053200000.0,4235068000.0,,48627890000.0,6700465000.0,48282800000.0,543064300000.00006,29810810000.0,3533448000000.0,,5580000000.0,0.0,1868162000.0
1973,18,403520900000.0,70273650000.0,,46994270000.0,6115322000.0,406959800000.0,89050129999.99998,119419700000.0,19123380000.0,,173744200.0,0.0,45738930000.0
1973,19,73656820000.0,5698378000.0,,13305360000.0,2586304000.0,31935770000.000004,15041270000.0,3247546000.0,101377700000.0,,757807500.0,0.0,25203860000.0
