years,Buses,Trains,Hight Speed Trains,Cars,Planes,Bikes,Trucks,Freight Trains,Ships,Inland Ships,Freight Planes,High Speed Trains
1971,0.0,21405.110313417263,0,269427196.8925622,1600.7994891966487,960690485.4166667,23506008.607936528,40167.97783703857,25746.884235764403,161468.02589138976,609.0028058017887,1496.0533942386019
1972,0.0,22292.67706215995,0,283155561.113954,1797.2063054019302,974467942.9166666,25211717.055632826,41849.56735739546,30209.824437954823,174361.4453789114,730.9384455944718,1564.4919429853471
1973,0.0,23396.299105708375,0,299662159.39565754,1992.759415820759,987681224.1666667,27077433.221127834,43984.23681506066,32158.588691185712,180248.22471973815,821.1399701306575,1628.6458917445111
1974,0.0,24155.466082266164,0,308956061.21905017,2113.896612292141,1007121599.1666666,28572284.5396696,45159.48542573194,33801.820745878525,183767.33358114256,880.2198638978116,1652.3293765694991
1975,0.0,25044.675751591276,0,320771222.86779255,2248.9918484070263,1019833896.2500001,28391994.852669694,45790.82059693077,33007.855338927715,186629.46984329162,954.713342297786,1752.792545002461
1976,0.0,25590.955559807782,0,336417176.6356676,2452.055232546082,1033240086.25,30124195.387669817,47825.87634484889,35057.49944789943,191806.56832786798,1064.9424116486834,1848.0691476523498
1977,0.0,26552.061654493664,0,347700955.9407418,2585.8784140319735,1045727438.3333334,31177859.481792293,49763.631810236926,36189.009251479736,196144.55351015704,1159.312824052859,1888.7129755453416
1978,0.0,27512.504431743924,0,363994789.73360246,2892.167074414018,1057355925.0,32124292.303163145,51690.194263619385,36645.96800176501,200353.39321816686,1291.615799553829,1998.3143628871633
1979,0.0,28403.088970643985,0,381189479.27493316,3108.2030773458678,1072892045.0,33835548.77578503,53142.57247028943,38522.65126850714,205225.9749395058,1423.1201362838367,2087.883704613574
1980,0.0,29274.71894981208,0,396242232.1224722,3292.525751292612,1087541702.0833333,34873378.36443488,54296.40912696229,39389.86649094843,208167.55792190615,1474.5220008673289,2134.5156167190803
1981,0.0,30049.59516786471,0,405195613.5845343,3362.5480582396967,1102236699.1666667,35286360.69582657,56181.64240287822,38555.33960458611,210781.82642223395,1484.105254497249,2174.9943931605003
1982,0.0,30754.210138674774,0,412321348.5348387,3426.112473468782,1117584690.0,34370580.33545171,58235.4575033498,35762.94711091799,211980.61455636934,1485.777437434241,2259.3663416910085
1983,0.0,31654.675625227905,0,424341591.5812489,3562.6979621983387,1132102252.0833333,34141188.467484444,58679.73479485706,35089.5355835578,212223.04943143317,1519.2813240864068,2328.7703713098063
1984,0.0,32879.132966759214,0,434580475.0884688,3819.4768732132784,1145265607.0833333,35580996.133063056,60667.26856823282,35843.256957446654,214798.87247476954,1605.4279743345269,2381.7927290176003
1985,0.0,34223.25311666227,0,443166580.73644656,4122.267258765641,1159133789.1666667,35959880.32544695,63416.04527480371,35744.552923482035,216668.67176284333,1693.634487450278,2460.610340120298
1986,0.0,35449.32316168374,0,453799503.1040702,4413.809977770504,1172943006.25,35890703.52977222,62484.12317600105,35603.765860577005,219382.78841872394,1779.120651988349,2550.4571832666866
1987,0.0,36795.153134353146,0,461658468.49666476,4813.76537864986,1185574696.25,37224524.519785695,64129.042427922665,36772.819458918515,222894.7583417046,1934.8959735434114,2702.8712734477626
1988,0.0,38592.99901797609,0,474616192.34875554,5175.556176375231,1194546560.8333333,38531619.855258636,66024.49999886965,38685.14533786812,228759.38893195475,2079.71739319387,2910.713099257624
1989,0.0,39176.24901165792,0,484610299.5537258,5402.111934898475,1210640135.0,40228786.162220344,72225.34774192433,40363.52394570777,234225.87818499174,2186.5076190647674,3074.0126566304257
1990,0.0,39154.33123088754,0,488849821.985083,5729.319632064664,1230553290.0,40380045.389870085,70002.99577287328,41484.75261209184,238610.58961475966,2337.044756941175,3093.251292624122
1991,0.0,38849.233588105955,0,496717979.70088506,5705.712631283889,1252514105.4166665,40121261.35933732,67823.29106155806,41834.844150591394,242855.48038664786,2401.9665608878945,3161.5958497126107
1992,0.0,38866.075424490664,0,507209198.692669,5793.6064825196645,1269531849.1666667,40569796.66596691,62151.83621628689,42610.72091673321,246341.2692666816,2601.7781339823227,3265.744906077443
1993,0.0,39322.12276020926,0,519886910.96500975,5825.117692885505,1286342955.4166667,41322901.07072325,60553.05403713163,42569.886147442776,249633.66846035817,2745.979969802213,3316.4218988760204
1994,0.0,39204.12356171406,0,531299815.8519898,6187.242129546205,1302539306.25,42642495.51299466,58666.42945647422,44018.61224280102,253066.4492254841,2975.2387127824873,3398.4098579349043
1995,0.0,39402.47959231566,0,545189423.7251313,6617.211882851463,1315099043.75,43579764.50579434,55204.700075520894,45200.99288233121,256731.4859195777,3193.7499330090086,3497.904850394502
1996,0.0,39932.683235913195,0,555829939.3695799,7139.271574720197,1328008112.5,45478396.97128666,55887.12968624814,46821.43414208387,262345.0677031209,3455.7517770068184,3569.893591855896
1997,0.0,40907.71991739446,0,571917928.7995244,7500.806746691105,1336068810.4166665,47178836.22871006,56704.4489240364,49261.14124459656,267784.6153805372,3654.607949652027,3648.614367341685
1998,0.0,41651.413627025875,0,589772564.5701011,7639.509651112225,1344376974.5833333,46577591.78665387,56556.915826372184,48778.495816881325,269514.0416738346,3708.5555996295243,3740.753770214606
1999,0.0,42656.303041024774,0,608258607.5231278,8089.3253147664545,1352553196.25,48094931.85260676,58517.09592446003,50500.65452409848,273625.6813248358,3934.581850148236,3812.06787454234
2000,0.0,44121.992154639884,0,629754322.6247058,8708.970405798313,1360718851.6666667,51259065.57942496,61685.587017531456,53710.809420565776,280215.5724628118,4293.3435586423575,3862.168946127406
2001,0.0,44998.81496431137,0,653745530.3714004,8729.663223527166,1368783711.25,50918854.840599805,61667.24547239435,53028.2099792736,281885.0221958724,4344.461661936546,3939.422693355409
2002,0.0,46440.59692251037,0,667926780.4871135,8710.133758154037,1374287103.3333333,51971547.70380613,62556.51747388519,51953.55128097828,284718.35125725,4364.098914402629,3971.3141248953916
2003,0.0,47009.92355016084,0,686123523.1487889,8818.870138749438,1386827619.5833333,54126098.49846045,64884.29255132245,53154.5538495102,289715.15632644313,4449.285366728862,3993.2752832900533
2004,0.0,49123.852403972865,0,711790604.3535055,10176.653027418533,1389508443.3333333,58226846.45148287,68622.31929388945,55954.024786912276,295816.7766532138,5107.278716863236,3998.452384880147
2005,0.0,50951.9377100791,0,738166671.3652177,10925.337384221431,1394996520.0,62130998.71402665,73030.47415061452,58037.653621740894,300488.14246560726,5454.702260168652,4013.1777446737747
2006,0.0,50155.25099375765,0,756692141.8367254,10953.743975029456,1256081716.6666667,66018003.58147024,76543.13062700866,54667.08583724386,304789.750302509,5483.29318155595,4047.767158041902
2007,0.0,51480.230432632074,0,786996585.1297283,11159.097586793505,1195203803.75,69521809.60671088,80365.12328959747,52579.557274060855,308504.48010051466,5573.760903403989,4103.608915902525
2008,0.0,52785.93597348536,0,805550891.7169596,11288.340410264602,1171864603.75,70976034.75665751,82190.91962671233,49329.21049694275,306669.94988081726,5574.901838288461,4149.31919663262
2009,0.0,53422.09840818257,0,812278023.3294427,11223.110939666383,1151736949.5833333,70384482.81406525,80201.84549869456,44851.23258588311,301775.11017050716,5488.80441212672,4138.200117929348
2010,11741316.103285724,54161.987912441014,0,812424787.0809513,10992.940646365703,1159702798.75,74093629.12188907,82270.49541112669,41859.4747005342,301489.33857197897,5285.3582216199275,4056.591961733029
2011,11704004.131552428,55976.16602702731,0,822126714.8587558,11894.825174139345,1193102901.25,78802281.23996036,84427.83555830759,39138.63315456296,304294.9978609803,5843.977899169057,4110.2796722955
2012,11795749.958476795,58360.49942414407,0,837930580.4136221,13282.648682625999,1241380330.8333333,83628496.399893,85970.83515797387,37878.4417471921,306900.33840417105,6577.7449557518585,4162.781517767429
2013,12317270.13018182,61452.94231692656,0,864407607.0385118,15177.84371041881,1356017258.3333333,88967728.42129828,86938.76953898143,37243.670159402725,309304.5781426123,7412.658225137312,4211.364190945357
2014,12280065.526942248,64299.686041180015,0,887416988.5201333,15920.295933386391,1394969574.5833333,95678636.83986627,88183.87773224247,36808.333113171,311212.95610523183,7804.883110733194,4276.276169917298
2015,12431338.400794711,67456.63432967843,0,921226908.0576994,16639.283071719994,1450864048.3333333,102207679.7970896,88771.03650619552,36942.35506275255,314671.4759947295,8281.047756547705,4367.270231204538
2016,12491283.099581795,70066.73041999574,0,951656305.7402807,17277.019275208935,1487994507.5,105650193.62142931,89624.27640412751,36637.569080385576,317114.65562182857,8597.566500400631,4493.460147212674
2017,12527524.454857148,72240.22406030781,0,977777183.8259684,18109.10080305795,1509344054.1666665,112659736.9251733,92221.56200998696,37604.21037217281,323313.6603448699,9188.89214246718,4590.08184446257
2018,12870433.803188,74988.0662432892,0,1018395514.5271188,18902.189381181524,1541456517.0833333,120882602.93419658,95122.6196568644,38995.94429389066,331943.28291823907,9834.400843195528,4724.613475656191
2019,0.0,77793.39072637276,0,0.0,19642.60332123215,1571795782.9166667,129705919.44818813,98142.95676347095,39978.32216680896,341170.6808237154,10574.76259647977,4863.087369097211
2020,0.0,80126.64109914469,0,0.0,7437.810348874035,1583223989.1666665,125592511.56820194,95204.50851056597,37026.96885425646,342328.0978234524,8533.604153113982,4954.1286557022395
2021,0.0,79281.24009401434,0,0.0,17008.51524231097,1527488190.8333335,130817126.04428194,98841.34463218576,37016.793812300646,351799.9529775697,11601.667712108918,4877.15822115001
2022,0.0,74881.51195578005,0,0.0,17584.20798616864,1456412805.0,135119510.6888705,101295.72479021437,36703.949889052856,358213.2097634659,11977.132607690231,4581.730367067793
2023,0.0,82967.6802031923,0,0.0,21709.915214766745,1562774267.9166667,139302248.76335433,103997.92902236703,36397.94787085296,363889.40991707577,13552.333004730412,5062.39452219682
2024,0.0,86207.85084789821,0,0.0,23089.924078389602,1576346702.9166667,143112889.04522538,106801.10259534346,36031.43428755732,368759.4698512576,14144.81322184961,5256.826808253599
2025,0.0,87182.00767928254,0,0.0,23427.43706365897,1563224790.8333333,146477072.14243978,109507.27411285475,35580.06650016242,373026.1369524193,14353.377793022659,5286.290972957014
2026,0.0,89051.2767574437,0,0.0,24201.417446474832,1566291493.3333333,150104647.8379483,112481.24492848516,35016.66637938804,377266.37444782344,14688.509263032856,5393.189513850091
2027,0.0,91048.968604118,0,0.0,25116.12006687959,1570710786.25,153818235.6095985,115520.11755428957,34463.38354581661,381572.7053460621,15087.635643793028,5529.880578451517
2028,0.0,92756.20982096114,0,0.0,25860.809054787336,1569869905.8333333,157623247.01027957,118667.15877667142,33892.35512255676,385953.53654178244,15417.931558575438,5644.80545151113
2029,0.0,94365.98482195401,0,0.0,26561.82591622177,1566467761.25,161499709.79114527,121914.41897595601,33336.900436587806,390411.5277932366,15726.713444393914,5754.715524307751
2030,0.0,95930.35002653631,0,0.0,27285.62580467086,1560885413.3333335,165412369.6508259,125259.99961322684,32799.39985340457,394948.73079032195,16041.35004328964,5870.743751638304
2031,0.0,97301.89045017853,0,0.0,27965.272744195438,1552030020.4166665,168743969.33040878,128294.64453194286,32208.907759374124,398643.9154670068,16331.294264277998,5985.060573929698
2032,0.0,98773.90044010556,0,0.0,28647.096226740672,1547654214.1666667,172146186.52536282,131383.05049861636,31636.08641474956,402385.56137282,16622.65882302014,6108.002848013951
2033,0.0,101181.04015105838,0,0.0,29675.01850336521,1555524230.0,175621753.7296204,134494.4381003075,31079.444417534414,406171.30433600233,17040.437448341345,6295.21572483048
2034,0.0,102749.12161210777,0,0.0,30413.78715179332,1549721288.3333335,179173011.3822359,137640.5030494202,30538.193488628323,409999.8871888375,17364.144060909992,6435.872085250632
2035,0.0,104047.7879008878,0,0.0,31023.231096387106,1542337732.0833333,182969210.62824845,140932.39716766082,30029.680867456827,414007.2405139753,17642.737027656225,6563.0879681838
2036,0.0,105748.85942616589,0,0.0,31777.7449166624,1533975002.5,186427814.02248412,143934.43556138995,29492.431391427126,417427.695064799,17845.14355568065,6767.114194878294
2037,0.0,107298.45840298363,0,0.0,32552.937199974567,1525496730.4166667,189993738.41629705,147001.7539777255,28963.177745516008,420868.77600673836,18053.90319568336,6975.582885819178
2038,0.0,108641.00388477104,0,0.0,33301.967063962096,1516093278.75,193685999.8143309,150116.17427839062,28450.22947585937,424339.8817325206,18248.21830749026,7179.941760783312
2039,0.0,109938.43423147603,0,0.0,34117.27206298762,1507766684.1666667,197531017.53555575,153256.81054680474,27952.7507507127,427835.61553558434,18462.43651091285,7396.745928306402
2040,18323803.577799775,111190.02976759971,0,1614541424.578099,35010.677446175054,1499875030.8333333,201548476.81587848,156407.84181092316,27470.723469092063,431349.3908862977,18702.82817356593,7627.317021759387
2041,0.0,112220.69779658386,0,0.0,35909.54569950507,1489762327.0833333,204761673.85865688,159195.01831837348,26969.821919106278,434506.63393960265,18933.568133154284,7858.248310402404
2042,0.0,113155.72362886717,0,0.0,36867.62104812493,1478875804.5833335,208026215.39803457,161980.614605762,26486.35844551991,437678.69746696827,19178.73295077059,8095.597349988304
2043,0.0,114142.62364655804,0,0.0,37971.96219857019,1468882584.1666667,211335383.5798745,164768.7716020985,26019.843310559114,440858.60547829996,19462.086799812114,8354.445811491532
2044,0.0,115134.77835864814,0,0.0,39216.00848986297,1458931442.5,214688903.65436623,167554.56618256672,25569.845145130497,444051.65051671886,19779.200670375518,8631.034991438082
2045,0.0,116061.8584982977,0,0.0,40572.93460594777,1448362892.9166667,218083091.05991483,170335.42960468432,25135.91588780098,447261.3680492422,20118.213437683156,8916.162222099612
2046,0.0,116820.39959708136,0,0.0,42029.80608589792,1436430136.6666667,221071147.9075205,172742.44654194423,24683.177229315108,449907.8607510051,20463.1160432175,9206.978683543024
2047,0.0,117594.73292199048,0,0.0,43530.59517505661,1425499942.9166667,224087544.57543704,175129.60601409574,24219.194285626934,452557.7768901656,20812.169428229525,9519.625306446243
2048,0.0,118370.01687853591,0,0.0,45069.54048013973,1415193744.1666667,227145114.84056187,177447.25258645613,23755.009983080403,455224.24376681494,21163.90764414079,9852.591028576024
2049,0.0,119057.05567931142,0,0.0,46597.41972622613,1404540447.0833335,230251357.97716564,179455.88154600447,23309.062018075856,457912.4731054248,21504.304073029427,10196.63033668989
2050,0.0,119675.0053794692,0,0.0,48132.57060587665,1394146778.3333333,233397176.18037224,181449.44619699265,22881.469457243285,460618.96597865014,21838.00565842277,10557.310127857849
