years,Buses,Trains,Hight Speed Trains,Cars,Planes,Bikes,Trucks,Freight Trains,Ships,Inland Ships,Freight Planes,High Speed Trains,Inland ships
2000,11633586870000.0,2444173053000.0,0,16864681570000.0,3134811262000.0,3265725244000.0,8837204596000.0,7755296790000.0,50552528520000.0,0,275464639865.0,492963330000.0,6625846405500.0
2001,12011906500000.0,2492745354000.0,0,17394470550000.0,3142259683000.0,3285080907000.0,8776797661000.0,7752990836000.0,49910067010000.0,0,278744421630.0,502823920000.0,6665321433300.0
2002,12471748700000.0,2572614019000.0,0,17977829550000.0,3135230013000.0,3298289048000.0,8954755232000.0,7864792776000.0,48898599950000.0,0,280004364750.0,506894510000.0,6732317007500.0
2003,12759113440000.0,2604152323000.0,0,18355566250000.0,3174369890000.0,3328386287000.0,9320760662000.0,8157447632000.0,50028981660000.0,0,285470001285.0,509697610000.0,6850469123800.0
2004,13221141840000.0,2721255103000.0,0,19009764730000.0,3663106548000.0,3334820264000.0,10022939936000.0,8627403552000.0,52663839260000.0,0,327687424315.0,510358410000.0,6994745185100.0
2005,13692469990000.0,2822523351000.0,0,19512885570000.0,3932596975000.0,3347991648000.0,10690982630000.0,9181609986000.0,54624947410000.0,0,349978419650.0,512237940000.0,7105202116900.0
2006,14201545580000.0,2778390253000.0,0,19743776290000.0,3942821984000.0,3014596120000.0,11355574219000.0,9623231681000.0,55418074550000.0,0,351812837920.0,516652897666.1569,7206915924500.0
2007,15175454220000.0,2851788549000.0,0,20269521310000.0,4016739426000.0,2868489129000.0,11953247460000.0,10103744048000.0,55499192050000.0,0,357617325280.0,523780483044.22,7294752688400.0
2008,15682529450000.0,2924119152000.0,0,20581162680000.0,4063260638000.0,2812475049000.0,12201021569000.0,10333288633000.0,53971148390000.0,0,357690528650.0,529614896949.53,7251374244600.0
2009,15758267950000.0,2959359879000.0,0,20608465580000.0,4039781160000.0,2764168679000.0,12095389439000.0,10083216275000.0,50749846230000.0,0,352166443245.0,528195669012.96,7135633153500.0
2010,15613825050000.0,3000346650000.0,0,20354715370000.0,3956930904000.0,2783286717000.0,12728555075000.0,10343293139000.0,50515266670000.0,0,339113159520.0,517779286665.41,7128875931900.0
2011,15557033140000.0,3100844498000.0,0,20514901890000.0,4281566038000.0,2863446963000.0,13533114380000.0,10614520405000.0,50943451660000.0,0,374954681680.0,524631931629.45,7195217239600.0
2012,15672175910000.0,3232926554000.0,0,20843283320000.0,4781115877000.0,2979312794000.0,14360265149000.0,10808510937000.0,51652183860000.0,0,422033811320.0,531333213975.2,7256821903900.0
2013,16345557900000.0,3404234902000.0,0,21489494750000.0,5463295106000.0,3254441420000.0,15275318580000.0,10930202547000.0,51945517370000.0,0,475602569545.0,537534257141.4,7313671432600.0
2014,16304163760000.0,3561932548000.0,0,22036507550000.0,5730542264000.0,3347926979000.0,16428237082000.0,11086741279000.0,52750836150000.0,0,500768057790.0,545819556349.5,7358796045600.0
2015,16511720390000.0,3736814224000.0,0,22881085990000.0,5989343118000.0,3482073716000.0,17551849058000.0,11160560639000.0,53763740520000.0,0,531319193725.0,557433946110.2999,7440574589800.0
2016,16607339400000.0,3881402585000.0,0,23613289810000.0,6218897536000.0,3571186818000.0,18140152567000.0,11267832515000.0,54598479830000.0,0,551627310370.0,573540699096.9,7498344872900.0
2017,16671137720000.0,4001805004000.0,0,24196466940000.0,6518406941000.0,3622425730000.0,19338033379000.0,11594371042000.0,57127023330000.0,0,589567275530.0,585873394608.4,7644923640100.0
2018,17139505250000.0,4154023920000.0,0,25175307870000.0,6803880756000.0,3699495641000.0,20742460833000.0,11959100700000.0,60541931820000.0,0,630983672645.0,603044875667.0,7848975660500.0
2019,17723005970000.0,4309427114000.0,0,26227466510000.0,7070394230000.0,3772309879000.0,22248599516000.0,12338826529000.0,64399576800000.0,0,678485923735.0,620719543083.4,8067162396900.0
2020,18266255850000.0,4438679385000.0,0,21843928690000.0,2677254665000.0,3799737574000.0,21532901737000.0,11969396012000.0,61888713200000.0,0,547523430790.0,632339960635.9,8094530138100.0
2021,18167995480000.0,4391847720000.0,0,25362652420000.0,6122248974000.0,3665971658000.0,22430122571000.0,12426629944000.0,64199855600000.0,0,744373045040.0,622515532378.7,8318497196300.0
2022,17681866470000.0,4148121260000.0,0,25264435030000.0,6329470725000.0,3495390732000.0,23166543692000.0,12735201970000.0,66052761300000.0,0,768463197815.0,584807420497.9,8470142067600.0
2023,19351678980000.0,4596061019000.0,0,28732552080000.0,7814527268000.0,3750658243000.0,23883300836000.0,13074931181000.0,67966164900000.0,0,869529419085.0,646158906108.5,8604358842400.0
2024,20045024130000.0,4775552864000.0,0,30226353830000.0,8311264210000.0,3783232087000.0,24535088199000.0,13427354560000.0,69810965200000.0,0,907543462780.0,670976046044.9,8719514002500.0
2025,20306472490000.0,4829517061000.0,0,30551158170000.0,8432752682000.0,3751739498000.0,25111413725000.0,13767582550000.0,71524913100000.0,0,920925146240.0,674736822165.9,8820401617800.0
2026,20739598700000.0,4933066717000.0,0,31433805690000.0,8711348464000.0,3759099584000.0,25731140449000.0,14141479070000.0,73031435400000.0,0,942427471510.0,688381243584.5,8920664291000.0
2027,21255012280000.0,5043730455000.0,0,32513537480000.0,9040597496000.0,3769705887000.0,26365401644000.0,14523535240000.0,74567063600000.0,0,968035765660.0,705828352534.7,9022489777900.0
2028,21740061650000.0,5138304448000.0,0,33436524340000.0,9308649782000.0,3767687774000.0,27015311833000.0,14919190690000.0,76069094900000.0,0,989227837520.0,720497246856.4,9126076864000.0
2029,22225031390000.0,5227479222000.0,0,34335611600000.0,9560982199000.0,3759522627000.0,27676926716999.996,15327445970000.0,77607912900000.0,0,1009039550655.0,734526057155.0,9231488440700.0
2030,22721842350000.0,5314138484000.0,0,35282370640000.0,9821515412000.0,3746124992000.0,28343704402000.0,15748062390000.0,79190210700000.0,0,1029226907250.0,749335782497.6,9338773021300.0
2031,23185005730000.0,5390116063000.0,0,36181463760000.0,10066155683000.0,3724872049000.0,28914346800000.0,16129587040000.0,80640006200000.0,0,1047829979500.0,763927065835.5,9426147630400.0
2032,23673651660000.0,5471659234000.0,0,37123555320000.0,10311579405000.0,3714370114000.0,29497209877000.0,16517870690000.0,82122849100000.0,0,1066524181850.0,779619293098.4,9514620840000.0
2033,24320218880000.0,5605004664000.0,0,38466821590000.0,10681582078000.0,3733258152000.0,30092673937000.0,16909043660000.0,83635866500000.0,0,1093329220160.0,803514954956.2,9604136748000.0
2034,24795645730000.0,5691869791000.0,0,39461638300000.0,10947503326000.0,3719331092000.0,30701100954000.004,17304576370000.0,85177659000000.0,0,1114098516685.0,821468190245.9,9694665628000.0
2035,25212508420000.0,5763810449000.0,0,40341723600000.0,11166873889000.0,3701610557000.0,31351445463000.0,17718443160000.0,86799004900000.0,0,1131973282635.0,837705896611.0,9789421631000.0
2036,25693185890000.0,5858042667000.0,0,41583904590000.0,11438462643000.0,3681540006000.0,31944436379000.0,18095868420000.0,88321935900000.0,0,1144959860715.0,863747597407.0,9870300100000.0
2037,26130264780000.0,5943883942000.0,0,42777735810000.0,11717494651000.0,3661192153000.0,32555664598000.0,18481500880000.0,89847126500000.0,0,1158354059960.0,890356329837.0,9951666291000.0
2038,26504965950000.0,6018255323000.0,0,43864241260000.0,11987109444000.0,3638623869000.0,33188391737000.0,18873055130000.0,91399432100000.0,0,1170821485770.0,916440489521.0,10033742434000.0
2039,26855456160000.0,6090127515000.0,0,44947208980000.0,12280580104000.0,3618640042000.0,33847129618000.0,19267905330000.0,92977011600000.0,0,1184565911170.0,944113153734.0,10116400921000.0
2040,27182445520000.0,6159460651000.0,0,46026929360000.0,12602163153000.0,3599700074000.0,34535271891000.0,19664062420000.0,94580558100000.0,0,1199989648375.0,973543014420.0,10199486010000.0
2041,27445800150000.0,6216555331000.0,0,47003374660000.0,12925712573000.0,3575429585000.0,35086578039000.0,20014474600000.0,96088624700000.0,0,1214794123955.0,1003018850055.0,10274140703000.0
2042,27679342120000.0,6268351835000.0,0,47933972140000.0,13270573705000.0,3549301931000.0,35646747062000.0,20364688110000.0,97623344200000.0,0,1230524110915.0,1033313840916.0,10349145834000.0
2043,27923606800000.0,6323021951000.0,0,48907925200000.0,13668083504000.0,3525318202000.0,36214676656000.0,20715223560000.0,99184352900000.0,0,1248704339195.0,1066352996201.0,10424336452000.0
2044,28167804430000.0,6377983155000.0,0,49897576000000.0,14115880447000.0,3501435462000.0,36790312532000.0,21065462000000.0,100771425000000.0,0,1269050639685.0,1101656558808.0,10499837702000.0
2045,28394779310000.0,6429339501000.0,0,50850418400000.0,14604308708000.0,3476070943000.0,37372994562000.0,21415080480000.0,102384197800000.0,0,1290801992350.0,1138049909555.0,10575733182000.0
2046,28581139260000.0,6471359492000.0,0,51731694100000.0,15128712502000.0,3447432328000.0,37886566021000.0,21717697860000.0,103877327500000.0,0,1312931242135.0,1175169427953.0,10638310911000.0
2047,28772296890000.0,6514254306000.0,0,52643072400000.0,15668924527000.0,3421199863000.0,38405102500000.0,22017818700000.0,105270836100000.0,0,1335326809525.0,1215075326035.0,10700969589000.0
2048,28965118600000.0,6557201781000.0,0,53575704800000.0,16222870958000.0,3396464986000.0,38930780280000.0,22309200170000.0,106604177400000.0,0,1357894637990.0,1257574733349.0,10764019618000.0
2049,29139340010000.0,6595260845000.0,0,54472636200000.0,16772834139000.0,3370897073000.0,39464847930000.0,22561731020000.0,107957123700000.0,0,1379734767580.0,1301487561955.0,10827584232000.0
