,,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,2032,2033,2034,2035,2036,2037,2038,2039,2040,2041,2042,2043,2044,2045,2046,2047,2048,2049,2050,2051,2052,2053,2054,2055,2056,2057,2058,2059,2060
det,1,10.943370126537252,11.119452366133393,11.29527274932559,11.466534251886875,11.629884560575974,11.784427698785148,11.92972373965397,12.066297849192171,12.195644198644903,12.318215871334038,12.433439697666902,12.543317888058537,12.654948710552883,12.776991532829822,12.915676422304507,13.075081176458323,13.251810299810838,13.437640564494505,13.622236870633254,13.797632830074235,13.959659159729007,14.108766527838934,14.245338895961849,14.369281026253326,14.481010109096783,14.58048827962735,14.670789930212184,14.757575810509891,14.8475700076544,14.946601731875464,15.057779695412915,15.180269426823452,15.314246367329115,15.459330336721449,15.615552884523431,15.781006930402643,15.954003385052998,16.12898776733516,16.299371369966988,16.46043341175619,16.609306357488833,16.746891222475508,16.87411801362989,16.99387912509638,17.1067153427888,17.233701885026118,17.358177781747436,17.480783504740945,17.603842693147996,17.728109889921676,17.8541237326751,17.981374404729678,18.109078487646382,18.236443661689428,18.362668239851512,18.487034810494464,18.609190208160605,18.728861158588515,18.845760512760293,18.95958781679019,19.07016320521875,19.177831678780205,19.283069876374974,19.38635363886831,19.48815797786311,19.58891213184112,19.688865505410323,19.788223827608864,19.887194285949718,19.98598553575424,20.084783941709105,20.183681246320695,20.28274413569831,20.38203779657851,20.481625951511433,20.58152011860687,20.681528014366922,20.781407062665632,20.880915270451002,20.979811159204377,21.077893559001527,21.17512062402794,21.271489379279384,21.366995758350253,21.46163462379528,21.55539978700588,21.64828402760103,21.74027911233288,21.83137581350688,21.92156392691662
det,2,156.79328726225245,158.17767248114708,159.5982440436169,161.05332133638433,162.5417675089125,164.06446546173112,165.61837524904016,167.18984520053186,168.7597936330147,170.31335002956888,171.8463329483779,173.36931580932716,174.89152683050577,176.42480481239437,177.98064395419888,179.56942078265678,181.18293497118367,182.80798798698976,184.43001911888354,186.0375029129666,187.6060852566983,189.14947563364046,190.72185071492837,192.3894568934121,194.1969162339091,196.1806977567416,198.31296778349798,200.5034702752637,202.63247738759114,204.6155269758036,206.41071781146397,208.04693383980515,209.58431840507507,211.11449955879914,212.70417281104216,214.37318729624948,216.09546476943058,217.82657019423422,219.50215403966132,221.07817406590775,222.54105026871457,223.9118680291991,225.2225809789942,226.51783018715435,227.83208573634602,229.39456618818983,230.95600335471792,232.50788594174804,234.06870245836004,235.63674220762204,237.20971716222115,238.78298561122307,240.35133248984533,241.90956161004794,243.45249485245034,244.9757488578194,246.47806059885798,247.95894394371982,249.41791062934828,250.8544702583818,252.26825122947514,253.65936333734672,255.02803466209332,256.37449061976986,257.69895399204034,259.0014663443658,260.2813534366206,261.5377631494792,262.76984429544103,263.97674650883306,265.1581777571705,266.3160733879441,267.45291688052606,268.5711816213839,269.6733312416306,270.76199436683476,271.8404871808997,272.91228875805155,273.980866814484,275.04967812989867,276.1216183777708,277.19737374941144,278.27707810857044,279.3608643445201,280.44886438358395,281.54120920024116,282.6380288278057,283.73945236868354,284.845608004205,285.9566230040323
det,3,30.501700186641628,31.332826054002552,32.171957357659736,32.99837487302244,33.79939633927903,34.57293896395498,35.323379470604436,36.054817267436164,36.774879566842074,37.48868572965654,38.199296312345965,38.90489056391419,39.603666060466225,40.295524629732455,40.97939554838031,41.650232714703165,42.31078957755856,42.971952535294534,43.647282894193665,44.34622459011641,45.075425847707905,45.83002374466893,46.59781134512675,47.36016181126375,48.10384760459009,48.8276208927686,49.53343331170239,50.211743429789514,50.856266358821955,51.46092815730417,52.01629537770199,52.53127907913642,53.03591242819031,53.572140260746565,54.167186764975504,54.83526403375766,55.564690150798064,56.33188054853349,57.10194024189594,57.84950594294834,58.56565638587669,59.25574968104837,59.9223518980207,60.57052345751777,61.20389035515538,61.654668284444135,62.102353667200674,62.55771555630032,63.004839306823555,63.44029842862865,63.861459152359515,64.26850877684143,64.66230304924026,65.04366493898304,65.41338637432511,65.77193346973118,66.11856446857097,66.45222964858253,66.7718696350882,67.07641598820835,67.36504940730849,67.63797420444274,67.89564820345569,68.1385255074648,68.3670564526034,68.5816111614562,68.78225155773055,68.9689626914573,69.14172927722645,69.30053550036888,69.44539382406154,69.5764304470956,69.69379588630125,69.79763578461552,69.888091079025,69.96529361544745,70.02935272328637,70.0803691406245,70.1184397348537,70.14365765426673,70.15608102822138,70.15563917483853,70.14222779262364,70.11574061295488,70.07606949958536,70.02310455033162,69.95673420094751,69.87684533118437,69.78332337303716,69.67605242117624
det,4,28.10268922034524,28.629986897217172,29.16083092410041,29.689988987076788,30.21421604145445,30.73346846963924,31.25334350532851,31.76946535747888,32.28931255660312,32.81907988621867,33.35961837898712,33.905277415453305,34.45974578081623,35.01182897429522,35.56736410730987,36.123526927998924,36.67286806581975,37.22068578112234,37.758790866283775,38.290977614504484,38.81230578581804,39.32336632846429,39.833267066676406,40.333012066164294,40.830070499340636,41.32850051218142,41.8236160403042,42.31220058635432,42.794340600427745,43.262369305570815,43.713477662938956,44.151408314940824,44.57976884509381,45.00570393192998,45.42959929620619,45.85510757031982,46.28133279425873,46.70865441099727,47.13111189115959,47.55160738409003,47.96231712956059,48.36515999408158,48.75771189655975,49.144816040702224,49.51921582190748,49.80326273899216,50.08512242561174,50.3721092838574,50.6548692583589,50.92894836003754,51.19093506027626,51.44119104857582,51.680979717595605,51.91152764018847,52.13402671883544,52.349298471549254,52.55679057510326,52.75560449560055,52.944835427981744,53.123572644550265,53.291084736516794,53.44737522473973,53.59262967016838,53.7270310279555,53.85075959325741,53.96400599903058,54.0670100579148,54.16002111534255,54.2432849141986,54.31704357901554,54.3814763359718,54.43652216902941,54.48205843523262,54.517960271802544,54.54410062658121,54.56040860737897,54.56704349351628,54.56421819343292,54.552140864547596,54.53101509582899,54.50101457602,54.46220712535238,54.41463205485936,54.358325890563464,54.29332248619485,54.21965313542427,54.137346683610005,54.04642963905961,53.946926283805766,53.838858783896704
det,5,56.627806149050144,57.62133480383828,58.611935906907334,59.611177980852815,60.626405170547294,61.657525979943465,62.70227308996006,63.76124764403387,64.8345368568755,65.92064701560273,67.02080852311025,68.13005668509305,69.23443626286237,70.31560870356168,71.35941324624476,72.3626976299954,73.3288506184313,74.26197182175318,75.16719592402217,76.05116931843372,76.91266065307494,77.74850339809475,78.56611075081054,79.37291890009482,80.17391001785512,80.9686037452686,81.75596088363788,82.52984347891822,83.27984156417153,84.0014641900973,84.69654800720025,85.36855121629054,86.01579737249006,86.63661759648804,87.23121124872291,87.79792107391273,88.34224112381061,88.87617815534512,89.41671948992568,89.97616112025959,90.56106645439138,91.16608180383952,91.78414656028934,92.40400135981369,93.01744670834039,93.55149784647273,94.0972046047768,94.65924593180097,95.21999881810893,95.76547833368251,96.28420535003279,96.77495115584782,97.23907236666032,97.67794474019321,98.09296116842522,98.48542032439403,98.85619776688434,99.20607448821082,99.53584468391239,99.8463137528126,100.13816886878863,100.4115874259335,100.66660580168151,100.90324585921732,101.12151601456029,101.32138847267197,101.50272901010342,101.66536968813702,101.809133637587,101.93383597584203,102.03921260823519,102.1247066918609,102.189688676175,102.23352882719257,102.25559713157764,102.25529835363456,102.2321771811524,102.18581232072702,102.11578123842769,102.02166010854265,101.90335059606188,101.76205852405404,101.5993103609706,101.41662621094761,101.21552009524837,100.99750023003267,100.76406930044989,100.5167247310584,100.25695895256948,99.98625966491673
det,6,54.75652871550136,55.72404908138583,56.6881431650494,57.65590971062527,58.63332476263308,59.623117589677804,60.62591503941442,61.642955603575416,62.6755509976398,63.724033999263796,64.78931787743387,65.87222447374116,66.97152180667858,68.0881655530255,69.21646466027052,70.3592251325044,71.51179745291707,72.66952969982879,73.82512135606588,74.97526759693524,76.11518326930033,77.24579960767284,78.3608073150231,79.45866760669617,80.53803421001263,81.59449314568491,82.63011340759368,83.64700979298702,84.64708911120918,85.63254941304785,86.60311941956549,87.55820326507167,88.50234650760906,89.43673791004619,90.36362045352718,91.28769693801293,92.20630182057607,93.12005743020208,94.03044589522348,94.93692773084126,95.8392518517123,96.73528970953882,97.62381028877265,98.49748041952121,99.35569006978258,100.08826332596242,100.81935744286685,101.55986390375232,102.29403696539075,103.0122477888728,103.70692644452669,104.37830714722853,105.02853122051854,105.65970114557145,106.2738824584601,106.8724611046055,107.45422254851512,108.01730449143315,108.55984386943064,109.07997678321395,109.57633916776342,110.04956480193613,110.50077664353228,110.931085533485,111.3415905398461,111.73309630769614,112.10526840064125,112.45748931726581,112.78914227409325,113.09961097599385,113.38838943048486,113.6554099360362,113.90070955963968,114.12431975857422,114.32626654177173,114.50660218175454,114.66549965761216,114.80315754571794,114.91976859081194,115.01551992006495,115.09064606946906,115.14558707164178,115.18082926599126,115.19685262104542,115.19413100993023,115.17313247900461,115.13431950965025,115.07814927321887,115.00507387913493,114.91554061615444
det,7,48.2073142359549,49.22225628305689,50.25145668194483,51.31566840148679,52.42636854327847,53.586513391399606,54.79127464585218,56.04713924325608,57.356574643672424,58.71932486887242,60.13583343485429,61.600701267086805,63.11174898587206,64.66108820586275,66.24206781425127,67.85730729940414,69.49538355369567,71.13670608465722,72.75660432153747,74.33088675788348,75.8531972771235,77.32524336478076,78.74476265534446,80.11573266272275,81.4404003492248,82.7197752584901,83.9567934162865,85.16373411897133,86.35923162112665,87.55437155402161,88.75884957001522,89.97350947151085,91.20351968927866,92.44511660926639,93.70121483087934,94.9679662503772,96.2486867179282,97.56313664035092,98.93744137567364,100.38617134027751,101.91168173784845,103.49733179214502,105.11099267276462,106.70269411096515,108.2387763087527,109.17677904982517,110.09776873640362,111.03411009898537,111.94229558856406,112.82193909596364,113.67320457206522,114.49701908776117,115.2943442997117,116.0660020425457,116.81268248632031,117.53476963483095,118.23180681911529,118.90305703000192,119.54769133393145,120.16479377372512,120.75381090217472,121.31591530689423,121.85271588408756,122.36581877703915,122.8568268978921,123.3271235971597,123.77722972142243,124.207459846809,124.61813871365639,125.00960041258158,125.38180335315442,125.7331793149838,126.06178954425647,126.36570877673006,126.64302448839626,126.89229820684753,127.11394128352889,127.30881193288884,127.47775135429802,127.62158432529787,127.74100355499141,127.83622382525945,127.90733504129015,127.9544193067071,127.97755119565313,127.97679802539207,127.95222012942716,127.9038711311375,127.83179821793198,127.73604241592014
det,8,103.45954765725772,105.7216005218249,108.06502120283999,110.50980184840381,113.06087981780567,115.72678806781667,118.50761411199639,121.39021886037898,124.3702035714463,127.43010744968005,130.57944621289522,133.81755277607417,137.1387734222847,140.54001031977361,144.01997381727148,147.55869491868555,151.16855361601424,154.88201662186327,158.74782507804565,162.78799686942284,167.02936533340838,171.4503918164672,175.9813572714765,180.53248423398944,185.03571412588997,189.47262870800398,193.86933391469142,198.28385203892083,202.79885385482572,207.46985814219258,212.31755782206574,217.33139676347506,222.51737235344243,227.87389355439254,233.39835152260446,239.10033312563695,244.97569344111668,251.0171022508237,257.2062347839962,263.52988689537153,269.9902684664589,276.58525542838674,283.3126034389916,290.17281731744185,297.1616606119434,303.33106850903766,309.4524375203317,315.52095352260153,321.5289532858214,327.559895418884,333.67879800983496,339.8805186047235,346.14271363172406,352.4433300841683,358.76058998344706,365.0768126370371,371.389800769867,377.701129872176,384.01228323789474,390.3246519023276,396.63824102521755,402.94786105586894,409.24713222968325,415.52979296368494,421.789696635213,428.0210194939343,434.21888539713314,440.378719488705,446.4960327621613,452.56641917231525,458.58702807497355,464.56093665789257,470.4926342938624,476.3865361657805,482.2469851361995,488.07338148385764,493.8456804156385,499.5392000724063,505.1295110995511,510.59242591562514,515.9092432707439,521.0823896141637,526.1194525770334,531.0279007702196,535.8150873278857,540.4882533444957,545.054531205237,549.5209478098714,553.8944276900044,558.1817960197807
det,9,66.08971546346068,67.8641942022757,69.68773477957784,71.58041574772768,73.55017432067362,75.61269018459812,77.76023576387232,79.99598888665643,82.30977120550946,84.70082533571664,87.15994862184121,89.68965870843479,92.3034640770601,95.01637697609466,97.83733967792108,100.78137023831201,103.83024353953262,106.92920891390345,109.99996837960374,112.98994017223491,115.87297019968499,118.69020997158849,121.53012712383229,124.5241564516145,127.76119034611997,131.27588096184172,135.0335721431937,138.98578825811023,143.04433679303685,147.15078274024847,151.2871713251983,155.47335051384897,159.72287137950008,164.05612207418764,168.49306160497144,173.03011527207593,177.65780178711927,182.36713006429608,187.15661575584053,192.0127752763936,196.92641452291682,201.89252418987937,206.91264117774597,211.9837998020169,217.10571464470542,221.78860287245186,226.4263828978358,231.02744146068045,235.58236375693826,240.12405351676514,244.67829004538254,249.24149818152029,253.80272709279876,258.35100322020776,262.87532643169055,267.36625902295543,271.8206622037067,276.23685668174386,280.6130223254425,284.94719866352307,289.2375229703884,293.48301817091726,297.6830109597856,301.83691283091736,305.9442199196531,310.00420699614017,314.0150174282263,317.9745932509679,321.8809821983347,325.73233687515943,329.5264729162261,333.25953050480837,336.9272698158733,340.5255075303049,344.05011630292574,347.49744230354236,350.8655485303564,354.15294202898417,357.3581529616537,360.4797343574561,363.5164049889841,366.4674749608534,369.3324099269792,372.1106869221789,374.801794210493,377.4052311333663,379.9205079576849,382.34714572367164,384.6846760926392,386.9326411946009
det,10,14.480384773951627,14.8841654058665,15.298575151056465,15.71790572006654,16.138284149287422,16.558283828669254,16.978304580510343,17.402413977361864,17.83649465742976,18.283936602444516,18.747708229234053,19.22174554511475,19.696282690098062,20.156401702466425,20.591265438983445,20.993517331725343,21.369214781839275,21.73501392543735,22.111978185348022,22.51708819820931,22.958099172889217,23.42732099836732,23.90711127553231,24.37280414194712,24.805770882237994,25.20015937665346,25.5591893308327,25.889350453432723,26.199991805119208,26.497472425301297,26.785717958874265,27.062594451427117,27.327080250057023,27.575311336237235,27.808034592895964,28.021865030655167,28.220772207653603,28.41806275696411,28.630178065194265,28.867666681855408,29.135004800969778,29.426615118609227,29.731789533076164,30.033979149480807,30.319707113417564,30.45694259576276,30.592864280924438,30.734582256675374,30.871023413606203,31.002181297218467,31.12810464372249,31.2489114234356,31.364716748401754,31.475616642726486,31.58168910270534,31.682927722500704,31.779042253751093,31.86966457283097,31.95441709031011,32.03291335384738,32.10495158810096,32.17109336537457,32.23208414419999,32.2886604831642,32.34155032591412,32.39131440273373,32.43787337290139,32.480990737288145,32.52043242807538,32.555966595329934,32.58745444497167,32.615120734690834,32.63927630936587,32.66022665999203,32.67827216586837,32.69362779944576,32.70618324163599,32.71574715425777,32.72212806938504,32.72513437654125,32.72463776661261,32.72076252110423,32.71369337323008,32.703611938361064,32.69069686200963,32.67512396100426,32.657066357853864,32.636694608302285,32.614176822072594,32.58967877680141
det,11,111.1561427173859,111.4802587369839,111.7820575540464,112.04680251245472,112.2646318169964,112.43542997409212,112.57054261188102,112.6787514205831,112.77307811067035,112.86552341204171,112.96015467001764,113.05350423039346,113.15376662869343,113.26929205826852,113.40645545689875,113.56101676304536,113.73378827986384,113.93006129974657,114.15269757252207,114.40306288525602,114.69108078198519,115.0150029520525,115.34807393082,115.65375520258756,115.9132049806498,116.10874173734395,116.24824055370648,116.35692842005714,116.47978084410138,116.64208617173227,116.84760920351877,117.08974590627669,117.3608976674934,117.65036807061628,117.94656048886677,118.25976365827341,118.58240413753003,118.87911940845157,119.1085185493623,119.2386979788121,119.24886530939146,119.15055033466446,118.974505969674,118.76464282651452,118.55521462144088,118.4572478077336,118.35433163203245,118.24990342091505,118.15467697423844,118.0681877948094,117.99002551118159,117.91942131839241,117.85547452008743,117.79725150482416,117.743787225678,117.69401196492552,117.64653078938082,117.59985185274543,117.55246227041746,117.50282887891056,117.44975308223971,117.39343929058322,117.33444260361607,117.27331612168439,117.21061094872564,117.14674373479947,117.08160246438237,117.01494928270682,116.94655342137057,116.87619082142925,116.80358291489466,116.72821251058068,116.64950378906684,116.56688264800167,116.47977656290547,116.38765172445116,116.29012394675155,116.18684549050627,116.0774676215925,115.96164063656451,115.8391578437317,115.71038469094557,115.57582229827608,115.43596317824918,115.29129159222755,115.14228388929757,114.98940882766144,114.83312787853515,114.67389551255265,114.51215946867464
