model,scenario,region,variable,unit,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060
IMAGE,SSP2_CP,North America,Material Demand|Transportation|Vehicles|Road|Passenger Cars|Non-Ferrous Metals|Aluminium,Mt/yr,2.3375867084637676,1.9954350255263735,2.9480454236937326,1.791506521929821,4.801783562900969,3.784946222721289,3.9965170431759294,3.5495110573128295,3.563608976107247,4.532767002059074,4.626008244555984,4.7285619923388555
IMAGE,SSP2_CP,North America,Material Demand|Transportation|Vehicles|Road|Non-Ferrous Metals|Aluminium,Mt/yr,2.774371306547078,2.4401743887439995,3.5136622727607527,2.3644218843443117,5.310964009624066,4.525608293762214,4.723794200571046,4.305336469365033,4.375708602087941,5.377617837717299,5.4802276753404735,5.641601862233107
IMAGE,SSP2_CP,North America,Material Demand|Transportation|Vehicles|Rail|Non-Ferrous Metals|Aluminium,Mt/yr,0.07309271391662828,0.05836486262414583,0.07408268653315564,0.0880789983916832,0.11019403633287973,0.1193740083998444,0.1365143141549503,0.1380104002317299,0.11427719798914841,0.10902560314452454,0.12485216058601903,0.13685970716194
IMAGE,SSP2_CP,North America,Material Demand|Transportation|Air|Non-Ferrous Metals|Aluminium,Mt/yr,0.01521410591571318,0.008751358123167918,0.01863839869477388,0.012252836389494984,0.027110374196902428,0.01890111311927386,0.022602051014200125,0.0231009379199658,0.026996868376350295,0.028254097381500972,0.028790605499413324,0.029682656141415596
IMAGE,SSP2_CP,North America,Material Demand|Transportation|Ships|Non-Ferrous Metals|Aluminium,Mt/yr,0.016601059182546084,0.006936857805994411,0.012985872006023821,0.02708973703124599,0.02005630485264206,0.018743290405658707,0.017075792804286456,0.01744575943009453,0.01900313892785151,0.020406811766513114,0.020698499969271297,0.020388639553469357
IMAGE,SSP2_CP,North America,Material Demand|Transportation|Vehicles|Road|Passenger Cars|Non-Ferrous Metals|Copper,Mt/yr,0.44711959344342056,0.38810069925398305,0.7327536097273333,0.5980560316225805,2.018136794493391,1.535212928662952,1.1525702513712863,0.8588045737432126,1.0629038387413376,1.7612550861292124,1.83888130165763,1.8829955049550664
IMAGE,SSP2_CP,North America,Material Demand|Transportation|Vehicles|Road|Non-Ferrous Metals|Copper,Mt/yr,0.505967974564931,0.4484402435394479,0.8115107256201316,0.6791135434681547,2.0789942809866884,1.6415916869296958,1.254145302727586,0.9674533329453315,1.1803242937624265,1.88384913441245,1.9621623884707573,2.015383425606022
IMAGE,SSP2_CP,North America,Material Demand|Transportation|Vehicles|Rail|Non-Ferrous Metals|Copper,Mt/yr,0.0020355965188680113,0.0016182345925558608,0.0020102732784277383,0.0024172053681173773,0.0029956474820103467,0.0033014574563411435,0.0038110322076050553,0.003901431823738861,0.0032555273722099194,0.0031312244309546176,0.003610074430092712,0.003998794944390257
IMAGE,SSP2_CP,North America,Material Demand|Transportation|Air|Non-Ferrous Metals|Copper,Mt/yr,7.69400337296828e-05,4.700922627055344e-05,9.153288140331195e-05,4.067599088070042e-05,0.00013880994583445835,9.52101262827492e-05,0.00011254061974877142,0.0001111460028168304,0.00013283652566435268,0.00014236251580635042,0.00014610932457339066,0.0001499477059826804
IMAGE,SSP2_CP,North America,Material Demand|Transportation|Ships|Non-Ferrous Metals|Copper,Mt/yr,0.004249871150731797,0.001775835598334569,0.003324383233542098,0.006934972679998971,0.0051344140422763685,0.00479828234384863,0.004371402957897334,0.004466114414104199,0.004864803565529987,0.005224143812227355,0.005298815992133452,0.005219491725688154
IMAGE,SSP2_CP,North America,Material Demand|Transportation|Vehicles|Road|Passenger Cars|Glass,Mt/yr,0.642599843978854,0.5466689384751132,0.761042421156801,0.4179223446015239,0.9944877065587518,0.7887410289032992,0.9738235537139842,0.9168545484440802,0.8570891060209445,0.9568841309616946,0.9612511061938287,0.980074357382166
IMAGE,SSP2_CP,North America,Material Demand|Transportation|Vehicles|Road|Glass,Mt/yr,0.7032104451635511,0.6078848019678581,0.839266089902128,0.49827700820690457,1.0629405195113173,0.8893230350753136,1.0724952409995432,1.021376150645055,0.9661131977977624,1.0709478596152504,1.0765631666534818,1.1022663215042823
IMAGE,SSP2_CP,North America,Material Demand|Transportation|Vehicles|Rail|Glass,Mt/yr,6.12607244269458e-05,0.00017551255596873918,0.00023209679445498872,0.00014607572036083222,0.0003515592503853682,0.000300266646872641,0.0004145992724481723,0.0005131356033243528,0.0006480017445754903,0.0007982888237955392,0.0009796030861135081,0.0011723786917493069
IMAGE,SSP2_CP,North America,Material Demand|Transportation|Air|Glass,Mt/yr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
IMAGE,SSP2_CP,North America,Material Demand|Transportation|Ships|Glass,Mt/yr,0.0010624677876829491,0.00044395889958364216,0.0008310958083855242,0.0017337431699997426,0.001283603510569092,0.0011995705859621571,0.001092850739474333,0.0011165286035260495,0.0012162008913824962,0.0013060359530568386,0.0013247039980333628,0.0013048729314220381
IMAGE,SSP2_CP,North America,Material Demand|Transportation|Vehicles|Road|Passenger Cars|Chemicals|Plastics,Mt/yr,3.0107596418800617,2.5611491875742134,3.553429189571973,1.960771017695472,4.64009818307975,3.6482863712253506,4.524001862752765,4.2873491881892845,3.9947205967715473,4.456834444022233,4.475484758739562,4.55888211485329
IMAGE,SSP2_CP,North America,Material Demand|Transportation|Vehicles|Road|Chemicals|Plastics,Mt/yr,4.241224375956589,3.80513650035565,5.175118866963895,3.6497988519436673,5.922165721596247,5.703000784383955,6.508414606178857,6.432747465921613,6.194858376406948,6.763651574045656,6.800489562025413,7.015502616332144
IMAGE,SSP2_CP,North America,Material Demand|Transportation|Vehicles|Rail|Chemicals|Plastics,Mt/yr,0.0001275282001245536,0.00040863849830745494,0.0006137938496272785,0.00038187658664435003,0.0009185338631201911,0.0007130784309433805,0.0009216509694135814,0.001068980325468466,0.001362608513393337,0.0016767490107917052,0.002031697862313533,0.0023868914238344336
