typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20110101","2011","52","2011","12","DZA","Algeria","M","Import","0","W00","World","0","W00","World","H3","HS","true","7401","Copper mattes; cement copper (precipitated copper)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","2","false","-1","N/A",,"false","2","false",,"false","250",,"250","0","true","false",
"C","A","20110101","2011","52","2011","31","AZE","Azerbaijan","M","Import","0","W00","World","0","W00","World","H3","HS","true","7401","Copper mattes; cement copper (precipitated copper)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","658","false","-1","N/A",,"false","658","false",,"false","14388",,"14388","0","true","false",
"C","A","20110101","2011","52","2011","36","AUS","Australia","M","Import","0","W00","World","0","W00","World","H3","HS","true","7401","Copper mattes; cement copper (precipitated copper)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","4326865","false","-1","N/A",,"false","4326865","false",,"false",,"23453077","23453077","0","true","false",
"C","A","20110101","2011","52","2011","36","AUS","Australia","X","Export","0","W00","World","0","W00","World","H3","HS","true","7401","Copper mattes; cement copper (precipitated copper)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","1341765","false","-1","N/A",,"false","1341765","false",,"false",,"1203936","1203936","0","true","false",
"C","A","20110101","2011","52","2011","40","AUT","Austria","M","Import","0","W00","World","0","W00","World","H3","HS","true","7401","Copper mattes; cement copper (precipitated copper)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","495","true","-1","N/A",,"false","495","true",,"false","4877",,"4877","6","true","false",
"C","A","20110101","2011","52","2011","40","AUT","Austria","X","Export","0","W00","World","0","W00","World","H3","HS","true","7401","Copper mattes; cement copper (precipitated copper)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","208","true","-1","N/A",,"false","208","true",,"false",,"2169","2169","6","true","false",
"C","A","20110101","2011","52","2011","48","BHR","Bahrain","M","Import","0","W00","World","0","W00","World","H3","HS","true","7401","Copper mattes; cement copper (precipitated copper)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","3843","false","-1","N/A",,"false","3843","false",,"false","5123",,"5123","0","true","false",
"C","A","20110101","2011","52","2011","50","BGD","Bangladesh","M","Import","0","W00","World","0","W00","World","H3","HS","true","7401","Copper mattes; cement copper (precipitated copper)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","15","false","-1","N/A",,"false","15","false",,"false","95",,"95","0","true","false",
"C","A","20110101","2011","52","2011","52","BRB","Barbados","M","Import","0","W00","World","0","W00","World","H2","HS","true","7401","Copper mattes; cement copper (precipitated copper)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","50","false","-1","N/A",,"false","50","false",,"false","2124",,"2124","0","true","false",
"C","A","20110101","2011","52","2011","56","BEL","Belgium","M","Import","0","W00","World","0","W00","World","H3","HS","true","7401","Copper mattes; cement copper (precipitated copper)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","46111579.63","false","8","kg","46111579.63","false","46111579.63","false","0","false","214586628.171",,"214586628.171","0","false","true",
"C","A","20110101","2011","52","2011","56","BEL","Belgium","X","Export","0","W00","World","0","W00","World","H3","HS","true","7401","Copper mattes; cement copper (precipitated copper)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","6336951.45","false","8","kg","6336951.45","false","6336951.45","false","0","false",,"18611015.697","18611015.697","0","false","true",
"C","A","20110101","2011","52","2011","60","BMU","Bermuda","M","Import","0","W00","World","0","W00","World","H3","HS","true","7401","Copper mattes; cement copper (precipitated copper)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A",,"false","-1","N/A",,"false",,"false",,"false","446894",,"446894","0","true","false",
"C","A","20110101","2011","52","2011","64","BTN","Bhutan","M","Import","0","W00","World","0","W00","World","H3","HS","true","7401","Copper mattes; cement copper (precipitated copper)","4","false","C00","TOTAL CPC","0","0","TOTAL MOT","8","kg","12","false","-1","N/A",,"false","12","false",,"false","92",,"92","0","true","false",
"C","A","20110101","2011","52","2011","68","BOL","Bolivia (Plurinational State of)","M","Import","0","W00","World","0","W00","World","H3","HS","true","7401","Copper mattes; cement copper (precipitated copper)","4","false","C00","TOTAL CPC","0 ","0","TOTAL MOT","8","kg","2316","false","8","kg","2316","false","1879","false",,"false","1569.03","1538.2","1569.03","0","false","true",
